GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Aspergillus desertorum,CBS 653.73,Aspergillus_desertorum_CBS_653.73.proteins.fa,Aspergillus_desertorum_CBS_653.73.scaffolds.fa,Aspergillus_desertorum_CBS_653.73.gff3,Aspedese,Eurotiales
OUT,Aspergillus elegans,IMI 345568,Aspergillus_elegans_IMI_345568.proteins.fa,Aspergillus_elegans_IMI_345568.scaffolds.fa,Aspergillus_elegans_IMI_345568.gff3,Aspeeleg,Eurotiales
OUT,Aspergillus felis,CNM-CM7691,Aspergillus_felis_CNM-CM7691.proteins.fa,Aspergillus_felis_CNM-CM7691.scaffolds.fa,Aspergillus_felis_CNM-CM7691.gff3,Aspefel2,Eurotiales
OUT,Aspergillus filifer,CBS 114510,Aspergillus_filifer_CBS_114510.proteins.fa,Aspergillus_filifer_CBS_114510.scaffolds.fa,Aspergillus_filifer_CBS_114510.gff3,Aspefili,Eurotiales
OUT,Aspergillus flavus,07-S-3-1-8,Aspergillus_flavus_07-S-3-1-8.proteins.fa,Aspergillus_flavus_07-S-3-1-8.scaffolds.fa,Aspergillus_flavus_07-S-3-1-8.gff3,Aspefl17,Eurotiales
OUT,Aspergillus fumigatus,F-1-4L-1,Aspergillus_fumigatus_F-1-4L-1.proteins.fa,Aspergillus_fumigatus_F-1-4L-1.scaffolds.fa,Aspergillus_fumigatus_F-1-4L-1.gff3,Aspefu73,Eurotiales
OUT,Aspergillus haitiensis,NRRL 4568,Aspergillus_haitiensis_NRRL_4568.proteins.fa,Aspergillus_haitiensis_NRRL_4568.scaffolds.fa,Aspergillus_haitiensis_NRRL_4568.gff3,Aspehait,Eurotiales
OUT,Blastomyces emzantsi,MRL_BACN2,Blastomyces_emzantsi_MRL_BACN2.proteins.fa,Blastomyces_emzantsi_MRL_BACN2.scaffolds.fa,Blastomyces_emzantsi_MRL_BACN2.gff3,Blasemza,Onygenales
OUT,Blastomyces percursus,MRL_BP1777,Blastomyces_percursus_MRL_BP1777.proteins.fa,Blastomyces_percursus_MRL_BP1777.scaffolds.fa,Blastomyces_percursus_MRL_BP1777.gff3,Blasper2,Onygenales
OUT,Coccidioides immitis,,Coccidioides_immitis.proteins.fa,Coccidioides_immitis.scaffolds.fa,Coccidioides_immitis.gff3,Coccimmi,Onygenales
OUT,Emergomyces orientalis,5z489,Emergomyces_orientalis_5z489.proteins.fa,Emergomyces_orientalis_5z489.scaffolds.fa,Emergomyces_orientalis_5z489.gff3,Emerorie,Onygenales
OUT,Emmonsiellopsis sp. PD_5,PD_5,Emmonsiellopsis_sp._PD_5_PD_5.proteins.fa,Emmonsiellopsis_sp._PD_5_PD_5.scaffolds.fa,Emmonsiellopsis_sp._PD_5_PD_5.gff3,Emmosp2,Onygenales
OUT,Epidermophyton floccosum,E1d,Epidermophyton_floccosum_E1d.proteins.fa,Epidermophyton_floccosum_E1d.scaffolds.fa,Epidermophyton_floccosum_E1d.gff3,Epidfloc,Onygenales
OUT,Histoplasma ohiense,G217B-UCSF2,Histoplasma_ohiense_G217B-UCSF2.proteins.fa,Histoplasma_ohiense_G217B-UCSF2.scaffolds.fa,Histoplasma_ohiense_G217B-UCSF2.gff3,Histohie,Onygenales
OUT,Microsporum canis,CBS 566.80,Microsporum_canis_CBS_566.80.proteins.fa,Microsporum_canis_CBS_566.80.scaffolds.fa,Microsporum_canis_CBS_566.80.gff3,Micrcan3,Onygenales
OUT,Nannizziopsis barbatae,USC001,Nannizziopsis_barbatae_USC001.proteins.fa,Nannizziopsis_barbatae_USC001.scaffolds.fa,Nannizziopsis_barbatae_USC001.gff3,Nannbarb,Onygenales
OUT,Onygenales sp. PD_40,PD_40,Onygenales_sp._PD_40_PD_40.proteins.fa,Onygenales_sp._PD_40_PD_40.scaffolds.fa,Onygenales_sp._PD_40_PD_40.gff3,Onygsp3,Onygenales
OUT,Paracoccidioides restrepoana,Pb-DRQ,Paracoccidioides_restrepoana_Pb-DRQ.proteins.fa,Paracoccidioides_restrepoana_Pb-DRQ.scaffolds.fa,Paracoccidioides_restrepoana_Pb-DRQ.gff3,Pararest,Onygenales
OUT,Phaeomoniella chlamydospora,UCRPC4,Phaeomoniella_chlamydospora_UCRPC4.proteins.fa,Phaeomoniella_chlamydospora_UCRPC4.scaffolds.fa,Phaeomoniella_chlamydospora_UCRPC4.gff3,Phaechla,Phaeomoniellales
