taxon,growthForm,guild,trophicMode,confidenceRanking,n_assemblies
Annulohypoxylon truncatum,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Antarctomyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Anthostomella,Microfungus,|Endophyte|-Plant Saprotroph-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,1
Anthracocystis,Dimorphic-Facultative Yeast-Smut,|Plant Pathogen|,Pathotroph,Probable,3
Antonospora,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Antrodia,Corticioid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Antrodiella,Corticioid-Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Aotearoamyces,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Aphanoascus verrucosus,NULL,Animal Pathogen,Pathotroph,Probable,1
Aphanocladium album,NULL,Fungal Parasite,Pathotroph,Highly Probable,1
Apiosordaria,Microfungus,|Dung Saprotroph|-Undefined Saprotroph,Saprotroph,Highly Probable,1
Apiospora,Microfungus,|Plant Pathogen|,Pathotroph-Saprotroph,Probable,13
Apiotrichum,Microfungus-Yeast,|Undefined Saprotroph|,Saprotroph,Possible,20
Aplosporella,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Apodospora,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Apophysomyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,6
Apophysomyces variabilis,NULL,Animal Pathogen,Pathotroph,Probable,1
Aquanectria,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Highly Probable,1
Arachnomyces,Microfungus,|Animal Parasite|-Dung Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Highly Probable,2
Arachnopeziza,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Armillaria,Agaricoid,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,6
Armillaria fuscipes,Agaricoid,Plant Pathogen,Pathotroph,Probable,1
Armillaria gallica,Agaricoid,Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Armillaria luteobubalina,Agaricoid,Plant Pathogen-Wood Saprotroph,Pathotroph,Probable,1
Armillaria mellea,Agaricoid,Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Armillaria nabsnona,Agaricoid,Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Armillaria ostoyae,Agaricoid,Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Armillaria sinapina,Agaricoid,Plant Pathogen,Pathotroph,Probable,1
Armillaria solidipes,Agaricoid,Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Arthonia,Microfungus-Thallus,Lichen Parasite-|Lichenized|,Pathotroph-Symbiotroph,Possible,1
Arthrinium,Microfungus,Endophyte-|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,2
Arthrinium phaeospermum,NULL,Endophyte,Symbiotroph,Highly Probable,1
Arthrobotrys,Microfungus,|Animal Parasite|-Dung Saprotroph-Nematophagous-Wood Saprotroph,Pathotroph-Saprotroph,Probable,5
Arthrobotrys entomopaga,Microfungus,Litter Saprotroph,Saprotroph,Highly Probable,1
Arthrobotrys megalospora,Microfungus,Nematophagous,Saprotroph,Highly Probable,1
Arthrobotrys musiformis,Microfungus,Nematophagous,Saprotroph,Highly Probable,1
Arthrobotrys sinensis,Microfungus,Nematophagous,Saprotroph,Highly Probable,1
Arthrocladium,Dimorphic-Microfungus,Animal Parasite-Animal Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Arthroderma,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,5
Arthroderma uncinatum,NULL,Animal Pathogen,Pathotroph,Probable,1
Arthromyces,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,1
Articulospora,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Artomyces,Clavarioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Arxiozyma,Yeast,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,5
Aschersonia,Microfungus,|Animal Parasite|-Animal Pathogen-Plant Pathogen,Pathotroph,Probable,9
Ascobolus immersus,Microfungus,Dung Saprotroph,Saprotroph,Highly Probable,1
Ascobotryozyma americana,Microfungus,Animal Associated Biotroph,Symbiotroph,Highly Probable,1
Ascobotryozyma cognata,Microfungus,Animal Associated Biotroph-Plant Pathogen,Pathotroph-Symbiotroph,Highly Probable,1
Ascochyta,Microfungus,|Plant Pathogen|,Pathotroph,Probable,4
Ascochyta fabae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ascochyta lentis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ascochyta pisi,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ascochyta rabiei,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ascocoryne,Microfungus-Tremelloid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Ascodesmis,Microfungus,|Dung Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Ascodesmis sphaerospora,NULL,Dung Saprotroph,Saprotroph,Highly Probable,1
Ascoidea,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,3
Ascosphaera,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,5
Aspergillus,Microfungus,Animal Pathogen-Endophyte-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,190
Aspergillus aculeatus,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Aspergillus alliaceus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus amoenus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus avenaceus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus bombycis,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus brasiliensis,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus calidoustus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus candidus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus chevalieri,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus clavatus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus costiformis,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus creber,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus cvjetkovicii,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus flavus,Microfungus,Animal Pathogen-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Aspergillus fructus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus fumigatiaffinis,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus fumigatus,Microfungus,Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Aspergillus glaucus,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Aspergillus hiratsukae,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus japonicus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus jensenii,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus lentulus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus melleus,Microfungus,Animal Pathogen-Endophyte,Pathotroph-Symbiotroph,Probable,1
Aspergillus montevidensis,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus nidulans,Microfungus,Undefined Saprotroph,Saprotroph,Probable,1
Aspergillus niger,Microfungus,Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Aspergillus ochraceus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus parasiticus,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Aspergillus protuberus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus pseudoglaucus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus quadrilineatus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus ruber,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus sydowii,Microfungus,Animal Pathogen,Pathotroph,Possible,1
Aspergillus terreus,Microfungus,Animal Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Aspergillus tubingensis,Microfungus,Endophyte-Animal Pathogen-Plant Saprotroph-Soil Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Aspergillus ustus,Microfungus,Wood Saprotroph,Saprotroph,Highly Probable,1
Aspergillus versicolor,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Aspergillus wentii,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Asterophora,Agaricoid,|Fungal Parasite|,Pathotroph,Highly Probable,2
Astraeus,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Astrocystis,Microfungus,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Astrothelium,Microfungus-Thallus,|Lichenized|-Wood Saprotroph,Saprotroph-Symbiotroph,Highly Probable,2
Athelia,Corticioid-Thallus,Algal Parasite-Epiphyte-|Lichen Parasite|-Lichenized-Plant Pathogen-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,1
Atkinsonella,Microfungus,Clavicipitaceous |Endophyte|-Plant Saprotroph,Saprotroph-Symbiotroph,Probable,2
Atractiella,Microfungus,Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Aulographum,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Aureobasidium,Dimorphic-Facultative Yeast,Animal Pathogen-Endophyte-Epiphyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,23
Aureobasidium lini,NULL,Plant Pathogen,Pathotroph,Probable,1
Aureobasidium pullulans,NULL,Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Aureoboletus,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Auricularia,Tremelloid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,6
Auriculariopsis,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Aurifilum,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Auriscalpium,Agaricoid-Hydnoid,Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,3
Australopilus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Austroboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,7
Austropuccinia,Rust,|Plant Pathogen|,Pathotroph,Probable,1
Babjeviella,Yeast,|Undefined Saprotroph|,Saprotroph,Highly Probable,1
Bachmanniomyces,Microfungus,|Lichen Parasite|,Pathotroph,Possible,1
Bacidia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Backusella,Microfungus-Sporophores,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,13
Baeospora,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Balansia,Microfungus,Clavicipitaceous |Endophyte|-Plant Pathogen-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,1
Baorangia,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Barbatosphaeria,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Barnettozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,15
Basidioascus,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Basidiobolus,Microfungus,Animal Pathogen-Animal Symbiotroph-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,2
Basidiobolus ranarum,Microfungus,Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Basipetospora,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Bathelium,Microfungus-Thallus,|Lichenized|-Wood Saprotroph,Saprotroph-Symbiotroph,Highly Probable,2
Batrachochytrium dendrobatidis,Microfungus,Animal Pathogen,Pathotroph,Highly Probable,1
Batrachochytrium salamandrivorans,NULL,Animal Pathogen,Pathotroph,Highly Probable,1
Baudoinia,Microfungus,|Undefined Saprotroph|,Saprotroph,Highly Probable,1
Beauveria,Microfungus,|Animal Parasite|-Animal Pathogen-Endophyte-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,13
Beauveria bassiana,NULL,Animal Pathogen,Pathotroph,Probable,1
Benjaminiella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Berkeleyomyces,Microfungus,Endophyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Probable,2
Bertia,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Beverwykella,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Bifiguratus,Microfungus-Yeast,Endophyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Bimuria,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Binderoboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Bipolaris,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,3
Bipolaris cookei,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Bipolaris maydis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Bipolaris oryzae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Bipolaris sorokiniana,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Bipolaris victoriae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Bipolaris zeicola,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Biscogniauxia,Microfungus,Endophyte-Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,2
Biscogniauxia marginata,NULL,Plant Pathogen,Pathotroph,Probable,1
Bisporella,Microfungus,Fungal Parasite-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Bjerkandera,Polyporoid,Endophyte-Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,1
Blakeslea,Microfungus,Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Blastobotrys,Yeast,|Undefined Saprotroph|,Saprotroph,Highly Probable,21
Blastobotrys adeninivorans,Yeast,Undefined Saprotroph,Saprotroph,Highly Probable,1
Blastobotrys proliferans,NULL,Animal Pathogen,Pathotroph,Probable,1
Blastobotrys raffinosifermentans,NULL,Animal Pathogen,Pathotroph,Probable,1
Blastocladiella,Chytrid-Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Blastomyces,Dimorphic-Dimorphic Yeast-Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Highly Probable,5
Blastomyces dermatitidis,Dimorphic Yeast,Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Blastosporella,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Blumeria,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Blumeria graminis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Blumeriella jaapii,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Blyttiomyces,Chytrid-Microfungus,|Algal Parasite|-Plant Pathogen-Pollen Saprotroph,Pathotroph-Saprotroph,Probable,2
Boeremia,Microfungus,Endophyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Possible,1
Boeremia exigua,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Bogoriella,Microfungus-Thallus,|Lichenized|-Wood Saprotroph,Saprotroph-Symbiotroph,Probable,1
Boletellus,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,9
Boletus,Agaricoid-Boletoid,|Ectomycorrhizal|-Fungal Parasite,Pathotroph-Symbiotroph,Highly Probable,65
Bombardia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Bondarzewia,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Boothiomyces,Chytrid-Microfungus,|Pollen Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,3
Borealophlyctis,Chytrid-Microfungus,Plant Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Bothia,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Botryobasidium,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Botryosphaeria,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,3
Botryosphaeria dothidea,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Botryotinia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,4
Botryozyma mucatilis,Yeast,Animal Associated Biotroph,Symbiotroph,Highly Probable,1
Botryozyma nematodophila,Yeast,Animal Associated Biotroph-Plant Pathogen,Pathotroph-Symbiotroph,Highly Probable,1
Botrytis,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,11
Botrytis aclada,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Botrytis byssoidea,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Botrytis cinerea,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Botrytis porri,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Botrytis squamosa,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Brachybasidiaceae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Brettanomyces,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,6
Bretziella,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Bryoglossum,Microfungus,Bryophyte Parasite-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Buglossoporus,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Bullera,Yeast,Endophyte-Epiphyte-Plant Saprotroph-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Butyriboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,4
Byssoonygena,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Byssothecium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Cadophora,Microfungus,Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,4
Cadophora gregata,Microfungus,Ericoid Mycorrhizal-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Caecomyces,Chytrid-Microfungus,|Animal Symbiotroph|-Plant Saprotroph,Saprotroph-Symbiotroph,Probable,1
Caeruleum,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Cairneyella,Microfungus,|Endophyte|-Ericoid Mycorrhizal,Symbiotroph,Highly Probable,1
Calcarisporium,Microfungus,|Fungal Parasite|,Pathotroph,Probable,1
Caloboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,3
Calocera cornea,Clavarioid,Wood Saprotroph,Saprotroph,Probable,1
Calocera viscosa,Clavarioid,Wood Saprotroph,Saprotroph,Probable,1
Calocybe,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,3
