Species,trait,value,source,notes
Spizellomyces punctatus,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen"") -- not species-verified"
Spizellomyces punctatus,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Pollen Saprotroph"") -- not species-verified"
Actinomucor elegans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Actinomucor elegans,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Actinomucor elegans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Actinomucor elegans,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"")"
Chlamydoabsidia padenii,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Chlamydoabsidia padenii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Dichotomocladium elegans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Dichotomocladium elegans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Fimicolochytrium jonesii,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Fimicolochytrium jonesii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Fimicolochytrium jonesii,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Fimicolochytrium jonesii,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Fimicolochytrium jonesii,algal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Gaertneriomyces semiglobifer,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Gaertneriomyces semiglobifer,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Gaertneriomyces semiglobifer,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Gaertneriomyces semiglobifer,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Gaertneriomyces semiglobifer,algal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Gongronella butleri,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Gongronella butleri,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Halteromyces radiatus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Halteromyces radiatus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Sporodiniella umbellata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Sporodiniella umbellata,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sporodiniella umbellata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sporodiniella umbellata,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Arthropod Parasite-|Undefined Saprotroph|""); arthropod-specific parasite"
Thoreauomyces humboldtii,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Thoreauomyces humboldtii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Thoreauomyces humboldtii,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Thoreauomyces humboldtii,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Thoreauomyces humboldtii,algal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Absidia cylindrospora,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Absidia cylindrospora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Backusella australiensis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus-Sporophores"")"
Backusella australiensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Circinella minor,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Circinella minor,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Parasitella parasitica,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Parasitella parasitica,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Parasitella parasitica,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Parasitella parasitica,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Fungal Parasite|-Undefined Saprotroph"")"
Pilobolus umbonatus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Pilobolus umbonatus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Rhizopus arrhizus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Rhizopus arrhizus,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Rhizopus arrhizus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Rhizopus arrhizus,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-|Undefined Saprotroph|"")"
Thermomucor indicae-seudaticae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Thermomucor indicae-seudaticae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Blakeslea trispora,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Blakeslea trispora,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Blakeslea trispora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Blakeslea trispora,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-|Undefined Saprotroph|"")"
Fennellomyces sp. T-0311,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Fennellomyces sp. T-0311,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Geranomyces michiganensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Geranomyces michiganensis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Pollen Saprotroph|-Undefined Saprotroph"")"
Lichtheimia corymbifera,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Lichtheimia corymbifera,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Mycotypha africana,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Mycotypha africana,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Powellomyces hirtus,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Powellomyces hirtus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Powellomyces hirtus,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Powellomyces hirtus,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Powellomyces hirtus,algal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Algal Parasite-Plant Pathogen-|Pollen Saprotroph|"")"
Radiomyces spectabilis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Radiomyces spectabilis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Saksenaea oblongispora,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Saksenaea oblongispora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Apophysomyces elegans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Apophysomyces elegans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Benjaminiella poitrasii,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Benjaminiella poitrasii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Cunninghamella bainieri,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Cunninghamella bainieri,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Helicostylum pulchrum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Helicostylum pulchrum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Hesseltinella vesiculosa,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Hesseltinella vesiculosa,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Phascolomyces articulosus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Phascolomyces articulosus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Pilaira anomala,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Pilaira anomala,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Rhizomucor miehei,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Rhizomucor miehei,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Spinellus fusiger,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Spinellus fusiger,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph"")"
Spinellus fusiger,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Fungal Parasite|"")"
Syncephalastrum contaminatum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Syncephalastrum contaminatum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Syncephalastrum contaminatum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Syncephalastrum contaminatum,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"")"
Thamnidium elegans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Thamnidium elegans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Zychaea mexicana,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Zychaea mexicana,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Mucor circinelloides,asexual_reproduction,sporangiospores,https://mycology.adelaide.edu.au/fungal-descriptions-and-antifungal-susceptibility/mucoromycota-pin-moulds/mucor,"sporangiospores globose, hyaline to brownish, 7-8um, produced within a sporangium"
Mucor circinelloides,pigmentation,non_melanized,https://mycology.adelaide.edu.au/fungal-descriptions-and-antifungal-susceptibility/mucoromycota-pin-moulds/mucor,"hyaline vegetative hyphae; sporangial colour (yellowish to brownish-grey at maturity) is carotenoid-based, not melanin -- current vocab has no carotenoid value, see notes to user"
Phycomyces blakesleeanus,asexual_reproduction,sporangiospores,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/phycomyces-blakesleeanus,classic sporangiophore/sporangium asexual reproduction
Phycomyces blakesleeanus,pigmentation,non_melanized,https://academic.oup.com/femsre/article/25/5/503/499927,"hyaline vegetative hyphae; the intense orange-red sporangiophore colour is beta-carotene, not melanin -- current vocab has no carotenoid value, see notes to user"
Basidiobolus meristosporus,asexual_reproduction,conidia,https://drfungus.org/knowledge-base/basidiobolus-species/,forcibly discharged ballistoconidia; satellite colonies form from ejected conidia
Basidiobolus meristosporus,pigmentation,melanized,https://www.sciencedirect.com/topics/immunology-and-microbiology/zygospore,"zygospore walls are dark, round, thick-walled -- a genuinely melanized/pigmented structure"
Basidiobolus meristosporus,pigmentation,non_melanized,https://www.sciencedirect.com/topics/immunology-and-microbiology/zygospore,"conidia are hyaline, in contrast to the pigmented zygospore wall -- pigmentation differs by structure within this species; both rows are correct, not contradictory"
Spizellomyces punctatus,asexual_reproduction,sporangiospores,https://elifesciences.org/articles/52741,"motile flagellated zoospores released from a zoosporangium -- stretches this value's definition to cover the chytrid zoosporangial pattern; motility itself is captured separately by spore_motility=motile, not here. Flagged as a vocab-fit judgment call, not a clean match"
Lobosporangium transversale,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Lobosporangium transversale,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Synchytrium microbalum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Synchytrium microbalum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Synchytrium microbalum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call, see above"
Synchytrium microbalum,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-Plant Saprotroph"")"
Synchytrium microbalum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call, see above"
Gamsiella multidivaricata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Gamsiella multidivaricata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Linderina pennispora,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Linderina pennispora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Rhizophagus irregularis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Rhizophagus irregularis,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Symbiotroph"")"
Rhizophagus irregularis,plant_association,mycorrhizal_mutualist,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Arbuscular Mycorrhizal-Endophyte"") -- classic AM fungal model, high confidence even at genus level"
Umbelopsis ramanniana,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Umbelopsis ramanniana,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Kickxella alabastrina,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Kickxella alabastrina,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Batrachochytrium dendrobatidis,hyphal_septation,unicellular_rhizoidal,https://microbewiki.kenyon.edu/index.php/Batrachochytrium_dendrobatidis,sessile sporangium with hyphal-like rhizoids; no true hyphae (chytrid growth form)
Batrachochytrium dendrobatidis,spore_motility,motile,https://microbewiki.kenyon.edu/index.php/Batrachochytrium_dendrobatidis,"uniflagellated zoospore, 19-20um flagellum"
Batrachochytrium dendrobatidis,asexual_reproduction,sporangiospores,https://microbewiki.kenyon.edu/index.php/Batrachochytrium_dendrobatidis,motile flagellated zoospores released from a zoosporangium -- same vocab-fit judgment call as Spizellomyces punctatus (see that row's notes); reproduces asexually and clonally
Aspergillus nidulans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Aspergillus nidulans,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Aspergillus nidulans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Aspergillus nidulans,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Aspergillus nidulans,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph"")"
Aspergillus nidulans,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph"")"
Aspergillus nidulans,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph"")"
Fusarium graminearum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Fusarium graminearum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Fusarium graminearum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Fusarium graminearum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Fusarium graminearum,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Fusarium graminearum,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Fusarium graminearum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Fusarium graminearum,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
