locus	fam_a	fam_b	arch_a	arch_b	pident	aln_len	cov_a	cov_b
L001	H033	H035	NB-ARC	NB-ARC	98.0	196.0	0.501	1.0
L001	H033	H039	NB-ARC	NB-ARC	94.9	196.0	0.501	1.0
L001	H033	H048	NB-ARC	NPHP3_N				
L001	H033	H053	NB-ARC	NPHP3_N				
L001	H033	H060	NB-ARC	NPHP3_N				
L001	H034	H035	NB-ARC	NB-ARC	96.9	196.0	1.0	1.0
L001	H034	H039	NB-ARC	NB-ARC	99.0	196.0	1.0	1.0
L001	H034	H048	NB-ARC	NPHP3_N				
L001	H034	H053	NB-ARC	NPHP3_N				
L001	H034	H060	NB-ARC	NPHP3_N				
L001	H035	H039	NB-ARC	NB-ARC	95.9	196.0	1.0	1.0
L001	H035	H048	NB-ARC	NPHP3_N				
L001	H035	H053	NB-ARC	NPHP3_N				
L001	H035	H060	NB-ARC	NPHP3_N				
L001	H039	H048	NB-ARC	NPHP3_N				
L001	H039	H053	NB-ARC	NPHP3_N				
L001	H039	H060	NB-ARC	NPHP3_N				
L001	H048	H053	NPHP3_N	NPHP3_N	99.3	1037.0	0.815	0.615
L001	H048	H060	NPHP3_N	NPHP3_N	98.6	1037.0	0.815	0.65
L001	H053	H060	NPHP3_N	NPHP3_N	98.3	1037.0	0.615	0.65
L002	H009	H010	Goodbye	Goodbye	80.4	240.0	0.976	0.92
L002	H009	H011	Goodbye	Goodbye	86.5	245.0	1.0	1.0
L002	H009	H012	Goodbye	Goodbye	87.9	240.0	0.976	1.0
L002	H009	H013	Goodbye	Goodbye	74.0	123.0	0.502	0.769
L002	H009	H014	Goodbye	Goodbye	84.6	182.0	0.739	0.984
L002	H009	H015	Goodbye	Goodbye	100.0	123.0	0.502	0.774
L002	H009	H049	Goodbye	NPHP3_N				
L002	H009	H055	Goodbye	NPHP3_N				
L002	H009	H056	Goodbye	NPHP3_N				
L002	H009	H058	Goodbye	NPHP3_N				
L002	H009	H064	Goodbye	NPHP3_N				
L002	H010	H011	Goodbye	Goodbye	79.7	237.0	0.92	0.975
L002	H010	H012	Goodbye	Goodbye	91.6	237.0	0.92	1.0
L002	H010	H013	Goodbye	Goodbye	81.2	138.0	0.538	0.885
L002	H010	H014	Goodbye	Goodbye	99.4	179.0	0.713	0.984
L002	H010	H015	Goodbye	Goodbye	81.6	141.0	0.538	0.887
L002	H010	H049	Goodbye	NPHP3_N				
L002	H010	H055	Goodbye	NPHP3_N				
L002	H010	H056	Goodbye	NPHP3_N				
L002	H010	H058	Goodbye	NPHP3_N				
L002	H010	H064	Goodbye	NPHP3_N				
L002	H011	H012	Goodbye	Goodbye	74.2	240.0	0.975	1.0
L002	H011	H013	Goodbye	Goodbye	99.2	120.0	0.496	0.769
L002	H011	H014	Goodbye	Goodbye	84.9	185.0	0.76	1.0
L002	H011	H015	Goodbye	Goodbye	73.2	123.0	0.496	0.774
L002	H011	H049	Goodbye	NPHP3_N				
L002	H011	H055	Goodbye	NPHP3_N				
L002	H011	H056	Goodbye	NPHP3_N				
L002	H011	H058	Goodbye	NPHP3_N				
L002	H011	H064	Goodbye	NPHP3_N				
L002	H012	H013	Goodbye	Goodbye	71.6	141.0	0.595	0.885
L002	H012	H014	Goodbye	Goodbye	98.9	179.0	0.755	0.984
L002	H012	H015	Goodbye	Goodbye	94.3	141.0	0.595	0.887
L002	H012	H049	Goodbye	NPHP3_N				
L002	H012	H055	Goodbye	NPHP3_N				
L002	H012	H056	Goodbye	NPHP3_N				
L002	H012	H058	Goodbye	NPHP3_N				
L002	H012	H064	Goodbye	NPHP3_N				
L002	H013	H014	Goodbye	Goodbye	93.0	86.0	0.551	0.473
L002	H013	H015	Goodbye	Goodbye	79.9	159.0	1.0	1.0
L002	H013	H049	Goodbye	NPHP3_N				
L002	H013	H055	Goodbye	NPHP3_N				
L002	H013	H056	Goodbye	NPHP3_N				
L002	H013	H058	Goodbye	NPHP3_N				
L002	H013	H064	Goodbye	NPHP3_N				
L002	H014	H015	Goodbye	Goodbye	91.6	83.0	0.456	0.522
L002	H014	H049	Goodbye	NPHP3_N				
L002	H014	H055	Goodbye	NPHP3_N				
L002	H014	H056	Goodbye	NPHP3_N				
L002	H014	H058	Goodbye	NPHP3_N				
L002	H014	H064	Goodbye	NPHP3_N				
L002	H015	H049	Goodbye	NPHP3_N				
L002	H015	H055	Goodbye	NPHP3_N				
L002	H015	H056	Goodbye	NPHP3_N				
L002	H015	H058	Goodbye	NPHP3_N				
L002	H015	H064	Goodbye	NPHP3_N				
L002	H049	H055	NPHP3_N	NPHP3_N	94.6	56.0	0.142	0.533
L002	H049	H056	NPHP3_N	NPHP3_N	94.6	56.0	0.142	0.376
L002	H049	H058	NPHP3_N	NPHP3_N	96.3	383.0	0.972	0.567
L002	H049	H064	NPHP3_N	NPHP3_N	95.2	249.0	0.632	0.969
L002	H055	H056	NPHP3_N	NPHP3_N	100.0	74.0	0.705	0.497
L002	H055	H058	NPHP3_N	NPHP3_N	100.0	56.0	0.533	0.083
L002	H055	H064	NPHP3_N	NPHP3_N	100.0	56.0	0.533	0.218
L002	H056	H058	NPHP3_N	NPHP3_N	100.0	56.0	0.376	0.083
L002	H056	H064	NPHP3_N	NPHP3_N	100.0	56.0	0.376	0.218
L002	H058	H064	NPHP3_N	NPHP3_N	99.6	249.0	0.368	0.969
L003	H018	H020	Het-C	Het-C	100.0	81.0	0.102	1.0
L004	H026	H027	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	PNP_UDP-NPHP3_N-NACHT-WHD	100.0	832.0	0.61	0.986
L004	H026	H037	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	PNP_UDP-NPHP3_N-NACHT	98.5	598.0	0.439	0.992
L004	H026	H062	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	WHD-Ank	94.8	752.0	0.552	1.0
L004	H026	H063	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	WHD	97.7	221.0	0.162	0.948
L004	H027	H037	PNP_UDP-NPHP3_N-NACHT-WHD	PNP_UDP-NPHP3_N-NACHT	98.5	598.0	0.709	0.992
L004	H027	H062	PNP_UDP-NPHP3_N-NACHT-WHD	WHD-Ank	100.0	221.0	0.262	0.296
L004	H027	H063	PNP_UDP-NPHP3_N-NACHT-WHD	WHD	97.9	233.0	0.276	1.0
L004	H037	H062	PNP_UDP-NPHP3_N-NACHT	WHD-Ank				
L004	H037	H063	PNP_UDP-NPHP3_N-NACHT	WHD				
L004	H062	H063	WHD-Ank	WHD	97.7	221.0	0.296	0.948
L005	H050	H052	NPHP3_N-WHD	NPHP3_N-WHD	55.6	1561.0	0.99	0.987
L005	H050	H054	NPHP3_N-WHD	NPHP3_N-WHD	53.7	1576.0	1.0	0.996
L005	H050	H057	NPHP3_N-WHD	NPHP3_N-WHD	55.7	1119.0	0.711	0.991
L005	H050	H059	NPHP3_N-WHD	NPHP3_N-WHD	97.3	1177.0	0.764	1.0
L005	H052	H054	NPHP3_N-WHD	NPHP3_N-WHD	62.9	1568.0	0.99	0.989
L005	H052	H057	NPHP3_N-WHD	NPHP3_N-WHD	98.8	1123.0	0.713	1.0
L005	H052	H059	NPHP3_N-WHD	NPHP3_N-WHD	57.3	1194.0	0.754	0.997
L005	H054	H057	NPHP3_N-WHD	NPHP3_N-WHD	65.0	1113.0	0.703	0.988
L005	H054	H059	NPHP3_N-WHD	NPHP3_N-WHD	55.7	1197.0	0.754	0.998
L005	H057	H059	NPHP3_N-WHD	NPHP3_N-WHD	57.1	1119.0	0.991	0.933
L006	H047	H051	NPHP3_N-WHD	NPHP3_N-WHD	77.2	1607.0	0.999	0.983
L007	H001	H003	HET-Het6_barrel	HET-Het6_barrel	99.2	756.0	0.345	0.997
L007	H001	H004	HET-Het6_barrel	HET-Het6_barrel	99.2	475.0	0.217	1.0
L007	H001	H005	HET-Het6_barrel	HET-Het6_barrel	98.6	1182.0	0.54	1.0
L007	H003	H004	HET-Het6_barrel	HET-Het6_barrel	99.8	475.0	0.627	1.0
L007	H003	H005	HET-Het6_barrel	HET-Het6_barrel	99.7	756.0	0.997	0.643
L007	H004	H005	HET-Het6_barrel	HET-Het6_barrel	99.8	475.0	1.0	0.404
L008	H025	H028	Patatin-NB-ARC-TPR	NB-ARC-TPR	90.1	624.0	0.528	0.783
L012	H036	H038	Patatin-NB-ARC	NB-ARC	100.0	105.0	0.239	1.0
