label	family	Short	species	contig	start	overlapping_gene	overlapping_family	overlapping_is_het_nlr
H066	Phoenix_2|CE7BF4E_002155-T1	SOIL_574-2_L_NEW_CPA0042	Cp	scaffold_78	6875			False
H066	Phoenix_2|CE7BF4E_002155-T1	Tucson_11	Cp	scaffold_144	25404	Tucson_11|CACA1A7_008357-T1;Tucson_11|CACA1A7_008358-T1	Tucson_11|CACA1A7_008357-T1;H048	True
H009	SDVA10|CE292C0_000946-T1	Tucson_4	Cp	scaffold_17	480420	Tucson_4|C189EA8_004070-T1	730332_Guatemala|C45F23D_000803-T1	False
H029	SDVA38|CE6DD8A_000803-T1	407-0_S_OLD_CPA0002	Cp	scaffold_174	30486	407-0_S_OLD_CPA0002|C577643_008115-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	407-1_S_OLD_CPA0004	Cp	scaffold_174	30486	407-1_S_OLD_CPA0004|CC44035_008192-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	4545-MICE	Cp	scaffold_70	62210	4545-MICE|CB4077B_004406-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	485B-0_S_OLD_CPA0021	Cp	scaffold_147	31859	485B-0_S_OLD_CPA0021|CFE8A8D_007945-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	485B-4_S_NEW_CPA0029	Cp	scaffold_16	31883	485B-4_S_NEW_CPA0029|CFB3627_002161-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	730332_Guatemala	Cp	scaffold_97	17564	730332_Guatemala|C45F23D_001753-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	730333_Guatemala	Cp	scaffold_191	3609	730333_Guatemala|C537722_002942-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B0858-Guatemala	Cp	scaffold_237	31849	B0858-Guatemala|CBD0EE9_004206-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B10917	Cp	scaffold_237	3603	B10917|CF2C0CF_004525-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B11300	Cp	scaffold_47	53648	B11300|C7C73A6_003186-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B11871	Cp	scaffold_157	3761	B11871|CA42FC6_006420-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B12402	Cp	scaffold_122	53178	B12402|CA90374_004671-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B1249_Guatemala	Cp	scaffold_236	3596	B1249_Guatemala|C40D72F_004095-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B13535	Cp	scaffold_170	4019	B13535|C7AA01B_006732-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B14291	Cp	scaffold_146	3613	B14291|C086813_004753-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B14292	Cp	scaffold_26	53923	B14292|C2831F5_001372-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3292	Cp	scaffold_17	220499	B3292|C780200_002382-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3313	Cp	scaffold_115	54470	B3313|CDF0487_006975-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3326	Cp	scaffold_25	54452	B3326|CF96F29_003590-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3341	Cp	scaffold_59	41254	B3341|C5A12A5_006779-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3344	Cp	scaffold_56	147369	B3344|C50AAF5_005788-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3358	Cp	scaffold_99	45986	B3358|C57D771_007871-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3411	Cp	scaffold_41	54625	B3411|CBD318B_005458-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3413	Cp	scaffold_54	23672	B3413|C774DC9_006912-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3417	Cp	scaffold_4	54261	B3417|C574D2D_000828-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3482	Cp	scaffold_45	53829	B3482|C59F6A8_003560-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	B3491	Cp	scaffold_9	368832	B3491|C53B4A4_001568-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_103718	Cp	scaffold_206	2393	COCPO_103718|C99D653_005908-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_103721	Cp	scaffold_117	31894	COCPO_103721|CBC12DE_006259-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_103745	Cp	scaffold_186	8506	COCPO_103745|C8C19B1_007660-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_103827	Cp	scaffold_109	38488	COCPO_103827|CE5D4D2_006443-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_114029	Cp	scaffold_227	31911	COCPO_114029|CC428BB_006603-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_114072	Cp	scaffold_129	24543	COCPO_114072|CC7CCBF_007522-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_175712	Cp	scaffold_116	38518	COCPO_175712|C8DED30_006391-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_175715	Cp	scaffold_110	31858	COCPO_175715|C41446C_007129-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_175716	Cp	scaffold_122	23917	COCPO_175716|CF325A9_006627-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_185672	Cp	scaffold_127	20663	COCPO_185672|C8C6138_007856-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_195880	Cp	scaffold_115	45849	COCPO_195880|C47BA23_006778-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_195881	Cp	scaffold_1098	3593	COCPO_195881|C49B345_006847-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_195884	Cp	scaffold_149	38772	COCPO_195884|C21315E_007037-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_34698	Cp	scaffold_163	30482	COCPO_34698|C69E555_006905-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_4545	Cp	scaffold_113	47169	COCPO_4545|C8A5046_007092-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCPO_Galgiani	Cp	scaffold_19	152794	COCPO_Galgiani|CF9E767_003752-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	COCSP_8725	Cp	scaffold_117	49963	COCSP_8725|CCC6481_006690-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	FMC233	Cp	scaffold_160	3606	FMC233|C6DECAF_007334-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	FMC718	Cp	scaffold_104	30571	FMC718|CF12C77_002547-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-101	Cp	scaffold_152	47252	GT-101|C4EFBB3_007925-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-102	Cp	scaffold_182	31825	GT-102|C09FE22_007505-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-106	Cp	scaffold_63	101871	GT-106|C4E1ADA_006355-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-120	Cp	scaffold_99	47665	GT-120|CA6F563_006723-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-134	Cp	scaffold_101	47672	GT-134|CE60774_007549-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-136	Cp	scaffold_99	31817	GT-136|C825514_007278-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-142	Cp	scaffold_24	57081	GT-142|CC1B69C_003297-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-164	Cp	scaffold_115	40457	GT-164|C437F43_007102-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	GT-168	Cp	scaffold_106	45907	GT-168|C1BCFDC_007268-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	IL1	Cp	scaffold_109	30501	IL1|C81A900_005967-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	J_TORRES	Cp	scaffold_236	1688	J_TORRES|C4D46D2_007779-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M191	Cp	scaffold_41	104215	M191|C1F3852_003619-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M198	Cp	scaffold_38	136705	M198|C35C849_003625-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M199	Cp	scaffold_87	41158	M199|C82F880_006309-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M200	Cp	scaffold_98	47458	M200|CBE0E26_006280-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M201	Cp	scaffold_14	119472	M201|C283492_002463-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M211	Cp	scaffold_78	87456	M211|CBC9D59_005558-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M214	Cp	scaffold_27	205388	M214|CEF67E7_004948-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M215	Cp	scaffold_57	87694	M215|C5CE257_006683-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M219	Cp	scaffold_85	54539	M219|CEF20B7_005510-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	M222	Cp	scaffold_60	87396	M222|CDCA80C_007457-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	NACVFR_2566	Cp	scaffold_35	47647	NACVFR_2566|C944296_001245-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	NACVFR_4542	Cp	scaffold_120	47163	NACVFR_4542|CCCEDD3_005798-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	NM_0369	Cp	scaffold_86	56638	NM_0369|CB04693_004954-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	NM_4708	Cp	scaffold_36	47576	NM_4708|C071C1A_003787-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	NM_5945	Cp	scaffold_99	53082	NM_5945|C37DB6B_006149-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	NM_9837	Cp	scaffold_57	74687	NM_9837|CEFF44F_004138-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	Nuevo_Leon_2	Cp	scaffold_89	56437	Nuevo_Leon_2|CB39D8F_002961-T1	H030	True
H029	SDVA38|CE6DD8A_000803-T1	Phoenix_7	Cp	scaffold_77	57064	Phoenix_7|CEAC1FB_007923-T1	H030	True
