locus	families	n_markers	markers	Ci_occupied	Ci_empty_site	Ci_unresolved	Ci_no_marker	Ci_empty_site+rescue	Ci_unresolved+rescue	Ci_no_marker+rescue	Ci_occupied_by_other_family_only	Cp_occupied	Cp_empty_site	Cp_unresolved	Cp_no_marker	Cp_empty_site+rescue	Cp_unresolved+rescue	Cp_no_marker+rescue	Cp_occupied_by_other_family_only	Ci_resolved	Cp_resolved	Ci_occ_frac_resolved	Cp_occ_frac_resolved	fisher_p_resolved	bh_q_resolved	poly_within	poly_between	family_classes	architectures	n_members_total
L011	H002	0																								False	False	HET_domain:1	HET	275
L012	H036,H038	2	COCPO_103720|CF3BF55_004241-T1,B11080|C6468CC_001073-T1	6.0	105.0	58.0	0.0	0.0	0.0	0.0	1.0	17.0	169.0	81.0	93.0	0.0	0.0	0.0	0.0	111.0	186.0	0.054	0.091	0.27169400785513614	1.0	True	False	NLR_NOD:2	NB-ARC;Patatin-NB-ARC	23
L013	H040,H045	6	485B-0_S_OLD_CPA0021|CFE8A8D_000054-T1,578-1_L_NEW_CPA0049|C79DB71_000223-T1,5SD|CCCC1E1_002176-T1,5SD|CCCC1E1_002178-T1,5SD|CCCC1E1_002184-T1,M1_5|C13DF1D_000163-T1	1.0	96.0	71.0	1.0	0.0	0.0	0.0	0.0	4.0	169.0	186.0	0.0	0.0	1.0	0.0	0.0	97.0	173.0	0.01	0.023	0.6572559757852956	1.0	False	False	NLR_NOD:2	NB-ARC	6
L014	H021	0																								False	False	Het-C:1	Het-C	3
L015	H007	0																								False	False	HET_domain:1	HET	2
L016	H008	0																								False	False	HET_domain:1	HET	1
L017	H023	0																								False	False	Het-C:1	Het-C	1
L018	H081	0																								False	False	NLR_accessory_only:1	NPHP3_N	1
L019	H082	0																								False	False	NLR_accessory_only:1	NPHP3_N	1
L020	H084	0																								False	False	NLR_accessory_only:1	NPHP3_N	1
