label	family	locus	island_n_strains	example_strain	island_size	n_supporting_pairs	classifications	locus_id	locus_contig	locus_start	locus_end	pfam_domains
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-105	29	263	ambiguous_linkage,unexplained_physical	GT-105:scaffold_85:646-84312	scaffold_85	646	84312	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	RS	29	228	ambiguous_linkage,unexplained_physical	RS:scaffold_114:6209-91186	scaffold_114	6209	91186	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA5	29	260	ambiguous_linkage,unexplained_physical	SDVA5:scaffold_70:63958-146001	scaffold_70	63958	146001	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X242	29	228	ambiguous_linkage,unexplained_physical	UTAH_23742X242:scaffold_66:23358-108340	scaffold_66	23358	108340	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B14298	28	230	ambiguous_linkage,unexplained_physical	B14298:scaffold_70:43319-125359	scaffold_70	43319	125359	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_20380X10	28	243	ambiguous_linkage,unexplained_physical	UTAH_20380X10:scaffold_15:16919-142210	scaffold_15	16919	142210	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA41	27	224	ambiguous_linkage,unexplained_physical	SDVA41:scaffold_72:4921-87121	scaffold_72	4921	87121	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B11057	26	188	ambiguous_linkage,unexplained_physical	B11057:scaffold_62:1280-87794	scaffold_62	1280	87794	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H038	SDVA10|CE292C0_006993-T1	L012	1	B3213	25	1	unexplained_physical	B3213:scaffold_78:50771-89514	scaffold_78	50771	89514	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,SMC_N
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X138	25	174	ambiguous_linkage,unexplained_physical	UTAH_23742X138:scaffold_25:22390-137985	scaffold_25	22390	137985	APH,Amidoligase_2,DUF3435,DUF6540,Ferric_reduct,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H036	UTAH_20380X1|CF4A409_007973-T1	L012	2	Phoenix_9	24	1	unexplained_physical	Phoenix_9:scaffold_91:32815-71578	scaffold_91	32815	71578	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,SMC_N
H038	SDVA10|CE292C0_006993-T1	L012	1	B14286	24	1	unexplained_physical	-	-	-	-	Chitin_bind_1,DUF7582,FAD_binding_8,Ferric_reduct,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,SMC_N
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B15145	24	169	ambiguous_linkage,unexplained_physical	B15145:scaffold_34:36954-173699	scaffold_34	36954	173699	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H038	SDVA10|CE292C0_006993-T1	L012	1	SDVA8	24	3	unexplained_physical	SDVA8:scaffold_97:50712-89433	scaffold_97	50712	89433	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,SMC_N
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	TX2	24	1	unexplained_physical	TX2:scaffold_96:33323-72246	scaffold_96	33323	72246	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Pkinase,SMC_N
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	UTAH_23742X51	24	1	unexplained_physical	UTAH_23742X51:scaffold_94:15181-54111	scaffold_94	15181	54111	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Pkinase,SMC_N
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B15368	23	180	ambiguous_linkage,unexplained_physical	B15368:scaffold_55:22594-149380	scaffold_55	22594	149380	APH,Amidoligase_2,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	B16692	23	1	unexplained_physical	B16692:scaffold_178:13892-51622	scaffold_178	13892	51622	Chitin_bind_1,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Pkinase,SRF-TF
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	GT-120	23	1	unexplained_physical	GT-120:scaffold_112:33315-72061	scaffold_112	33315	72061	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,SMC_N
H038	SDVA10|CE292C0_006993-T1	L012	1	SDVA10	23	1	unexplained_physical	SDVA10:scaffold_110:9165-47884	scaffold_110	9165	47884	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	Sonora_1	23	3	unexplained_physical	Sonora_1:scaffold_141:195-35643	scaffold_141	195	35643	Chitin_bind_1,FAD_binding_8,Glyco_hydro_18,Myb_DNA-bind_5,NAD_binding_6,Patatin
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	UTAH_23742X163	23	1	unexplained_physical	UTAH_23742X163:scaffold_98:9170-47958	scaffold_98	9170	47958	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	UTAH_23742X19	23	1	unexplained_physical	UTAH_23742X19:scaffold_106:48443-87232	scaffold_106	48443	87232	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,SMC_N
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCPO_175716	22	19	ambiguous_linkage,unexplained_physical	COCPO_175716:scaffold_157:15520-51030	scaffold_157	15520	51030	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M199	22	25	ambiguous_linkage,unexplained_physical	M199:scaffold_41:139083-173995	scaffold_41	139083	173995	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M215	22	25	ambiguous_linkage,unexplained_physical	M215:scaffold_98:34519-69441	scaffold_98	34519	69441	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA3	22	166	ambiguous_linkage,unexplained_physical	SDVA3:scaffold_104:3753-84963	scaffold_104	3753	84963	APH,Amidoligase_2,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	UTAH_23742X165	22	1	unexplained_physical	UTAH_23742X165:scaffold_87:9173-48057	scaffold_87	9173	48057	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X170	22	140	ambiguous_linkage,unexplained_physical	UTAH_23742X170:scaffold_63:1370-126629	scaffold_63	1370	126629	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X257	22	114	ambiguous_linkage,unexplained_physical	UTAH_23742X257:scaffold_56:86886-152293	scaffold_56	86886	152293	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	UTAH_31331	22	1	unexplained_physical	UTAH_31331:scaffold_104:8996-47783	scaffold_104	8996	47783	Chitin_bind_1,DUF7582,FAD_binding_8,Glyco_hydro_18,Kdo,Kinase-like,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B13981	21	24	ambiguous_linkage,unexplained_physical	B13981:scaffold_106:30791-79985	scaffold_106	30791	79985	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA27	21	103	ambiguous_linkage,unexplained_physical	CA27:scaffold_117:7777-73186	scaffold_117	7777	73186	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCPO_Galgiani	21	24	ambiguous_linkage,unexplained_physical	COCPO_Galgiani:scaffold_25:310426-347778	scaffold_25	310426	347778	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M214	21	25	ambiguous_linkage,unexplained_physical	M214:scaffold_33:164517-268794	scaffold_33	164517	268794	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M222	21	28	ambiguous_linkage,unexplained_physical	M222:scaffold_63:2085-108765	scaffold_63	2085	108765	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,Beta-lactamase,COesterase,DUF4100,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	NM_3006	21	23	ambiguous_linkage,unexplained_physical	NM_3006:scaffold_136:19696-55204	scaffold_136	19696	55204	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	S_742	21	23	ambiguous_linkage,unexplained_physical	S_742:scaffold_135:2289-44883	scaffold_135	2289	44883	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCPO_114072	20	16	ambiguous_linkage,unexplained_physical	COCPO_114072:scaffold_126:1916-37439	scaffold_126	1916	37439	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA42	20	21	ambiguous_linkage,unexplained_physical	SDVA42:scaffold_103:37197-83697	scaffold_103	37197	83697	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B11873	19	112	ambiguous_linkage,unexplained_physical	B11873:scaffold_85:813-66209	scaffold_85	813	66209	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B3227	19	24	ambiguous_linkage,unexplained_physical	B3227:scaffold_105:1928-48463	scaffold_105	1928	48463	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCPO_185672	19	11	ambiguous_linkage,unexplained_physical	COCPO_185672:scaffold_124:25779-51134	scaffold_124	25779	51134	Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M197	19	29	ambiguous_linkage,unexplained_physical	M197:scaffold_78:1974-109007	scaffold_78	1974	109007	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA25	19	23	ambiguous_linkage,unexplained_physical	SDVA25:scaffold_108:2013-37561	scaffold_108	2013	37561	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	S_671	19	23	ambiguous_linkage,unexplained_physical	S_671:scaffold_133:144-44860	scaffold_133	144	44860	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	485B-1_L_OLD_CPA0023	18	23	ambiguous_linkage,unexplained_physical	485B-1_L_OLD_CPA0023:scaffold_15:312088-344673	scaffold_15	312088	344673	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12226	18	22	ambiguous_linkage,unexplained_physical	B12226:scaffold_40:1918-62194	scaffold_40	1918	62194	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12475	18	20	ambiguous_linkage,unexplained_physical	B12475:scaffold_100:28654-85177	scaffold_100	28654	85177	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B14134	18	23	ambiguous_linkage,unexplained_physical	B14134:scaffold_87:968-60230	scaffold_87	968	60230	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B3341	18	23	ambiguous_linkage,unexplained_physical	B3341:scaffold_119:1914-37462	scaffold_119	1914	37462	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCSP_8725	18	23	ambiguous_linkage,unexplained_physical	COCSP_8725:scaffold_130:238-45026	scaffold_130	238	45026	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	NM_5945	18	23	ambiguous_linkage,unexplained_physical	NM_5945:scaffold_126:6488-49086	scaffold_126	6488	49086	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA16	18	21	ambiguous_linkage,unexplained_physical	SDVA16:scaffold_111:37197-83689	scaffold_111	37197	83689	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	S_673	18	23	ambiguous_linkage,unexplained_physical	S_673:scaffold_108:146-44864	scaffold_108	146	44864	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	S_675	18	17	ambiguous_linkage,unexplained_physical	S_675:scaffold_61:1924-44524	scaffold_61	1924	44524	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	6	GT-136	17	23	ambiguous_linkage,unexplained_physical	GT-136:scaffold_132:3810-46411	scaffold_132	3810	46411	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	B10919	17	3	unexplained_physical	B10919:scaffold_221:34-26648	scaffold_221	34	26648	Chitin_bind_1,FAD_binding_8,Glyco_hydro_18,Myb_DNA-bind_5,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	S_672	17	24	ambiguous_linkage,unexplained_physical	S_672:scaffold_104:30099-72692	scaffold_104	30099	72692	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Tucson_24	17	24	ambiguous_linkage,unexplained_physical	Tucson_24:scaffold_30:209958-245479	scaffold_30	209958	245479	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X144	17	12	unexplained_physical	UTAH_23742X144:scaffold_74:28110-71126	scaffold_74	28110	71126	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	UTAH_23742X40	17	1	unexplained_physical	UTAH_23742X40:scaffold_152:1014-28849	scaffold_152	1014	28849	Chitin_bind_1,FAD_binding_8,Glyco_hydro_18,Myb_DNA-bind_5,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	730334_Guatemala	16	11	unexplained_physical	730334_Guatemala:scaffold_11:111-100391	scaffold_11	111	100391	APH,Amidoligase_2,Beta-lactamase,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B3439	16	28	ambiguous_linkage,unexplained_physical	B3439:scaffold_86:2274-70175	scaffold_86	2274	70175	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA24	16	36	unexplained_physical	CA24:scaffold_64:2190-102431	scaffold_64	2190	102431	APH,ATP-grasp_4,ATP_transf,ATPgrasp_N,Amidoligase_2,Ap4A_phos_N,Epimerase,Fung_rhodopsin,GDP_Man_Dehyd,GGACT,HET,LCCL,NmrA,PTR2
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA3	16	44	unexplained_physical	CA3:scaffold_31:50215-150448	scaffold_31	50215	150448	APH,ATP-grasp_4,ATP_transf,ATPgrasp_N,Amidoligase_2,Ap4A_phos_N,Epimerase,Fung_rhodopsin,GDP_Man_Dehyd,GGACT,HET,LCCL,NmrA,PTR2
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	EMS	16	15	ambiguous_linkage,unexplained_physical	EMS:scaffold_279:1948-27302	scaffold_279	1948	27302	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-017	16	12	unexplained_physical	GT-017:scaffold_112:10929-48016	scaffold_112	10929	48016	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M198	16	22	ambiguous_linkage,unexplained_physical	M198:scaffold_110:2557-70027	scaffold_110	2557	70027	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	NM_4233	16	29	ambiguous_linkage,unexplained_physical	NM_4233:scaffold_115:16698-84582	scaffold_115	16698	84582	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
