locus	species	combination	Short	contig	idx	start	end	member	family_label	is_marker	bin	het_architecture	rep_pfam
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	44	128545	130834	UTAH_20380X16|CAD5A21_007436-T1		False	core		Aa_trans
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	45	131577	132315	UTAH_20380X16|CAD5A21_007437-T1		True	core		MPC
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	46	133102	134110	UTAH_20380X16|CAD5A21_007438-T1		True	core		LSM
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	47	134289	135203	UTAH_20380X16|CAD5A21_007439-T1		False	soft_core		Ribosomal_L5,Ribosomal_L5_C
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	48	136214	136923	UTAH_20380X16|CAD5A21_007440-T1		False	core		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	49	140050	142501	UTAH_20380X16|CAD5A21_007441-T1		False	core		GATase,GMP_synt_C,NAD_synthase,Peptidase_C26
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	50	144871	145203	UTAH_20380X16|CAD5A21_007444-T1		False	shell		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	51	148684	149712	UTAH_20380X16|CAD5A21_007446-T1		False	core		SMase_D_PLipase_D
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	52	152159	152923	UTAH_20380X16|CAD5A21_007447-T1		False	shell		DUF7779
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	53	153156	153893	UTAH_20380X16|CAD5A21_007448-T1		False	shell		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	54	155763	156731	UTAH_20380X16|CAD5A21_007449-T1		False	shell		DUF6601
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	55	157045	161630	UTAH_20380X16|CAD5A21_007450-T1	H048	False	shell	NPHP3_N	DUF7104,NPHP3_N
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	56	162344	166115	UTAH_20380X16|CAD5A21_007451-T1		False	core		Biotin_carb_C,Biotin_lipoyl,CPSase_L_D2,HMGL-like,PYC_OADA
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	57	167529	167837	UTAH_20380X16|CAD5A21_007452-T1		False	shell		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	58	168171	173665	UTAH_20380X16|CAD5A21_007453-T1		False	core		Clathrin,Clathrin_H_link,Clathrin_propel
L001	Cp	H030	B3413	scaffold_54	7	16231	17183	B3413|C774DC9_006909-T1		False	singleton		
L001	Cp	H030	B3413	scaffold_54	8	20211	20480	B3413|C774DC9_006910-T1		False	cloud		
L001	Cp	H030	B3413	scaffold_54	9	21205	22396	B3413|C774DC9_006911-T1		True	core		Aspzincin_M35,Peptidase_M35
L001	Cp	H030	B3413	scaffold_54	10	23594	24046	B3413|C774DC9_006912-T1	H030	False	singleton	NB-ARC	NB-ARC
L001	Cp	H030	B3413	scaffold_54	11	25189	25683	B3413|C774DC9_006913-T1		True	core		
L001	Cp	H030	B3413	scaffold_54	12	28834	31300	B3413|C774DC9_006914-T1		False	core		Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
L001	Cp	H030	B3413	scaffold_54	13	33170	33684	B3413|C774DC9_006915-T1		False	core		Ribosomal_L38e
L001	Cp	H031	B3245	scaffold_26	43	122692	125939	B3245|CED469C_004956-T1		False	core		
L001	Cp	H031	B3245	scaffold_26	44	126672	126941	B3245|CED469C_004957-T1		False	cloud		
L001	Cp	H031	B3245	scaffold_26	45	127666	128857	B3245|CED469C_004958-T1		True	core		Aspzincin_M35,Peptidase_M35
L001	Cp	H031	B3245	scaffold_26	46	129858	130505	B3245|CED469C_004959-T1	H031	False	singleton	NB-ARC	NB-ARC
L001	Cp	H031	B3245	scaffold_26	47	131648	132142	B3245|CED469C_004960-T1		True	core		
L001	Cp	H031	B3245	scaffold_26	48	135300	137766	B3245|CED469C_004961-T1		False	core		Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
L001	Cp	H031	B3245	scaffold_26	49	139636	140150	B3245|CED469C_004962-T1		False	core		Ribosomal_L38e
L001	Cp	H032	B3368	scaffold_74	14	50808	52251	B3368|CDD87E0_006970-T1		False	singleton		
L001	Cp	H032	B3368	scaffold_74	15	54788	55057	B3368|CDD87E0_006971-T1		False	cloud		
L001	Cp	H032	B3368	scaffold_74	16	55782	56973	B3368|CDD87E0_006972-T1		True	core		Aspzincin_M35,Peptidase_M35
L001	Cp	H032	B3368	scaffold_74	17	57974	58621	B3368|CDD87E0_006973-T1	H032	False	singleton	NB-ARC	NB-ARC
L001	Cp	H032	B3368	scaffold_74	18	59764	60258	B3368|CDD87E0_006974-T1		True	core		
L001	Cp	H032	B3368	scaffold_74	19	63457	65923	B3368|CDD87E0_006975-T1		False	core		Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
L001	Cp	H032	B3368	scaffold_74	20	67793	68307	B3368|CDD87E0_006976-T1		False	core		Ribosomal_L38e
L002	Ci	H056	UTAH_20380X16	scaffold_7	81	438843	440508	UTAH_20380X16|CAD5A21_002620-T1		False	core		Aa_trans
L002	Ci	H056	UTAH_20380X16	scaffold_7	82	441596	443914	UTAH_20380X16|CAD5A21_002621-T1		False	core		
L002	Ci	H056	UTAH_20380X16	scaffold_7	83	444228	444671	UTAH_20380X16|CAD5A21_002622-T1		False	core		
L002	Ci	H056	UTAH_20380X16	scaffold_7	84	444852	445301	UTAH_20380X16|CAD5A21_002623-T1	H056	False	shell	NPHP3_N	NPHP3_N
L002	Ci	H056	UTAH_20380X16	scaffold_7	85	447312	449045	UTAH_20380X16|CAD5A21_002624-T1		False	core		LANC_like
L002	Ci	H056	UTAH_20380X16	scaffold_7	86	449200	452626	UTAH_20380X16|CAD5A21_002625-T1		True	core		CBF
L002	Ci	H056	UTAH_20380X16	scaffold_7	87	452891	455263	UTAH_20380X16|CAD5A21_002626-T1		True	core		HGTP_anticodon,tRNA-synt_2b
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	44	122376	124748	UTAH_20380X10|CE3D476_007763-T1		True	core		HGTP_anticodon,tRNA-synt_2b
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	45	125013	128439	UTAH_20380X10|CE3D476_007764-T1		True	core		CBF
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	46	128594	130327	UTAH_20380X10|CE3D476_007765-T1		False	core		LANC_like
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	47	131502	132369	UTAH_20380X10|CE3D476_007766-T1	H010	False	shell	Goodbye	Goodbye
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	48	132405	132787	UTAH_20380X10|CE3D476_007767-T1	H055	False	shell	NPHP3_N	NPHP3_N
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	49	132968	133411	UTAH_20380X10|CE3D476_007768-T1		False	core		
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	50	133725	136043	UTAH_20380X10|CE3D476_007769-T1		False	core		
L002	Ci	H010,H055	UTAH_20380X10	scaffold_42	51	137131	138796	UTAH_20380X10|CE3D476_007770-T1		False	core		Aa_trans
L002	Ci	H055	UTAH_23742X235	scaffold_69	10	22685	26111	UTAH_23742X235|C16CCE9_006856-T1		True	core		CBF
L002	Ci	H055	UTAH_23742X235	scaffold_69	11	26266	27999	UTAH_23742X235|C16CCE9_006857-T1		False	core		LANC_like
L002	Ci	H055	UTAH_23742X235	scaffold_69	12	29410	30041	UTAH_23742X235|C16CCE9_006858-T1		False	cloud		
L002	Ci	H055	UTAH_23742X235	scaffold_69	13	30077	30459	UTAH_23742X235|C16CCE9_006859-T1	H055	False	shell	NPHP3_N	NPHP3_N
L002	Ci	H055	UTAH_23742X235	scaffold_69	14	30640	31083	UTAH_23742X235|C16CCE9_006860-T1		False	core		
L002	Ci	H055	UTAH_23742X235	scaffold_69	15	31397	33715	UTAH_23742X235|C16CCE9_006861-T1		False	core		
L002	Ci	H055	UTAH_23742X235	scaffold_69	16	34803	36468	UTAH_23742X235|C16CCE9_006862-T1		False	core		Aa_trans
L002	Cp	H049	B3375	scaffold_22	27	67756	71176	B3375|C769598_004381-T1		True	core		CBF
L002	Cp	H049	B3375	scaffold_22	28	71332	73075	B3375|C769598_004382-T1		False	core		LANC_like
L002	Cp	H049	B3375	scaffold_22	29	75058	75282	B3375|C769598_004383-T1		False	cloud		
L002	Cp	H049	B3375	scaffold_22	30	75513	76886	B3375|C769598_004384-T1	H049	False	singleton	NPHP3_N	NPHP3_N
L002	Cp	H049	B3375	scaffold_22	31	77006	77686	B3375|C769598_004385-T1		False	singleton		
L002	Cp	H049	B3375	scaffold_22	32	77705	78127	B3375|C769598_004386-T1		False	singleton		
L002	Cp	H049	B3375	scaffold_22	33	78321	78707	B3375|C769598_004387-T1		False	singleton		
L002	Cp	H009,H049	M221	scaffold_52	13	38045	40417	M221|CDACC35_006466-T1		True	core		HGTP_anticodon,tRNA-synt_2b
L002	Cp	H009,H049	M221	scaffold_52	14	40683	44103	M221|CDACC35_006467-T1		True	core		CBF
L002	Cp	H009,H049	M221	scaffold_52	15	44259	46002	M221|CDACC35_006468-T1		False	core		LANC_like
L002	Cp	H009,H049	M221	scaffold_52	16	47312	48207	M221|CDACC35_006469-T1	H009	False	singleton	Goodbye	Goodbye
L002	Cp	H009,H049	M221	scaffold_52	17	48438	49811	M221|CDACC35_006470-T1	H049	False	singleton	NPHP3_N	NPHP3_N
L002	Cp	H009,H049	M221	scaffold_52	18	49931	50611	M221|CDACC35_006471-T1		False	singleton		
L002	Cp	H009,H049	M221	scaffold_52	19	50630	51052	M221|CDACC35_006472-T1		False	singleton		
L002	Cp	H009,H049	M221	scaffold_52	20	51246	51632	M221|CDACC35_006473-T1		False	singleton		
L002	Cp	H011,H058	B3413	scaffold_1	70	343286	344841	B3413|C774DC9_000074-T1		False	core		GCV_T,GCV_T_C
L002	Cp	H011,H058	B3413	scaffold_1	71	345325	347121	B3413|C774DC9_000075-T1		False	core		Aa_trans
L002	Cp	H011,H058	B3413	scaffold_1	72	348245	349423	B3413|C774DC9_000076-T1		False	singleton		
L002	Cp	H011,H058	B3413	scaffold_1	73	349442	351615	B3413|C774DC9_000077-T1	H058	False	singleton	NPHP3_N	NPHP3_N
L002	Cp	H011,H058	B3413	scaffold_1	74	351846	352740	B3413|C774DC9_000078-T1	H011	False	cloud	Goodbye	Goodbye
L002	Cp	H011,H058	B3413	scaffold_1	75	354021	354979	B3413|C774DC9_000079-T1		False	singleton		LANC_like
L002	Cp	H011,H058	B3413	scaffold_1	76	355360	355764	B3413|C774DC9_000080-T1		False	singleton		
L002	Cp	H011,H058	B3413	scaffold_1	77	355920	359340	B3413|C774DC9_000081-T1		True	core		CBF
L003	Ci	H018	UTAH_20380X16	scaffold_13	139	512302	513210	UTAH_20380X16|CAD5A21_004403-T1		True	core		SNARE
L003	Ci	H018	UTAH_20380X16	scaffold_13	140	513835	515254	UTAH_20380X16|CAD5A21_004404-T1		True	core		zf-C3HC4,zf-RING_5,zf-RING_UBOX
L003	Ci	H018	UTAH_20380X16	scaffold_13	141	515628	516493	UTAH_20380X16|CAD5A21_004405-T1		True	core		DUF8768
L003	Ci	H018	UTAH_20380X16	scaffold_13	142	518150	520807	UTAH_20380X16|CAD5A21_004406-T1	H018	True	core	Het-C	Het-C
L003	Ci	H018	UTAH_20380X16	scaffold_13	143	521588	524861	UTAH_20380X16|CAD5A21_004407-T1		False	soft_core		HEAT_IPO9_c,IBN_N
L003	Ci	H018	UTAH_20380X16	scaffold_13	144	527733	528803	UTAH_20380X16|CAD5A21_004408-T1		False	soft_core		HORMA
L003	Ci	H018	UTAH_20380X16	scaffold_13	145	529792	531021	UTAH_20380X16|CAD5A21_004409-T1		False	core		
L003	Ci	H018,H020	GT-128	scaffold_41	7	16882	17387	GT-128|C01BA78_005088-T1		False	cloud		
L003	Ci	H018,H020	GT-128	scaffold_41	8	20824	22301	GT-128|C01BA78_005089-T1		False	cloud		
L003	Ci	H018,H020	GT-128	scaffold_41	9	22512	24095	GT-128|C01BA78_005090-T1		False	cloud		HEAT_IPO9_c
L003	Ci	H018,H020	GT-128	scaffold_41	10	25114	25440	GT-128|C01BA78_005091-T1	H020	False	cloud	Het-C	Het-C
L003	Ci	H018,H020	GT-128	scaffold_41	11	25762	27771	GT-128|C01BA78_005092-T1	H018	True	core	Het-C	Het-C
L003	Ci	H018,H020	GT-128	scaffold_41	12	29486	30351	GT-128|C01BA78_005093-T1		True	core		DUF8768
L003	Ci	H018,H020	GT-128	scaffold_41	13	30725	32144	GT-128|C01BA78_005094-T1		True	core		zf-C3HC4,zf-RING_5,zf-RING_UBOX
L003	Ci	H018,H020	GT-128	scaffold_41	14	32769	33678	GT-128|C01BA78_005095-T1		True	core		SNARE
L003	Ci	H022	h5384	scaffold_64	0	310	2653	h5384|CAF011E_004710-T1	H022	False	cloud	Het-C	Het-C
L003	Ci	H022	h5384	scaffold_64	1	4693	5558	h5384|CAF011E_004711-T1		True	core		DUF8768
L003	Ci	H022	h5384	scaffold_64	2	5932	7351	h5384|CAF011E_004712-T1		True	core		zf-C3HC4,zf-RING_5,zf-RING_UBOX
L003	Ci	H022	h5384	scaffold_64	3	7976	8884	h5384|CAF011E_004713-T1		True	core		SNARE
L003	Cp	H018	B3411	scaffold_31	80	239119	240025	B3411|CBD318B_004718-T1		True	core		SNARE
L003	Cp	H018	B3411	scaffold_31	81	240658	242077	B3411|CBD318B_004719-T1		True	core		zf-C3HC4,zf-RING_5,zf-RING_UBOX
L003	Cp	H018	B3411	scaffold_31	82	242449	243315	B3411|CBD318B_004720-T1		True	core		DUF8768
L003	Cp	H018	B3411	scaffold_31	83	245075	247726	B3411|CBD318B_004721-T1	H018	True	core	Het-C	Het-C
L003	Cp	H018	B3411	scaffold_31	84	248519	251793	B3411|CBD318B_004722-T1		False	soft_core		HEAT_IPO9_c,IBN_N
L003	Cp	H018	B3411	scaffold_31	85	254675	255742	B3411|CBD318B_004723-T1		False	soft_core		HORMA
L003	Cp	H018	B3411	scaffold_31	86	257239	259571	B3411|CBD318B_004724-T1		False	core		IBR,Rcat_RNF216
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	22	63121	65453	COCPO_Galgiani|CF9E767_006263-T1		False	core		IBR,Rcat_RNF216
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	23	66948	68015	COCPO_Galgiani|CF9E767_006264-T1		False	soft_core		HORMA
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	24	70894	74193	COCPO_Galgiani|CF9E767_006265-T1		False	soft_core		HEAT_IPO9_c,IBN_N
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	25	75012	75337	COCPO_Galgiani|CF9E767_006266-T1	H020	False	cloud	Het-C	Het-C
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	26	75659	77662	COCPO_Galgiani|CF9E767_006267-T1	H018	True	core	Het-C	Het-C
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	27	79347	80224	COCPO_Galgiani|CF9E767_006268-T1		True	core		DUF8768
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	28	80596	82015	COCPO_Galgiani|CF9E767_006269-T1		True	core		zf-C3HC4,zf-RING_5,zf-RING_UBOX
L003	Cp	H018,H020	COCPO_Galgiani	scaffold_43	29	82647	83556	COCPO_Galgiani|CF9E767_006270-T1		True	core		SNARE
L003	Cp	H018,H020,H050	M199	scaffold_21	29	96609	98524	M199|C82F880_002338-T1		False	core		p450
L003	Cp	H018,H020,H050	M199	scaffold_21	30	100739	101825	M199|C82F880_002339-T1		False	shell		MFS_1
L003	Cp	H018,H020,H050	M199	scaffold_21	31	102080	102574	M199|C82F880_002340-T1		False	singleton		MFS_1
L003	Cp	H018,H020,H050	M199	scaffold_21	32	103208	108258	M199|C82F880_002341-T1	H050	False	shell	NPHP3_N-WHD	NPHP3_N,PGAP1,WHD_GPIID
L003	Cp	H018,H020,H050	M199	scaffold_21	33	109016	110627	M199|C82F880_002342-T1		False	shell		APH,Fructosamin_kin
L003	Cp	H018,H020,H050	M199	scaffold_21	34	111017	112360	M199|C82F880_002343-T1		False	core		2OG-FeII_Oxy,DIOX_N
L003	Cp	H018,H020,H050	M199	scaffold_21	35	113627	115047	M199|C82F880_002344-T1		False	core		Metallophos
L003	Cp	H018,H020,H050	M199	scaffold_6	3	4775	5684	M199|C82F880_000784-T1		True	core		SNARE
L003	Cp	H018,H020,H050	M199	scaffold_6	4	6316	7735	M199|C82F880_000785-T1		True	core		zf-C3HC4,zf-RING_5,zf-RING_UBOX
L003	Cp	H018,H020,H050	M199	scaffold_6	5	8107	8991	M199|C82F880_000786-T1		True	core		DUF8768
L003	Cp	H018,H020,H050	M199	scaffold_6	6	10663	12666	M199|C82F880_000787-T1	H018	True	core	Het-C	Het-C
L003	Cp	H018,H020,H050	M199	scaffold_6	7	12989	13314	M199|C82F880_000788-T1	H020	False	cloud	Het-C	Het-C
L003	Cp	H018,H020,H050	M199	scaffold_6	8	14114	17386	M199|C82F880_000789-T1		False	soft_core		HEAT_IPO9_c,IBN_N
L003	Cp	H018,H020,H050	M199	scaffold_6	9	20286	21353	M199|C82F880_000790-T1		False	soft_core		HORMA
L003	Cp	H018,H020,H050	M199	scaffold_6	10	22849	25181	M199|C82F880_000791-T1		False	core		IBR,Rcat_RNF216
L004	Ci	H027	UTAH_20380X16	scaffold_8	148	390644	391153	UTAH_20380X16|CAD5A21_002974-T1		True	core		Pcc1
L004	Ci	H027	UTAH_20380X16	scaffold_8	149	392462	394397	UTAH_20380X16|CAD5A21_002975-T1		True	core		DSPc,DSPn,PTP-NADK,Tc-R-P,Y_phosphatase
L004	Ci	H027	UTAH_20380X16	scaffold_8	150	395282	396661	UTAH_20380X16|CAD5A21_002976-T1		False	core		Ank,Ank_2,Ank_3,Ank_4,Ank_5
L004	Ci	H027	UTAH_20380X16	scaffold_8	151	396820	399336	UTAH_20380X16|CAD5A21_002977-T1	H027	False	core	PNP_UDP-NPHP3_N-NACHT-WHD	NACHT,NPHP3_N,PNP_UDP_1,WHD_GPIID
L004	Ci	H027	UTAH_20380X16	scaffold_8	152	400164	401066	UTAH_20380X16|CAD5A21_002978-T1		True	core		CMAS,MTS,MetW,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25,Methyltransf_31,Ubie_methyltran
L004	Ci	H027	UTAH_20380X16	scaffold_8	153	401990	402736	UTAH_20380X16|CAD5A21_002979-T1		False	shell		
L004	Ci	H027	UTAH_20380X16	scaffold_8	154	404975	406171	UTAH_20380X16|CAD5A21_002980-T1		True	core		LRR_15
L004	Ci	H037,H063	B14131	scaffold_12	18	61235	62431	B14131|C616B44_001309-T1		True	core		LRR_15
L004	Ci	H037,H063	B14131	scaffold_12	19	64668	65414	B14131|C616B44_001310-T1		False	shell		
L004	Ci	H037,H063	B14131	scaffold_12	20	66338	67240	B14131|C616B44_001311-T1		True	core		CMAS,MTS,MetW,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25,Methyltransf_31,Ubie_methyltran
L004	Ci	H037,H063	B14131	scaffold_12	21	68068	69837	B14131|C616B44_001312-T1	H037	False	singleton	PNP_UDP-NPHP3_N-NACHT	NACHT,NPHP3_N,PNP_UDP_1
L004	Ci	H037,H063	B14131	scaffold_12	22	69863	70564	B14131|C616B44_001313-T1	H063	False	cloud	WHD	WHD_GPIID
L004	Ci	H037,H063	B14131	scaffold_12	23	70723	72102	B14131|C616B44_001314-T1		False	core		Ank,Ank_2,Ank_3,Ank_4,Ank_5
L004	Ci	H037,H063	B14131	scaffold_12	24	72987	74922	B14131|C616B44_001315-T1		True	core		DSPc,DSPn,PTP-NADK,Tc-R-P,Y_phosphatase
L004	Ci	H037,H063	B14131	scaffold_12	25	76231	76740	B14131|C616B44_001316-T1		True	core		Pcc1
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	379	1212912	1213421	UTAH_20380X10|CE3D476_001462-T1		True	core		Pcc1
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	380	1214729	1216664	UTAH_20380X10|CE3D476_001463-T1		True	core		DSPc,DSPn,PTP-NADK,Tc-R-P,Y_phosphatase
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	381	1217549	1218928	UTAH_20380X10|CE3D476_001464-T1		False	core		Ank,Ank_2,Ank_3,Ank_4,Ank_5
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	382	1219087	1219788	UTAH_20380X10|CE3D476_001465-T1	H063	False	cloud	WHD	WHD_GPIID
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	383	1220284	1221603	UTAH_20380X10|CE3D476_001466-T1	H071	False	cloud	PNP_UDP-NPHP3_N	NPHP3_N,PNP_UDP_1
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	384	1222431	1223333	UTAH_20380X10|CE3D476_001467-T1		True	core		CMAS,MTS,MetW,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25,Methyltransf_31,Ubie_methyltran
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	385	1224257	1225003	UTAH_20380X10|CE3D476_001468-T1		False	shell		
L004	Ci	H063,H071	UTAH_20380X10	scaffold_3	386	1227240	1228436	UTAH_20380X10|CE3D476_001469-T1		True	core		LRR_15
L004	Cp	H026	COCPO_Galgiani	scaffold_39	66	179122	180708	COCPO_Galgiani|CF9E767_006029-T1		True	core		HATPase_c
L004	Cp	H026	COCPO_Galgiani	scaffold_39	67	181035	181528	COCPO_Galgiani|CF9E767_006030-T1		True	core		Pcc1
L004	Cp	H026	COCPO_Galgiani	scaffold_39	68	182829	184760	COCPO_Galgiani|CF9E767_006031-T1		True	core		DSPc,DSPn,PTP-NADK,Tc-R-P,Y_phosphatase
L004	Cp	H026	COCPO_Galgiani	scaffold_39	69	185645	189718	COCPO_Galgiani|CF9E767_006032-T1	H026	False	singleton	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	Ank,Ank_2,Ank_3,Ank_4,Ank_5,NACHT,NPHP3_N,PNP_UDP_1,WHD_GPIID
L004	Cp	H026	COCPO_Galgiani	scaffold_39	70	190534	191436	COCPO_Galgiani|CF9E767_006033-T1		True	core		CMAS,MTS,MetW,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25,Methyltransf_31,Ubie_methyltran
L004	Cp	H026	COCPO_Galgiani	scaffold_39	71	192163	192909	COCPO_Galgiani|CF9E767_006034-T1		False	singleton		
L004	Cp	H026	COCPO_Galgiani	scaffold_39	72	195023	196360	COCPO_Galgiani|CF9E767_006035-T1		True	core		LRR_15
L004	Cp	H027	B3301	scaffold_26	75	189834	191171	B3301|C251A4F_003643-T1		True	core		LRR_15
L004	Cp	H027	B3301	scaffold_26	76	193286	194032	B3301|C251A4F_003644-T1		False	singleton		
L004	Cp	H027	B3301	scaffold_26	77	194759	195661	B3301|C251A4F_003645-T1		True	core		CMAS,MTS,MetW,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25,Methyltransf_31,Ubie_methyltran
L004	Cp	H027	B3301	scaffold_26	78	196477	199011	B3301|C251A4F_003646-T1	H027	False	core	PNP_UDP-NPHP3_N-NACHT-WHD	NACHT,NPHP3_N,PNP_UDP_1,WHD_GPIID
L004	Cp	H027	B3301	scaffold_26	79	199170	200549	B3301|C251A4F_003647-T1		False	core		Ank,Ank_2,Ank_3,Ank_4,Ank_5
L004	Cp	H027	B3301	scaffold_26	80	201434	203366	B3301|C251A4F_003648-T1		True	core		DSPc,DSPn,PTP-NADK,Tc-R-P,Y_phosphatase
L004	Cp	H027	B3301	scaffold_26	81	204666	205159	B3301|C251A4F_003649-T1		True	core		Pcc1
L004	Cp	H037,H062	B3375	scaffold_17	0	512	2374	B3375|C769598_003505-T1		True	core		HATPase_c
L004	Cp	H037,H062	B3375	scaffold_17	1	2702	3195	B3375|C769598_003506-T1		True	core		Pcc1
L004	Cp	H037,H062	B3375	scaffold_17	2	4495	6428	B3375|C769598_003507-T1		True	core		DSPc,DSPn,PTP-NADK,Tc-R-P,Y_phosphatase
