Short	Species	n_contigs	n50	total_length	dedup_group	is_representative	species	n_all_HET_NLR	n_HET_domain	n_HeLo_SesA_Goodbye_HETs	n_Het-C	n_NLR_NOD	n_NLR_accessory_only	n_NLR_total
B10918	Coccidioides posadasii	1377	41123	27052364	22	1	Cp	11	1	0	2	3	5	3
B10919	Coccidioides posadasii	1515	40062	27570151	23	1	Cp	12	1	0	2	3	6	3
B11002	Coccidioides immitis	2345	25383	27704663	24	1	Ci	13	2	1	2	2	6	2
B11019	Coccidioides immitis	688	94592	27559887	16	0	Ci	14	2	1	2	4	5	4
B11034	Coccidioides immitis	480	128258	27027262	16	0	Ci	13	2	1	2	3	5	3
B11035	Coccidioides immitis	700	85491	27355445	25	1	Ci	12	2	0	2	3	5	3
B11036	Coccidioides posadasii	541	115100	26916299	26	1	Cp	12	1	1	2	3	5	3
B11057	Coccidioides immitis	731	88160	27715189	27	1	Ci	12	2	0	2	3	5	3
B11058	Coccidioides posadasii	1889	30646	27333764	28	1	Cp	12	1	1	2	3	5	3
B11080	Coccidioides immitis	1538	38422	27466322	29	1	Ci	12	1	1	2	3	5	3
B11198	Coccidioides immitis	479	129129	27959719	30	1	Ci	13	2	1	2	3	5	3
B11199	Coccidioides posadasii	777	69610	27563518	31	1	Cp	12	1	1	3	3	4	3
B11232	Coccidioides posadasii	1180	48627	27382394	32	1	Cp	12	1	1	2	3	5	3
B11299	Coccidioides posadasii	517	114513	27572602	33	1	Cp	12	1	1	2	3	5	3
B11300	Coccidioides posadasii	521	126376	27184895	34	1	Cp	12	1	1	2	2	6	2
B11343	Coccidioides immitis	1396	42893	28290980	35	1	Ci	13	2	1	2	3	5	3
B11400	Coccidioides posadasii	1522	38300	27470093	36	1	Cp	11	1	0	2	3	5	3
B11517	Coccidioides immitis	434	136405	27696805	37	1	Ci	12	2	0	2	3	5	3
B11518	Coccidioides immitis	1622	38793	27584576	16	0	Ci	13	2	0	2	4	5	4
B11587	Coccidioides immitis	1271	46929	27925576	38	1	Ci	12	2	0	2	3	5	3
B11863	Coccidioides immitis	1665	38776	27983289	39	1	Ci	13	2	1	2	3	5	3
B11871	Coccidioides posadasii	524	115030	27313279	40	1	Cp	12	1	1	2	3	5	3
B11872	Coccidioides posadasii	460	130448	27364734	41	1	Cp	11	1	0	2	2	6	2
B11873	Coccidioides immitis	800	75049	27334555	42	1	Ci	13	2	1	2	3	5	3
B11877	Coccidioides posadasii	469	138416	27194485	43	1	Cp	12	1	1	2	3	5	3
B12202	Coccidioides posadasii	481	125052	27499385	44	1	Cp	11	1	0	2	3	5	3
B12216	Coccidioides posadasii	633	100924	26882608	45	1	Cp	11	0	0	2	4	5	4
B12218	Coccidioides posadasii	574	110124	27578049	46	1	Cp	12	1	1	2	3	5	3
B12219	Coccidioides immitis	440	131813	28409327	47	1	Ci	13	2	1	2	3	5	3
B12220	Coccidioides immitis	462	133622	27550211	48	1	Ci	12	2	0	2	3	5	3
B12226	Coccidioides posadasii	585	117595	28268632	49	1	Cp	13	2	1	2	3	5	3
B12397	Coccidioides posadasii	506	120699	27308157	50	1	Cp	12	1	1	2	3	5	3
B12398	Coccidioides immitis	1724	39431	27047846	16	0	Ci	12	2	0	2	3	5	3
B12399	Coccidioides posadasii	432	139117	26681155	51	1	Cp	11	1	0	2	3	5	3
B12400	Coccidioides posadasii	453	128272	27197074	52	1	Cp	12	1	1	2	2	6	2
B12402	Coccidioides posadasii	737	84973	27959299	53	1	Cp	11	1	0	2	3	5	3
B12471	Coccidioides posadasii	510	120247	27589337	54	1	Cp	12	1	0	3	3	5	3
B12475	Coccidioides posadasii	549	102656	27350165	55	1	Cp	11	2	1	2	2	4	2
B12495	Coccidioides immitis	306	182245	26907707	56	1	Ci	13	2	1	2	3	5	3
B12496	Coccidioides immitis	342	190083	26867687	57	1	Ci	13	2	1	2	3	5	3
B12498	Coccidioides posadasii	515	122245	26769040	58	1	Cp	12	1	1	2	3	5	3
B1249_Guatemala	Coccidioides posadasii	1720	35950	28626221	59	1	Cp	12	2	0	2	2	6	2
B12526	Coccidioides immitis	364	167579	28176360	60	1	Ci	13	2	1	2	3	5	3
B12527	Coccidioides posadasii	525	102015	27172845	61	1	Cp	11	1	0	2	3	5	3
B13534	Coccidioides posadasii	555	103171	27147445	62	1	Cp	12	1	1	2	3	5	3
B13535	Coccidioides posadasii	536	120247	27470537	63	1	Cp	11	1	0	2	3	5	3
B13956	Coccidioides immitis	416	136235	27131162	16	0	Ci	13	2	1	2	3	5	3
B13981	Coccidioides posadasii	603	95480	27429823	64	1	Cp	13	2	1	2	3	5	3
B14104	Coccidioides posadasii	384	146590	26651758	65	0	Cp	12	1	1	2	3	5	3
B14130	Coccidioides posadasii	510	117648	27148122	66	1	Cp	11	1	0	2	3	5	3
B14131	Coccidioides immitis	461	141290	27686160	67	1	Ci	13	2	0	2	3	6	3
B14132	Coccidioides immitis	413	134995	27358250	68	1	Ci	12	2	0	2	3	5	3
B14133	Coccidioides immitis	509	105767	27357230	68	0	Ci	12	2	0	2	3	5	3
B14134	Coccidioides posadasii	500	115791	27820124	69	1	Cp	11	2	0	2	2	5	2
B14135	Coccidioides immitis	401	152029	27998386	70	1	Ci	12	2	0	2	3	5	3
B14286	Coccidioides immitis	646	96951	28174189	71	1	Ci	14	2	1	2	4	5	4
B14288	Coccidioides immitis	517	117633	27645219	72	1	Ci	12	2	0	2	3	5	3
B14291	Coccidioides posadasii	905	71856	27800456	73	0	Cp	11	1	1	2	3	4	3
B14292	Coccidioides posadasii	732	89681	27907117	73	1	Cp	10	1	0	2	3	4	3
B14298	Coccidioides immitis	539	123980	27398305	74	0	Ci	11	2	0	2	3	4	3
B15142	Coccidioides immitis	471	138096	27164833	75	1	Ci	12	2	0	2	3	5	3
B15145	Coccidioides immitis	492	135806	27681411	67	0	Ci	12	2	0	2	3	5	3
B15146	Coccidioides immitis	569	117834	27857439	76	1	Ci	12	2	0	2	3	5	3
B15257	Coccidioides immitis	380	174446	27735142	77	1	Ci	11	1	0	2	3	5	3
B15317	Coccidioides immitis	885	72762	27232809	16	0	Ci	12	2	0	2	3	5	3
B15368	Coccidioides immitis	439	142438	27626656	78	1	Ci	14	2	1	3	3	5	3
B15369	Coccidioides posadasii	511	117854	27439121	79	1	Cp	12	1	1	2	3	5	3
B16293	Coccidioides posadasii	438	136538	27312004	80	1	Cp	13	1	1	3	3	5	3
B16294	Coccidioides posadasii	635	104731	27431306	81	1	Cp	12	1	1	2	3	5	3
B16338	Coccidioides immitis	398	149046	27011727	82	1	Ci	11	1	0	2	3	5	3
B16339	Coccidioides immitis	392	144776	27769952	83	1	Ci	12	1	1	2	3	5	3
B16364	Coccidioides immitis	415	157612	27586040	84	1	Ci	12	1	1	2	3	5	3
B16531	Coccidioides posadasii	701	99214	27817095	85	1	Cp	11	1	0	2	3	5	3
B16536	Coccidioides immitis	1768	45081	26750118	86	1	Ci	12	2	0	2	3	5	3
B16692	Coccidioides immitis	791	80486	27741293	16	0	Ci	13	2	0	2	4	5	4
B16712	Coccidioides posadasii	499	112337	27005243	87	1	Cp	11	1	0	2	3	5	3
B17554	Coccidioides immitis	1145	60109	27504176	16	0	Ci	13	2	0	2	4	5	4
B17567	Coccidioides immitis	1037	56406	27904741	88	1	Ci	12	2	1	2	3	4	3
B17635	Coccidioides immitis	958	64382	27896517	67	0	Ci	13	2	0	2	3	6	3
B3203	Coccidioides posadasii	290	236555	27750769	89	1	Cp	12	1	0	3	3	5	3
B3213	Coccidioides posadasii	255	304123	27668928	90	1	Cp	13	1	1	2	4	5	4
B3215	Coccidioides posadasii	282	256390	27809852	91	1	Cp	12	1	0	3	3	5	3
B3220	Coccidioides posadasii	231	390922	26641951	92	1	Cp	13	1	1	3	3	5	3
B3221	Coccidioides posadasii	295	222576	26621885	93	1	Cp	11	1	0	2	3	5	3
B3222	Coccidioides posadasii	231	315273	27177397	94	1	Cp	12	1	0	3	2	6	2
B3224	Coccidioides posadasii	300	206308	26146392	95	1	Cp	11	2	0	1	3	5	3
B3226	Coccidioides posadasii	226	335951	27637545	96	1	Cp	12	1	1	2	3	5	3
B3227	Coccidioides posadasii	292	257884	28046451	97	1	Cp	14	2	1	3	3	5	3
B3228	Coccidioides posadasii	250	333938	27741842	98	1	Cp	12	1	0	2	3	6	3
B3236	Coccidioides posadasii	261	252319	27753506	99	1	Cp	12	1	0	3	3	5	3
B3242	Coccidioides posadasii	234	290170	27555879	100	1	Cp	12	1	1	2	3	5	3
B3244	Coccidioides posadasii	231	345326	27426501	101	1	Cp	12	1	0	2	3	6	3
B3245	Coccidioides posadasii	215	434743	27392663	102	1	Cp	12	1	1	2	3	5	3
B3246	Coccidioides posadasii	217	286053	28441075	103	1	Cp	12	1	0	2	4	5	4
B3251	Coccidioides posadasii	1100	105209	26733566	104	1	Cp	12	1	1	2	3	5	3
B3256	Coccidioides posadasii	335	232590	26625942	105	1	Cp	12	1	1	2	3	5	3
B3269	Coccidioides posadasii	456	188018	27394016	106	1	Cp	13	1	1	3	2	6	2
B3276	Coccidioides posadasii	267	269559	27285804	107	1	Cp	13	1	0	3	3	6	3
B3284	Coccidioides posadasii	355	186349	27649857	108	1	Cp	13	1	1	3	2	6	2
B3286	Coccidioides posadasii	295	199036	27462169	109	1	Cp	11	1	0	2	3	5	3
B3290	Coccidioides posadasii	355	213709	28239574	110	1	Cp	12	1	1	2	3	5	3
B3291	Coccidioides posadasii	300	220582	26755514	111	1	Cp	10	1	0	2	2	5	2
B3292	Coccidioides posadasii	336	195933	27487188	112	1	Cp	13	1	1	3	3	5	3
B3301	Coccidioides posadasii	343	207289	27028839	113	1	Cp	12	1	0	3	3	5	3
B3310	Coccidioides posadasii	456	219543	27487604	114	1	Cp	13	1	1	3	3	5	3
B3313	Coccidioides posadasii	334	188825	27401122	115	1	Cp	11	1	0	2	2	6	2
B3314	Coccidioides posadasii	245	294582	27876122	116	1	Cp	12	1	0	3	3	5	3
B3315	Coccidioides posadasii	457	174900	27879917	117	1	Cp	12	1	1	2	3	5	3
B3326	Coccidioides posadasii	310	239623	27203081	118	1	Cp	12	1	1	2	3	5	3
B3335	Coccidioides posadasii	638	203472	27644158	119	1	Cp	12	1	1	2	3	5	3
B3341	Coccidioides posadasii	241	334953	27724020	120	1	Cp	13	2	0	3	3	5	3
B3344	Coccidioides posadasii	294	237885	28137463	121	1	Cp	12	2	1	2	3	4	3
B3345	Coccidioides posadasii	229	324683	27328475	122	1	Cp	12	1	0	3	2	6	2
B3347	Coccidioides posadasii	585	210836	26029769	123	1	Cp	12	1	1	2	3	5	3
B3348	Coccidioides posadasii	464	250427	26784919	124	1	Cp	11	1	0	2	2	6	2
B3352	Coccidioides posadasii	341	165511	27161198	125	1	Cp	13	1	1	2	4	5	4
B3353	Coccidioides posadasii	661	179089	28159921	126	1	Cp	12	1	1	2	3	5	3
B3358	Coccidioides posadasii	301	299099	27958950	127	1	Cp	12	1	1	2	3	5	3
B3359	Coccidioides posadasii	285	229312	27500825	128	1	Cp	12	1	1	2	3	5	3
B3368	Coccidioides posadasii	212	259885	27447436	129	1	Cp	10	1	0	2	3	4	3
B3374	Coccidioides posadasii	252	292130	27761637	130	1	Cp	11	1	0	2	3	5	3
B3375	Coccidioides posadasii	200	408930	27434513	131	1	Cp	13	1	0	3	3	6	3
B3382	Coccidioides posadasii	262	265635	27154586	132	1	Cp	12	1	1	2	3	5	3
B3391	Coccidioides posadasii	257	334962	27439284	133	1	Cp	12	1	0	2	4	5	4
B3395	Coccidioides posadasii	266	320152	27523187	134	1	Cp	12	1	0	2	3	6	3
B3398	Coccidioides posadasii	296	304818	27640341	135	1	Cp	12	1	0	3	3	5	3
B3409	Coccidioides posadasii	301	231294	26920109	136	1	Cp	13	1	1	2	3	6	3
B3411	Coccidioides posadasii	207	315799	27608567	137	1	Cp	11	1	0	2	3	5	3
B3413	Coccidioides posadasii	214	359745	27448512	138	1	Cp	11	1	1	1	3	5	3
B3417	Coccidioides posadasii	288	367636	27487354	139	1	Cp	12	1	1	2	3	5	3
B3420	Coccidioides posadasii	267	262509	28004705	140	1	Cp	12	1	1	2	3	5	3
B3439	Coccidioides posadasii	244	271318	27883801	141	1	Cp	13	2	1	2	3	5	3
B3440	Coccidioides posadasii	341	190872	26359803	142	1	Cp	12	1	1	2	2	6	2
B3453	Coccidioides posadasii	227	328987	26969033	143	1	Cp	12	1	1	2	3	5	3
B3457	Coccidioides posadasii	279	247789	26930632	144	1	Cp	11	1	0	2	3	5	3
B3476	Coccidioides immitis	257	274463	27017128	145	1	Ci	11	2	0	2	2	5	2
B3482	Coccidioides posadasii	451	140387	26900663	146	1	Cp	13	1	1	3	2	6	2
B3489	Coccidioides posadasii	322	232866	28309065	147	1	Cp	11	1	0	2	3	5	3
B3491	Coccidioides posadasii	301	254947	27639612	148	1	Cp	12	1	0	3	3	5	3
B3492	Coccidioides posadasii	477	135893	27460699	149	1	Cp	12	1	0	3	3	5	3
B5773_Brazil	Coccidioides posadasii	1648	33903	27162121	150	0	Cp	12	2	0	2	3	5	3
BFF340	Coccidioides posadasii	323	233189	27361663	151	1	Cp	12	1	0	3	3	5	3
Beeville	Coccidioides posadasii	2324	25233	27184291	152	0	Cp	12	2	0	2	3	5	3
C735-TKO	Coccidioides posadasii	444	155556	26759281	153	0	Cp	12	1	1	2	3	5	3
CA1	Coccidioides immitis	3258	14526	26329628	154	1	Ci	12	2	0	2	3	5	3
CA14	Coccidioides immitis	2524	20050	26842584	155	1	Ci	12	2	0	2	4	4	4
CA15	Coccidioides immitis	312	265353	28116362	156	1	Ci	13	2	0	3	3	5	3
CA17	Coccidioides immitis	406	161135	27434089	157	1	Ci	13	2	0	3	3	5	3
CA2	Coccidioides immitis	669	164278	27777690	158	1	Ci	12	2	0	2	3	5	3
CA20	Coccidioides immitis	2440	21570	26885575	159	1	Ci	13	2	1	2	3	5	3
CA22	Coccidioides immitis	911	161208	27547226	160	1	Ci	12	2	0	2	3	5	3
CA23	Coccidioides immitis	556	149598	27641756	160	0	Ci	12	2	0	2	3	5	3
CA24	Coccidioides immitis	292	218183	27872728	161	1	Ci	13	2	1	2	3	5	3
CA25	Coccidioides immitis	352	166206	27335722	162	1	Ci	13	2	1	2	3	5	3
CA26	Coccidioides immitis	1366	108500	28399469	163	1	Ci	13	2	1	2	3	5	3
CA27	Coccidioides immitis	413	189875	27691352	164	1	Ci	12	2	0	2	3	5	3
CA28	Coccidioides immitis	946	135827	27492683	164	0	Ci	13	2	1	2	3	5	3
CA29	Coccidioides immitis	462	164068	28092421	165	0	Ci	14	3	1	2	3	5	3
CA3	Coccidioides immitis	313	198524	27697466	166	1	Ci	13	2	1	2	3	5	3
CA30	Coccidioides immitis	351	167705	27738096	167	1	Ci	12	1	1	2	3	5	3
CA4	Coccidioides immitis	498	197848	27545276	168	1	Ci	13	2	1	2	3	5	3
CA5	Coccidioides immitis	354	154222	27751063	169	1	Ci	13	2	1	2	3	5	3
CA6	Coccidioides immitis	895	234505	28920606	170	1	Ci	13	2	0	2	3	6	3
CA7	Coccidioides immitis	335	336528	27134766	171	1	Ci	10	1	0	2	2	5	2
CA8	Coccidioides immitis	479	160742	27893510	172	1	Ci	13	2	1	2	3	5	3
CA9	Coccidioides immitis	411	170938	27723701	173	1	Ci	12	2	1	2	3	4	3
CDC-202	Coccidioides immitis	845	72773	27275250	16	0	Ci	12	2	0	2	3	5	3
CDC-205	Coccidioides immitis	1004	60914	27264899	16	0	Ci	13	2	1	2	3	5	3
CDC-212	Coccidioides immitis	845	71270	27298994	16	0	Ci	12	2	0	2	3	5	3
COCPO_103718	Coccidioides posadasii	2240	55222	26510810	174	0	Cp	12	2	0	2	3	5	3
COCPO_103720	Coccidioides posadasii	1573	71245	26207974	150	0	Cp	13	2	1	2	3	5	3
COCPO_103721	Coccidioides posadasii	1138	108254	26557773	175	0	Cp	11	2	0	2	3	4	3
COCPO_103744	Coccidioides posadasii	808	136198	26309815	150	0	Cp	13	2	0	3	3	5	3
COCPO_103745	Coccidioides posadasii	1658	119468	26587678	174	0	Cp	12	2	0	2	3	5	3
COCPO_103827	Coccidioides posadasii	1374	128784	25256052	175	0	Cp	13	2	1	2	3	5	3
COCPO_114029	Coccidioides posadasii	1867	59890	26382302	175	0	Cp	12	2	1	2	3	4	3
COCPO_114072	Coccidioides posadasii	866	159733	26966240	174	0	Cp	12	2	0	2	3	5	3
COCPO_175712	Coccidioides posadasii	954	109570	26700627	175	0	Cp	13	2	0	3	3	5	3
COCPO_175714	Coccidioides posadasii	1244	95114	26139860	150	0	Cp	12	2	0	3	3	4	3
COCPO_175715	Coccidioides posadasii	1122	159082	26476101	175	1	Cp	12	2	0	2	3	5	3
COCPO_175716	Coccidioides posadasii	897	113476	27044519	174	0	Cp	12	2	0	2	3	5	3
COCPO_185672	Coccidioides posadasii	1043	170317	26909279	174	1	Cp	13	2	0	3	3	5	3
COCPO_195880	Coccidioides posadasii	1311	136236	26376773	175	0	Cp	12	2	1	2	3	4	3
COCPO_195881	Coccidioides posadasii	3279	13878	25622133	175	0	Cp	12	2	1	2	3	4	3
COCPO_195884	Coccidioides posadasii	1671	123590	25437862	175	0	Cp	12	2	0	2	3	5	3
COCPO_34698	Coccidioides posadasii	1037	91300	28409032	5	0	Cp	11	1	0	2	3	5	3
COCPO_4545	Coccidioides posadasii	817	144483	28281243	5	1	Cp	12	1	1	2	3	5	3
COCPO_Galgiani	Coccidioides posadasii	154	386945	27855308	176	1	Cp	13	2	1	3	3	4	3
COCSP-2006	Coccidioides immitis	368	221597	27500120	177	0	Ci	12	2	1	2	2	5	2
COCSP-3478	Coccidioides posadasii	578	157483	27508006	178	1	Cp	12	1	1	2	3	5	3
COCSP-3505	Coccidioides immitis	3309	28841	28265310	179	1	Ci	16	2	2	2	2	8	2
COCSP-8945	Coccidioides immitis	389	175459	28117489	180	1	Ci	12	2	0	2	3	5	3
COCSP_8725	Coccidioides posadasii	383	156420	27375721	181	1	Cp	12	2	0	2	3	5	3
Coahuila_1	Coccidioides immitis	957	63400	27804562	182	1	Ci	11	1	0	2	3	5	3
Coahuila_2	Coccidioides posadasii	405	309820	27494334	183	1	Cp	12	2	0	2	3	5	3
Cocci_1400035797	Coccidioides posadasii	2090	27636	27248435	152	1	Cp	12	2	0	2	3	5	3
Colorado_Springs_1	Coccidioides posadasii	393	270584	26991557	184	1	Cp	12	1	0	3	3	5	3
EMS	Coccidioides posadasii	564	98747	27091687	150	0	Cp	13	2	1	2	3	5	3
FMC233	Coccidioides posadasii	457	161140	27502234	185	1	Cp	12	1	1	2	3	5	3
FMC234	Coccidioides posadasii	476	132607	27463311	186	1	Cp	11	1	0	2	3	5	3
FMC235	Coccidioides posadasii	542	129156	27308190	187	0	Cp	11	1	0	2	3	5	3
FMC449	Coccidioides posadasii	914	65684	27367015	188	0	Cp	13	1	1	3	3	5	3
FMC588	Coccidioides posadasii	477	134721	26949535	189	0	Cp	10	1	0	2	3	4	3
FMC718	Coccidioides posadasii	2086	28807	27417495	190	0	Cp	11	1	0	2	3	5	3
FMC778	Coccidioides posadasii	2360	58019	30048231	191	1	Cp	12	2	0	2	3	5	3
GT-002	Coccidioides posadasii	1390	41070	27334864	192	1	Cp	13	2	1	2	3	5	3
GT-017	Coccidioides posadasii	1662	35416	28036146	193	1	Cp	12	2	0	2	3	5	3
GT-100	Coccidioides immitis	2845	17194	26775288	194	1	Ci	12	2	0	2	3	5	3
GT-101	Coccidioides posadasii	503	172901	27261536	195	1	Cp	12	1	1	3	3	4	3
GT-102	Coccidioides posadasii	433	132096	27483561	196	0	Cp	12	1	1	2	3	5	3
GT-103	Coccidioides posadasii	410	197964	27562836	197	1	Cp	13	1	1	3	3	5	3
GT-104	Coccidioides immitis	422	196500	27617041	198	1	Ci	13	2	1	2	3	5	3
GT-105	Coccidioides immitis	397	219900	27470882	74	1	Ci	12	2	0	2	3	5	3
GT-106	Coccidioides posadasii	438	231147	27468702	199	1	Cp	11	1	0	2	3	5	3
GT-107	Coccidioides immitis	396	212896	27956590	200	1	Ci	14	2	1	2	3	6	3
GT-108	Coccidioides immitis	437	241570	27801985	201	1	Ci	13	2	1	2	3	5	3
GT-109	Coccidioides immitis	1093	138314	27577951	202	1	Ci	13	2	1	2	3	5	3
GT-110	Coccidioides posadasii	493	149531	27551451	203	1	Cp	12	2	0	2	3	5	3
GT-111	Coccidioides immitis	1249	132530	29323258	204	1	Ci	13	2	1	2	3	5	3
GT-113	Coccidioides immitis	334	187890	27811045	205	0	Ci	13	2	1	2	3	5	3
GT-114	Coccidioides immitis	384	198938	27759894	205	1	Ci	13	2	0	3	3	5	3
GT-115	Coccidioides posadasii	496	209975	27512952	206	1	Cp	13	2	0	3	2	6	2
GT-116	Coccidioides immitis	388	207980	27640875	207	1	Ci	12	2	0	2	3	5	3
GT-117	Coccidioides immitis	903	159603	27472816	207	0	Ci	13	2	1	2	3	5	3
GT-118	Coccidioides immitis	1237	120655	27969984	208	1	Ci	12	2	0	2	3	5	3
GT-119	Coccidioides immitis	422	160533	27867621	209	1	Ci	13	2	1	2	3	5	3
GT-120	Coccidioides posadasii	548	153119	27930119	210	1	Cp	13	1	1	2	4	5	4
GT-121	Coccidioides immitis	333	329006	27242842	211	1	Ci	13	2	1	2	3	5	3
GT-123	Coccidioides immitis	2445	20694	26661381	212	1	Ci	12	2	0	2	3	5	3
GT-124	Coccidioides posadasii	525	199778	27015159	65	1	Cp	13	2	1	3	3	4	3
GT-125	Coccidioides immitis	385	196218	27022579	213	1	Ci	13	2	1	2	3	5	3
GT-126	Coccidioides immitis	914	106579	27190367	214	1	Ci	11	1	0	2	3	5	3
GT-127	Coccidioides immitis	362	307330	27391496	211	0	Ci	13	2	1	2	3	5	3
GT-128	Coccidioides immitis	382	231061	28014150	165	1	Ci	14	2	1	3	3	5	3
GT-129	Coccidioides immitis	2553	19618	26760956	215	1	Ci	12	2	1	2	3	4	3
GT-130	Coccidioides posadasii	457	185501	26741034	216	1	Cp	11	1	1	2	2	5	2
GT-131	Coccidioides posadasii	794	157603	27081392	217	1	Cp	13	2	0	3	3	5	3
GT-132	Coccidioides immitis	377	192374	27820895	218	1	Ci	13	2	1	2	3	5	3
GT-133	Coccidioides immitis	2734	18387	26831454	219	1	Ci	13	2	1	2	3	5	3
GT-134	Coccidioides posadasii	440	212251	27037916	220	1	Cp	12	1	0	3	3	5	3
GT-136	Coccidioides posadasii	422	197122	27535628	221	1	Cp	11	2	0	2	3	4	3
GT-139	Coccidioides posadasii	2629	19486	26479432	222	1	Cp	10	1	1	2	2	4	2
GT-140	Coccidioides immitis	606	146393	27642449	223	1	Ci	13	2	1	2	3	5	3
GT-141	Coccidioides posadasii	661	170020	27042996	224	1	Cp	13	2	1	2	3	5	3
GT-142	Coccidioides posadasii	591	204654	27446072	225	1	Cp	13	2	1	2	3	5	3
GT-143	Coccidioides posadasii	950	121976	27321142	226	1	Cp	11	1	0	2	3	5	3
GT-144	Coccidioides posadasii	409	177385	26853911	227	0	Cp	10	1	0	2	3	4	3
GT-145	Coccidioides posadasii	1015	119090	26790102	228	1	Cp	13	1	1	3	2	6	2
GT-146	Coccidioides immitis	440	229126	27508716	229	1	Ci	12	2	1	2	2	5	2
GT-147	Coccidioides immitis	4070	10126	25720924	230	1	Ci	12	2	0	2	5	3	5
GT-148	Coccidioides posadasii	918	173799	27166651	231	1	Cp	13	2	0	3	3	5	3
GT-149	Coccidioides posadasii	509	159284	27014418	227	0	Cp	11	1	1	2	3	4	3
GT-150	Coccidioides posadasii	730	166264	27339007	232	1	Cp	13	2	1	2	3	5	3
GT-151	Coccidioides posadasii	828	151783	27395847	233	1	Cp	13	2	1	2	3	5	3
GT-154	Coccidioides posadasii	521	216638	27383726	234	1	Cp	11	1	0	2	3	5	3
