q	s	pident	length	qlen	slen	qstart	qend	sstart	send	evalue	bits	qcov	scov	q_label	s_label	q_locus	s_locus
B12527|C750C60_003353-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.1	983	1595	983	1	983	1	983	0.0	1944.0	0.616	1.0	H060	H084	L001	L020
UTAH_23742X205|CB0BD29_008619-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.2	983	1014	983	1	983	1	983	0.0	1944.0	0.969	1.0	H067	H083	L001	L001
B3491|C53B4A4_001549-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.1	983	1273	983	1	983	1	983	0.0	1944.0	0.772	1.0	H048	H083	L001	L001
B16531|C0BF1BA_007130-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.1	983	1371	983	1	983	1	983	0.0	1943.0	0.717	1.0	H068	H084	L001	L020
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	B16531|C0BF1BA_007130-T1	99.1	983	983	1371	1	983	1	983	0.0	1943.0	1.0	0.717	H084	H068	L020	L001
TX8|C5FF6CA_008304-T1	B3440|C2CD592_003898-T1	99.1	983	983	1687	1	983	1	983	0.0	1943.0	1.0	0.583	H085	H053	L001	L001
B3440|C2CD592_003898-T1	TX8|C5FF6CA_008304-T1	99.1	983	1687	983	1	983	1	983	0.0	1941.0	0.583	1.0	H053	H085	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	B3440|C2CD592_003898-T1	98.8	983	983	1687	1	983	1	983	0.0	1939.0	1.0	0.583	H083	H053	L001	L001
B3440|C2CD592_003898-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	98.8	983	1687	983	1	983	1	983	0.0	1936.0	0.583	1.0	H053	H083	L001	L001
GT-171|C28DABA_004054-T1	GT-149|C5E7948_005114-T1	97.5	983	995	1510	1	983	1	972	0.0	1935.0	0.988	0.644	H069	H050	L005	L005
GT-149|C5E7948_005114-T1	GT-171|C28DABA_004054-T1	97.5	983	1510	995	1	972	1	983	0.0	1935.0	0.644	0.988	H050	H069	L005	L005
578-1_L_NEW_CPA0049|C79DB71_007498-T1	CA23|C477594_005344-T1	62.9	1568	1575	1580	2	1561	3	1565	0.0	1931.0	0.99	0.989	H052	H054	L005	L005
409B-0_L_OLD_CPA0011|C90261E_005650-T1	B3269|C180A32_006926-T1	99.2	905	905	1177	1	905	273	1177	0.0	1836.0	1.0	0.769	H072	H059	L005	L005
B3269|C180A32_006926-T1	409B-0_L_OLD_CPA0011|C90261E_005650-T1	99.2	905	1177	905	273	1177	1	905	0.0	1835.0	0.769	1.0	H059	H072	L005	L005
409B-0_L_OLD_CPA0011|C90261E_005650-T1	GT-149|C5E7948_005114-T1	97.1	905	905	1510	1	905	630	1510	0.0	1788.0	1.0	0.583	H072	H050	L005	L005
GT-149|C5E7948_005114-T1	409B-0_L_OLD_CPA0011|C90261E_005650-T1	97.1	905	1510	905	630	1510	1	905	0.0	1788.0	0.583	1.0	H050	H072	L005	L005
578-1_L_NEW_CPA0049|C79DB71_006976-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	99.8	887	1608	898	1	887	1	887	0.0	1766.0	0.552	0.988	H047	H065	L006	L006
407-0_S_OLD_CPA0002|C577643_002522-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	99.2	893	898	1608	1	893	1	893	0.0	1766.0	0.994	0.555	H065	H047	L006	L006
B3301|C251A4F_003646-T1	UTAH_23742X6|CAC50EA_001516-T1	100.0	832	844	1363	1	832	1	832	0.0	1663.0	0.986	0.61	H027	H026	L004	L004
UTAH_23742X6|CAC50EA_001516-T1	B3301|C251A4F_003646-T1	100.0	832	1363	844	1	832	1	832	0.0	1663.0	0.61	0.986	H026	H027	L004	L004
GT-149|C5E7948_005114-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	55.6	1561	1510	1575	12	1506	11	1565	0.0	1620.0	0.99	0.987	H050	H052	L005	L005
CA23|C477594_005344-T1	GT-149|C5E7948_005114-T1	53.7	1576	1580	1510	1	1573	1	1510	0.0	1618.0	0.996	1.0	H054	H050	L005	L005
578-1_L_NEW_CPA0049|C79DB71_007498-T1	GT-149|C5E7948_005114-T1	55.6	1561	1575	1510	11	1565	12	1506	0.0	1612.0	0.987	0.99	H052	H050	L005	L005
GT-149|C5E7948_005114-T1	CA23|C477594_005344-T1	53.7	1576	1510	1580	1	1510	1	1573	0.0	1611.0	1.0	0.996	H050	H054	L005	L005
UTAH_23742X205|CB0BD29_008619-T1	CA7|CFA4D20_007665-T1	99.9	796	1014	798	1	796	1	796	0.0	1575.0	0.785	0.997	H067	H078	L001	L001
CA7|CFA4D20_007665-T1	UTAH_23742X205|CB0BD29_008619-T1	99.9	796	798	1014	1	796	1	796	0.0	1575.0	0.997	0.785	H078	H067	L001	L001
CA7|CFA4D20_007665-T1	B3491|C53B4A4_001549-T1	99.6	796	798	1273	1	796	1	796	0.0	1573.0	0.997	0.625	H078	H048	L001	L001
B3491|C53B4A4_001549-T1	CA7|CFA4D20_007665-T1	99.6	796	1273	798	1	796	1	796	0.0	1573.0	0.625	0.997	H048	H078	L001	L001
TX8|C5FF6CA_008304-T1	CA7|CFA4D20_007665-T1	99.1	796	983	798	1	796	1	796	0.0	1567.0	0.81	0.997	H085	H078	L001	L001
COCSP_8725|CCC6481_008432-T1	CA7|CFA4D20_007665-T1	99.1	796	1012	798	1	796	1	796	0.0	1567.0	0.787	0.997	H061	H078	L001	L001
CA7|CFA4D20_007665-T1	TX8|C5FF6CA_008304-T1	99.1	796	798	983	1	796	1	796	0.0	1566.0	0.997	0.81	H078	H085	L001	L001
CA7|CFA4D20_007665-T1	COCSP_8725|CCC6481_008432-T1	99.1	796	798	1012	1	796	1	796	0.0	1566.0	0.997	0.787	H078	H061	L001	L001
CA7|CFA4D20_007665-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.0	796	798	983	1	796	1	796	0.0	1566.0	0.997	0.81	H078	H084	L001	L020
CA7|CFA4D20_007665-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	98.9	796	798	983	1	796	1	796	0.0	1565.0	0.997	0.81	H078	H083	L001	L001
CA7|CFA4D20_007665-T1	B12527|C750C60_003353-T1	98.9	796	798	1595	1	796	1	796	0.0	1565.0	0.997	0.499	H078	H060	L001	L001
B12527|C750C60_003353-T1	CA7|CFA4D20_007665-T1	98.9	796	1595	798	1	796	1	796	0.0	1565.0	0.499	0.997	H060	H078	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	CA7|CFA4D20_007665-T1	98.9	796	983	798	1	796	1	796	0.0	1565.0	0.81	0.997	H083	H078	L001	L001
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	CA7|CFA4D20_007665-T1	99.0	796	983	798	1	796	1	796	0.0	1565.0	0.81	0.997	H084	H078	L020	L001
CA7|CFA4D20_007665-T1	B3440|C2CD592_003898-T1	99.0	796	798	1687	1	796	1	796	0.0	1564.0	0.997	0.472	H078	H053	L001	L001
B16531|C0BF1BA_007130-T1	CA7|CFA4D20_007665-T1	98.9	796	1371	798	1	796	1	796	0.0	1563.0	0.581	0.997	H068	H078	L001	L001
CA7|CFA4D20_007665-T1	B16531|C0BF1BA_007130-T1	98.9	796	798	1371	1	796	1	796	0.0	1563.0	0.997	0.581	H078	H068	L001	L001
B3440|C2CD592_003898-T1	CA7|CFA4D20_007665-T1	99.0	796	1687	798	1	796	1	796	0.0	1562.0	0.472	0.997	H053	H078	L001	L001
409B-0_L_OLD_CPA0011|C90261E_005737-T1	574-0_S_OLD_CPA0039|C27CBD2_001617-T1	99.7	756	1176	758	421	1176	3	758	0.0	1532.0	0.643	0.997	H005	H003	L007	L007
B10757_Nevada|CAE1CCF_005469-T1	574-0_S_OLD_CPA0039|C27CBD2_001617-T1	99.7	756	1652	758	897	1652	3	758	0.0	1532.0	0.458	0.997	H006	H003	L007	L007
574-0_S_OLD_CPA0039|C27CBD2_001617-T1	B10757_Nevada|CAE1CCF_005469-T1	99.7	756	758	1652	3	758	897	1652	0.0	1530.0	0.997	0.458	H003	H006	L007	L007
574-0_S_OLD_CPA0039|C27CBD2_001617-T1	409B-0_L_OLD_CPA0011|C90261E_005737-T1	99.7	756	758	1176	3	758	421	1176	0.0	1530.0	0.997	0.643	H003	H005	L007	L007
B12495|C0ACC3F_004293-T1	574-0_S_OLD_CPA0039|C27CBD2_001617-T1	99.2	756	2189	758	1434	2189	3	758	0.0	1528.0	0.345	0.997	H001	H003	L007	L007
574-0_S_OLD_CPA0039|C27CBD2_001617-T1	B12495|C0ACC3F_004293-T1	99.2	756	758	2189	3	758	1434	2189	0.0	1526.0	0.997	0.345	H003	H001	L007	L007
GT-101|C4EFBB3_002316-T1	B15142|CE5AC85_003480-T1	98.2	768	1631	768	1	768	1	768	0.0	1507.0	0.471	1.0	H051	H075	L006	L006
B15142|CE5AC85_003480-T1	GT-101|C4EFBB3_002316-T1	98.2	768	768	1631	1	768	1	768	0.0	1505.0	1.0	0.471	H075	H051	L006	L006
CA23|C477594_005344-T1	B11035|C5FC1D8_003314-T1	65.0	1113	1580	1123	455	1565	1	1109	0.0	1435.0	0.703	0.988	H054	H057	L005	L005
B11035|C5FC1D8_003314-T1	CA23|C477594_005344-T1	65.0	1113	1123	1580	1	1109	455	1565	0.0	1416.0	0.988	0.703	H057	H054	L005	L005
B12527|C750C60_003353-T1	Phoenix_2|CE7BF4E_002155-T1	99.7	693	1595	764	347	1039	1	693	0.0	1378.0	0.434	0.907	H060	H066	L001	L001
Phoenix_2|CE7BF4E_002155-T1	B12527|C750C60_003353-T1	99.7	693	764	1595	1	693	347	1039	0.0	1378.0	0.907	0.434	H066	H060	L001	L001
B16531|C0BF1BA_007130-T1	Phoenix_2|CE7BF4E_002155-T1	99.7	693	1371	764	347	1039	1	693	0.0	1376.0	0.505	0.907	H068	H066	L001	L001
Phoenix_2|CE7BF4E_002155-T1	B16531|C0BF1BA_007130-T1	99.7	693	764	1371	1	693	347	1039	0.0	1376.0	0.907	0.505	H066	H068	L001	L001
Phoenix_2|CE7BF4E_002155-T1	B3491|C53B4A4_001549-T1	98.4	691	764	1273	1	691	347	1037	0.0	1356.0	0.904	0.543	H066	H048	L001	L001
B3491|C53B4A4_001549-T1	Phoenix_2|CE7BF4E_002155-T1	98.4	691	1273	764	347	1037	1	691	0.0	1355.0	0.543	0.904	H048	H066	L001	L001
Phoenix_2|CE7BF4E_002155-T1	B3440|C2CD592_003898-T1	98.4	691	764	1687	1	691	347	1037	0.0	1355.0	0.904	0.41	H066	H053	L001	L001
B3440|C2CD592_003898-T1	Phoenix_2|CE7BF4E_002155-T1	98.4	691	1687	764	347	1037	1	691	0.0	1354.0	0.41	0.904	H053	H066	L001	L001
GT-101|C4EFBB3_002316-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	74.8	886	1631	898	28	913	2	887	0.0	1344.0	0.543	0.987	H051	H065	L006	L006
407-0_S_OLD_CPA0002|C577643_002522-T1	GT-101|C4EFBB3_002316-T1	74.4	892	898	1631	2	893	28	919	0.0	1340.0	0.993	0.547	H065	H051	L006	L006
B3228|C904DB3_000957-T1	UTAH_23742X6|CAC50EA_001516-T1	94.8	752	746	1363	1	746	612	1363	0.0	1326.0	1.0	0.552	H062	H026	L004	L004
Phoenix_2|CE7BF4E_002155-T1	COCSP_8725|CCC6481_008432-T1	99.7	666	764	1012	1	666	347	1012	0.0	1326.0	0.872	0.658	H066	H061	L001	L001
Phoenix_2|CE7BF4E_002155-T1	UTAH_23742X205|CB0BD29_008619-T1	99.3	668	764	1014	1	668	347	1014	0.0	1326.0	0.874	0.659	H066	H067	L001	L001
COCSP_8725|CCC6481_008432-T1	Phoenix_2|CE7BF4E_002155-T1	99.7	666	1012	764	347	1012	1	666	0.0	1326.0	0.658	0.872	H061	H066	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	Phoenix_2|CE7BF4E_002155-T1	99.3	668	1014	764	347	1014	1	668	0.0	1325.0	0.659	0.874	H067	H066	L001	L001
UTAH_23742X6|CAC50EA_001516-T1	B3228|C904DB3_000957-T1	94.8	752	1363	746	612	1363	1	746	0.0	1323.0	0.552	1.0	H026	H062	L004	L004
COCSP-3505|C3BD8F1_002724-T1	UTAH_23742X257|CDDFF5A_002435-T1	98.9	748	765	1007	1	745	1	748	0.0	1320.0	0.974	0.743	H024	H019	L009	L009
UTAH_23742X257|CDDFF5A_002435-T1	COCSP-3505|C3BD8F1_002724-T1	98.9	748	1007	765	1	748	1	745	0.0	1320.0	0.743	0.974	H019	H024	L009	L009
B3269|C180A32_006926-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	57.3	1194	1177	1575	1	1173	378	1565	0.0	1294.0	0.997	0.754	H059	H052	L005	L005
578-1_L_NEW_CPA0049|C79DB71_007498-T1	B3269|C180A32_006926-T1	57.3	1194	1575	1177	378	1565	1	1173	0.0	1288.0	0.754	0.997	H052	H059	L005	L005
CA23|C477594_005344-T1	B3269|C180A32_006926-T1	55.7	1197	1580	1177	382	1573	3	1177	0.0	1285.0	0.754	0.998	H054	H059	L005	L005
