label	family	family_class	n_members	n_members_classified	frac_members_classified	class_counts	modal_architecture	architectures	rep_architecture	median_len	n_strains_with_member	max_copies_per_strain	n_strains_multicopy	bin	strain_count_Ci_rep	Ci_present	Ci_genome_only	Ci_n	Cp_present	Cp_genome_only	Cp_n	Ci_frac_any	Cp_frac_any	fisher_p_any	Ci_frac_annot	Cp_frac_annot	fisher_p_annot	bh_q_any	bh_q_annot	poly_within_annot	poly_between_annot	poly_within_any	poly_between_any	Ci_mean_copies_carriers	Cp_mean_copies_carriers	locus	n_markers_family	in_pair_table	rep_pfam_full	frac_APH_adjacent
H011	UCSF_Cp_Silveira|C282BBF_005390-T1	HeLo_SesA_Goodbye_HETs	32	32	1.0	HeLo_SesA_Goodbye_HETs:32	Goodbye	Goodbye:32	Goodbye	242	32	1	0	cloud	6	0	7	169	32	24	360	0.0414	0.1556	7.810994216197427e-05	0.0	0.0889	4.848104873751358e-06	0.0002583636548434	1.81276964844616e-05	True	True	True	True	0.0	1.0	L002	15	True	Goodbye	0.0
H012	COCSP-3505|C3BD8F1_004417-T1	HeLo_SesA_Goodbye_HETs	22	22	1.0	HeLo_SesA_Goodbye_HETs:22	Goodbye	Goodbye:22	Goodbye	237	21	2	1	cloud	18	20	0	169	1	0	360	0.1183	0.0028	8.291541315714795e-10	0.1183	0.0028	8.291541315714795e-10	3.395583586435583e-09	3.565362765757361e-09	True	True	True	True	1.05	1.0	L002	19	True	Goodbye	0.0
H013	B11300|C7C73A6_000676-T1	HeLo_SesA_Goodbye_HETs	13	13	1.0	HeLo_SesA_Goodbye_HETs:13	Goodbye	Goodbye:13	Goodbye	156	13	1	0	singleton	0	0	0	169	13	0	360	0.0	0.0361	0.0121301204674931	0.0	0.0361	0.0121301204674931	0.0306820694177768	0.0298054388629831	False	True	False	True	0.0	1.0	L002	14	False	Goodbye	0.0
H014	A502-1|C7FAE4E_005112-T1	HeLo_SesA_Goodbye_HETs	8	8	1.0	HeLo_SesA_Goodbye_HETs:8	Goodbye	Goodbye:8	Goodbye	182	8	1	0	cloud	9	8	4	169	0	18	360	0.071	0.05	0.3215654443100115	0.0473	0.0	9.671686717556028e-05	0.4851689159765086	0.0003199096375806	False	True	True	False	1.0	0.0	L002	19	True	Goodbye	0.0
H015	B3440|C2CD592_001965-T1	HeLo_SesA_Goodbye_HETs	7	7	1.0	HeLo_SesA_Goodbye_HETs:7	Goodbye	Goodbye:7	Goodbye	159	7	1	0	singleton	1	1	0	169	6	0	360	0.0059	0.0167	0.4392067552231461	0.0059	0.0167	0.4392067552231461	0.6401996771049249	0.66266282367001	False	False	False	False	1.0	1.0	L002	14	False	Goodbye	0.0
H016	CA25|C4385CC_002784-T1	HeLo_SesA_Goodbye_HETs	4	4	1.0	HeLo_SesA_Goodbye_HETs:4	Goodbye	Goodbye:4	Goodbye	151	4	1	0	cloud	4	4	0	169	0	1	360	0.0237	0.0028	0.0380485265286653	0.0237	0.0	0.0101656368588037	0.0934906651847206	0.0257130814663859	False	True	False	False	1.0	0.0	L002	19	False	Goodbye	0.0
H017	GT-119|C5FB385_003315-T1	HeLo_SesA_Goodbye_HETs	2	2	1.0	HeLo_SesA_Goodbye_HETs:2	Goodbye	Goodbye:2	Goodbye	196	2	1	0	cloud	2	2	0	169	0	1	360	0.0118	0.0028	0.2405261113808621	0.0118	0.0	0.1016497680013748	0.4496792517120467	0.2273629960980155	False	False	False	False	1.0	0.0	L002	19	False	Goodbye	0.0
H018	B11872|C426E4A_003179-T1	Het-C	524	524	1.0	Het-C:524	Het-C	Het-C:524	Het-C	792	522	2	2	core	132	166	1	169	356	0	360	0.9882	0.9889	1.0	0.9822	0.9889	0.685272104350142	1.0	0.8929303177895789	False	False	False	False	1.01	1.0	L003	9	False	Het-C	0.0
H019	UTAH_23742X257|CDDFF5A_002435-T1	Het-C	523	523	1.0	Het-C:523	Het-C	Het-C:523	Het-C	1001	523	1	0	core	131	167	0	169	356	0	360	0.9882	0.9889	1.0	0.9882	0.9889	1.0	1.0	1.0	False	False	False	False	1.0	1.0	L009	17	False	Het-C	0.0
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	Het-C	121	121	1.0	Het-C:121	Het-C	Het-C:121	Het-C	81	121	1	0	cloud	4	4	0	169	117	0	360	0.0237	0.325	7.762609085357248e-18	0.0237	0.325	7.762609085357248e-18	4.450562542271489e-17	4.172402383379521e-17	True	True	True	True	1.0	1.0	L003	15	False	Het-C	0.0
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	Het-C	3	3	1.0	Het-C:3	Het-C	Het-C:3	Het-C	893	3	1	0	singleton	0	0	0	169	3	1	360	0.0	0.0111	0.3116845365590723	0.0	0.0083	0.5548517207746787	0.4851689159765086	0.7455819997909745	False	False	False	False	0.0	1.0	L014	0	False	Het-C	0.0
H022	SOIL_604-1_L_OLD_CPA066|C04D475_008327-T1	Het-C	2	2	1.0	Het-C:2	Het-C	Het-C:2	Het-C	619	2	1	0	cloud	5	1	5	169	1	117	360	0.0355	0.3278	4.451010791843932e-16	0.0059	0.0028	0.5372916308644098	2.3924183006161136e-15	0.7455819997909745	False	False	True	True	1.0	1.0	L003	7	False	Het-C	0.0
H023	CA1|CEE9A5C_008761-T1	Het-C	1	1	1.0	Het-C:1	Het-C	Het-C:1	Het-C	490	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L017	0	False	Het-C	0.0
H024	COCSP-3505|C3BD8F1_002724-T1	Het-C	1	1	1.0	Het-C:1	Het-C	Het-C:1	Het-C	765	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L009	9	False	Het-C	0.0
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	NLR_NOD	380	380	1.0	NLR_NOD:380	Patatin-NB-ARC-TPR	Patatin-NB-ARC-TPR:380	Patatin-NB-ARC-TPR	1139	380	1	0	shell	70	21	68	169	359	1	360	0.5266	1.0	1.867078049464332e-47	0.1243	0.9972	7.932913573626982e-107	2.6761452042322093e-46	2.2741018911064017e-105	True	True	True	True	1.0	1.0	L008	10	True	NB-ARC,Patatin,TPR_10,TPR_12,TPR_16,TPR_7,TPR_8	0.039
H026	UTAH_23742X6|CAC50EA_001516-T1	NLR_NOD	347	347	1.0	NLR_NOD:311;NLR_accessory_only:36	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	PNP_UDP-NPHP3_N-NACHT-WHD-Ank:309;PNP_UDP-NPHP3_N-WHD-Ank:36;NPHP3_N-NACHT-WHD-Ank:2	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	1357	347	1	0	singleton	1	1	0	169	346	0	360	0.0059	0.9611	3.324341454297735e-120	0.0059	0.9611	3.324341454297735e-120	2.8589336506960522e-118	2.8589336506960522e-118	False	True	False	True	1.0	1.0	L004	19	False	Ank,Ank_2,Ank_3,Ank_4,Ank_5,NACHT,NPHP3_N,PNP_UDP_1,WHD_GPIID	0.0
H027	B3301|C251A4F_003646-T1	NLR_NOD	168	168	1.0	NLR_NOD:166;NLR_accessory_only:2	PNP_UDP-NPHP3_N-NACHT-WHD	PNP_UDP-NPHP3_N-NACHT-WHD:144;NPHP3_N-NACHT-WHD:21;PNP_UDP-NPHP3_N-WHD:2;PNP_UDP-NPHP3_N-NACHT:1	PNP_UDP-NPHP3_N-NACHT-WHD	838	168	1	0	core	128	161	0	169	7	0	360	0.9527	0.0194	1.393734985983761e-115	0.9527	0.0194	1.393734985983761e-115	5.993060439730172e-114	5.993060439730172e-114	False	True	False	True	1.0	1.0	L004	19	False	NACHT,NPHP3_N,PNP_UDP_1,WHD_GPIID	0.0
H028	5SD|CCCC1E1_001065-T1	NLR_NOD	145	145	1.0	NLR_NOD:145	NB-ARC-TPR	NB-ARC-TPR:145	NB-ARC-TPR	797	145	1	0	shell	114	144	0	169	1	1	360	0.8521	0.0056	3.716757768760116e-100	0.8521	0.0028	5.4433840882936696e-102	1.0654705603778998e-98	1.1703275789831392e-100	True	True	True	True	1.0	1.0	L008	14	True	AAA_16,NB-ARC,TPR_10,TPR_12,TPR_3,TPR_7,TPR_8	0.717
H029	SDVA38|CE6DD8A_000803-T1	NLR_NOD	125	125	1.0	NLR_NOD:125	NB-ARC	NB-ARC:125	NB-ARC	271	125	1	0	shell	96	115	0	169	10	102	360	0.6805	0.3111	1.7824344675454262e-15	0.6805	0.0278	3.374785274669758e-61	8.516075789383702e-15	4.1461647660228457e-60	True	True	True	True	1.0	1.0	L001	16	True	NB-ARC	0.0
H030	730332_Guatemala|C45F23D_001753-T1	NLR_NOD	102	102	1.0	NLR_NOD:102	NB-ARC	NB-ARC:102	NB-ARC	150	102	1	0	singleton	0	0	0	169	102	0	360	0.0	0.2833	6.553601852075048e-20	0.0	0.2833	6.553601852075048e-20	4.696747993987122e-19	4.33545968675734e-19	True	True	True	True	0.0	1.0	L001	14	False	NB-ARC	0.0
H031	B11400|CF1B8A4_004391-T1	NLR_NOD	96	95	0.99	NLR_NOD:95	NB-ARC	NB-ARC:95	NB-ARC	196	96	1	0	singleton	0	0	0	169	96	0	360	0.0	0.2667	1.1269313969988025e-18	0.0	0.2667	1.1269313969988025e-18	7.45508462629977e-18	6.922578581564072e-18	True	True	True	True	0.0	1.0	L001	17	False	NB-ARC	0.0
H032	SDVA20|C001139_007070-T1	NLR_NOD	77	76	0.987	NLR_NOD:76	NB-ARC	NB-ARC:76	NB-ARC	196	77	1	0	singleton	0	0	0	169	77	0	360	0.0	0.2139	8.543773516365415e-15	0.0	0.2139	8.543773516365415e-15	3.867181696881188e-14	4.082025124485698e-14	True	True	True	True	0.0	1.0	L001	16	False	NB-ARC	0.0
H033	B11035|C5FC1D8_003079-T1	NLR_NOD	51	51	1.0	NLR_NOD:51	NB-ARC	NB-ARC:50;Patatin-NB-ARC:1	NB-ARC	398	51	1	0	shell	34	51	0	169	0	0	360	0.3018	0.0	1.396894143099219e-28	0.3018	0.0	1.396894143099219e-28	1.3348099589614756e-27	1.2013289630653285e-27	True	True	True	True	1.0	0.0	L001	17	True	NB-ARC	0.0
H034	UTAH_23742X51|C229CD7_002130-T1	NLR_NOD	34	34	1.0	NLR_NOD:34	NB-ARC	NB-ARC:34	NB-ARC	196	34	1	0	singleton	0	0	0	169	34	0	360	0.0	0.0944	1.5472713733676805e-06	0.0	0.0944	1.5472713733676805e-06	6.048424459528205e-06	6.336444671886692e-06	True	True	True	True	0.0	1.0	L001	15	False	NB-ARC	0.0
H035	B10757_Nevada|CAE1CCF_003071-T1	NLR_NOD	28	28	1.0	NLR_NOD:28	NB-ARC	NB-ARC:28	NB-ARC	196	28	1	0	singleton	0	0	0	169	28	0	360	0.0	0.0778	2.704019270490836e-05	0.0	0.0778	2.704019270490836e-05	9.301826290488476e-05	9.301826290488476e-05	True	True	True	True	0.0	1.0	L001	15	False	NB-ARC	0.0
H036	UTAH_20380X1|CF4A409_007973-T1	NLR_NOD	15	14	0.933	NLR_NOD:14	Patatin-NB-ARC	Patatin-NB-ARC:14	Patatin-NB-ARC	440	15	1	0	singleton	0	2	0	169	13	3	360	0.0118	0.0444	0.0699652443795818	0.0118	0.0361	0.161383009142804	0.1651859098842631	0.3304509234828844	False	False	False	False	1.0	1.0	L012	2	False	NB-ARC,Patatin	0.0
H037	B3244|CC6B4BB_007648-T1	NLR_NOD	10	10	1.0	NLR_NOD:10	PNP_UDP-NPHP3_N-NACHT	PNP_UDP-NPHP3_N-NACHT:10	PNP_UDP-NPHP3_N-NACHT	589	10	1	0	singleton	1	3	0	169	7	0	360	0.0178	0.0194	1.0	0.0178	0.0194	1.0	1.0	1.0	False	False	False	False	1.0	1.0	L004	18	False	NACHT,NPHP3_N,PNP_UDP_1	0.0
H038	SDVA10|CE292C0_006993-T1	NLR_NOD	8	8	1.0	NLR_NOD:8	NB-ARC	NB-ARC:8	NB-ARC	105	8	1	0	singleton	1	3	0	169	5	0	360	0.0178	0.0139	0.7146145518372934	0.0178	0.0139	0.7146145518372934	0.9311644160304126	0.9172664396717496	False	False	False	False	1.0	1.0	L012	2	False	AAA_22,NB-ARC	0.0
H039	Phoenix_1|CDD70D4_008045-T1	NLR_NOD	6	5	0.833	NLR_NOD:5	NB-ARC	NB-ARC:5	-	196	6	1	0	singleton	0	0	0	169	6	0	360	0.0	0.0167	0.1838113553103615	0.0	0.0167	0.1838113553103615	0.3512839234820242	0.3512839234820242	False	False	False	False	0.0	1.0	L001	15	False		0.0
H040	B3246|C90A8A7_001323-T1	NLR_NOD	5	4	0.8	NLR_NOD:4	NB-ARC	NB-ARC:4	NB-ARC	1048	5	1	0	singleton	0	0	0	169	5	0	360	0.0	0.0139	0.1827100161143215	0.0	0.0139	0.1827100161143215	0.3512839234820242	0.3512839234820242	False	False	False	False	0.0	1.0	L013	15	False	NB-ARC	0.0
H041	GT-147|C9481DC_005228-T1	NLR_NOD	2	2	1.0	NLR_NOD:2	NPHP3_N-NACHT-WHD	NPHP3_N-NACHT-WHD:2	NPHP3_N-NACHT-WHD	1116	2	1	0	cloud	2	2	0	169	0	0	360	0.0118	0.0	0.1016497680013748	0.0118	0.0	0.1016497680013748	0.2216789211955651	0.2273629960980155	False	False	False	False	1.0	0.0	L005	3	False	Abhydrolase_6,DUF676,NACHT,NPHP3_N,WHD_GPIID	0.0
H042	GT-158|C010C21_006437-T1	NLR_NOD	2	2	1.0	NLR_NOD:2	NB-ARC	NB-ARC:2	NB-ARC	182	2	1	0	singleton	0	0	0	169	2	0	360	0.0	0.0056	1.0	0.0	0.0056	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L001	15	False	NB-ARC	0.0
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	NLR_NOD	1	1	1.0	NLR_NOD:1	NB-ARC	NB-ARC:1	NB-ARC	188	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L001	15	False	NB-ARC	0.0
H044	B14286|CC2BA17_001544-T1	NLR_NOD	1	1	1.0	NLR_NOD:1	NB-ARC	NB-ARC:1	NB-ARC	390	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L001	11	False	NB-ARC	0.0
H045	GT-147|C9481DC_003434-T1	NLR_NOD	1	1	1.0	NLR_NOD:1	NB-ARC	NB-ARC:1	NB-ARC	618	1	1	0	singleton	1	1	0	169	0	1	360	0.0059	0.0028	0.5372916308644098	0.0059	0.0	0.3194706994328922	0.7334457183228451	0.4995360027496133	False	False	False	False	1.0	0.0	L013	3	False	NB-ARC	0.0
H046	GT-111|C5A2EA4_002972-T1	NLR_accessory_only	523	523	1.0	NLR_accessory_only:523	NPHP3_N-WHD	NPHP3_N-WHD:523	NPHP3_N-WHD	916	523	1	0	core	133	168	0	169	355	0	360	0.9941	0.9861	0.6697377820528173	0.9941	0.9861	0.6697377820528173	0.8861146039468044	0.8861146039468044	False	False	False	False	1.0	1.0	L010	13	False	NPHP3_N,PGAP1,WHD_GPIID	0.0
H047	578-1_L_NEW_CPA0049|C79DB71_006976-T1	NLR_accessory_only	365	365	1.0	NLR_accessory_only:365	NPHP3_N-WHD	NPHP3_N-WHD:365	NPHP3_N-WHD	1608	364	2	1	shell	91	101	0	169	263	0	360	0.5976	0.7306	0.0025209705168061	0.5976	0.7306	0.0025209705168061	0.0074759815325974	0.0074759815325974	True	True	True	True	1.01	1.0	L006	15	True	NPHP3_N,WHD_GPIID	0.0
H048	B3491|C53B4A4_001549-T1	NLR_accessory_only	333	333	1.0	NLR_accessory_only:333	NPHP3_N	NPHP3_N:333	NPHP3_N	1243	333	1	0	shell	76	105	0	169	228	1	360	0.6213	0.6361	0.7721864650144996	0.6213	0.6333	0.8469494495972764	0.991164716287268	1.0	True	False	True	False	1.0	1.0	L001	3	True	DUF7104,NPHP3_N	0.0
H049	B11871|CA42FC6_007798-T1	NLR_accessory_only	316	316	1.0	NLR_accessory_only:316	NPHP3_N	NPHP3_N:316	NPHP3_N	457	316	1	0	singleton	0	0	0	169	316	0	360	0.0	0.8778	2.8317436129234083e-97	0.0	0.8778	2.8317436129234083e-97	6.088248767785328e-96	4.870599014228264e-96	True	True	True	True	0.0	1.0	L002	15	False	NPHP3_N	0.0
H050	GT-149|C5E7948_005114-T1	NLR_accessory_only	240	240	1.0	NLR_accessory_only:240	NPHP3_N-WHD	NPHP3_N-WHD:240	NPHP3_N-WHD	1545	240	1	0	shell	32	52	0	169	188	0	360	0.3077	0.5222	4.0420664878305614e-06	0.3077	0.5222	4.0420664878305614e-06	1.51138138240621e-05	1.5800805361519466e-05	True	True	True	True	1.0	1.0	L005	11	True	NPHP3_N,PGAP1,WHD_GPIID	0.196
H051	GT-101|C4EFBB3_002316-T1	NLR_accessory_only	160	160	1.0	NLR_accessory_only:160	NPHP3_N-WHD	NPHP3_N-WHD:160	NPHP3_N-WHD	1632	160	1	0	shell	42	67	0	169	93	0	360	0.3964	0.2583	0.001618704022968	0.3964	0.2583	0.001618704022968	0.0049717337848305	0.0049717337848305	True	True	True	True	1.0	1.0	L006	15	False	Abhydrolase_6,DUF676,NPHP3_N,WHD_GPIID	0.0
H052	578-1_L_NEW_CPA0049|C79DB71_007498-T1	NLR_accessory_only	128	128	1.0	NLR_accessory_only:127;NLR_NOD:1	NPHP3_N-WHD	NPHP3_N-WHD:127;NPHP3_N-NACHT-WHD:1	NPHP3_N-WHD	1575	128	1	0	shell	38	45	0	169	83	0	360	0.2663	0.2306	0.3849587845366472	0.2663	0.2306	0.3849587845366472	0.5708009563819252	0.5911867048241368	True	False	True	False	1.0	1.0	L005	11	True	Abhydrolase_6,DUF676,NPHP3_N,WHD_GPIID	0.0
H053	B3440|C2CD592_003898-T1	NLR_accessory_only	119	119	1.0	NLR_accessory_only:119	NPHP3_N	NPHP3_N:119	NPHP3_N	1495	119	1	0	shell	36	41	0	169	78	0	360	0.2426	0.2167	0.5049213301933514	0.2426	0.2167	0.5049213301933514	0.7118563015840691	0.7359870236716648	True	False	True	False	1.0	1.0	L001	5	True	DUF7104,NPHP3_N	0.0
H054	CA23|C477594_005344-T1	NLR_accessory_only	109	109	1.0	NLR_accessory_only:107;NLR_NOD:2	NPHP3_N-WHD	NPHP3_N-WHD:107;NPHP3_N-NACHT-WHD:2	NPHP3_N-WHD	1579	109	1	0	shell	33	38	0	169	71	0	360	0.2249	0.1972	0.4898381771420758	0.2249	0.1972	0.4898381771420758	0.7021013872369752	0.7263117799003193	True	False	True	False	1.0	1.0	L005	11	True	ANAPC4_WD40,NPHP3_N,WHD_GPIID	0.0
H055	5SD|CCCC1E1_003646-T1	NLR_accessory_only	100	100	1.0	NLR_accessory_only:100	NPHP3_N	NPHP3_N:100	NPHP3_N	105	99	2	1	shell	73	99	0	169	0	0	360	0.5858	0.0	1.5328133766675185e-61	0.5858	0.0	1.5328133766675185e-61	2.636439007868132e-60	2.1970325065567766e-60	True	True	True	True	1.01	0.0	L002	19	True	NPHP3_N	0.0
H056	B11035|C5FC1D8_000225-T1	NLR_accessory_only	61	61	1.0	NLR_accessory_only:61	NPHP3_N	NPHP3_N:61	NPHP3_N	149	61	1	0	shell	52	61	0	169	0	0	360	0.3609	0.0	8.721892862918952e-35	0.3609	0.0	8.721892862918952e-35	9.376034827637874e-34	9.376034827637874e-34	True	True	True	True	1.0	0.0	L002	20	True	NPHP3_N	0.0
H057	B11035|C5FC1D8_003314-T1	NLR_accessory_only	33	33	1.0	NLR_accessory_only:33	NPHP3_N-WHD	NPHP3_N-WHD:33	NPHP3_N-WHD	1179	33	1	0	shell	29	33	0	169	0	0	360	0.1953	0.0	4.3207791000764864e-18	0.1953	0.0	4.3207791000764864e-18	2.6541928757612705e-17	2.4772466840438518e-17	True	True	True	True	1.0	0.0	L005	9	True	NPHP3_N,WHD_GPIID	0.0
H058	Michoacan_1|C0F72A3_003139-T1	NLR_accessory_only	29	26	0.897	NLR_accessory_only:26	NPHP3_N	NPHP3_N:26	NPHP3_N	690	29	1	0	singleton	0	0	0	169	29	0	360	0.0	0.0806	1.4764501249730265e-05	0.0	0.0806	1.4764501249730265e-05	5.290612947820012e-05	5.290612947820012e-05	True	True	True	True	0.0	1.0	L002	15	False	NPHP3_N	0.0
H059	B3269|C180A32_006926-T1	NLR_accessory_only	14	14	1.0	NLR_accessory_only:14	NPHP3_N-WHD	NPHP3_N-WHD:13;WHD:1	NPHP3_N-WHD	1177	14	1	0	singleton	0	0	0	169	14	0	360	0.0	0.0389	0.0067114997971401	0.0	0.0389	0.0067114997971401	0.0180371557048142	0.0180371557048142	False	True	False	True	0.0	1.0	L005	11	False	NPHP3_N,WHD_GPIID	0.0
H060	B12527|C750C60_003353-T1	NLR_accessory_only	12	12	1.0	NLR_accessory_only:12	NPHP3_N	NPHP3_N:12	NPHP3_N	1531	12	1	0	singleton	1	1	0	169	11	1	360	0.0059	0.0333	0.0710683565781132	0.0059	0.0306	0.1148327806408099	0.1651859098842631	0.2408687593929184	False	False	False	False	1.0	1.0	L001	3	False	DUF7104,NPHP3_N	0.0
H061	COCSP_8725|CCC6481_008432-T1	NLR_accessory_only	11	11	1.0	NLR_accessory_only:11	NPHP3_N	NPHP3_N:11	NPHP3_N	1147	11	1	0	cloud	8	8	0	169	3	0	360	0.0473	0.0083	0.0061113639707494	0.0473	0.0083	0.0061113639707494	0.0169541064994984	0.0169541064994984	False	True	False	True	1.0	1.0	L001	5	False	DUF676,NPHP3_N	0.0
H062	B3228|C904DB3_000957-T1	NLR_accessory_only	7	7	1.0	NLR_accessory_only:7	WHD-Ank	WHD-Ank:7	WHD-Ank	746	7	1	0	singleton	0	0	0	169	7	0	360	0.0	0.0194	0.1031064749746814	0.0	0.0194	0.1031064749746814	0.2216789211955651	0.2273629960980155	False	False	False	False	0.0	1.0	L004	18	False	Ank,Ank_2,Ank_3,Ank_4,Ank_5,WHD_GPIID	0.0
H063	B15145|CD39A0E_003234-T1	NLR_accessory_only	5	5	1.0	NLR_accessory_only:5	WHD	WHD:5	WHD	233	5	1	0	cloud	3	5	0	169	0	0	360	0.0296	0.0	0.0031949144413383	0.0296	0.0	0.0031949144413383	0.0091587547318365	0.0091587547318365	False	True	False	True	1.0	0.0	L004	18	False	WHD_GPIID	0.0
H064	SDVA42|C8631F9_001720-T1	NLR_accessory_only	5	5	1.0	NLR_accessory_only:5	NPHP3_N	NPHP3_N:5	NPHP3_N	257	5	1	0	singleton	0	0	0	169	5	0	360	0.0	0.0139	0.1827100161143215	0.0	0.0139	0.1827100161143215	0.3512839234820242	0.3512839234820242	False	False	False	False	0.0	1.0	L002	15	False	NPHP3_N	0.0
