label	family	n_genes	median_dist_end	frac_le20kb	frac_le50kb	median_contig_len	median_genes_to_end	frac_genes_to_end_0
H048	B3491|C53B4A4_001549-T1	333	6538	0.775	0.841	83432	2.0	0.21
H049	B11871|CA42FC6_007798-T1	316	66955	0.07	0.472	245722	23.5	0.0
H050	GT-149|C5E7948_005114-T1	240	21682	0.471	0.908	85380	9.0	0.021
H051	GT-101|C4EFBB3_002316-T1	160	23572	0.462	0.625	173455	10.0	0.025
H052	578-1_L_NEW_CPA0049|C79DB71_007498-T1	128	22320	0.453	0.922	85537	8.5	0.016
H053	B3440|C2CD592_003898-T1	119	11417	0.672	0.782	118608	3.0	0.017
H054	CA23|C477594_005344-T1	109	24572	0.468	0.862	91500	8.0	0.009
H055	5SD|CCCC1E1_003646-T1	100	54131	0.2	0.48	159557	19.0	0.0
H056	B11035|C5FC1D8_000225-T1	61	53886	0.246	0.492	154343	20.0	0.0
H057	B11035|C5FC1D8_003314-T1	33	11133	0.697	0.879	86106	5.0	0.0
H058	Michoacan_1|C0F72A3_003139-T1	26	58274	0.0	0.5	236673	22.5	0.0
H059	B3269|C180A32_006926-T1	14	35505	0.214	0.857	106935	10.0	0.0
H060	B12527|C750C60_003353-T1	12	6069	0.75	0.833	70316	1.5	0.0
H061	COCSP_8725|CCC6481_008432-T1	11	16196	0.818	0.818	46880	4.0	0.091
H062	B3228|C904DB3_000957-T1	7	80057	0.143	0.286	322418	33.0	0.0
H063	B15145|CD39A0E_003234-T1	5	69729	0.2	0.2	159962	22.0	0.2
H064	SDVA42|C8631F9_001720-T1	5	54308	0.0	0.4	148878	22.0	0.0
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	4	18832	0.5	1.0	120453	7.0	0.0
H066	Phoenix_2|CE7BF4E_002155-T1	4	9424	1.0	1.0	139090	3.0	0.0
H067	UTAH_23742X205|CB0BD29_008619-T1	4	73	1.0	1.0	23557	0.0	0.75
H068	B16531|C0BF1BA_007130-T1	3	5702	0.667	0.667	29628	1.0	0.0
H069	GT-171|C28DABA_004054-T1	3	49722	0.333	1.0	210873	11.0	0.0
H070	CA2|CD8B963_008471-T1	2	109	1.0	1.0	17894	0.0	1.0
H071	UTAH_20380X10|CE3D476_001466-T1	2	109503	0.5	0.5	735968	39.0	0.5
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	1	12532	1.0	1.0	37310	5.0	0.0
H073	730334_Guatemala|C5AD400_001716-T1	1	21932	0.0	1.0	57287	10.0	0.0
H074	B11002|C5E4193_001102-T1	1	10	1.0	1.0	56405	0.0	1.0
H075	B15142|CE5AC85_003480-T1	1	58151	0.0	0.0	149525	24.0	0.0
H076	B3222|C3A673A_002130-T1	1	259015	0.0	0.0	519219	76.0	0.0
H077	B3276|C38AD85_001344-T1	1	83935	0.0	0.0	718107	12.0	0.0
H078	CA7|CFA4D20_007665-T1	1	723	1.0	1.0	98363	1.0	0.0
H079	GT-151|CDCC634_000369-T1	1	78565	0.0	0.0	520384	29.0	0.0
H080	IL1|C81A900_003260-T1	1	78453	0.0	0.0	166581	30.0	0.0
H081	M223|C6CD41C_008745-T1	1	39	1.0	1.0	524	0.0	1.0
H082	M223|C6CD41C_008767-T1	1	15	1.0	1.0	514	0.0	1.0
H083	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	1	169	1.0	1.0	14810	0.0	1.0
H084	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	1	146	1.0	1.0	7497	0.0	1.0
H085	TX8|C5FF6CA_008304-T1	1	170	1.0	1.0	14784	0.0	1.0
H086	UTAH_23742X260|CC29979_006058-T1	1	3688	1.0	1.0	136656	2.0	0.0
