locus	species	combination	n_strains_with_combination	exemplar	n_contigs	het_genes
L004	Ci	H037,H063	3	B14131:scaffold_12:68068-70564	461	B14131|C616B44_001312-T1,B14131|C616B44_001313-T1
L004	Ci	H063,H071	2	UTAH_20380X10:scaffold_3:1219087-1221603	144	UTAH_20380X10|CE3D476_001465-T1,UTAH_20380X10|CE3D476_001466-T1
L004	Cp	H026	346	COCPO_Galgiani:scaffold_39:185645-189718	154	COCPO_Galgiani|CF9E767_006032-T1
L004	Cp	H027	7	B3301:scaffold_26:196477-199011	343	B3301|C251A4F_003646-T1
L004	Cp	H037,H062	7	B3375:scaffold_17:7313-11385	200	B3375|C769598_003508-T1,B3375|C769598_003509-T1
L005	Ci	H050	52	UTAH_20380X16:scaffold_8:876856-881929	123	UTAH_20380X16|CAD5A21_003130-T1
L005	Ci	H052	45	UTAH_23742X153:scaffold_73:86658-91783	213	UTAH_23742X153|C767353_006798-T1
L005	Ci	H054	37	UTAH_23742X123:scaffold_19:165851-170987	228	UTAH_23742X123|CF07388_002996-T1
L005	Cp	H050	187	COCPO_Galgiani:scaffold_42:187544-192594	154	COCPO_Galgiani|CF9E767_006231-T1
L005	Cp	H052	81	B3411:scaffold_81:73238-78364	207	B3411|CBD318B_007404-T1
L005	Cp	H054	71	B3368:scaffold_44:83070-88206	212	B3368|CDD87E0_005319-T1
L006	Ci	H047	100	UTAH_20380X16:scaffold_37:228968-234107	123	UTAH_20380X16|CAD5A21_007785-T1
L006	Ci	H051	66	UTAH_23742X227:scaffold_17:208068-213210	176	UTAH_23742X227|C6CBCE1_003380-T1
L006	Ci	H075	1	B15142:scaffold_49:58152-60702	471	B15142|CE5AC85_003480-T1
L006	Cp	H047	261	M221:scaffold_37:135260-140399	175	M221|CDACC35_005373-T1
L006	Cp	H051	90	COCPO_Galgiani:scaffold_52:195565-200703	154	COCPO_Galgiani|CF9E767_006941-T1
L006	Cp	H065	4	407-1_S_OLD_CPA0004:scaffold_44:167104-170113	528	407-1_S_OLD_CPA0004|CC44035_004695-T1
L007	Ci	H001	165	UTAH_20380X16:scaffold_15:502923-509841	123	UTAH_20380X16|CAD5A21_004774-T1
L007	Ci	H006	1	B11002:scaffold_665:4054-8617	2345	B11002|C5E4193_006432-T1
L007	Cp	H001	253	COCPO_Galgiani:scaffold_2:398059-405119	154	COCPO_Galgiani|CF9E767_000453-T1
L007	Cp	H003	61	B3413:scaffold_11:566219-568559	214	B3413|C774DC9_002901-T1
L007	Cp	H004	29	UTAH_20380X1:scaffold_15:410494-411921	218	UTAH_20380X1|CF4A409_003401-T1
L008	Ci	H028	140	UTAH_20380X16:scaffold_17:570745-573348	123	UTAH_20380X16|CAD5A21_005143-T1
L008	Ci	H025	18	SDVA5:scaffold_4:531358-535236	270	SDVA5|C600EA0_000882-T1
L008	Cp	H025	256	COCPO_Galgiani:scaffold_4:87004-90882	154	COCPO_Galgiani|CF9E767_000926-T1
L008	Cp	H002	1	GT-150:scaffold_125:49173-51679	730	GT-150|C623DCE_007663-T1
L009	Ci	H019	166	UTAH_20380X16:scaffold_1:793356-796559	123	UTAH_20380X16|CAD5A21_000234-T1
L009	Ci	H024	1	COCSP-3505:scaffold_88:19-2523	3309	COCSP-3505|C3BD8F1_002724-T1
L009	Cp	H019	345	COCPO_Galgiani:scaffold_11:354906-358015	154	COCPO_Galgiani|CF9E767_002577-T1
L009	Cp	H021	1	409B-0_L_OLD_CPA0011:scaffold_36:7171-10038	3462	409B-0_L_OLD_CPA0011|C90261E_002168-T1
L010	Ci	H046	167	UTAH_20380X16:scaffold_4:868536-871626	123	UTAH_20380X16|CAD5A21_001596-T1
L010	Cp	H046	355	COCPO_Galgiani:scaffold_12:74408-77299	154	COCPO_Galgiani|CF9E767_002682-T1
L012	Ci	H038	3	B14286:scaffold_77:37027-37344	646	B14286|CC2BA17_003918-T1
L012	Ci	H036	2	B16692:scaffold_178:35763-37403	791	B16692|C4E9409_006023-T1
L012	Ci	H028	1	CA20:scaffold_241:12082-14685	2440	CA20|CB5CE50_003623-T1
L012	Cp	H036	12	UTAH_20380X1:scaffold_78:67309-68949	218	UTAH_20380X1|CF4A409_007973-T1
L012	Cp	H038	5	B3213:scaffold_78:67262-67579	255	B3213|CDAADD1_007220-T1
L013	Ci	H045	1	GT-147:scaffold_417:37-1890	4070	GT-147|C9481DC_003434-T1
L013	Cp	H040	4	B3246:scaffold_7:97424-100570	217	B3246|C90A8A7_001323-T1
