accession	taxon_id	gene_name	description	go_ids	pfam_ids	pfam_names	interpro_ids	ec_numbers	alphafold_id
A6T6R0	272620	mntR	Transcriptional regulator MntR	GO:0005737:IEA|GO:0003677:IEA|GO:0003700:IEA|GO:0046983:IEA|GO:0046914:IEA|GO:0006351:IEA	PF02742|PF01325	Fe_dep_repr_C|Fe_dep_repress	IPR050536|IPR001367|IPR036421|IPR022687|IPR022689|IPR036388|IPR036390		A6T6R0
A6T6Y9	272620	ycaJ	Replication-associated recombination protein A	GO:0005524:IEA|GO:0016887:IEA|GO:0003677:IEA|GO:0008047:IEA|GO:0017116:IEA|GO:0000731:IEA|GO:0006261:IEA	PF00004|PF16193|PF12002	AAA|AAA_assoc_2|MgsA_C	IPR003593|IPR032423|IPR051314|IPR003959|IPR008921|IPR021886|IPR027417		A6T6Y9
A6T7A3	272620	ycdC	Hypothetical transcriptional regulator	GO:0003700:IEA|GO:0000976:IEA|GO:0045892:IEA	PF08362|PF00440	TetR_C_3|TetR_N	IPR009057|IPR050109|IPR001647|IPR036271|IPR013573		A6T7A3
A6T7D9	272620	rimJ	[Ribosomal protein uS5]-alanine N-acetyltransferase	GO:0005737:IEA|GO:0008999:IEA	PF13302	Acetyltransf_3	IPR016181|IPR000182|IPR051531	2.3.1.267	A6T7D9
A6T7E0	272620	KPN_01078	UPF0502 protein KPN78578_10500		PF04337	DUF480	IPR007432|IPR036388|IPR036390		A6T7E0
A6T7H3	272620	ycfS	Enzyme	GO:0005576:IEA|GO:0042597:IEA|GO:0016757:IEA|GO:0071972:IEA|GO:0071555:IEA|GO:0018104:IEA|GO:0008360:IEA	PF17969|PF01476|PF03734	Ldt_C|LysM|YkuD	IPR050979|IPR005490|IPR041597|IPR018392|IPR036779|IPR038063		A6T7H3
A6T7W7	272620	trpC	Multifunctional fusion protein	GO:0004425:IEA|GO:0004640:IEA|GO:0000162:IEA	PF00218|PF00697	IGPS|PRAI	IPR013785|IPR045186|IPR013798|IPR001468|IPR001240|IPR011060	4.1.1.48|5.3.1.24	A6T7W7
A6T7W9	272620	trpE	Anthranilate synthase component 1	GO:0004049:IEA|GO:0046872:IEA|GO:0000162:IEA	PF04715|PF00425	Anth_synt_I_N|Chorismate_bind	IPR005801|IPR019999|IPR006805|IPR005257|IPR015890	4.1.3.27	A6T7W9
A6T867	272620	KPN_01356	Bacterial regulatory protein, LysR	GO:0003677:IEA|GO:0003700:IEA|GO:0006351:IEA	PF00126|PF03466	HTH_1|LysR_substrate	IPR050389|IPR000847|IPR005119|IPR036388|IPR036390		A6T867
A6T8F8	272620	KPN_01447	DUF333 domain-containing protein		PF03891	DUF333	IPR005590		A6T8F8
A6T8T0	272620	KPN_01570	Metal-dependent carboxypeptidase	GO:0004181:IEA|GO:0008270:IEA|GO:0006508:IEA	PF02074	Peptidase_M32	IPR001333	3.4.17.19	A6T8T0
A6T8T5	272620	bioD	ATP-dependent dethiobiotin synthetase BioD	GO:0005829:IEA|GO:0005524:IEA|GO:0004141:IEA|GO:0000287:IEA|GO:0042803:IEA|GO:0009102:IEA	PF13500	AAA_26	IPR004472|IPR027417	6.3.3.3	A6T8T5
A6T8Y7	272620	marC	UPF0056 inner membrane protein	GO:0005886:IEA	PF01914	MarC	IPR002771		A6T8Y7
A6T903	272620	KPN_01643	Uncharacterized protein						A6T903
A6T976	272620	KPN_01716	Dehydrogenase	GO:0005737:IEA|GO:0016491:IEA	PF00248	Aldo_ket_red	IPR050791|IPR036812|IPR023210|IPR006311		A6T976
A6T993	272620	KPN_01733	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components	GO:0005886:IEA|GO:0022857:IEA	PF02653	BPD_transp_2	IPR001851		A6T993
A6T9B4	272620	KPN_01754	EamA domain-containing protein	GO:0005886:IEA	PF00892	EamA	IPR051258|IPR000620|IPR037185		A6T9B4
A6T9L1	272620	KPN_01851	Bacterial regulatory protein, MarR	GO:0003700:IEA|GO:0008080:IEA	PF00583|PF12802	Acetyltransf_1|MarR_2	IPR016181|IPR000182|IPR000835|IPR050769|IPR036388|IPR036390		A6T9L1
A6T9P9	272620	KPN_01889	Arabinose operon regulatory protein	GO:0003700:IEA|GO:0043565:IEA|GO:0006351:IEA	PF02311|PF12833	AraC_binding|HTH_18	IPR003313|IPR050204|IPR009057|IPR037923|IPR018060|IPR018062|IPR014710|IPR020449		A6T9P9
A6T9Q7	272620	KPN_01897	ABC transporter, substrate binding protein		PF00497	SBP_bac_3	IPR001638		A6T9Q7
A6T9Q9	272620	KPN_01899	Glutamate/aspartate transport protein (ABC superfamily, membrane)	GO:0043190:IEA|GO:0022857:IEA|GO:0006865:IEA	PF00528	BPD_transp_1	IPR010065|IPR043429|IPR000515|IPR035906		A6T9Q9
A6TA12	272620	asr	Acid shock protein	GO:0042597:IEA	PF06392	Asr	IPR023497		A6TA12
A6TA81	272620	ccmH	Cytochrome c-type biogenesis protein	GO:0005886:IEA|GO:0016829:IEA|GO:0046872:IEA|GO:0017004:IEA	PF03918	CcmH	IPR051263|IPR005616|IPR038297		A6TA81
A6TAG2	272620	KPN_02155	Uncharacterized protein						A6TAG2
A6TAK2	272620	oppC	Oligopeptide transport system permease protein OppC	GO:0005886:IEA|GO:0015833:IEA|GO:0015031:IEA|GO:0055085:IEA	PF00528|PF12911	BPD_transp_1|OppC_N	IPR050366|IPR000515|IPR035906|IPR025966		A6TAK2
A6TAN1	272620	KPN_02226	Uncharacterized protein				IPR036488		A6TAN1
A6TAP9	272620	KPN_02244	DUF1869 domain-containing protein		PF08956	DUF1869	IPR015051		A6TAP9
A6TAU8	272620	tdcD	Propionate kinase	GO:0005829:IEA|GO:0008776:IEA|GO:0005524:IEA|GO:0046872:IEA|GO:0008980:IEA|GO:0006083:IEA|GO:0070689:IEA	PF00871	Acetate_kinase	IPR004372|IPR000890|IPR023865|IPR043129|IPR024917	2.7.2.15	A6TAU8
A6TAW5	272620	ycgB	Sporulation protein		PF04293|PF24755	SpoVR|SpoVR_C	IPR007390|IPR057008|IPR056174|IPR057270		A6TAW5
A6TAW8	272620	dsbB	Disulfide bond formation protein B	GO:0005886:IEA|GO:0009055:IEA|GO:0015035:IEA|GO:0006457:IEA	PF02600	DsbB	IPR003752|IPR022920|IPR050183|IPR023380		A6TAW8
A6TAY3	272620	pabB	Aminodeoxychorismate synthase component 1	GO:0046820:IEA|GO:0046656:IEA|GO:0000162:IEA|GO:0046654:IEA	PF04715|PF00425	Anth_synt_I_N|Chorismate_bind	IPR005802|IPR005801|IPR019999|IPR006805|IPR015890	2.6.1.85	A6TAY3
A6TAZ1	272620	KPN_02336	UPF0266 membrane protein KPN78578_23010	GO:0005886:IEA	PF06173	DUF986	IPR009328		A6TAZ1
A6TB03	272620	yebR	GAF domain-containing protein	GO:0005829:IEA|GO:0033745:IEA	PF13185	GAF_2	IPR000614|IPR003018|IPR029016|IPR051330		A6TB03
A6TBF4	272620	KPN_02507	Possible glycosyltransferase	GO:0016757:IEA	PF13439|PF00534	Glyco_transf_4|Glycos_transf_1	IPR001296|IPR028098|IPR050194		A6TBF4
A6TBQ7	272620	yejA	Oligopeptide transport protein (ABC superfamily, peri_bind)	GO:0043190:IEA|GO:0030288:IEA|GO:1904680:IEA|GO:0042884:IEA|GO:0015833:IEA	PF00496	SBP_bac_5	IPR030678|IPR039424|IPR000914		A6TBQ7
A6TBV4	272620	menE	O-succinylbenzoic acid--CoA ligase	GO:0005524:IEA|GO:0008756:IEA|GO:0009234:IEA	PF00501|PF13193	AMP-binding|AMP-binding_C	IPR025110|IPR045851|IPR020845|IPR000873|IPR042099|IPR050237|IPR010192		A6TBV4
A6TBY4	272620	pta	Phosphate acetyltransferase	GO:0005737:IEA|GO:0008959:IEA|GO:0006085:IEA	PF13500|PF07085|PF01515	AAA_26|DRTGG|PTA_PTB	IPR010766|IPR016475|IPR027417|IPR004614|IPR042113|IPR042112|IPR050500|IPR002505|IPR028979	2.3.1.8	A6TBY4
A6TCC0	272620	KPN_02831	Arylsulfatase regulator	GO:0051539:IEA|GO:0046872:IEA|GO:0016491:IEA	PF04055|PF13186	Radical_SAM|SPASM	IPR023885|IPR013785|IPR007197|IPR058240|IPR047207|IPR023867|IPR013087		A6TCC0
A6TCU1	272620	nrdE	Ribonucleoside-diphosphate reductase	GO:0005971:IEA|GO:0005524:IEA|GO:0004748:IEA|GO:0009263:IEA	PF02867|PF00317|PF08343	Ribonuc_red_lgC|Ribonuc_red_lgN|RNR_N	IPR013346|IPR026459|IPR000788|IPR013509|IPR013554|IPR008926|IPR039718	1.17.4.1	A6TCU1
A6TCY9	272620	hycD	Hydrogenase 3, membrane subunit (Part of FHL complex)	GO:0005886:IEA	PF00146	NADHdh	IPR052561|IPR001694|IPR018086		A6TCY9
A6TD23	272620	KPN_03093	Tagaturonate reductase		PF07377	DUF1493	IPR010862		A6TD23
A6TD26	272620	KPN_03096	Cytoplasmic protein		PF26358	EcdD_BsdD_detox	IPR047707		A6TD26
A6TDC7	272620	cbiA	Cobyrinate a,c-diamide synthase	GO:0005524:IEA|GO:0042242:IEA|GO:0009236:IEA	PF01656|PF07685	CbiA|GATase_3	IPR004484|IPR029062|IPR002586|IPR011698|IPR027417	6.3.5.11	A6TDC7
A6TDH8	272620	KPN_03251	Transcriptional regulator	GO:0003700:IEA|GO:0000976:IEA|GO:0006351:IEA	PF00356|PF13377	LacI|Peripla_BP_3	IPR000843|IPR046335|IPR010982|IPR028082		A6TDH8
A6TDK9	272620	KPN_03282	Uncharacterized protein						A6TDK9
A6TDL9	272620	fimG	Fimbrial morphology	GO:0009289:IEA|GO:0043709:IEA			IPR036937|IPR008966|IPR050263		A6TDL9
A6TDW4	272620	yggV	dITP/XTP pyrophosphatase	GO:0005829:IEA|GO:0035870:IEA|GO:0036220:IEA|GO:0046872:IEA|GO:0000166:IEA|GO:0017111:IEA|GO:0036222:IEA|GO:0009117:IEA|GO:0009146:IEA	PF01725	Ham1p_like	IPR020922|IPR029001|IPR002637	3.6.1.66	A6TDW4
A6TDZ0	272620	KPN_03415	Aminotransferase	GO:0030170:IEA|GO:0008483:IEA|GO:1901605:IEA	PF00155	Aminotran_1_2	IPR004839|IPR050859|IPR015424|IPR015421|IPR015422		A6TDZ0
A6TE61	272620	KPN_04868	Prophage baseplate assembly protein		PF26079|PF26078|PF26776	Baseplate_J_C|Baseplate_J_M|Baseplate_J_N	IPR014507|IPR058530|IPR058531|IPR052726		A6TE61
A6TEC6	272620	ygjR	NAD(P)-binding dehydrogenase	GO:0000166:IEA	PF01408|PF22725	GFO_IDH_MocA|GFO_IDH_MocA_C3	IPR000683|IPR055170|IPR036291		A6TEC6
A6TEK9	272620	yrbA	Acid stress protein IbaG		PF01722	BolA	IPR002634|IPR036065|IPR050961		A6TEK9
A6TEP5	272620	KPN_03636	Oxaloacetate decarboxylase beta chain	GO:0005886:IEA|GO:0015451:IEA|GO:0016829:IEA|GO:0006814:IEA	PF03977	OAD_beta	IPR005661	7.2.4.2	A6TEP5
A6TEQ7	272620	yhcP	p-hydroxybenzoic acid efflux pump subunit AaeB	GO:0005886:IEA|GO:0022857:IEA|GO:0046942:IEA	PF04632	FUSC	IPR006726|IPR023706		A6TEQ7
A6TFA2	272620	KPN_03849	Transcriptional regulator (LysR family)	GO:0003700:IEA|GO:0000976:IEA|GO:0006351:IEA	PF00126|PF03466	HTH_1|LysR_substrate	IPR000847|IPR005119|IPR036388|IPR036390		A6TFA2
A6TFL9	272620	waaQ	Lipopolysaccharide heptosyltransferase 3	GO:0005829:IEA|GO:0008713:IEA|GO:0009244:IEA	PF01075	Glyco_transf_9	IPR002201|IPR011916|IPR051199	2.4.99.25	A6TFL9
A6TFX2	272620	ilvN	Acetolactate synthase isozyme 1 small subunit	GO:0005829:IEA|GO:0003984:IEA|GO:1990610:IEA|GO:0009097:IEA|GO:0009099:IEA	PF22629	ACT_AHAS_ss	IPR004789|IPR045865|IPR002912|IPR039557|IPR054480	2.2.1.6	A6TFX2
A6TG28	272620	phoU	Phosphate-specific transport system accessory protein PhoU	GO:0005737:IEA|GO:0030643:IEA|GO:0045936:IEA|GO:0006817:IEA	PF01895	PhoU	IPR028366|IPR038078|IPR026022		A6TG28
A6TG46	272620	mioC	Flavodoxin	GO:0005829:IEA|GO:0050660:IEA|GO:0010181:IEA|GO:0016491:IEA	PF00258	Flavodoxin_1	IPR008254|IPR029039		A6TG46
A6TG82	272620	fdhE	Protein FdhE homolog	GO:0005829:IEA|GO:0008199:IEA|GO:0051604:IEA	PF24860|PF24859|PF04216	FdhE_C|FdhE_central|FdhE_N	IPR024064|IPR056796|IPR056797|IPR056774|IPR006452		A6TG82
A6TG93	272620	KPN_04198	Serine protease	GO:0008233:IEA|GO:0006508:IEA			IPR027417		A6TG93
A6TG94	272620	KPN_04199	Inner membrane protein		PF05437	AzlD	IPR008407		A6TG94
A6TGA8	272620	rhaB	Rhamnulokinase	GO:0005829:IEA|GO:0005524:IEA|GO:0004370:IEA|GO:0008993:IEA|GO:0006071:IEA|GO:0019301:IEA	PF02782|PF00370	FGGY_C|FGGY_N	IPR043129|IPR018485|IPR018484|IPR013449	2.7.1.5	A6TGA8
A6TGA9	272620	rhaS	HTH-type transcriptional activator RhaS	GO:0005737:IEA|GO:0003700:IEA|GO:0043565:IEA|GO:0006351:IEA|GO:0019318:IEA|GO:0045893:IEA	PF02311|PF12833	AraC_binding|HTH_18	IPR003313|IPR050204|IPR009057|IPR037923|IPR018060|IPR018062|IPR047220|IPR014710|IPR020449|IPR023609		A6TGA9
A6TGG3	272620	ppiC	Peptidyl-prolyl cis-trans isomerase C	GO:0005737:IEA|GO:0003755:IEA	PF13616	Rotamase_3	IPR046357|IPR000297|IPR023058|IPR052204	5.2.1.8	A6TGG3
A6TGG6	272620	KPN_04278	Amidohydrolase 2	GO:0005829:IEA|GO:0016831:IEA|GO:0016787:IEA|GO:0019748:IEA	PF04909	Amidohydro_2	IPR032465|IPR006680|IPR032466		A6TGG6
A6TGI9	272620	cyaA	Adenylate cyclase	GO:0005737:IEA|GO:0004016:IEA|GO:0005524:IEA|GO:0006171:IEA	PF12633|PF01295|PF26690|PF26691|PF26693	Adenyl_cycl_N|Adenylate_cycl|Adenylate_cycl_3rd|Adenylate_cycl_4th|Adenylate_cycl_C	IPR060002|IPR060066|IPR060068|IPR060069|IPR000274|IPR024686|IPR024685	4.6.1.1	A6TGI9
A6TGK4	272620	rhtB	Homoserine/homoserine lactone efflux protein	GO:0005886:IEA|GO:0042970:IEA	PF01810	LysE	IPR004778|IPR001123		A6TGK4
A6TGK7	272620	yigM	Transport protein	GO:0005886:IEA	PF00892	EamA	IPR004779|IPR051258|IPR000620|IPR037185		A6TGK7
A6TGT3	272620	lysC	Aspartokinase	GO:0005829:IEA|GO:0004072:IEA|GO:0005524:IEA|GO:0009090:IEA|GO:0009089:IEA|GO:0009088:IEA	PF00696|PF22468	AA_kinase|ACT_9	IPR036393|IPR045865|IPR054352|IPR002912|IPR041745|IPR001048|IPR005260|IPR001341|IPR042199|IPR018042|IPR047962	2.7.2.4	A6TGT3
A6TGU4	272620	malE	Maltodextrin-binding protein	GO:0055052:IEA|GO:0030288:IEA|GO:0015144:IEA|GO:1901982:IEA|GO:0042956:IEA|GO:0015768:IEA	PF01547	SBP_bac_1	IPR006060|IPR006059|IPR006061		A6TGU4
A6TGX1	272620	KPN_04450	Hydrolase	GO:0052689:IEA|GO:0046872:IEA	PF07519	Tannase	IPR029058|IPR011118		A6TGX1
A6TGX6	272620	KPN_04455	Ribonuclease Z	GO:0042781:IEA	PF23023	Anti-Pycsar_Apyc1	IPR036866		A6TGX6
A6THE0	272620	ytfR	Sugar transport protein (ABC superfamily, atp_bind)	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA	PF00005	ABC_tran	IPR003593|IPR050107|IPR003439|IPR017871|IPR027417|IPR049716		A6THE0
A6THG9	272620	treB	PTS family enzyme IIBC, trehalose(Maltose)-specific	GO:0005886:IEA|GO:0016301:IEA|GO:0008982:IEA|GO:0090589:IEA|GO:0015574:IEA|GO:0009401:IEA	PF00367|PF02378	PTS_EIIB|PTS_EIIC	IPR036878|IPR018113|IPR003352|IPR013013|IPR001996|IPR011296|IPR050558		A6THG9
A6THH5	272620	yjgK	YhcH/YjgK/YiaL family protein	GO:0005829:IEA|GO:0044010:IEA	PF04074	DUF386	IPR004375|IPR037012		A6THH5
A6THX8	272620	KPN_04816	ARAC-type regulatory protein	GO:0003700:IEA|GO:0043565:IEA|GO:0006351:IEA	PF12833	HTH_18	IPR047264|IPR009057|IPR018060|IPR011051|IPR020449		A6THX8
A6TI10	272620	rob	Right origin-binding protein	GO:0003700:IEA|GO:0043565:IEA|GO:0006351:IEA	PF06445|PF12833	GyrI-like|HTH_18	IPR010499|IPR029442|IPR009057|IPR018060|IPR018062|IPR050959|IPR011256|IPR058147|IPR020449		A6TI10
A6TIE6	272620	KPN_pKPN3p05990	Integrase catalytic domain-containing protein	GO:0003676:IEA|GO:0015074:IEA	PF13518|PF13683	HTH_28|rve_3	IPR009057|IPR055247|IPR001584|IPR047656|IPR012337|IPR036397		A6TIE6
A6TIF1	272620	KPN_pKPN3p05995	Type II toxin-antitoxin system RelE/ParE family toxin		PF05973	Gp49	IPR009241|IPR035093		A6TIF1
A6TIH2	272620	KPN_pKPN3p06016	Uncharacterized protein						A6TIH2
A6TIK4	272620	KPN_pKPN4p07047	DUF2913 family protein		PF11140	DUF2913	IPR021316		
A6TIP1	272620	KPN_pKPN4p07085	Restriction endonuclease S subunit	GO:0003677:IEA|GO:0004519:IEA|GO:0009307:IEA	PF01420	Methylase_S	IPR000055|IPR044946|IPR052021		A6TIP1
A6TJ20	272620	repC	Plasmid F repC-like protein, plasmid replication						A6TJ20
A6TJ73	272620	KPN_pKPN7p10264	Uncharacterized protein	GO:0003677:IEA|GO:0004521:IEA|GO:0006402:IEA|GO:0016075:IEA	PF02452	PemK_toxin	IPR003477|IPR011067		A6TJ73
A6T4N5	272620	ddl	D-alanine--D-alanine ligase	GO:0005829:IEA|GO:0005524:IEA|GO:0008716:IEA|GO:0046872:IEA|GO:0071555:IEA|GO:0009252:IEA|GO:0008360:IEA	PF07478|PF01820	Dala_Dala_lig_C|Dala_Dala_lig_N	IPR011761|IPR013815|IPR000291|IPR005905|IPR011095|IPR011127|IPR016185	6.3.2.4	A6T4N5
A6T4P6	272620	guaC	GMP reductase	GO:0005829:IEA|GO:1902560:IEA|GO:0003920:IEA|GO:0046872:IEA|GO:0006163:IEA	PF00478	IMPDH	IPR013785|IPR050139|IPR005993|IPR015875|IPR001093	1.7.1.7	A6T4P6
A6T4S4	272620	yadG	ATP-binding component of a transport system	GO:0005524:IEA|GO:0016887:IEA	PF00005	ABC_tran	IPR003593|IPR003439|IPR017871|IPR050763|IPR027417		A6T4S4
A6T4S9	272620	panC	Pantothenate synthetase	GO:0005829:IEA|GO:0005524:IEA|GO:0004592:IEA|GO:0015940:IEA	PF02569	Pantoate_ligase	IPR003721|IPR042176|IPR014729	6.3.2.1	A6T4S9
A6T4V7	272620	fhuB	Hydroxamate-dependent iron transport protein (ABC superfamily, membrane)	GO:0005886:IEA|GO:0022857:IEA|GO:0033214:IEA	PF01032	FecCD	IPR037294|IPR000522		A6T4V7
A6T5A5	272620	KPN_00324	Inner membrane protein		PF06904	Extensin-like_C	IPR009683		A6T5A5
A6T5G8	272620	KPN_00387	Shikimate/quinate 5-dehydrogenase	GO:0005829:IEA|GO:0050661:IEA|GO:0004764:IEA|GO:0008652:IEA|GO:0009073:IEA|GO:0009423:IEA|GO:0019632:IEA	PF08501	Shikimate_dh_N	IPR046346|IPR036291|IPR013708|IPR022893		A6T5G8
A6T5R0	272620	lpxH	UDP-2,3-diacylglucosamine hydrolase	GO:0005737:IEA|GO:0019897:IEA|GO:0030145:IEA|GO:0008758:IEA|GO:0009245:IEA	PF00149	Metallophos	IPR004843|IPR043461|IPR029052|IPR010138	3.6.1.54	A6T5R0
A6T5R4	272620	folD	Bifunctional protein FolD	GO:0005829:IEA|GO:0004477:IEA|GO:0004488:IEA|GO:0000105:IEA|GO:0009086:IEA|GO:0006164:IEA|GO:0035999:IEA	PF00763|PF02882	THF_DHG_CYH|THF_DHG_CYH_C	IPR046346|IPR036291|IPR000672|IPR020630|IPR020867|IPR020631	1.5.1.5|3.5.4.9	A6T5R4
A6T690	272620	ybeF	Transcriptional regulator (LysR family) or putative periplasmic binding protein	GO:0003677:IEA|GO:0003700:IEA|GO:0006351:IEA	PF00126|PF03466	HTH_1|LysR_substrate	IPR050389|IPR000847|IPR005119|IPR036388|IPR036390		A6T690
A6T6E4	272620	ybgJ	Carboxylase	GO:0005524:IEA|GO:0016787:IEA	PF02682	CT_C_D	IPR003833|IPR029000|IPR010016		A6T6E4
A6T6T6	272620	dacC	serine-type D-Ala-D-Ala carboxypeptidase	GO:0030288:IEA|GO:0005886:IEA|GO:0008658:IEA|GO:0042803:IEA|GO:0009002:IEA|GO:0071555:IEA|GO:0009252:IEA|GO:0006508:IEA|GO:0008360:IEA	PF07943|PF00768	PBP5_C|Peptidase_S11	IPR012338|IPR015956|IPR018044|IPR012907|IPR037167|IPR001967	3.4.16.4	A6T6T6
A6T6X9	272620	clpS	ATP-dependent Clp protease adapter protein ClpS	GO:0030163:IEA|GO:0006508:IEA	PF02617	ClpS	IPR022935|IPR003769|IPR014719		A6T6X9
A6T700	272620	serC	Phosphoserine aminotransferase	GO:0005737:IEA|GO:0004648:IEA|GO:0030170:IEA|GO:0006564:IEA|GO:0008615:IEA	PF00266	Aminotran_5	IPR000192|IPR020578|IPR022278|IPR015424|IPR015421|IPR015422	2.6.1.52	A6T700
A6T730	272620	KPN_00965	Peptidase	GO:0016813:IEA|GO:0046872:IEA	PF01546	Peptidase_M20	IPR010158|IPR036264|IPR002933		A6T730
A6T776	272620	KPN_01012	Aldehyde dehydrogenase	GO:0005829:IEA|GO:0004777:IEA|GO:0009450:IEA	PF00171	Aldedh	IPR016161|IPR016163|IPR016160|IPR029510|IPR016162|IPR015590|IPR050740|IPR010102		A6T776
A6T778	272620	KPN_01014	Betaine/choline/glycine transport protein (BCCT family)	GO:0005886:IEA|GO:0022857:IEA	PF02028	BCCT	IPR018093|IPR000060		A6T778
A6T7A2	272620	rutA	Pyrimidine monooxygenase RutA	GO:0008726:IEA|GO:0052614:IEA|GO:0046306:IEA|GO:0019740:IEA|GO:0006212:IEA	PF00296	Bac_luciferase	IPR011251|IPR036661|IPR019914|IPR050172	1.14.99.46	A6T7A2
A6T7E6	272620	rluC	Pseudouridine synthase	GO:0160141:IEA|GO:0003723:IEA|GO:0000455:IEA	PF00849|PF01479	PseudoU_synth_2|S4	IPR020103|IPR006224|IPR006225|IPR006145|IPR050188|IPR002942|IPR036986	5.4.99.-	A6T7E6
A6T7K9	272620	KPN_01147	ABM domain-containing protein		PF03992	ABM	IPR007138|IPR011008|IPR052936		A6T7K9
A6T7N4	272620	yeaP	diguanylate cyclase	GO:0005886:IEA|GO:0052621:IEA|GO:0005525:IEA|GO:0043709:IEA|GO:1902201:IEA	PF13185|PF00990	GAF_2|GGDEF	IPR050469|IPR003018|IPR029016|IPR000160|IPR029787|IPR043128	2.7.7.65	A6T7N4
A6T812	272620	pspD	Phage shock protein		PF09584	Phageshock_PspD	IPR014321		A6T812
A6T857	272620	KPN_01346	Transposase, IS4		PF13737	DDE_Tnp_1_5	IPR053172|IPR025668|IPR053520		A6T857
A6T8A9	272620	KPN_01398	Uncharacterized protein						A6T8A9
A6T8D5	272620	KPN_01424	Electron transfer flavoprotein subunit beta		PF13554	Phage_tail_terminator_5	IPR025395		A6T8D5
A6T8D6	272620	KPN_01425	Membrane component of transport system		PF18906	Phage_tube_2	IPR044000		A6T8D6
A6T8E7	272620	KPN_01436	Invertase	GO:0003677:IEA|GO:0000150:IEA	PF02796|PF00239	HTH_7|Resolvase	IPR009057|IPR006119|IPR036162|IPR006120		A6T8E7
A6T8M2	272620	malX	PTS family enzyme IIC/enzyme IIB	GO:0005886:IEA|GO:0016301:IEA|GO:0008982:IEA|GO:0090564:IEA|GO:1904659:IEA|GO:0009401:IEA	PF00367|PF02378	PTS_EIIB|PTS_EIIC	IPR036878|IPR018113|IPR003352|IPR013013|IPR050429|IPR001996|IPR011301|IPR004719		A6T8M2
