"Gene ID","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol"
"YAL024C","Saccharomyces cerevisiae S288C","BK006935:101,565..105,872(-)","mitotic regulator LTE1","No","1","LTE1"
"YAL025C","Saccharomyces cerevisiae S288C","BK006935:100,225..101,145(-)","ribosome biosynthesis protein MAK16","No","1","MAK16"
"YAL026C","Saccharomyces cerevisiae S288C","BK006935:95,630..99,697(-)","aminophospholipid-translocating P4-type ATPase DRS2","No","1","DRS2"
"YAL027W","Saccharomyces cerevisiae S288C","BK006935:94,687..95,472(+)","DNA-binding protein SAW1","No","1","SAW1"
"YAL028W","Saccharomyces cerevisiae S288C","BK006935:92,900..94,486(+)","Frt2p","No","1","FRT2"
"YAL029C","Saccharomyces cerevisiae S288C","BK006935:87,855..92,270(-)","myosin 4","No","1","MYO4"
"YAL030W","Saccharomyces cerevisiae S288C","BK006935:87,286..87,752(+)","SNAP receptor SNC1","No","1","SNC1"
"YAL031C","Saccharomyces cerevisiae S288C","BK006935:84,749..87,031(-)","protein phosphatase regulator GIP4","No","1","GIP4"
"YAL032C","Saccharomyces cerevisiae S288C","BK006935:83,335..84,474(-)","mRNA splicing protein PRP45","No","1","PRP45"
"YAL033W","Saccharomyces cerevisiae S288C","BK006935:82,706..83,227(+)","RNA-binding protein POP5","No","1","POP5"
"YAL034C","Saccharomyces cerevisiae S288C","BK006935:80,710..81,951(-)","Fun19p","No","1","FUN19"
"YAL034W-A","Saccharomyces cerevisiae S288C","BK006935:79,718..80,587(+)","MIND complex subunit MTW1","No","1","MTW1"
"YAL035W","Saccharomyces cerevisiae S288C","BK006935:76,427..79,435(+)","translation initiation factor eIF5B","No","1","FUN12"
"YAL036C","Saccharomyces cerevisiae S288C","BK006935:75,043..76,152(-)","GTP-binding protein RBG1","No","1","RBG1"
"YAL037C-A","Saccharomyces cerevisiae S288C","BK006935:73,426..73,518(-)","hypothetical protein","No","1","N/A"
"YAL037W","Saccharomyces cerevisiae S288C","BK006935:74,020..74,823(+)","hypothetical protein","No","1","N/A"
"YAL038W","Saccharomyces cerevisiae S288C","BK006935:71,786..73,288(+)","pyruvate kinase CDC19","No","1","CDC19"
"YAL039C","Saccharomyces cerevisiae S288C","BK006935:68,716..69,525(-)","holocytochrome c synthase CYC3","No","1","CYC3"
"YAL040C","Saccharomyces cerevisiae S288C","BK006935:65,778..67,520(-)","cyclin CLN3","No","1","CLN3"
"YAL041W","Saccharomyces cerevisiae S288C","BK006935:62,840..65,404(+)","Rho family guanine nucleotide exchange factor CDC24","No","1","CDC24"
"YAL042W","Saccharomyces cerevisiae S288C","BK006935:61,316..62,563(+)","Erv46p","No","1","ERV46"
"YAL043C","Saccharomyces cerevisiae S288C","BK006935:58,695..61,052(-)","RNA-processing protein PTA1","No","1","PTA1"
"YAL044C","Saccharomyces cerevisiae S288C","BK006935:57,950..58,462(-)","glycine decarboxylase subunit H","No","1","GCV3"
"YAL044W-A","Saccharomyces cerevisiae S288C","BK006935:57,518..57,850(+)","hypothetical protein","No","1","BOL1"
"YAL046C","Saccharomyces cerevisiae S288C","BK006935:57,029..57,385(-)","Aim1p","No","1","BOL3"
"YAL047C","Saccharomyces cerevisiae S288C","BK006935:54,989..56,857(-)","gamma-tubulin complex subunit SPC72","No","1","SPC72"
"YAL048C","Saccharomyces cerevisiae S288C","BK006935:52,801..54,789(-)","ERMES complex Ca(2+)-binding regulatory GTPase GEM1","No","1","GEM1"
"YAL049C","Saccharomyces cerevisiae S288C","BK006935:51,855..52,595(-)","protein AIM2","No","1","AIM2"
"YAL051W","Saccharomyces cerevisiae S288C","BK006935:48,564..51,707(+)","oleate-activated transcription factor OAF1","No","1","OAF1"
"YAL053W","Saccharomyces cerevisiae S288C","BK006935:45,899..48,250(+)","flavin adenine dinucleotide transporter FLC2","No","1","FLC2"
"YAL054C","Saccharomyces cerevisiae S288C","BK006935:42,881..45,022(-)","acetate--CoA ligase 1","No","1","ACS1"
"YAL055W","Saccharomyces cerevisiae S288C","BK006935:42,177..42,719(+)","ubiquitin-protein transferase activating protein PEX22","No","1","PEX22"
"YAL056W","Saccharomyces cerevisiae S288C","BK006935:39,259..41,901(+)","Gpb2p","No","1","GPB2"
"YAL058W","Saccharomyces cerevisiae S288C","BK006935:37,464..38,972(+)","calnexin","No","1","CNE1"
"YAL059W","Saccharomyces cerevisiae S288C","BK006935:36,509..37,147(+)","Ecm1p","No","1","ECM1"
"YAL060W","Saccharomyces cerevisiae S288C","BK006935:35,155..36,303(+)","(R,R)-butanediol dehydrogenase","No","1","BDH1"
"YAL061W","Saccharomyces cerevisiae S288C","BK006935:33,448..34,701(+)","putative dehydrogenase BDH2","No","1","BDH2"
"YAL062W","Saccharomyces cerevisiae S288C","BK006935:31,567..32,940(+)","glutamate dehydrogenase (NADP(+)) GDH3","No","1","GDH3"
"YAL063C-A","Saccharomyces cerevisiae S288C","BK006935:22,395..22,685(-)","hypothetical protein","No","1","N/A"
"YAL063C","Saccharomyces cerevisiae S288C","BK006935:24,000..27,968(-)","flocculin FLO9","No","1","FLO9"
"YAL064C-A","Saccharomyces cerevisiae S288C","BK006935:13,363..13,743(-)","Tda8p","No","1","TDA8"
"YAL064W-B","Saccharomyces cerevisiae S288C","BK006935:12,046..12,426(+)","hypothetical protein","No","1","N/A"
"YAL064W","Saccharomyces cerevisiae S288C","BK006935:21,566..21,850(+)","hypothetical protein","No","1","N/A"
"YAL065C","Saccharomyces cerevisiae S288C","BK006935:11,565..11,951(-)","hypothetical protein","No","1","N/A"
"YAL067C","Saccharomyces cerevisiae S288C","BK006935:7,235..9,016(-)","putative permease SEO1","No","1","SEO1"
"YAL067W-A","Saccharomyces cerevisiae S288C","BK006935:2,480..2,707(+)","hypothetical protein","No","1","N/A"
"YAL068C","Saccharomyces cerevisiae S288C","BK006935:1,807..2,169(-)","seripauperin PAU8","No","1","PAU8"
"YAR007C","Saccharomyces cerevisiae S288C","BK006935:156,754..158,619(-)","replication factor A subunit protein RFA1","No","1","RFA1"
"YAR003W","Saccharomyces cerevisiae S288C","BK006935:155,005..156,285(+)","COMPASS subunit protein SWD1","No","1","SWD1"
"YAR002C-A","Saccharomyces cerevisiae S288C","BK006935:154,065..154,724(-)","Erp1p","No","1","ERP1"
"YAR002W","Saccharomyces cerevisiae S288C","BK006935:152,257..153,876(+)","FG-nucleoporin NUP60","No","1","NUP60"
"YAR008W","Saccharomyces cerevisiae S288C","BK006935:158,966..159,793(+)","tRNA splicing endonuclease subunit SEN34","No","1","SEN34"
"YAR009C","Saccharomyces cerevisiae S288C","BK006935:160,597..164,187(-)","truncated gag-pol fusion protein","No","1","TY1B-A"
"YAR010C","Saccharomyces cerevisiae S288C","BK006935:164,544..165,866(-)","gag protein","No","1","TY1A-PR1"
"YAR014C","Saccharomyces cerevisiae S288C","BK006935:166,742..168,871(-)","protein phosphatase regulator BUD14","No","1","BUD14"
"YAR015W","Saccharomyces cerevisiae S288C","BK006935:169,375..170,295(+)","phosphoribosylaminoimidazolesuccinocarboxamide synthase","No","1","ADE1"
"YAR018C","Saccharomyces cerevisiae S288C","BK006935:170,396..171,703(-)","serine/threonine protein kinase KIN3","No","1","KIN3"
"YAR019C","Saccharomyces cerevisiae S288C","BK006935:172,211..175,135(-)","serine/threonine protein kinase CDC15","No","1","CDC15"
"YAR020C","Saccharomyces cerevisiae S288C","BK006935:176,856..177,023(-)","seripauperin PAU7","No","1","PAU7"
"YAR023C","Saccharomyces cerevisiae S288C","BK006935:179,281..179,820(-)","DUP240 family protein","No","1","N/A"
"YAR027W","Saccharomyces cerevisiae S288C","BK006935:183,770..184,477(+)","DUP240 family protein UIP3","No","1","UIP3"
"YAR028W","Saccharomyces cerevisiae S288C","BK006935:184,892..185,596(+)","DUP240 family protein","No","1","N/A"
"YAR029W","Saccharomyces cerevisiae S288C","BK006935:186,321..186,545(+)","DUP240 family protein","No","1","N/A"
"YAR031W","Saccharomyces cerevisiae S288C","BK006935:186,836..187,732(+)","pheromone-regulated DUP240 family protein PRM9","No","1","PRM9"
"YAR033W","Saccharomyces cerevisiae S288C","BK006935:188,107..188,811(+)","DUP240 family protein MST28","No","1","MST28"
"YAR035C-A","Saccharomyces cerevisiae S288C","BK006935:192,337..192,417(-)","hypothetical protein","No","1","N/A"
"YAR035W","Saccharomyces cerevisiae S288C","BK006935:190,193..192,256(+)","carnitine O-acetyltransferase YAT1","No","1","YAT1"
"YAR042W","Saccharomyces cerevisiae S288C","BK006935:192,619..196,185(+)","oxysterol-binding protein related protein SWH1","No","1","SWH1"
"YAR050W","Saccharomyces cerevisiae S288C","BK006935:203,403..208,016(+)","flocculin FLO1","No","1","FLO1"
"YAR064W","Saccharomyces cerevisiae S288C","BK006935:220,198..220,497(+)","hypothetical protein","No","1","N/A"
"YAR066W","Saccharomyces cerevisiae S288C","BK006935:221,049..221,660(+)","hypothetical protein","No","1","N/A"
"YAR068W","Saccharomyces cerevisiae S288C","BK006935:222,406..222,891(+)","hypothetical protein","No","1","N/A"
"YAR071W","Saccharomyces cerevisiae S288C","BK006935:225,460..226,863(+)","acid phosphatase PHO11","No","1","PHO11"
"YBL001C","Saccharomyces cerevisiae S288C","BK006936:237,153..237,467(-)","Ecm15p","No","1","ECM15"
"YBL002W","Saccharomyces cerevisiae S288C","BK006936:236,492..236,887(+)","histone H2B","No","1","HTB2"
"YBL003C","Saccharomyces cerevisiae S288C","BK006936:235,394..235,792(-)","histone H2A","No","1","HTA2"
"YBL004W","Saccharomyces cerevisiae S288C","BK006936:227,636..235,117(+)","Utp20p","No","1","UTP20"
"YBL005W-A","Saccharomyces cerevisiae S288C","BK006936:221,330..222,652(+)","gag protein","No","1","TY1A-BL"
"YBL005W-B","Saccharomyces cerevisiae S288C","BK006936:221,330..226,598(+)","gag-pol fusion protein","No","1","TY1B-BL"
"YBL005W","Saccharomyces cerevisiae S288C","BK006936:217,470..220,400(+)","drug-responsive transcription factor PDR3","No","1","PDR3"
"YBL006C","Saccharomyces cerevisiae S288C","BK006936:216,587..217,129(-)","Ldb7p","No","1","LDB7"
"YBL007C","Saccharomyces cerevisiae S288C","BK006936:212,632..216,366(-)","cytoskeletal protein-binding protein SLA1","No","1","SLA1"
"YBL008W-A","Saccharomyces cerevisiae S288C","BK006936:209,409..209,648(+)","hypothetical protein","No","1","N/A"
"YBL010C","Saccharomyces cerevisiae S288C","BK006936:206,107..206,949(-)","hypothetical protein","No","1","LAA2"
"YBL008W","Saccharomyces cerevisiae S288C","BK006936:209,653..212,175(+)","Hir1p","No","1","HIR1"
"YBL009W","Saccharomyces cerevisiae S288C","BK006936:207,194..209,224(+)","protein kinase ALK2","No","1","ALK2"
"YBL011W","Saccharomyces cerevisiae S288C","BK006936:203,538..205,817(+)","bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1","No","1","SCT1"
"YBL013W","Saccharomyces cerevisiae S288C","BK006936:202,056..203,261(+)","methionyl-tRNA formyltransferase","No","1","FMT1"
"YBL014C","Saccharomyces cerevisiae S288C","BK006936:199,064..201,748(-)","Rrn6p","No","1","RRN6"
"YBL015W","Saccharomyces cerevisiae S288C","BK006936:194,122..195,702(+)","acetyl-CoA hydrolase","No","1","ACH1"
"YBL016W","Saccharomyces cerevisiae S288C","BK006936:192,451..193,512(+)","mitogen-activated serine/threonine-protein kinase FUS3","No","1","FUS3"
"YBL017C","Saccharomyces cerevisiae S288C","BK006936:186,844..191,583(-)","type I sorting receptor","No","1","PEP1"
"YBL018C","Saccharomyces cerevisiae S288C","BK006936:185,998..186,474(-)","ribonuclease P","No","1","POP8"
"YBL019W","Saccharomyces cerevisiae S288C","BK006936:184,353..185,915(+)","DNA-(apurinic or apyrimidinic site) lyase APN2","No","1","APN2"
"YBL020W","Saccharomyces cerevisiae S288C","BK006936:182,401..184,125(+)","glycolipid translocation protein","No","1","RFT1"
"YBL021C","Saccharomyces cerevisiae S288C","BK006936:181,660..182,094(-)","Hap3p","No","1","HAP3"
"YBL022C","Saccharomyces cerevisiae S288C","BK006936:177,874..181,275(-)","ATP-dependent Lon protease PIM1","No","1","PIM1"
"YBL023C","Saccharomyces cerevisiae S288C","BK006936:174,920..177,526(-)","MCM DNA helicase complex subunit MCM2","No","1","MCM2"
"YBL024W","Saccharomyces cerevisiae S288C","BK006936:172,534..174,588(+)","tRNA (cytosine-5-)-methyltransferase","No","1","NCL1"
"YBL025W","Saccharomyces cerevisiae S288C","BK006936:171,481..171,918(+)","Rrn10p","No","1","RRN10"
"YBL026W","Saccharomyces cerevisiae S288C","BK006936:170,623..171,038(+)","Sm-like protein LSM2","No","1","LSM2"
"YBL027W","Saccharomyces cerevisiae S288C","BK006936:168,423..169,376(+)","ribosomal 60S subunit protein L19B","No","1","RPL19B"
"YBL028C","Saccharomyces cerevisiae S288C","BK006936:167,518..167,838(-)","hypothetical protein","No","1","N/A"
"YBL029C-A","Saccharomyces cerevisiae S288C","BK006936:164,488..164,772(-)","hypothetical protein","No","1","N/A"
"YBL029W","Saccharomyces cerevisiae S288C","BK006936:166,134..167,264(+)","hypothetical protein","No","1","N/A"
"YBL030C","Saccharomyces cerevisiae S288C","BK006936:163,041..163,997(-)","ADP/ATP carrier protein PET9","No","1","PET9"
"YBL031W","Saccharomyces cerevisiae S288C","BK006936:161,699..162,715(+)","She1p","No","1","SHE1"
"YBL032W","Saccharomyces cerevisiae S288C","BK006936:160,184..161,329(+)","Hek2p","No","1","HEK2"
"YBL033C","Saccharomyces cerevisiae S288C","BK006936:158,656..159,693(-)","GTP cyclohydrolase II","No","1","RIB1"
"YBL034C","Saccharomyces cerevisiae S288C","BK006936:153,848..158,389(-)","Stu1p","No","1","STU1"
"YBL035C","Saccharomyces cerevisiae S288C","BK006936:151,493..153,610(-)","DNA-directed DNA polymerase alpha subunit POL12","No","1","POL12"
"YBL036C","Saccharomyces cerevisiae S288C","BK006936:150,447..151,220(-)","hypothetical protein","No","1","N/A"
"YBL037W","Saccharomyces cerevisiae S288C","BK006936:147,209..150,286(+)","Apl3p","No","1","APL3"
"YBL038W","Saccharomyces cerevisiae S288C","BK006936:146,187..146,885(+)","mitochondrial 54S ribosomal protein YmL47","No","1","MRPL16"
"YBL039C","Saccharomyces cerevisiae S288C","BK006936:143,989..145,728(-)","CTP synthase URA7","No","1","URA7"
"YBL039W-B","Saccharomyces cerevisiae S288C","BK006936:143,393..143,572(+)","hypothetical protein","No","1","MIN6"
"YBL040C","Saccharomyces cerevisiae S288C","BK006936:142,112..142,868(-)","Erd2p","No","1","ERD2"
"YBL041W","Saccharomyces cerevisiae S288C","BK006936:141,247..141,972(+)","proteasome core particle subunit beta 6","No","1","PRE7"
"YBL042C","Saccharomyces cerevisiae S288C","BK006936:138,341..140,260(-)","uridine permease","No","1","FUI1"
"YBL043W","Saccharomyces cerevisiae S288C","BK006936:136,688..137,461(+)","Ecm13p","No","1","ECM13"
"YBL044W","Saccharomyces cerevisiae S288C","BK006936:135,998..136,366(+)","hypothetical protein","No","1","N/A"
"YBL045C","Saccharomyces cerevisiae S288C","BK006936:134,143..135,516(-)","ubiquinol--cytochrome-c reductase subunit COR1","No","1","COR1"
"YBL046W","Saccharomyces cerevisiae S288C","BK006936:132,424..133,749(+)","Psy4p","No","1","PSY4"
"YBL047C","Saccharomyces cerevisiae S288C","BK006936:127,895..132,040(-)","Ede1p","No","1","EDE1"
"YBL049W","Saccharomyces cerevisiae S288C","BK006936:126,828..127,244(+)","Moh1p","No","1","MOH1"
"YBL050W","Saccharomyces cerevisiae S288C","BK006936:125,125..126,119(+)","Sec17p","No","1","SEC17"
"YBL051C","Saccharomyces cerevisiae S288C","BK006936:122,753..124,759(-)","Pin4p","No","1","PIN4"
"YBL052C","Saccharomyces cerevisiae S288C","BK006936:119,379..121,874(-)","Sas3p","No","1","SAS3"
"YBL054W","Saccharomyces cerevisiae S288C","BK006936:117,589..119,166(+)","Tod6p","No","1","TOD6"
"YBL055C","Saccharomyces cerevisiae S288C","BK006936:115,573..116,829(-)","3'-5'-exodeoxyribonuclease","No","1","N/A"
"YBL056W","Saccharomyces cerevisiae S288C","BK006936:113,762..115,168(+)","type 2C protein phosphatase PTC3","No","1","PTC3"
"YBL057C","Saccharomyces cerevisiae S288C","BK006936:112,801..113,427(-)","aminoacyl-tRNA hydrolase","No","1","PTH2"
"YBL058W","Saccharomyces cerevisiae S288C","BK006936:111,437..112,708(+)","protein phosphatase regulator SHP1","No","1","SHP1"
"YBL059C-A","Saccharomyces cerevisiae S288C","BK006936:110,125..110,539(-)","Cmc2p","No","1","CMC2"
"YBL059W","Saccharomyces cerevisiae S288C","BK006936:110,594..111,244(+)","hypothetical protein","No","1","IAI11"
"YBL060W","Saccharomyces cerevisiae S288C","BK006936:107,932..109,995(+)","Arf family guanine nucleotide exchange factor YEL1","No","1","YEL1"
"YBL061C","Saccharomyces cerevisiae S288C","BK006936:105,316..107,406(-)","Skt5p","No","1","SKT5"
"YBL063W","Saccharomyces cerevisiae S288C","BK006936:101,886..105,221(+)","Kip1p","No","1","KIP1"
"YBL064C","Saccharomyces cerevisiae S288C","BK006936:100,371..101,156(-)","thioredoxin peroxidase PRX1","No","1","PRX1"
"YBL066C","Saccharomyces cerevisiae S288C","BK006936:96,669..100,115(-)","Sef1p","No","1","SEF1"
"YBL067C","Saccharomyces cerevisiae S288C","BK006936:93,639..95,882(-)","ubiquitin-specific protease UBP13","No","1","UBP13"
"YBL068W","Saccharomyces cerevisiae S288C","BK006936:92,414..93,394(+)","ribose phosphate diphosphokinase subunit PRS4","No","1","PRS4"
"YBL069W","Saccharomyces cerevisiae S288C","BK006936:90,741..92,030(+)","Ast1p","No","1","AST1"
"YBL071C-B","Saccharomyces cerevisiae S288C","BK006936:89,458..89,556(-)","hypothetical protein","No","1","N/A"
"YBL071W-A","Saccharomyces cerevisiae S288C","BK006936:89,978..90,226(+)","Kti11p","No","1","KTI11"
"YBL072C","Saccharomyces cerevisiae S288C","BK006936:88,523..89,125(-)","ribosomal 40S subunit protein S8A","No","1","RPS8A"
"YBL074C","Saccharomyces cerevisiae S288C","BK006936:86,722..87,789(-)","U5 snRNP complex subunit AAR2","No","1","AAR2"
"YBL075C","Saccharomyces cerevisiae S288C","BK006936:84,499..86,448(-)","Hsp70 family ATPase SSA3","No","1","SSA3"
"YBL076C","Saccharomyces cerevisiae S288C","BK006936:81,043..84,261(-)","isoleucine--tRNA ligase ILS1","No","1","ILS1"
"YBL078C","Saccharomyces cerevisiae S288C","BK006936:80,378..80,731(-)","ubiquitin-like protein ATG8","No","1","ATG8"
"YBL079W","Saccharomyces cerevisiae S288C","BK006936:75,259..79,767(+)","Nup170p","No","1","NUP170"
"YBL080C","Saccharomyces cerevisiae S288C","BK006936:73,070..74,695(-)","glutamyl-tRNA(Gln) amidotransferase subunit PET112","No","1","PET112"
"YBL081W","Saccharomyces cerevisiae S288C","BK006936:71,866..72,972(+)","hypothetical protein","No","1","N/A"
"YBL082C","Saccharomyces cerevisiae S288C","BK006936:69,751..71,127(-)","dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase","No","1","ALG3"
"YBL084C","Saccharomyces cerevisiae S288C","BK006936:67,169..69,445(-)","anaphase promoting complex subunit CDC27","No","1","CDC27"
"YBL085W","Saccharomyces cerevisiae S288C","BK006936:63,876..66,818(+)","Boi1p","No","1","BOI1"
"YBL086C","Saccharomyces cerevisiae S288C","BK006936:61,202..62,602(-)","hypothetical protein","No","1","N/A"
"YBL087C","Saccharomyces cerevisiae S288C","BK006936:59,822..60,739(-)","ribosomal 60S subunit protein L23A","No","1","RPL23A"
"YBL088C","Saccharomyces cerevisiae S288C","BK006936:51,019..59,382(-)","DNA-binding protein kinase TEL1","No","1","TEL1"
"YBL089W","Saccharomyces cerevisiae S288C","BK006936:49,574..50,953(+)","amino acid transporter","No","1","AVT5"
"YBL090W","Saccharomyces cerevisiae S288C","BK006936:48,825..49,358(+)","mitochondrial 37S ribosomal protein MRP21","No","1","MRP21"
"YBL091C-A","Saccharomyces cerevisiae S288C","BK006936:46,565..47,180(-)","phospholipid metabolism-regulating protein SCS22","No","1","SCS22"
"YBL091C","Saccharomyces cerevisiae S288C","BK006936:47,363..48,628(-)","methionine aminopeptidase","No","1","MAP2"
"YBL092W","Saccharomyces cerevisiae S288C","BK006936:45,978..46,370(+)","ribosomal 60S subunit protein L32","No","1","RPL32"
"YBL093C","Saccharomyces cerevisiae S288C","BK006936:44,256..44,918(-)","Rox3p","No","1","ROX3"
"YBL095W","Saccharomyces cerevisiae S288C","BK006936:43,277..44,089(+)","Mrx3p","No","1","MRX3"
"YBL097W","Saccharomyces cerevisiae S288C","BK006936:40,831..43,095(+)","condensin subunit BRN1","No","1","BRN1"
"YBL098W","Saccharomyces cerevisiae S288C","BK006936:39,145..40,527(+)","kynurenine 3-monooxygenase","No","1","BNA4"
"YBL099W","Saccharomyces cerevisiae S288C","BK006936:37,053..38,690(+)","F1F0 ATP synthase subunit alpha","No","1","ATP1"
"YBL100W-A","Saccharomyces cerevisiae S288C","BK006936:29,935..31,251(+)","gag protein","No","1","TY2A-B"
"YBL100W-B","Saccharomyces cerevisiae S288C","BK006936:29,935..35,248(+)","gag-pol fusion protein","No","1","TY2B-B"
"YBL100W-C","Saccharomyces cerevisiae S288C","BK006936:28,427..28,546(+)","hypothetical protein","No","1","N/A"
"YBL101C","Saccharomyces cerevisiae S288C","BK006936:24,946..28,299(-)","Ecm21p","No","1","ECM21"
"YBL102W","Saccharomyces cerevisiae S288C","BK006936:24,098..24,745(+)","Sft2p","No","1","SFT2"
"YBL103C","Saccharomyces cerevisiae S288C","BK006936:22,076..23,536(-)","Rtg3p","No","1","RTG3"
"YBL104C","Saccharomyces cerevisiae S288C","BK006936:18,177..21,293(-)","Sea4p","No","1","SEA4"
"YBL105C","Saccharomyces cerevisiae S288C","BK006936:14,241..17,696(-)","protein kinase C","No","1","PKC1"
"YBL106C","Saccharomyces cerevisiae S288C","BK006936:10,847..13,879(-)","putative Rab GTPase-binding protein SRO77","No","1","SRO77"
"YBL107C","Saccharomyces cerevisiae S288C","BK006936:9,961..10,551(-)","Mix23p","No","1","MIX23"
"YBL108C-A","Saccharomyces cerevisiae S288C","BK006936:7,605..7,733(-)","seripauperin PAU9","No","1","PAU9"
"YBL111C","Saccharomyces cerevisiae S288C","BK006936:2,907..5,009(-)","hypothetical protein","No","1","N/A"
