accession	taxon_id	gene_name	description	go_ids	pfam_ids	pfam_names	interpro_ids	ec_numbers	alphafold_id
B2ULS4	349741		Sialate O-acetylesterase domain-containing protein	GO:0016788:IEA	PF03629	SASA	IPR005181|IPR036514		B2ULS4
B2ULS9	349741		Peptidoglycan binding domain-containing protein		PF09374	PG_binding_3	IPR023346|IPR018537		B2ULS9
B2ULT4	349741		Peptidase M28	GO:0016603:IEA|GO:0008270:IEA	PF04389	Peptidase_M28	IPR007484|IPR040234		B2ULT4
B2ULT6	349741		VWFA domain-containing protein				IPR029062|IPR013783|IPR036465		B2ULT6
B2ULT8	349741		Uncharacterized protein						B2ULT8
B2ULU5	349741		4-phytase	GO:0043190:IEA|GO:0030288:IEA|GO:0008707:IEA|GO:1904680:IEA|GO:0015833:IEA	PF00496	SBP_bac_5	IPR030678|IPR039424|IPR000914	3.1.3.26	B2ULU5
B2ULX0	349741	pyrG	CTP synthase	GO:0097268:IEA|GO:0005829:IEA|GO:0005524:IEA|GO:0003883:IEA|GO:0004359:IEA|GO:0042802:IEA|GO:0046872:IEA|GO:0044210:IEA|GO:0019856:IEA	PF06418|PF00117	CTP_synth_N|GATase	IPR029062|IPR004468|IPR017456|IPR017926|IPR033828|IPR027417	6.3.4.2	B2ULX0
B2ULX5	349741		PDZ/DHR/GLGF domain protein		PF13180	PDZ_2	IPR001478|IPR036034|IPR009003		B2ULX5
B2UM11	349741		Thioredoxin domain-containing protein				IPR036249|IPR013766		B2UM11
B2UM34	349741		Integrase family protein	GO:0003677:IEA|GO:0015074:IEA|GO:0006310:IEA	PF00589	Phage_integrase	IPR011010|IPR013762|IPR002104|IPR010998|IPR050090		B2UM34
B2UM43	349741		beta-N-acetylhexosaminidase	GO:0016020:IEA|GO:0004563:IEA|GO:0005975:IEA|GO:0030203:IEA	PF00728|PF02838	Glyco_hydro_20|Glyco_hydro_20b	IPR025705|IPR017853|IPR015883|IPR029018|IPR015882	3.2.1.52	B2UM43
B2UM91	349741		Serine/threonine protein kinase	GO:0005524:IEA|GO:0004674:IEA	PF00754	F5_F8_type_C	IPR000421|IPR008979|IPR011009|IPR000719		B2UM91
B2UMB0	349741		Enterotoxin				IPR013785|IPR017853		B2UMB0
B2UMC6	349741	def	Peptide deformylase	GO:0046872:IEA|GO:0042586:IEA|GO:0006412:IEA	PF01327	Pep_deformylase	IPR023635|IPR036821	3.5.1.88	B2UMC6
B2UMG2	349741		Histidine triad (HIT) protein	GO:0003824:IEA	PF01230	HIT	IPR001310|IPR011146|IPR036265		B2UMG2
B2UMH6	349741		Histidinol dehydrogenase	GO:0005737:IEA|GO:0004399:IEA|GO:0046872:IEA|GO:0051287:IEA|GO:0000105:IEA	PF00815	Histidinol_dh	IPR016161|IPR001692|IPR022695|IPR012131	1.1.1.23	B2UMH6
B2UMJ0	349741		Two component transcriptional regulator, winged helix family	GO:0005829:IEA|GO:0032993:IEA|GO:0000156:IEA|GO:0000976:IEA|GO:0006351:IEA|GO:0006355:IEA	PF00072|PF00486	Response_reg|Trans_reg_C	IPR011006|IPR001867|IPR016032|IPR001789|IPR039420|IPR036388		B2UMJ0
B2UMM7	349741		ErfK/YbiS/YcfS/YnhG family protein	GO:0005576:IEA|GO:0016757:IEA|GO:0071972:IEA|GO:0071555:IEA|GO:0018104:IEA|GO:0008360:IEA	PF03734	YkuD	IPR050979|IPR005490|IPR038063		B2UMM7
B2UMN9	349741		von Willebrand factor type A		PF13519	VWA_2	IPR050768|IPR002035|IPR036465		B2UMN9
B2UMQ2	349741		PDZ/DHR/GLGF domain protein	GO:0042597:IEA|GO:0006515:IEA	PF13180	PDZ_2	IPR001478|IPR036034|IPR009003|IPR043504		B2UMQ2
B2UMQ3	349741		Peptidase S1 and S6 chymotrypsin/Hap	GO:0004252:IEA|GO:0006508:IEA	PF13365	Trypsin_2	IPR009003|IPR043504|IPR001940		B2UMQ3
B2UMQ6	349741		Peptidase S24 and S26 domain protein		PF00717	Peptidase_S24	IPR036286|IPR015927		B2UMQ6
B2UMR1	349741		Sec translocon accessory complex subunit YajC	GO:0005886:IEA|GO:0015031:IEA	PF02699	YajC	IPR003849		B2UMR1
B2UMS6	349741		Glycoside hydrolase family 2 sugar binding	GO:0004553:IEA|GO:0005975:IEA	PF16355|PF00754|PF18565|PF00703|PF02836|PF02837	DUF4982|F5_F8_type_C|Glyco_hydro2_C5|Glyco_hydro_2|Glyco_hydro_2_C|Glyco_hydro_2_N	IPR036156|IPR032311|IPR000421|IPR008979|IPR048229|IPR017853|IPR051913|IPR040605|IPR006101|IPR006103|IPR006104|IPR013783|IPR006102|IPR008964		B2UMS6
B2UMT6	349741	rpsS	Small ribosomal subunit protein uS19	GO:0005737:IEA|GO:0015935:IEA|GO:0019843:IEA|GO:0003735:IEA|GO:0000028:IEA|GO:0006412:IEA	PF00203	Ribosomal_S19	IPR002222|IPR005732|IPR023575		B2UMT6
B2UMV5	349741	der	GTPase Der	GO:0005525:IEA|GO:0043022:IEA|GO:0042254:IEA	PF14714|PF01926	KH_dom-like|MMR_HSR1	IPR031166|IPR006073|IPR016484|IPR032859|IPR015946|IPR027417|IPR005225		B2UMV5
B2UMX1	349741		Uncharacterized protein						B2UMX1
B2UMY8	349741		Secreted protein						B2UMY8
B2UN18	349741		YhcH/YjgK/YiaL family protein	GO:0005829:IEA	PF04074	DUF386	IPR004375|IPR037012		B2UN18
B2UN57	349741		Binding-protein-dependent transport systems inner membrane component	GO:0005886:IEA|GO:0042884:IEA|GO:0055085:IEA	PF00528	BPD_transp_1	IPR000515|IPR035906		B2UN57
B2UN62	349741		2-dehydropantoate 2-reductase	GO:0005737:IEA|GO:0008677:IEA|GO:0015940:IEA	PF02558|PF08546	ApbA|ApbA_C	IPR008927|IPR013328|IPR003710|IPR013752|IPR051402|IPR013332|IPR036291	1.1.1.169	B2UN62
B2UN87	349741	tmk	Thymidylate kinase	GO:0005829:IEA|GO:0005524:IEA|GO:0004798:IEA|GO:0006233:IEA|GO:0006235:IEA|GO:0006227:IEA	PF02223	Thymidylate_kin	IPR027417|IPR039430|IPR018094	2.7.4.9	B2UN87
B2UN90	349741		MscS Mechanosensitive ion channel	GO:0005886:IEA|GO:0008381:IEA	PF00924|PF21082	MS_channel_2nd|MS_channel_3rd	IPR010920|IPR049278|IPR045275|IPR023408|IPR006685|IPR011066|IPR011014		B2UN90
B2UNA6	349741		Cytochrome C family protein		PF13435|PF13646|PF09699|PF13432|PF14559	Cytochrome_C554|HEAT_2|Paired_CXXCH_1|TPR_16|TPR_19	IPR011989|IPR016024|IPR023155|IPR036280|IPR010177|IPR011990|IPR019734		B2UNA6
B2UNI7	349741		PDZ/DHR/GLGF domain protein		PF17820	PDZ_6	IPR001478|IPR041489|IPR036034		B2UNI7
B2UNM6	349741		ABC transporter related	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0006826:IEA	PF00005	ABC_tran	IPR003593|IPR003439|IPR027417|IPR051535		B2UNM6
B2UNN6	349741		Efflux transporter, RND family, MFP subunit	GO:1990281:IEA|GO:0015562:IEA					B2UNN6
B2UNT4	349741		LamG domain-containing protein						B2UNT4
B2UNV6	349741		FeS assembly protein SufB	GO:0016226:IEA	PF01458|PF19295	SUFBD_core|SufBD_N	IPR055346|IPR010231|IPR000825|IPR037284|IPR045595		B2UNV6
B2UP01	349741		Uncharacterized protein						B2UP01
B2UP02	349741	purL	Phosphoribosylformylglycinamidine synthase subunit PurL	GO:0005737:IEA|GO:0005524:IEA|GO:0000287:IEA|GO:0004642:IEA|GO:0006189:IEA	PF00586|PF02769|PF18072	AIRS|AIRS_C|FGAR-AT_linker	IPR010074|IPR041609|IPR010918|IPR036676|IPR016188|IPR036921	6.3.5.3	B2UP02
B2UP05	349741		Peptidase M42 family protein	GO:0004177:IEA|GO:0046872:IEA|GO:0006508:IEA	PF05343	Peptidase_M42	IPR008007|IPR051464|IPR023367		B2UP05
B2UP35	349741		Tryptophanase	GO:0009034:IEA	PF01212	Beta_elim_lyase	IPR001597|IPR011166|IPR015424|IPR015421|IPR015422	4.1.99.1	B2UP35
B2UP39	349741	pheS	Phenylalanine--tRNA ligase alpha subunit	GO:0005737:IEA|GO:0005524:IEA|GO:0000287:IEA|GO:0004826:IEA|GO:0000049:IEA|GO:0006432:IEA	PF02912|PF01409	Phe_tRNA-synt_N|tRNA-synt_2d	IPR006195|IPR045864|IPR004529|IPR004188|IPR022911|IPR002319|IPR010978	6.1.1.20	B2UP39
B2UP46	349741		Uncharacterized protein						B2UP46
B2UP80	349741		Efflux transporter, RND family, MFP subunit	GO:0005886:IEA|GO:0022857:IEA|GO:0046677:IEA	PF25944|PF25917|PF25876	Beta-barrel_RND|BSH_RND|HH_MFP_RND	IPR058626|IPR058625|IPR058624|IPR006143		B2UP80
B2UP99	349741		Bacteriophage head to tail connecting protein		PF12236	Head-tail_con	IPR020991		B2UP99
B2UPB5	349741		Polysaccharide export protein	GO:0009279:IEA|GO:0046930:IEA|GO:0015159:IEA|GO:0015288:IEA|GO:0006811:IEA	PF02563|PF22461	Poly_export|SLBB_2	IPR049712|IPR003715|IPR054765		B2UPB5
B2UPB6	349741		non-specific protein-tyrosine kinase	GO:0005886:IEA|GO:0005524:IEA|GO:0004715:IEA	PF13614|PF13807	AAA_31|GNVR	IPR025669|IPR050445|IPR032807|IPR027417|IPR005702	2.7.10.2	B2UPB6
B2UPD7	349741		NfeD-like C-terminal domain-containing protein				IPR012340		B2UPD7
B2UPJ9	349741		Transferase hexapeptide repeat containing protein	GO:0016746:IEA	PF14602	Hexapep_2	IPR001451|IPR018357|IPR051159|IPR011004		B2UPJ9
B2UPM1	349741		Glycosyl transferase group 1	GO:0016757:IEA	PF13439|PF00534	Glyco_transf_4|Glycos_transf_1	IPR001296|IPR028098		B2UPM1
B2UPQ2	349741	pth	Peptidyl-tRNA hydrolase	GO:0005737:IEA|GO:0004045:IEA|GO:0000049:IEA|GO:0006515:IEA|GO:0072344:IEA	PF01195	Pept_tRNA_hydro	IPR001328|IPR018171|IPR036416	3.1.1.29	B2UPQ2
B2UPR3	349741	hypA	Hydrogenase maturation factor HypA	GO:0016151:IEA|GO:0008270:IEA|GO:0051604:IEA	PF01155	HypA	IPR000688		B2UPR3
B2UPU3	349741		chitinase	GO:0008061:IEA|GO:0008843:IEA|GO:0005975:IEA|GO:0006032:IEA	PF13004|PF00704|PF13385	BACON|Glyco_hydro_18|Laminin_G_3	IPR024361|IPR011583|IPR013320|IPR017853|IPR001223|IPR001579|IPR050314|IPR007110|IPR013783|IPR006558	3.2.1.14	B2UPU3
B2UPU6	349741		oligopeptidase A	GO:0005829:IEA|GO:0046872:IEA|GO:0004222:IEA|GO:0006508:IEA	PF01432|PF19310	Peptidase_M3|TOP_N	IPR034005|IPR024079|IPR024077|IPR045666|IPR045090|IPR001567	3.4.24.70	B2UPU6
B2UPU8	349741	argS	Arginine--tRNA ligase	GO:0005737:IEA|GO:0004814:IEA|GO:0005524:IEA|GO:0006420:IEA	PF03485|PF05746|PF00750	Arg_tRNA_synt_N|DALR_1|tRNA-synt_1d	IPR001412|IPR001278|IPR005148|IPR036695|IPR035684|IPR008909|IPR014729|IPR009080	6.1.1.19	B2UPU8
B2UPV0	349741		Uncharacterized protein						B2UPV0
B2UPV4	349741		Chloramphenicol phosphotransferase family protein	GO:0016740:IEA	PF07931	CPT	IPR012853|IPR027417		B2UPV4
B2UPW1	349741	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	GO:0005886:IEA|GO:0051991:IEA|GO:0050511:IEA|GO:0005975:IEA|GO:0051301:IEA|GO:0071555:IEA|GO:0009252:IEA|GO:0008360:IEA	PF04101|PF03033	Glyco_tran_28_C|Glyco_transf_28	IPR006009|IPR007235|IPR004276	2.4.1.227	B2UPW1
B2UPY2	349741		Haloacid dehalogenase-like hydrolase				IPR036412|IPR023214		B2UPY2
B2UQ43	349741		Auxin Efflux Carrier	GO:0005886:IEA|GO:0055085:IEA	PF03547	Mem_trans	IPR004776|IPR038770		B2UQ43
B2UQ89	349741		O-acetylhomoserine/O-acetylserine sulfhydrylase	GO:0005737:IEA|GO:0004124:IEA|GO:0003961:IEA|GO:0030170:IEA|GO:0006535:IEA|GO:0071269:IEA|GO:0019346:IEA	PF01053	Cys_Met_Meta_PP	IPR000277|IPR006235|IPR015424|IPR015421|IPR015422	2.5.1.47	B2UQ89
B2UQA4	349741		H(+)-transporting two-sector ATPase	GO:0005886:IEA|GO:0016787:IEA|GO:0008324:IEA|GO:0030001:IEA	PF02386	TrkH	IPR003445	3.6.3.14	B2UQA4
B2UQC4	349741		Uncharacterized protein						B2UQC4
B2UQD8	349741		Sulfate transporter	GO:0016020:IEA|GO:0055085:IEA	PF01740|PF00916	STAS|Sulfate_transp	IPR011547|IPR001902|IPR002645|IPR036513		B2UQD8
B2UQH4	349741		Heavy metal translocating P-type ATPase	GO:0012505:IEA|GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0005507:IEA|GO:0043682:IEA|GO:0055070:IEA	PF00122|PF00403|PF00702	E1-E2_ATPase|HMA|Hydrolase	IPR023299|IPR018303|IPR023298|IPR008250|IPR059000|IPR036412|IPR023214|IPR006121|IPR036163|IPR027256|IPR001757|IPR044492		B2UQH4
B2UQN0	349741	secY	Protein translocase subunit SecY	GO:0005886:IEA|GO:0065002:IEA|GO:0006605:IEA|GO:0043952:IEA	PF00344	SecY	IPR026593|IPR002208|IPR030659|IPR023201		B2UQN0
B2UQN3	349741		Acyltransferase 3 domain-containing protein	GO:0005886:IEA|GO:0016413:IEA|GO:0009246:IEA	PF01757	Acyl_transf_3	IPR002656		B2UQN3
B2UQQ4	349741	nusA	Transcription termination/antitermination protein NusA	GO:0005829:IEA|GO:0003700:IEA|GO:0003723:IEA|GO:0006353:IEA|GO:0031564:IEA	PF13184|PF26594|PF08529|PF00575	KH_NusA_1st|KH_NusA_2nd|NusA_N|S1	IPR015946|IPR058582|IPR059158|IPR009019|IPR012340|IPR059258|IPR036555|IPR003029|IPR010213|IPR025249|IPR013735|IPR030842		B2UQQ4
B2UQW4	349741		TPM domain-containing protein						B2UQW4
B2UR12	349741		Uncharacterized protein						B2UR12
B2UR55	349741		Outer membrane autotransporter barrel domain protein	GO:0009279:IEA|GO:0005576:IEA	PF03797|PF02415	Autotransporter|Chlam_PMP	IPR005546|IPR036709|IPR006626|IPR003368		
B2UR88	349741		Uncharacterized protein						B2UR88
B2URA0	349741		Aldo/keto reductase	GO:0005737:IEA|GO:0016491:IEA	PF00248	Aldo_ket_red	IPR050791|IPR036812|IPR023210|IPR006311		B2URA0
B2URH1	349741		DNA repair protein RadC	GO:0046872:IEA|GO:0008237:IEA|GO:0006508:IEA	PF04002|PF20582	RadC|UPF0758_N	IPR037518|IPR025657|IPR001405|IPR020891|IPR046778		B2URH1
B2URM3	349741		Outer membrane autotransporter barrel domain protein		PF12951	PATR	IPR005546|IPR036709|IPR013425|IPR011050		
B2URM5	349741	gyrB	DNA gyrase subunit B	GO:0005694:IEA|GO:0005737:IEA|GO:0005524:IEA|GO:0003677:IEA|GO:0003918:IEA|GO:0046872:IEA|GO:0006265:IEA|GO:0006261:IEA	PF00204|PF00986|PF02518|PF01751	DNA_gyraseB|DNA_gyraseB_C|HATPase_c|Toprim	IPR002288|IPR011557|IPR036890|IPR003594|IPR020568|IPR014721|IPR001241|IPR013760|IPR000565|IPR013759|IPR013506|IPR018522|IPR006171|IPR034160	5.6.2.2	B2URM5
B2URQ0	349741		Metallothionein						B2URQ0
B2URQ3	349741		Radical SAM domain protein	GO:0003824:IEA|GO:0051536:IEA|GO:0046872:IEA	PF04055	Radical_SAM	IPR006638|IPR040086|IPR007197|IPR031012|IPR058240		B2URQ3
B2URQ6	349741		Polymer-forming cytoskeletal protein		PF04519	Bactofilin	IPR007607		B2URQ6
B2UKM5	349741		Translation initiation factor IF-1	GO:0003743:IEA			IPR012340		B2UKM5
B2UKM6	349741	recR	Recombination protein RecR	GO:0003677:IEA|GO:0008270:IEA|GO:0006310:IEA|GO:0006281:IEA	PF21175|PF21176|PF02132|PF13662	RecR_C|RecR_HhH|RecR_ZnF|Toprim_4	IPR000093|IPR023627|IPR015967|IPR006171|IPR034137		B2UKM6
B2UKR6	349741		Uncharacterized protein	GO:0003677:IEA			IPR010982		B2UKR6
B2UKS2	349741		Uncharacterized protein						B2UKS2
B2UKW4	349741		Polysaccharide export protein	GO:0015159:IEA			IPR049712		B2UKW4
B2UKW9	349741		TraB/GumN family protein						B2UKW9
B2UKX8	349741	tilS	tRNA(Ile)-lysidine synthase	GO:0005737:IEA|GO:0005524:IEA|GO:0032267:IEA|GO:0006400:IEA	PF01171	ATP_bind_3	IPR014729|IPR011063|IPR012094|IPR012795	6.3.4.19	B2UKX8
B2UL18	349741		Methanolan biosynthesis EpsI domain-containing protein		PF11984	DUF3485	IPR014263		B2UL18
B2UL24	349741	hisH	Imidazole glycerol phosphate synthase subunit HisH	GO:0005737:IEA|GO:0004359:IEA|GO:0000107:IEA|GO:0016829:IEA|GO:0000105:IEA	PF00117	GATase	IPR029062|IPR017926|IPR010139	4.3.2.10|3.5.1.2	B2UL24
B2UL32	349741	zupT	Zinc transporter ZupT	GO:0005886:IEA|GO:0046872:IEA|GO:0005385:IEA	PF02535	Zip	IPR003689|IPR023498		B2UL32
B2UL41	349741		Uncharacterized protein						B2UL41
B2UL60	349741	dnaA	Chromosomal replication initiator protein DnaA	GO:0005737:IEA|GO:0005886:IEA|GO:0005524:IEA|GO:0003688:IEA|GO:0008289:IEA|GO:0006270:IEA|GO:0006275:IEA	PF00308|PF08299	Bac_DnaA|Bac_DnaA_C	IPR003593|IPR001957|IPR020591|IPR013159|IPR013317|IPR038454|IPR027417|IPR010921		B2UL60
B2UL72	349741		SLA1 homology domain-containing protein						B2UL72
B2ULC1	349741	leuA	2-isopropylmalate synthase	GO:0005737:IEA|GO:0003852:IEA|GO:0003985:IEA|GO:0030145:IEA|GO:0009098:IEA	PF22617|PF00682|PF08502	HCS_D2|HMGL-like|LeuA_dimer	IPR050073|IPR013709|IPR002034|IPR013785|IPR054691|IPR036230|IPR005671|IPR000891	2.3.3.13	B2ULC1
B2ULJ3	349741		Glycosyltransferase RgtA/B/C/D-like domain-containing protein		PF19528	DUF6056	IPR045691		B2ULJ3
B2ULK2	349741		Uncharacterized protein						B2ULK2
B2ULK6	349741		Citrate synthase	GO:0005829:IEA|GO:0036440:IEA|GO:0005975:IEA|GO:0006099:IEA	PF00285	Citrate_synt	IPR011278|IPR016142|IPR016143|IPR002020|IPR024176|IPR036969		B2ULK6
B2ULK7	349741		Putative tRNA (cytidine(34)-2'-O)-methyltransferase	GO:0005737:IEA|GO:0003723:IEA|GO:0141102:IEA|GO:0141098:IEA|GO:0002130:IEA	PF00588	SpoU_methylase	IPR029028|IPR001537|IPR016914|IPR029026	2.1.1.207	B2ULK7
B2ULM0	349741		tRNA-dihydrouridine synthase	GO:0050660:IEA|GO:0000049:IEA|GO:0017150:IEA	PF01207	Dus	IPR013785|IPR035587|IPR001269|IPR004652|IPR024036|IPR018517	1.3.1.-	B2ULM0
B2ULR9	349741		Uncharacterized protein				IPR026406		B2ULR9
B2ULU6	349741		alpha-L-fucosidase	GO:0005764:IEA|GO:0004560:IEA|GO:0006004:IEA|GO:0016139:IEA	PF01120	Alpha_L_fucos	IPR017853|IPR000933|IPR057739	3.2.1.51	B2ULU6
B2ULX9	349741		phosphoglycolate phosphatase	GO:0005829:IEA|GO:0008967:IEA|GO:0006281:IEA	PF13419	HAD_2	IPR050155|IPR036412|IPR006439|IPR041492|IPR023214|IPR023198	3.1.3.18	B2ULX9
B2ULZ5	349741		Ribosomal L11 methyltransferase	GO:0008276:IEA|GO:0032259:IEA	PF06325	PrmA	IPR050078|IPR004498|IPR029063		B2ULZ5
B2UM24	349741		Beta-phosphoglucomutase family hydrolase	GO:0050308:IEA	PF00702	Hydrolase	IPR010976|IPR036412|IPR051806|IPR006439|IPR023214|IPR023198		B2UM24
B2UM28	349741	rpe	Ribulose-phosphate 3-epimerase	GO:0005737:IEA|GO:0004750:IEA|GO:0046872:IEA|GO:0019323:IEA|GO:0006098:IEA	PF00834	Ribul_P_3_epim	IPR013785|IPR026019|IPR000056|IPR011060	5.1.3.1	B2UM28
B2UM53	349741		Xylose isomerase domain protein TIM barrel	GO:0016853:IEA	PF01261	AP_endonuc_2	IPR036237|IPR013022		B2UM53
B2UM58	349741		TonB-dependent receptor	GO:0009279:IEA|GO:0015344:IEA|GO:0044718:IEA	PF07715|PF00593	Plug|TonB_dep_Rec_b-barrel	IPR000531|IPR036942|IPR012910|IPR037066|IPR039426		B2UM58
B2UM67	349741		oxoglutarate dehydrogenase (succinyl-transferring)	GO:0005829:IEA|GO:0045252:IEA|GO:0004591:IEA|GO:0030976:IEA|GO:0006099:IEA	PF00676|PF16870|PF02779	E1_dh|OxoGdeHyase_C|Transket_pyr	IPR011603|IPR001017|IPR042179|IPR031717|IPR029061|IPR005475	1.2.4.2	B2UM67
B2UMA9	349741		PEP-CTERM protein-sorting domain-containing protein		PF07589	PEP-CTERM	IPR013320|IPR013424		B2UMA9
B2UMB3	349741		Efflux transporter, RND family, MFP subunit	GO:0005886:IEA|GO:0022857:IEA|GO:0046677:IEA	PF25944|PF25917|PF25876	Beta-barrel_RND|BSH_RND|HH_MFP_RND	IPR058626|IPR058625|IPR058624|IPR006143		B2UMB3
B2UME9	349741	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	GO:0005737:IEA|GO:0003864:IEA|GO:0000287:IEA|GO:0008168:IEA|GO:0032259:IEA|GO:0015940:IEA	PF02548	Pantoate_transf	IPR003700|IPR015813|IPR040442	2.1.2.11	B2UME9
B2UMJ4	349741	thrS	Threonine--tRNA ligase	GO:0005737:IEA|GO:0005524:IEA|GO:0046872:IEA|GO:0004829:IEA|GO:0000049:IEA|GO:0006435:IEA	PF03129|PF00587|PF07973	HGTP_anticodon|tRNA-synt_2b|tRNA_SAD	IPR002314|IPR006195|IPR045864|IPR004154|IPR036621|IPR002320|IPR018163|IPR047246|IPR033728|IPR012947	6.1.1.3	B2UMJ4
B2UMN2	349741		Transcriptional regulator, AsnC family	GO:0005829:IEA|GO:0043565:IEA|GO:0043200:IEA	PF01037	AsnC_trans_reg	IPR011008|IPR019888|IPR019887|IPR036388|IPR036390		B2UMN2
B2UMP1	349741		DUF4381 domain-containing protein						B2UMP1
B2UMW3	349741		Putative transcriptional regulator		PF13749|PF04326	HATPase_c_4|SLFN_AlbA_2	IPR038475|IPR007421|IPR038461|IPR036388|IPR036390		B2UMW3
B2UN19	349741		Alpha amylase catalytic region	GO:0005509:IEA|GO:0004553:IEA|GO:0005975:IEA	PF00128	Alpha-amylase	IPR013776|IPR017853|IPR006047|IPR013780		B2UN19
B2UN76	349741		DUF3341 domain-containing protein		PF11821	ActD	IPR021776		B2UN76
B2UNA9	349741	pnp	Polyribonucleotide nucleotidyltransferase	GO:0005829:IEA|GO:0000175:IEA|GO:0000287:IEA|GO:0004654:IEA|GO:0003723:IEA|GO:0006402:IEA|GO:0006396:IEA	PF00013|PF03726|PF01138|PF03725|PF00575	KH_1|PNPase|RNase_PH|RNase_PH_C|S1	IPR001247|IPR015847|IPR036345|IPR004087|IPR004088|IPR036612|IPR012340|IPR012162|IPR027408|IPR015848|IPR036456|IPR020568|IPR003029	2.7.7.8	B2UNA9
B2UNE6	349741		HEAT repeat domain-containing protein				IPR011989|IPR016024		B2UNE6
B2UNJ5	349741	aroC	Chorismate synthase	GO:0005829:IEA|GO:0004107:IEA|GO:0010181:IEA|GO:0008652:IEA|GO:0009073:IEA|GO:0009423:IEA	PF01264	Chorismate_synt	IPR000453|IPR035904|IPR020541	4.2.3.5	B2UNJ5
B2UNN7	349741		YbjN domain-containing protein		PF10722	YbjN	IPR019660		B2UNN7
