Gene ID,Gene Name or Symbol,Product Description
AN0070,N/A,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase
AN0071,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12320, A. niger CBS 513.88 : An01g02090, A. oryzae RIB40 : AO090120000349, Aspergillus wentii : Aspwe1_0026685 and Aspergillus sydowii : Aspsy1_0027598"
AN0072,N/A,Putative pseudouridine synthase with a predicted role in pyrimidine metabolism
AN0073,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12302, A. niger CBS 513.88 : An01g02110, A. oryzae RIB40 : AO090120000347, Aspergillus wentii : Aspwe1_0170763 and Aspergillus sydowii : Aspsy1_0195064"
AN0074,N/A,"Ortholog(s) have mRNA binding activity, role in nuclear division, rRNA processing, ribosomal large subunit biogenesis and mitotic spindle pole body, nuclear periphery, nucleolus, preribosome, large subunit precursor localization"
AN0075,N/A,Putative protein disulfide isomerase
AN0076,N/A,"Ortholog(s) have role in cellular response to DNA damage stimulus, interspecies interaction between organisms and cytoplasmic mRNA processing body, cytosol, nuclear periphery, polysome localization"
AN0077,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0078,N/A,MYND zinc-finger protein
AN0080,N/A,Putative aldolase with a predicted role in naphthalene degradation
AN0081,N/A,"Beta subunit of a heterotrimeric G protein composed of FadA, SfaD, GpgA and involved in regulation of proliferation and conidiophore development"
AN0082,N/A,Phosducin-like protein
AN0083,N/A,Transcription initiation factor subunit
AN0084,N/A,"Ortholog(s) have GTPase activator activity, Ran GTPase binding activity"
AN0085,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12170, A. niger CBS 513.88 : An18g02150, A. oryzae RIB40 : AO090120000334, Aspergillus wentii : Aspwe1_0026669 and Aspergillus sydowii : Aspsy1_0040526"
AN0086,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0087,N/A,"Ortholog(s) have cell division site, cell tip, cytoplasm localization"
AN0088,N/A,"Ortholog(s) have Golgi apparatus, fungal-type vacuole membrane localization"
AN0089,N/A,Putative small GTPase involved in endosomal maturation and vacuolar biogenesis
AN0090,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12120, A. niger CBS 513.88 : An18g02220/atg16, Aspergillus wentii : Aspwe1_0170744, Aspergillus sydowii : Aspsy1_0040537 and Aspergillus terreus NIH2624 : ATET_02061"
AN0091,N/A,"Ortholog(s) have histone methyltransferase activity (H3-K79 specific), nucleosomal histone binding activity"
AN0092,N/A,Putative methyltransferase with a predicted role in histidine metabolism
AN0093,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12090, A. niger CBS 513.88 : An18g02240, A. oryzae RIB40 : AO090120000325, Aspergillus wentii : Aspwe1_0445637 and Aspergillus terreus NIH2624 : ATET_02066"
AN0094,N/A,"Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization"
AN0095,N/A,Has domain(s) with predicted calcium ion binding activity
AN0096,N/A,"Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, nucleic acid binding, zinc ion binding activity"
AN0097,N/A,"Ortholog(s) have role in DNA recombination, double-strand break repair via nonhomologous end joining and DNA ligase IV complex, nuclear chromatin, nucleolus localization"
AN0098,N/A,Putative Gal4-type zinc finger protein that regulates expression of genes involved in nitrate assimilation
AN0099,N/A,protein of unknown function
AN0100,N/A,"Has domain(s) with predicted oxidoreductase activity, transferase activity, transferring acyl groups other than amino-acyl groups activity and role in oxidation-reduction process"
AN0101,N/A,"Has domain(s) with predicted oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process"
AN0102,N/A,"Has domain(s) with predicted catalytic activity, nitronate monooxygenase activity and role in oxidation-reduction process"
AN0103,N/A,Protein phosphatase
AN0104,N/A,Ortholog(s) have role in protein N-linked glycosylation and endoplasmic reticulum localization
AN0105,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0106,N/A,Protein kinase C
AN0107,N/A,"Ortholog of Aspergillus versicolor : Aspve1_0157204, Aspergillus zonatus : Aspzo1_0055006, Aspergillus sydowii : Aspsy1_0195148 and Aspergillus aculeatus ATCC16872 : Aacu16872_016220"
AN0108,N/A,"Ortholog of A. fumigatus Af293 : Afu5g11940, A. niger CBS 513.88 : An18g02440, Aspergillus wentii : Aspwe1_0131348 and Aspergillus sydowii : Aspsy1_0195151"
AN0109,N/A,"Ortholog(s) have U1 snRNP, nucleolus localization"
AN0110,N/A,"Ortholog(s) have cell division site, cytosol, fungal-type vacuole membrane localization"
AN0111,N/A,"Ortholog(s) have Prp19 complex, cytosol, mitotic spindle pole body, spliceosomal complex localization"
AN0112,N/A,"ARF guanine-nucleotide exchange factor, putative"
AN0113,N/A,Putative Rho guanyl nucleotide exchange factor (Rho-GEF)
AN0114,N/A,Ortholog(s) have mitochondrion localization
AN0116,N/A,Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
AN0117,N/A,"Ortholog(s) have role in cellular response to oxidative stress and cytosol, nucleus localization"
AN0118,N/A,"Cytoplasmic dynein heavy chain, component of the microtubule motor protein involved in nuclear migration"
AN0118-uORF,N/A,Conserved upstream open reading frame (uORF) of AN0118/nudA
AN0119,N/A,Putative Dicer protein
AN0120,N/A,Putative SitA phosphatase inhibitor protein
AN0121,N/A,porphobilinogen deaminase
AN0122,N/A,"Has domain(s) with predicted ATP binding, ATP-dependent peptidase activity, nucleoside-triphosphatase activity, nucleotide binding, serine-type endopeptidase activity and role in proteolysis"
AN0123,N/A,Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
AN0124,N/A,Essential protein kinase
AN0126,N/A,"Ortholog(s) have ATP binding, ATPase activity, dinucleotide insertion or deletion binding, heteroduplex DNA loop binding, single-stranded DNA binding activity"
AN0127,N/A,"Ortholog(s) have phosphatidylinositol-3,5-bisphosphate binding, ubiquitin binding activity"
AN0128,N/A,"Ortholog(s) have tRNA methyltransferase activity, role in tRNA methylation, wybutosine biosynthetic process and cytosol, mitochondrion, nucleus localization"
AN0129,N/A,Putative dual-specificity protein tyrosine/serine/threonine phosphatase
AN0130,N/A,"Ortholog(s) have S-adenosylmethionine-dependent methyltransferase activity, transferase activity, transferring alkyl or aryl (other than methyl) groups activity and role in tRNA methylation, wybutosine biosynthetic process"
AN0131,N/A,"Ortholog(s) have Golgi apparatus, endoplasmic reticulum localization"
AN0132,N/A,"Ortholog of A. fumigatus Af293 : Afu5g11630, A. niger CBS 513.88 : An18g03110, A. oryzae RIB40 : AO090026000663, Aspergillus wentii : Aspwe1_0170695 and Aspergillus sydowii : Aspsy1_0195219"
AN0133,N/A,Putative mRNA splicing factor ATP-dependent RNA helicase
AN0134,N/A,Histone arginine methyltransferase
AN0135,N/A,"Ortholog(s) have role in cellular protein localization, mitotic actomyosin contractile ring assembly and actomyosin contractile ring, cytosol, nucleus, polysome localization"
AN0136,N/A,protein of unknown function
AN0137,N/A,"Ortholog(s) have glycerophosphocholine phosphodiesterase activity, role in cellular response to drug, glycerophospholipid catabolic process and cytosol, ribosome localization"
AN0138,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0139,N/A,"Threonine aspartase 1, putative"
AN0140,N/A,Protein with a predicted role in actin assembly
AN0141,N/A,"Ortholog(s) have double-stranded DNA 5'-3' exodeoxyribonuclease activity, single-stranded DNA endodeoxyribonuclease activity, tRNA (m5U54) methyltransferase activity and role in double-strand break repair, tRNA modification"
AN0142,N/A,Ortholog(s) have structural constituent of ribosome activity and mitochondrial small ribosomal subunit localization
AN0143,N/A,"Has domain(s) with predicted role in attachment of spindle microtubules to kinetochore, mitotic spindle organization in nucleus and DASH complex, mitotic spindle localization"
AN0144,N/A,Ribosomal S6 kinase (RSK)
AN0146,N/A,"Versicolorin ketoreductase, putative"
AN0147,N/A,Flavin-containing monooxygenase
AN0148,N/A,Putative C6 zinc finger transcription factor
AN0149,N/A,Putative zinc-dependent hydrolase
AN0150,N/A,Polyketide synthase
AN0153,N/A,Putative MYB DNA binding protein
AN0154,N/A,TFIID and SAGA complex TAF10 subunit
AN0156,N/A,"Inositol tetrakisphosphate 3-kinase, putative"
AN0157,N/A,protein of unknown function
AN0158,N/A,"2-alkenal reductase [NAD(P)], putative"
AN0159,N/A,"Ortholog of A. fumigatus Af293 : Afu5g11420, A. niger CBS 513.88 : An18g04550, A. oryzae RIB40 : AO090026000696, Aspergillus wentii : Aspwe1_0442980 and Aspergillus sydowii : Aspsy1_0054986"
AN0160,N/A,"Has domain(s) with predicted hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds activity and role in carbohydrate metabolic process"
AN0161,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0162,N/A,"Has domain(s) with predicted DNA binding, transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated"
AN0163,N/A,Ortholog(s) have Rho GDP-dissociation inhibitor activity
AN0164,N/A,Protein phosphatase
AN0165,N/A,"Ortholog(s) have role in Golgi to vacuole transport, protein targeting to vacuole and AP-3 adaptor complex, cytosol, nucleus localization"
AN0166,N/A,"Ortholog(s) have role in attachment of mitotic spindle microtubules to kinetochore and NMS complex, Ndc80 complex, condensed nuclear chromosome kinetochore, meiotic spindle pole body, mitotic spindle pole body localization"
AN0167,N/A,"Ortholog(s) have enzyme regulator activity, guanyl-nucleotide exchange factor activity, translation initiation factor activity"
AN0168,N/A,"Ortholog of A. fumigatus Af293 : Afu5g11330, A. niger CBS 513.88 : An01g02510, A. oryzae RIB40 : AO090026000707, Aspergillus wentii : Aspwe1_0075145 and Aspergillus sydowii : Aspsy1_0027709"
AN0169,N/A,protein of unknown function
AN0170,N/A,thioredoxin
AN0171,N/A,"Ortholog of A. nidulans FGSC A4 : AN7523, A. niger CBS 513.88 : An18g01570, A. oryzae RIB40 : AO090010000737, Aspergillus wentii : Aspwe1_0140822, Aspwe1_0151946 and Aspergillus sydowii : Aspsy1_0085753"
AN0172,N/A,"Ortholog of A. fumigatus Af293 : Afu5g11310, A. niger CBS 513.88 : An01g02460, A. oryzae RIB40 : AO090026000711, Aspergillus wentii : Aspwe1_0442534 and Aspergillus sydowii : Aspsy1_0027712"
AN0173,N/A,"Ortholog of A. niger CBS 513.88 : An01g02440, A. oryzae RIB40 : AO090026000850, Aspergillus wentii : Aspwe1_0442639, Aspergillus sydowii : Aspsy1_0027713 and Aspergillus terreus NIH2624 : ATET_07718"
AN0174,N/A,"Ortholog(s) have D-amino-acid oxidase activity and role in D-alanine metabolic process, D-valine metabolic process"
AN0176,N/A,"Predicted GATA transcription factor involved in iron uptake, acts as a repressor of siderophore biosynthesis under high-iron conditions"
AN0177,N/A,protein of unknown function
AN0178,N/A,protein of unknown function
AN0179,N/A,putative oxidoreductase
AN0180,N/A,Putative enoyl-coA hydratase with a role in acetyl coA and lipid metabolism
AN0181,N/A,Ortholog of Aspergillus versicolor : Aspve1_0035530
AN0182,N/A,Small monomeric GTPase of the Ras superfamily involved in regulation of development
AN0183,N/A,Putative molybdopterin binding domain protein
AN0184,N/A,"Ortholog(s) have Arp2/3 complex binding activity, role in actin cortical patch assembly, actin filament debranching, negative regulation of Arp2/3 complex-mediated actin nucleation and actin cortical patch, cytosol, nucleus localization"
AN0186,N/A,Component of the plasma membrane-associated VapA-VipC-VapB methyltransferase complex that controls differentiation
AN0187,N/A,protein of unknown function
AN0189,N/A,Ortholog(s) have nucleolus localization
AN0190,N/A,Putative tRNA splicing endonuclease subunit
AN0191,N/A,"Ortholog(s) have ATPase activity, tRNA binding activity, role in regulation of transcription from RNA polymerase II promoter, tRNA wobble uridine modification and Elongator holoenzyme complex, cytosol, nucleus localization"
AN0192,N/A,Putative RNA polymerase subunit 8
AN0193,N/A,Ortholog(s) have 8-oxo-dGDP phosphatase activity
AN0194,N/A,Putative beta-galactosidase
AN0195,N/A,"Ortholog of A. nidulans FGSC A4 : AN8020, A. fumigatus Af293 : Afu5g02380, A. niger CBS 513.88 : An03g04900, An02g10420 and A. oryzae RIB40 : AO090001000067, AO090102000350"
AN0196,N/A,"Ortholog of A. fumigatus Af293 : Afu5g14200, Afu6g13810, Afu7g05110, Afu8g01720, A. niger CBS 513.88 : An13g02610, An15g02090, An04g09640 and A. oryzae RIB40 : AO090003001444"
AN0197,N/A,"Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization"
AN0198,N/A,"Ortholog of A. fumigatus Af293 : Afu5g14750, A. niger CBS 513.88 : An14g07220, Aspergillus wentii : Aspwe1_0043650, Aspwe1_0044769 and Aspergillus sydowii : Aspsy1_0040680"
AN0200,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0201,N/A,Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization
AN0202,N/A,Fungal Zn(2)-Cys(6) binuclear cluster domain-containing protein
AN0203,N/A,"Ortholog(s) have role in chromatin remodeling and ASTRA complex, cytosol localization"
AN0204,N/A,Ortholog(s) have nucleolus localization
AN0205,N/A,Putative pantoate-beta-alanine ligase with a predicted role in Coenzyme A and pantothenate biosynthesis
AN0206,N/A,"Has domain(s) with predicted transferase activity, transferring acyl groups activity and role in metabolic process"
AN0207,N/A,"Ortholog of A. niger CBS 513.88 : An18g01950, A. oryzae RIB40 : AO090026000748, Aspergillus wentii : Aspwe1_0182037 and Aspergillus versicolor : Aspve1_0120084, Aspve1_0887697"
AN0208,N/A,Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization
AN0209,N/A,Putative ammonium transporter
AN0210,N/A,"Ortholog(s) have ATPase activity, GTPase activity, adenosine-diphosphatase activity, cytidine diphosphatase activity, guanosine-diphosphatase activity, uridine-diphosphatase activity"
AN0211,N/A,"Ortholog(s) have U2 snRNP, cytosol, spliceosomal complex localization"
AN0212,N/A,Ortholog(s) have extracellular region localization
AN0213,N/A,"Ortholog of A. fumigatus Af293 : Afu5g10950, A. niger CBS 513.88 : An14g02320, A. oryzae RIB40 : AO090010000435, Aspergillus wentii : Aspwe1_0440942 and Aspergillus sydowii : Aspsy1_0085799"
AN0214,N/A,protein of unknown function
AN0215,N/A,Has domain(s) with predicted oxidoreductase activity and role in oxidation-reduction process
AN0216,N/A,Has domain(s) with predicted oxidoreductase activity and role in metabolic process
AN0217,N/A,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane localization"
AN0218,N/A,Has domain(s) with predicted role in anion transport and integral component of membrane localization
AN0219,N/A,"Ortholog of A. niger CBS 513.88 : An01g01800, A. oryzae RIB40 : AO090023000623, Neosartorya fischeri NRRL 181 : NFIA_106990, Aspergillus wentii : Aspwe1_0056140 and Aspergillus versicolor : Aspve1_0121031"
AN0220,N/A,protein of unknown function
AN0221,N/A,Putative chitinase
AN0223,N/A,"Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding, zinc ion binding activity"
AN0224,N/A,"Ortholog(s) have Golgi apparatus, cytosol, nucleus localization"
AN0225,N/A,"Ortholog(s) have bile acid-exporting ATPase activity, role in bile acid and bile salt transport and fungal-type vacuole localization"
AN0226,N/A,"Ortholog(s) have protein homodimerization activity, ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
AN0227,N/A,"Ortholog of A. fumigatus Af293 : Afu3g12020, Afu5g10910, Afu4g06275, A. niger CBS 513.88 : An14g03700, An04g00590, An02g07840 and A. oryzae RIB40 : AO090010000440, AO090023000963"
AN0228,N/A,"Ortholog(s) have ATP-dependent 3'-5' DNA helicase activity, ATP-dependent four-way junction helicase activity, DNA replication origin binding and single-stranded DNA binding, more"
AN0229,N/A,"Ortholog(s) have role in Golgi to plasma membrane transport and Golgi apparatus, fungal-type vacuole membrane localization"
AN0230,N/A,"Ortholog of Neosartorya fischeri NRRL 181 : NFIA_102580, Aspergillus wentii : Aspwe1_0182725, Aspergillus versicolor : Aspve1_0035599 and Aspergillus zonatus : Aspzo1_0019331"
AN0231,N/A,Conidiophore-specific phenol oxidase
AN0232,N/A,Nickel-binding protein involved in utilization of urea as a nitrogen source
AN0233,N/A,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane localization"
AN0234,N/A,Has domain(s) with predicted hydrolase activity
AN0235,N/A,"Sensor for unfolded proteins in the ER ire1, putative"
AN0237,N/A,"Ortholog(s) have mRNA binding activity and role in maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
AN0239,N/A,Ortholog(s) have cytosol localization
AN0240,N/A,Putative transaldolase with a predicted role in the pentose-phosphate shunt
AN0241,N/A,Cu/Zn-superoxide dismutase
AN0242,N/A,Ortholog(s) have cytosol localization
AN0243,N/A,Putative phosphatidylinositol transfer protein
AN0244,N/A,Putative vacuolar assembly protein with a predicted role in late endosome to vacuole transport via the multivesicular body sorting pathway
AN0244-uORF,N/A,Conserved upstream open reading frame (uORF) that mediates repression of an AN0244 (vps8) protein reporter in vitro
AN0245,N/A,"Concanavalin A-like lectin/glucanase superfamily protein, putative"
AN0246,N/A,"Ortholog of A. fumigatus Af293 : Afu1g05300, A. niger CBS 513.88 : An01g04570, A. oryzae RIB40 : AO090003000826, Aspergillus wentii : Aspwe1_0049630 and Aspergillus sydowii : Aspsy1_0142918"
AN0247,N/A,"Ortholog(s) have role in negative regulation of G0 to G1 transition, ribosomal small subunit biogenesis and 90S preribosome, nucleolus localization"
AN0248,N/A,Putative protein disulfide isomerase
AN0249,N/A,Putative F-box protein
AN0250,N/A,Xylose transporter
AN0251,N/A,"Ortholog of A. fumigatus Af293 : Afu1g03520, A. niger CBS 513.88 : An01g04620, A. oryzae RIB40 : AO090005000747, Neosartorya fischeri NRRL 181 : NFIA_021140 and Aspergillus wentii : Aspwe1_0181100"
AN0252,N/A,Putative F1F0-ATPase complex gamma subunit with a predicted role in energy metabolism
AN0253,N/A,Putative DNA topoisomerase I
AN0254,N/A,"Has domain(s) with predicted catalytic activity, coenzyme binding activity and role in cellular metabolic process"
AN0255,N/A,"Ortholog of A. fumigatus Af293 : Afu1g03460, A. niger CBS 513.88 : An01g04670, A. oryzae RIB40 : AO090005000754, Aspergillus wentii : Aspwe1_0105945 and Aspergillus sydowii : Aspsy1_0055077"
AN0256,N/A,Predicted calpain-like cysteine protease involved in a signaling pathway that activates PacC transcription factor in response to alkaline ambient pH
AN0257,N/A,"Peroxisomal adenine nucleotide transporter 1, putative"
AN0258,N/A,Ortholog(s) have mitochondrion localization
AN0259,N/A,Putative adenylate kinase with a predicted role in nucleotide salvage pathways
AN0260,N/A,"Putative DNA primase, large subunit"
AN0261,N/A,COPII coat component
AN0262,N/A,"Ortholog(s) have role in ribosomal large subunit assembly and cytosolic large ribosomal subunit, nucleolus, preribosome, large subunit precursor localization"
AN0263,N/A,Predicted mariner transposon-related ORF
AN0264,N/A,protein of unknown function
AN0265,N/A,"Ortholog of A. fumigatus Af293 : Afu1g03380, A. niger CBS 513.88 : An01g04760, A. oryzae RIB40 : AO090005000763, Aspergillus wentii : Aspwe1_0049645 and Aspergillus sydowii : Aspsy1_0027812"
AN0266,N/A,Has domain(s) with predicted nucleotide binding activity
AN0267,N/A,Has domain(s) with predicted calcium ion binding activity
AN0268,N/A,AFI1-like protein
AN0270,N/A,"Ortholog(s) have role in cellular bud site selection, pyridoxal phosphate biosynthetic process and cytosol, nucleus localization"
AN0271,N/A,Putative dUTP pyrophosphatase with a predicted role in pyrimidine metabolism
AN0272,N/A,"Ortholog of A. fumigatus Af293 : Afu1g02880, A. niger CBS 513.88 : An01g05030, A. oryzae RIB40 : AO090005000779, Aspergillus wentii : Aspwe1_0025563 and Aspergillus sydowii : Aspsy1_0055099"
AN0273,N/A,putative transcription factor
AN0274,N/A,Has domain(s) with predicted nucleic acid binding activity
AN0275,N/A,"Ortholog(s) have L-cystine transmembrane transporter activity, role in L-cystine transport and endosome, fungal-type vacuole localization"
AN0276,N/A,"Ortholog of A. fumigatus Af293 : Afu1g02840, A. niger CBS 513.88 : An01g04950, A. oryzae RIB40 : AO090005000773, Aspergillus wentii : Aspwe1_0169585 and Aspergillus sydowii : Aspsy1_0085871"
AN0278,N/A,"Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleolus localization"
AN0279,N/A,Developmental regulator flbD
AN0280,N/A,"Putative alpha-1,4-glucosidase"
AN0281,N/A,Rab-GAP TBC domain-containing protein
AN0282,N/A,"Has domain(s) with predicted nucleic acid binding, nucleotide binding activity"
AN0283,N/A,protein of unknown function
AN0284,N/A,protein of unknown function
AN0285,N/A,Putative 6-phosphogluconolactonase with a predicted role in gluconic acid and gluconate metabolism
AN0286,N/A,"Ortholog of A. fumigatus Af293 : Afu1g02985, A. niger CBS 513.88 : An01g05160, A. oryzae RIB40 : AO090005000790, Aspergillus wentii : Aspwe1_0103349 and Aspergillus sydowii : Aspsy1_0626563"
AN0287,N/A,Ortholog(s) have cytosol localization
AN0288,N/A,"Ortholog of A. fumigatus Af293 : Afu1g03000, Neosartorya fischeri NRRL 181 : NFIA_021630, Aspergillus wentii : Aspwe1_0169599 and Aspergillus versicolor : Aspve1_0231328"
AN0289,N/A,Ortholog(s) have U2-type spliceosomal complex localization
AN0290,N/A,"Ortholog(s) have actin filament binding activity and role in barbed-end actin filament capping, filamentous growth, mitotic actomyosin contractile ring contraction"
AN0291,N/A,"Has domain(s) with predicted RNA polymerase II transcription cofactor activity, role in regulation of transcription from RNA polymerase II promoter and mediator complex localization"
AN0292,N/A,Subunit of the SAGA transcriptional regulatory complex
AN0293,N/A,"Ortholog(s) have carboxylic ester hydrolase activity, structural constituent of ribosome activity, role in C-terminal protein demethylation and cytosol, mitochondrial small ribosomal subunit, nucleus localization"
AN0294,N/A,Ortholog(s) have cytoplasm localization
AN0295,N/A,"Ortholog(s) have role in ER-associated misfolded protein catabolic process and cytoplasm-associated proteasomal ubiquitin-dependent protein catabolic process, more"
