"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol","Transcript Product Description"
"Afu1g00330","Afu1g00330-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:88,949..89,191(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00340","Afu1g00340-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:90,835..91,227(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00350","Afu1g00350-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:94,948..96,601(-)","Has domain(s) with predicted oxidoreductase activity and role in oxidation-reduction process","No","1","N/A","Has domain(s) with predicted oxidoreductase activity and role in oxidation-reduction process"
"Afu1g00390","Afu1g00390-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:117,405..120,219(-)","Has domain(s) with predicted DNA binding, protein dimerization activity","No","1","N/A","Has domain(s) with predicted DNA binding, protein dimerization activity"
"Afu1g00400","Afu1g00400-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:128,569..129,183(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00410","Afu1g00410-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:131,310..134,100(+)","Fungal Zn(2)-Cys(6) binuclear cluster domain-containing protein","No","1","farB2","Fungal Zn(2)-Cys(6) binuclear cluster domain-containing protein"
"Afu1g00420","Afu1g00420-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:135,528..137,781(+)","Carboxypeptidase S1","No","1","N/A","Carboxypeptidase S1"
"Afu1g00440","Afu1g00440-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:138,359..140,093(-)","DUF895 domain membrane protein","No","1","N/A","DUF895 domain membrane protein"
"Afu1g00450","Afu1g00450-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:143,117..144,466(+)","N-acetylglucosamine-6-phosphate deacetylase","No","1","N/A","N-acetylglucosamine-6-phosphate deacetylase"
"Afu1g00460","Afu1g00460-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:145,247..146,969(-)","Ortholog(s) have intracellular localization","No","1","N/A","Ortholog(s) have intracellular localization"
"Afu1g00470","Afu1g00470-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:148,615..150,219(+)","Betaine aldehyde dehydrogenase","No","1","N/A","Betaine aldehyde dehydrogenase"
"Afu1g00480","Afu1g00480-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:150,773..151,994(-)","Putative glucosamine-6-phosphate deaminase","No","1","N/A","Putative glucosamine-6-phosphate deaminase"
"Afu1g00490","Afu1g00490-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:153,030..154,648(+)","Has domain(s) with predicted transferase activity, transferring acyl groups activity and role in metabolic process","No","1","N/A","Has domain(s) with predicted transferase activity, transferring acyl groups activity and role in metabolic process"
"Afu1g00500","Afu1g00500-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:155,384..157,199(-)","FMN dependent dehydrogenase","No","1","N/A","FMN dependent dehydrogenase"
"Afu1g00510","Afu1g00510-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:158,014..160,063(+)","D-lactate dehydrogenase (cytochrome)","No","1","dld1","D-lactate dehydrogenase (cytochrome)"
"Afu1g00520","Afu1g00520-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:160,405..163,021(+)","Ortholog of A. fumigatus Af293 : Afu4g12020, A. niger CBS 513.88 : An01g07290, Neosartorya fischeri NRRL 181 : NFIA_104220 and Aspergillus wentii : Aspwe1_0123520","No","1","N/A","Ortholog of A. fumigatus Af293 : Afu4g12020, A. niger CBS 513.88 : An01g07290, Neosartorya fischeri NRRL 181 : NFIA_104220 and Aspergillus wentii : Aspwe1_0123520"
"Afu1g00530","Afu1g00530-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:163,103..165,557(-)","Thermoresistant gluconokinase family protein","No","1","N/A","Thermoresistant gluconokinase family protein"
"Afu1g00540","Afu1g00540-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:168,081..171,287(+)","Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process","No","1","N/A","Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process"
"Afu1g00550","Afu1g00550-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:177,040..179,175(+)","Protein of unknown function: predicted gene pair with AFUA_1G00910","No","1","N/A","Protein of unknown function: predicted gene pair with AFUA_1G00910"
"Afu1g00560","Afu1g00560-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:180,463..182,160(+)","Has domain(s) with predicted catalytic activity, nucleic acid binding, zinc ion binding activity and role in nucleoside metabolic process","No","1","N/A","Has domain(s) with predicted catalytic activity, nucleic acid binding, zinc ion binding activity and role in nucleoside metabolic process"
"Afu1g00570","Afu1g00570-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:182,513..184,079(-)","Predicted mariner Ant1 transposon-related ORF","No","1","N/A","Predicted mariner Ant1 transposon-related ORF"
"Afu1g00580","Afu1g00580-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:184,790..186,475(+)","Putative DNA binding transcription factor","No","1","N/A","Putative DNA binding transcription factor"
"Afu1g00590","Afu1g00590-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:187,844..192,296(-)","Has domain(s) with predicted nucleic acid binding activity and nucleus localization","No","1","N/A","Has domain(s) with predicted nucleic acid binding activity and nucleus localization"
"Afu1g00610","Afu1g00610-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:195,962..198,161(+)","Has domain(s) with predicted role in positive regulation of autophagy","No","1","N/A","Has domain(s) with predicted role in positive regulation of autophagy"
"Afu1g00620","Afu1g00620-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:197,348..198,658(-)","Ortholog of Aspergillus niger ATCC 1015 : 124153-mRNA","No","1","N/A","Ortholog of Aspergillus niger ATCC 1015 : 124153-mRNA"
"Afu1g00630","Afu1g00630-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:199,230..202,418(+)","Has domain(s) with predicted ATP binding, DNA binding, helicase activity, nucleic acid binding, zinc ion binding activity","No","1","N/A","Has domain(s) with predicted ATP binding, DNA binding, helicase activity, nucleic acid binding, zinc ion binding activity"
"Afu1g00640","Afu1g00640-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:210,663..211,854(-)","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_101450, Aspergillus versicolor : Aspve1_0077422, Aspergillus niger ATCC 1015 : 124912-mRNA and Aspergillus sydowii : Aspsy1_0062512","No","1","N/A","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_101450, Aspergillus versicolor : Aspve1_0077422, Aspergillus niger ATCC 1015 : 124912-mRNA and Aspergillus sydowii : Aspsy1_0062512"
"Afu1g00650","Afu1g00650-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:215,584..217,006(+)","Putative alpha-1,3-glucanase","No","1","N/A","Putative alpha-1,3-glucanase"
"Afu1g00660","Afu1g00660-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:218,161..219,429(+)","Ortholog of A. oryzae RIB40 : AO090010000303 and Aspergillus carbonarius ITEM 5010 : Acar5010_133580","No","1","N/A","Ortholog of A. oryzae RIB40 : AO090010000303 and Aspergillus carbonarius ITEM 5010 : Acar5010_133580"
"Afu1g00670","Afu1g00670-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:221,860..222,075(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00680","Afu1g00680-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:226,527..229,118(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00690","Afu1g00690-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:237,383..237,712(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00700","Afu1g00700-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:238,508..243,054(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00710","Afu1g00710-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:243,738..244,896(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00720","Afu1g00720-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:246,875..247,620(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00730","Afu1g00730-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:249,319..251,350(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00740","Afu1g00740-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:258,432..259,498(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00750","Afu1g00750-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:268,868..270,616(-)","Ortholog of A. nidulans FGSC A4 : AN7282, AN12169, A. fumigatus Af293 : Afu3g15220, Afu5g14880, Afu6g11540, Afu8g05975 and A. niger CBS 513.88 : An02g04650, An04g08640, An14g02500, An12g01680","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN7282, AN12169, A. fumigatus Af293 : Afu3g15220, Afu5g14880, Afu6g11540, Afu8g05975 and A. niger CBS 513.88 : An02g04650, An04g08640, An14g02500, An12g01680"
"Afu1g00760","Afu1g00760-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:271,231..271,587(-)","Ortholog of A. nidulans FGSC A4 : AN4143, AN12170, A. fumigatus Af293 : Afu5g14890, Aspergillus wentii : Aspwe1_0177868, Aspwe1_0403846 and Aspergillus niger ATCC 1015 : 41666-mRNA","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN4143, AN12170, A. fumigatus Af293 : Afu5g14890, Aspergillus wentii : Aspwe1_0177868, Aspwe1_0403846 and Aspergillus niger ATCC 1015 : 41666-mRNA"
"Afu1g00770","Afu1g00770-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:274,858..275,465(+)","Ortholog of A. niger CBS 513.88 : An08g12010 and Aspergillus fumigatus A1163 : AFUB_075320, AFUB_096610","No","1","N/A","Ortholog of A. niger CBS 513.88 : An08g12010 and Aspergillus fumigatus A1163 : AFUB_075320, AFUB_096610"
"Afu1g00780","Afu1g00780-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:277,013..277,941(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00790","Afu1g00790-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:287,037..291,287(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00800","Afu1g00800-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:296,636..297,872(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00810","Afu1g00810-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:306,044..306,847(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00820","Afu1g00820-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:307,828..308,409(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00830","Afu1g00830-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:309,461..309,808(+)","Ortholog of Aspergillus wentii : Aspwe1_0039643 and Aspergillus zonatus : Aspzo1_0170448","No","1","N/A","Ortholog of Aspergillus wentii : Aspwe1_0039643 and Aspergillus zonatus : Aspzo1_0170448"
"Afu1g00840","Afu1g00840-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:310,237..313,087(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00850","Afu1g00850-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:315,349..315,947(+)","Has domain(s) with predicted catalytic activity and role in nucleoside metabolic process","No","1","N/A","Has domain(s) with predicted catalytic activity and role in nucleoside metabolic process"
"Afu1g00880","Afu1g00880-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:318,305..321,716(-)","Predicted LINE transposon-related ORF","No","1","N/A","Predicted LINE transposon-related ORF"
"Afu1g00890","Afu1g00890-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:325,118..328,217(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00910","Afu1g00910-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:328,785..330,274(+)","Protein of unknown function: predicted gene pair with AFUA_1G00550","No","1","N/A","Protein of unknown function: predicted gene pair with AFUA_1G00550"
"Afu1g00920","Afu1g00920-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:331,676..332,955(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00930","Afu1g00930-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:333,683..334,717(+)","Ortholog of Aspergillus kawachii : Aspka1_0173976","No","1","N/A","Ortholog of Aspergillus kawachii : Aspka1_0173976"
"Afu1g00940","Afu1g00940-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:335,152..336,216(-)","Predicted mariner Ant1 transposon-related ORF","No","1","N/A","Predicted mariner Ant1 transposon-related ORF"
"Afu1g00950","Afu1g00950-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:336,865..337,907(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00960","Afu1g00960-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:338,106..342,000(+)","Predicted LINE transposon-related ORF","No","1","N/A","Predicted LINE transposon-related ORF"
"Afu1g00970","Afu1g00970-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:342,453..344,153(-)","MFS monocarboxylate transporter, putative","No","1","N/A","MFS monocarboxylate transporter, putative"
"Afu1g00980","Afu1g00980-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:344,953..346,714(-)","Monocarboxylate transporter, putative","No","1","N/A","Monocarboxylate transporter, putative"
"Afu1g00990","Afu1g00990-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:347,632..348,512(-)","Short chain dehydrogenase atsC, putative","No","1","atsC","Short chain dehydrogenase atsC, putative"
"Afu1g01000","Afu1g01000-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:349,732..351,003(-)","Putative oxidoreductase, 2OG-Fe(II) oxygenase family protein","No","1","N/A","Putative oxidoreductase, 2OG-Fe(II) oxygenase family protein"
"Afu1g01010","Afu1g01010-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:352,044..358,955(+)","Fumigermin synthase","No","1","fgnA","Fumigermin synthase"
"Afu1g01020","Afu1g01020-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:370,902..375,565(-)","Putative NACHT domain protein","No","1","N/A","Putative NACHT domain protein"
"Afu1g01030","Afu1g01030-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:377,390..382,156(+)","Has domain(s) with predicted RNA binding, RNA-directed DNA polymerase activity and role in RNA-dependent DNA replication","No","1","N/A","Has domain(s) with predicted RNA binding, RNA-directed DNA polymerase activity and role in RNA-dependent DNA replication"
"Afu1g01040","Afu1g01040-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:382,400..383,350(-)","Has domain(s) with predicted catalytic activity and role in nucleoside metabolic process","No","1","N/A","Has domain(s) with predicted catalytic activity and role in nucleoside metabolic process"
"Afu1g01050","Afu1g01050-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:385,302..386,244(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g01070","Afu1g01070-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:390,761..391,294(-)","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_055740","No","1","N/A","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_055740"
"Afu1g01080","Afu1g01080-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:391,423..391,941(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g01090","Afu1g01090-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:392,457..393,602(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g01100","Afu1g01100-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:394,863..395,585(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g01110","Afu1g01110-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:400,777..401,591(+)","Has domain(s) with predicted phosphopantetheine binding activity","No","1","N/A","Has domain(s) with predicted phosphopantetheine binding activity"
"Afu1g01120","Afu1g01120-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:402,536..403,635(-)","Pectate lyase F, putative","No","1","plyF","Pectate lyase F, putative"
"Afu1g01130","Afu1g01130-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:404,756..405,535(+)","Ortholog of A. oryzae RIB40 : AO090005000025, Neosartorya fischeri NRRL 181 : NFIA_023460, Aspergillus fumigatus A1163 : AFUB_079670 and Aspergillus clavatus NRRL 1 : ACLA_046020","No","1","N/A","Ortholog of A. oryzae RIB40 : AO090005000025, Neosartorya fischeri NRRL 181 : NFIA_023460, Aspergillus fumigatus A1163 : AFUB_079670 and Aspergillus clavatus NRRL 1 : ACLA_046020"
"Afu1g01140","Afu1g01140-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:405,928..406,686(-)","Ortholog of A. niger CBS 513.88 : An03g00980, A. oryzae RIB40 : AO090102000017, Neosartorya fischeri NRRL 181 : NFIA_023450 and Aspergillus versicolor : Aspve1_0142180","No","1","N/A","Ortholog of A. niger CBS 513.88 : An03g00980, A. oryzae RIB40 : AO090102000017, Neosartorya fischeri NRRL 181 : NFIA_023450 and Aspergillus versicolor : Aspve1_0142180"
"Afu1g01160","Afu1g01160-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:406,882..408,853(-)","Has domain(s) with predicted hydrolase activity and role in nucleotide catabolic process","No","1","N/A","Has domain(s) with predicted hydrolase activity and role in nucleotide catabolic process"
"Afu1g01170","Afu1g01170-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:410,235..411,132(+)","Ortholog of Aspergillus fumigatus A1163 : AFUB_079640","No","1","N/A","Ortholog of Aspergillus fumigatus A1163 : AFUB_079640"
"Afu1g01175","Afu1g01175-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:411,327..412,123(-)","Has domain(s) with predicted role in cell redox homeostasis","No","1","N/A","Has domain(s) with predicted role in cell redox homeostasis"
"Afu1g01180","Afu1g01180-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:412,395..415,891(-)","Ortholog(s) have extracellular region localization","No","1","N/A","Ortholog(s) have extracellular region localization"
"Afu1g01190","Afu1g01190-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:415,899..418,697(+)","Ortholog of A. nidulans FGSC A4 : AN2649, A. niger CBS 513.88 : An11g03730, A. oryzae RIB40 : AO090020000652, Aspergillus wentii : Aspwe1_0741100 and Aspergillus sydowii : Aspsy1_0134175","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN2649, A. niger CBS 513.88 : An11g03730, A. oryzae RIB40 : AO090020000652, Aspergillus wentii : Aspwe1_0741100 and Aspergillus sydowii : Aspsy1_0134175"
"Afu1g01200","Afu1g01200-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:419,161..420,433(+)","Has domain(s) with predicted catalytic activity, hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process","No","1","N/A","Has domain(s) with predicted catalytic activity, hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process"
"Afu1g01210","Afu1g01210-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:420,901..421,404(-)","Ortholog of Aspergillus fumigatus A1163 : AFUB_079590 and Aspergillus niger ATCC 1015 : 171940-mRNA","No","1","N/A","Ortholog of Aspergillus fumigatus A1163 : AFUB_079590 and Aspergillus niger ATCC 1015 : 171940-mRNA"
"Afu1g01220","Afu1g01220-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:421,825..423,074(+)","Has domain(s) with predicted poly(beta-D-mannuronate) lyase activity, role in alginic acid catabolic process and periplasmic space localization","No","1","N/A","Has domain(s) with predicted poly(beta-D-mannuronate) lyase activity, role in alginic acid catabolic process and periplasmic space localization"
"Afu1g01230","Afu1g01230-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:423,561..425,420(+)","Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process","No","1","N/A","Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process"
"Afu1g01240","Afu1g01240-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:426,187..428,733(+)","Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated","No","1","N/A","Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated"
"Afu1g01250","Afu1g01250-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:428,894..430,700(-)","Putative tripeptidyl-peptidase of the sedolisin family","No","1","sedB","Putative tripeptidyl-peptidase of the sedolisin family"
"Afu1g01260","Afu1g01260-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:431,056..433,093(+)","Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization","No","1","N/A","Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization"
"Afu1g01265","Afu1g01265-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:434,914..436,188(+)","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_074010 and Aspergillus fumigatus A1163 : AFUB_079530","No","1","N/A","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_074010 and Aspergillus fumigatus A1163 : AFUB_079530"
