"Gene ID","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol"
"NCU00051","Neurospora crassa OR74A","CM002238:2,416,517..2,418,227(+)","hypothetical protein","No","1","N/A"
"NCU00052","Neurospora crassa OR74A","CM002238:2,418,803..2,421,092(-)","methylacyl-CoA racemase-1","No","1","mcr-1"
"NCU00054","Neurospora crassa OR74A","CM002238:2,447,062..2,449,468(+)","hypothetical protein","No","1","N/A"
"NCU00055","Neurospora crassa OR74A","CM002238:2,449,482..2,451,411(-)","catechol dioxygenase-1","No","1","cdo-1"
"NCU00056","Neurospora crassa OR74A","CM002238:2,457,498..2,459,330(+)","3-oxoacyl-[acyl-carrier-protein]-synthase","No","1","cem-1"
"NCU00057","Neurospora crassa OR74A","CM002238:2,459,710..2,461,691(+)","ubiquinol cytochrome-c reductase assembly protein Cbp3","No","1","ucc-1"
"NCU00059","Neurospora crassa OR74A","CM002238:2,467,237..2,470,146(+)","hypothetical protein","No","1","N/A"
"NCU00060","Neurospora crassa OR74A","CM002238:2,470,058..2,471,847(-)","WW domain-containing protein, variant 1, WW domain-containing protein, WW domain-containing protein, variant 2","No","3","N/A"
"NCU00061","Neurospora crassa OR74A","CM002238:2,473,451..2,475,846(+)","hypothetical protein","No","1","gh16-13"
"NCU00064","Neurospora crassa OR74A","CM002238:2,482,832..2,488,057(+)","hypothetical protein","No","1","N/A"
"NCU00065","Neurospora crassa OR74A","CM002238:2,489,138..2,491,469(+)","tRNA-dihydrouridine synthase-2","No","1","tdus-2"
"NCU00066","Neurospora crassa OR74A","CM002238:2,491,431..2,495,036(-)","pre-mRNA-splicing factor cwc-22","No","1","msp-1"
"NCU00067","Neurospora crassa OR74A","CM002238:2,495,156..2,496,385(+)","dolichyl-phosphate mannosyltransferase-2","No","1","dpm-2"
"NCU00068","Neurospora crassa OR74A","CM002238:2,496,305..2,500,846(-)","hypothetical protein, hypothetical protein, variant 1","No","2","N/A"
"NCU00069","Neurospora crassa OR74A","CM002238:2,502,573..2,503,595(+)","hypothetical protein","No","1","N/A"
"NCU00070","Neurospora crassa OR74A","CM002238:2,505,040..2,508,881(-)","hypothetical protein","No","1","N/A"
"NCU00071","Neurospora crassa OR74A","CM002238:2,510,018..2,510,856(-)","hypothetical protein","No","1","N/A"
"NCU00072","Neurospora crassa OR74A","CM002238:2,513,367..2,515,340(-)","hypothetical protein","No","1","N/A"
"NCU00073","Neurospora crassa OR74A","CM002238:2,515,970..2,518,978(-)","hypothetical protein","No","1","N/A"
"NCU00074","Neurospora crassa OR74A","CM002238:2,525,373..2,527,032(+)","hypothetical protein","No","1","N/A"
"NCU00075","Neurospora crassa OR74A","CM002238:2,527,139..2,528,751(+)","mitochondrial import inner membrane translocase subunit tim-14","No","1","tim14"
"NCU00076","Neurospora crassa OR74A","CM002238:2,528,710..2,531,908(-)","QDE-2-interacting protein","No","2","qip"
"NCU00077","Neurospora crassa OR74A","CM002238:2,531,930..2,535,354(-)","Ku70/Ku80 family protein","No","1","mus-52"
"NCU00078","Neurospora crassa OR74A","CM002238:2,535,597..2,538,405(+)","hypothetical protein","No","1","N/A"
"NCU00079","Neurospora crassa OR74A","CM002238:2,536,487..2,538,432(-)","hypothetical protein","No","1","N/A"
"NCU00080","Neurospora crassa OR74A","CM002238:2,539,273..2,541,148(-)","DUF1295 domain-containing protein","No","1","N/A"
"NCU00081","Neurospora crassa OR74A","CM002238:2,541,342..2,545,070(+)","DNA topoisomerase 3-beta","No","1","dnt-3"
"NCU00082","Neurospora crassa OR74A","CM002238:2,546,344..2,547,259(-)","hypothetical protein","No","1","N/A"
"NCU00083","Neurospora crassa OR74A","CM002238:2,549,334..2,552,226(+)","hypothetical protein","No","1","N/A"
"NCU00084","Neurospora crassa OR74A","CM002238:2,555,144..2,557,918(-)","hypothetical protein","No","1","N/A"
"NCU00085","Neurospora crassa OR74A","CM002238:2,558,440..2,562,010(-)","hypothetical protein","No","1","N/A"
"NCU00086","Neurospora crassa OR74A","CM002238:2,564,756..2,565,909(+)","glycosyl hydrolase","No","1","gh76-8"
"NCU00087","Neurospora crassa OR74A","CM002238:2,566,227..2,567,897(-)","6-phosphogluconolactonase","No","1","ppm-1"
"NCU00088","Neurospora crassa OR74A","CM002238:2,571,142..2,573,004(+)","nitrophenylphosphatase-1","No","1","npp-1"
"NCU00089","Neurospora crassa OR74A","CM002238:2,574,646..2,577,796(+)","MYND domain-containing protein, MYND domain-containing protein, variant 2, MYND domain-containing protein, variant 1, MYND domain-containing protein, variant 3","No","4","N/A"
"NCU00090","Neurospora crassa OR74A","CM002238:2,578,245..2,581,438(-)","pH-response transcription factor pacC/RIM101","No","1","pacc-1"
"NCU00091","Neurospora crassa OR74A","CM002238:2,584,099..2,588,622(-)","hypothetical protein, hypothetical protein, variant 1","No","2","N/A"
"NCU00092","Neurospora crassa OR74A","CM002238:2,588,885..2,590,239(+)","rRNA-processing protein efg-1","No","1","rrm-3"
"NCU00093","Neurospora crassa OR74A","CM002238:2,590,726..2,591,472(+)","hypothetical protein","No","1","N/A"
"NCU00095","Neurospora crassa OR74A","CM002238:2,594,535..2,599,205(+)","tetratricopeptide repeat protein 1","No","1","rpo-1"
"NCU00096","Neurospora crassa OR74A","CM002238:2,600,265..2,601,941(+)","hypothetical protein","No","1","N/A"
"NCU00097","Neurospora crassa OR74A","CM002238:2,605,290..2,606,349(-)","BEAK-1","No","1","bek-1"
"NCU00099","Neurospora crassa OR74A","CM002238:2,612,528..2,612,788(-)","hypothetical protein","No","1","N/A"
"NCU00100","Neurospora crassa OR74A","CM002238:2,623,609..2,627,539(-)","hypothetical protein","No","1","sah-13"
"NCU00101","Neurospora crassa OR74A","CM002238:2,628,039..2,630,653(+)","pbn-1","No","1","pbn1"
"NCU00102","Neurospora crassa OR74A","CM002238:2,630,211..2,632,778(+)","hypothetical protein","No","1","N/A"
"NCU00103","Neurospora crassa OR74A","CM002238:2,632,691..2,634,374(-)","hypothetical protein","No","1","mrp-61"
"NCU00104","Neurospora crassa OR74A","CM002238:2,634,913..2,638,616(-)","hsp98-like protein","No","1","hsp98"
"NCU00105","Neurospora crassa OR74A","CM002238:2,640,035..2,641,453(+)","ribosome biogenesis-58","No","1","rbg-58"
"NCU00106","Neurospora crassa OR74A","CM002238:2,641,260..2,643,737(-)","glutamate 5-kinase","No","1","pro-4"
"NCU00107","Neurospora crassa OR74A","CM002238:2,643,856..2,645,250(+)","mitochondrial inner membrane protease-1","No","1","mipr-1"
"NCU00108","Neurospora crassa OR74A","CM002238:2,645,177..2,647,379(-)","serine/threonine-protein kinase","No","1","stk-13"
"NCU00109","Neurospora crassa OR74A","CM002238:2,647,472..2,651,685(+)","TipA protein, variant 1, TipA protein","No","2","N/A"
"NCU00110","Neurospora crassa OR74A","CM002238:2,649,271..2,652,106(-)","hypothetical protein","No","1","N/A"
"NCU00111","Neurospora crassa OR74A","CM002238:2,652,523..2,653,607(+)","hypothetical protein","No","1","N/A"
"NCU00112","Neurospora crassa OR74A","CM002238:2,653,457..2,656,458(-)","prolyl-aminopeptidase-1","No","1","pap-1"
"NCU00114","Neurospora crassa OR74A","CM002238:2,662,793..2,664,390(-)","30S ribosomal protein S10","No","1","mrp-10"
"NCU00115","Neurospora crassa OR74A","CM002238:2,664,560..2,665,948(-)","rRNA-processing protein FCF2","No","1","rrm-4"
"NCU00116","Neurospora crassa OR74A","CM002238:2,666,273..2,668,662(+)","CCAAT-binding transcription factor subunit AAB-1, variant 1, CCAAT-binding transcription factor subunit AAB-1, CCAAT-binding transcription factor subunit AAB-1, variant 2","No","3","aab-1"
"NCU00117","Neurospora crassa OR74A","CM002238:2,668,946..2,672,556(-)","exocyst complex component Sec15","No","1","sec15"
"NCU00118","Neurospora crassa OR74A","CM002238:2,674,109..2,677,336(+)","hypothetical protein","No","1","N/A"
"NCU00119","Neurospora crassa OR74A","CM002238:2,677,399..2,681,273(-)","Sad1/UNC domain-containing protein","No","1","N/A"
"NCU00120","Neurospora crassa OR74A","CM002238:2,681,429..2,685,588(-)","hypothetical protein","No","1","N/A"
"NCU00121","Neurospora crassa OR74A","CM002238:2,686,906..2,691,445(+)","chloride channel-1","No","1","clc-1"
"NCU00122","Neurospora crassa OR74A","CM002238:2,691,298..2,693,631(-)","aspartyl protease-16","No","1","apr-16"
"NCU00123","Neurospora crassa OR74A","CM002238:2,699,575..2,701,165(-)","hypothetical protein","No","1","N/A"
"NCU00124","Neurospora crassa OR74A","CM002238:2,701,237..2,707,472(+)","hypothetical protein, hypothetical protein, variant 1","No","2","N/A"
"NCU00125","Neurospora crassa OR74A","CM002238:2,708,593..2,710,874(+)","hypothetical protein, variant 1, hypothetical protein","No","2","N/A"
"NCU00126","Neurospora crassa OR74A","CM002238:2,711,676..2,714,403(-)","hypothetical protein","No","1","N/A"
"NCU00127","Neurospora crassa OR74A","CM002238:2,716,864..2,719,590(+)","hypothetical protein","No","1","N/A"
"NCU00128","Neurospora crassa OR74A","CM002238:2,722,532..2,726,114(+)","hypothetical protein","No","1","N/A"
"NCU00129","Neurospora crassa OR74A","CM002238:2,727,233..2,729,675(-)","AMP-binding domain-containing protein","No","1","N/A"
"NCU00130","Neurospora crassa OR74A","CM002238:2,730,966..2,733,380(-)","Beta-glucosidase, beta-glucosidase, variant 1","No","2","gh1-1"
"NCU00132","Neurospora crassa OR74A","CM002238:2,735,106..2,736,627(-)","hypothetical protein","No","1","N/A"
"NCU00133","Neurospora crassa OR74A","CM002238:2,737,574..2,740,109(+)","FACT complex subunit pob-3","No","1","ctc-1"
"NCU00134","Neurospora crassa OR74A","CM002238:2,740,593..2,744,799(+)","exportin-T, variant 1, exportin-T","No","2","los1"
"NCU00135","Neurospora crassa OR74A","CM002238:2,746,013..2,747,962(-)","phosphatidyl synthase, variant 1, Phosphatidyl synthase","No","2","gpl-1"
"NCU00136","Neurospora crassa OR74A","CM002238:2,748,546..2,751,023(-)","mitochondrial translation optimization protein","No","1","N/A"
"NCU00137","Neurospora crassa OR74A","CM002238:2,751,339..2,752,520(-)","ssDNA binding protein, variant 1, ssDNA binding protein","No","2","mfa-1"
"NCU00138","Neurospora crassa OR74A","CM002238:2,752,660..2,756,067(+)","pheromone receptor pre-1","No","1","pre-1"
"NCU00142","Neurospora crassa OR74A","CM002238:2,770,605..2,774,213(+)","hypothetical protein","No","1","N/A"
"NCU00143","Neurospora crassa OR74A","CM002238:2,777,897..2,778,568(-)","hypothetical protein","No","1","N/A"
"NCU00144","Neurospora crassa OR74A","CM002238:2,775,602..2,782,540(+)","hypothetical protein, variant 1, hypothetical protein","No","2","N/A"
"NCU00145","Neurospora crassa OR74A","CM002238:2,783,014..2,784,705(-)","Histone H3","No","1","hH3v"
"NCU00146","Neurospora crassa OR74A","CM002238:2,784,879..2,786,766(+)","endoplamic reticulum-6","No","1","enr-6"
"NCU00147","Neurospora crassa OR74A","CM002238:2,786,442..2,787,904(-)","ARD/ARD family protein","No","1","adi1"
"NCU00148","Neurospora crassa OR74A","CM002238:2,788,477..2,791,447(+)","short chain dehydrogenase/reductase","No","1","N/A"
"NCU00149","Neurospora crassa OR74A","CM002238:2,790,371..2,791,412(-)","hypothetical protein","No","1","N/A"
"NCU00150","Neurospora crassa OR74A","CM002238:2,791,470..2,793,296(-)","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase, phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase, variant 2, phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase, variant 1","No","3","his-7"
"NCU00151","Neurospora crassa OR74A","CM002238:2,793,554..2,795,515(+)","hypothetical protein","No","1","N/A"
"NCU00152","Neurospora crassa OR74A","CM002238:2,795,493..2,801,460(-)","GTP binding protein, GTP binding protein, variant 1","No","2","bud4"
"NCU00153","Neurospora crassa OR74A","CM002238:2,804,504..2,807,804(+)","pyridine nucleotide-disulfide oxidoreductase","No","1","ndi-1"
"NCU00154","Neurospora crassa OR74A","CM002238:2,808,302..2,811,222(-)","xaa-Pro dipeptidase, variant 1, xaa-Pro dipeptidase","No","2","dpp-6"
"NCU00155","Neurospora crassa OR74A","CM002238:2,811,509..2,816,732(-)","zinc finger transcription factor-44","No","1","znf-44"
"NCU00157","Neurospora crassa OR74A","CM002238:2,835,349..2,837,839(+)","COP9 signalosome subunit 1","No","1","csn-1"
"NCU00158","Neurospora crassa OR74A","CM002238:2,837,810..2,839,415(-)","transport of metals-63","No","1","trm-63"
"NCU00159","Neurospora crassa OR74A","CM002238:2,839,733..2,841,131(+)","mRNA surveillance-5","No","1","mrs-5"
"NCU00160","Neurospora crassa OR74A","CM002238:2,840,977..2,842,085(-)","NADH:ubiquinone oxidoreductase 6.6kD subunit","No","1","nuo6.6"
"NCU00161","Neurospora crassa OR74A","CM002238:2,844,137..2,847,977(+)","hypothetical protein, hypothetical protein, variant 1","No","2","N/A"
"NCU00162","Neurospora crassa OR74A","CM002238:2,848,537..2,850,855(-)","hypothetical protein","No","1","N/A"
"NCU00163","Neurospora crassa OR74A","CM002238:2,851,207..2,853,152(+)","dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase","No","1","alg-8"
"NCU00164","Neurospora crassa OR74A","CM002238:2,855,140..2,860,288(+)","Telomere binding protein","No","1","crf4-2"
"NCU00166","Neurospora crassa OR74A","CM002238:2,865,868..2,867,175(+)","isochorismatase domain-containing protein 2A","No","1","N/A"
"NCU00167","Neurospora crassa OR74A","CM002238:2,866,267..2,870,054(-)","hypothetical protein","No","1","N/A"
"NCU00168","Neurospora crassa OR74A","CM002238:2,870,763..2,873,315(+)","glycerophospholipid-2","No","1","gpl-2"
"NCU00169","Neurospora crassa OR74A","CM002238:2,873,180..2,876,109(-)","translocation complex component","No","1","sec63-1"
"NCU00170","Neurospora crassa OR74A","CM002238:2,876,791..2,881,091(-)","DnaJ domain-containing protein","No","1","N/A"
"NCU00171","Neurospora crassa OR74A","CM002238:2,892,499..2,894,459(-)","calmodulin-3","No","1","cmd-3"
"NCU00172","Neurospora crassa OR74A","CM002238:2,895,012..2,898,553(+)","nuclear division-24","No","1","div-24"
"NCU00173","Neurospora crassa OR74A","CM002238:2,898,298..2,899,869(-)","esterase D","No","1","ce1-2"
"NCU00175","Neurospora crassa OR74A","CM002238:2,902,308..2,904,375(-)","terpenoid-1","No","1","tpd-1"
"NCU00176","Neurospora crassa OR74A","CM002238:2,907,008..2,907,752(+)","hypothetical protein","No","1","N/A"
"NCU00177","Neurospora crassa OR74A","CM002238:2,908,699..2,911,447(+)","phosphoribosylformylglycinamidine cyclo-ligase","No","1","ad-2"
"NCU00178","Neurospora crassa OR74A","CM002238:2,911,285..2,913,322(-)","RNA polymerase-26","No","1","rpo-26"
"NCU00179","Neurospora crassa OR74A","CM002238:2,915,579..2,916,091(-)","hypothetical protein","No","1","N/A"
"NCU00180","Neurospora crassa OR74A","CM002238:2,915,154..2,918,507(+)","hypothetical protein","No","1","N/A"
"NCU00181","Neurospora crassa OR74A","CM002238:2,918,959..2,921,024(-)","peptidyl-prolyl cis-trans isomerase-like 2","No","1","ppi-2"
"NCU00182","Neurospora crassa OR74A","CM002238:2,921,366..2,923,932(+)","Integral membrane protein","No","1","gpr-11"
"NCU00183","Neurospora crassa OR74A","CM002238:2,923,935..2,926,192(-)","DUF185 domain-containing protein","No","1","N/A"
"NCU00184","Neurospora crassa OR74A","CM002238:2,926,534..2,928,113(+)","hypothetical protein","No","1","N/A"
"NCU00185","Neurospora crassa OR74A","CM002238:2,928,317..2,929,879(-)","hypothetical protein","No","1","N/A"
"NCU00186","Neurospora crassa OR74A","CM002238:2,930,282..2,931,868(-)","hypothetical protein","No","1","N/A"
"NCU00187","Neurospora crassa OR74A","CM002238:2,932,349..2,933,777(+)","carboxyvinyl-carboxyphosphonate phosphorylmutase","No","1","mig-11"
"NCU00188","Neurospora crassa OR74A","CM002238:2,933,803..2,939,195(-)","ATG1 protein","No","1","apg-1"
"NCU00189","Neurospora crassa OR74A","CM002238:2,940,734..2,941,293(+)","hypothetical protein","No","1","N/A"
"NCU00192","Neurospora crassa OR74A","CM002238:2,945,815..2,946,398(+)","hypothetical protein","No","1","N/A"
"NCU00193","Neurospora crassa OR74A","CM002238:2,946,716..2,949,035(-)","GPI mannosyltransferase 3","No","1","gt22-1"
"NCU00194","Neurospora crassa OR74A","CM002238:2,949,400..2,952,208(+)","ornithine aminotransferase, variant 1, ornithine aminotransferase","No","2","ota"
"NCU00195","Neurospora crassa OR74A","CM002238:2,952,414..2,955,195(-)","MFS transporter","No","1","N/A"
"NCU00196","Neurospora crassa OR74A","CM002238:2,958,372..2,963,721(-)","rho GTPase activator, variant 1, rho GTPase activator, rho GTPase activator, variant 2","No","3","rho-8"
"NCU00197","Neurospora crassa OR74A","CM002238:2,964,909..2,965,762(-)","hypothetical protein","No","1","N/A"
"NCU00198","Neurospora crassa OR74A","CM002238:2,975,311..2,976,464(+)","mitochondrial import inner membrane translocase subunit tim-9","No","1","tim9"
"NCU00199","Neurospora crassa OR74A","CM002238:2,977,148..2,983,556(-)","hypothetical protein","No","1","nup-1"
"NCU00200","Neurospora crassa OR74A","CM002238:2,984,054..2,987,258(+)","anthranilate synthase component II, anthranilate synthase component II, variant 1","No","2","trp-1"
"NCU00201","Neurospora crassa OR74A","CM002238:2,987,458..2,989,844(+)","hypothetical protein","No","1","N/A"
"NCU00202","Neurospora crassa OR74A","CM002238:2,989,948..2,992,927(-)","coronin-6","No","1","crn"
"NCU00203","Neurospora crassa OR74A","CM002238:2,994,352..2,996,205(+)","SIR2 family histone deacetylase","No","1","nst-5"
"NCU00204","Neurospora crassa OR74A","CM002238:2,994,376..2,996,683(-)","hypothetical protein","No","1","N/A"
"NCU00205","Neurospora crassa OR74A","CM002238:2,996,886..3,003,733(+)","nuclear division-75","No","1","div-75"
"NCU00206","Neurospora crassa OR74A","CM002238:3,004,156..3,008,108(-)","cellobiose dehydrogenase","No","1","cdh-1"
"NCU00207","Neurospora crassa OR74A","CM002238:3,008,954..3,011,070(+)","proline-9","No","2","pro-9"
"NCU00208","Neurospora crassa OR74A","CM002238:3,012,539..3,014,398(-)","hypothetical protein","No","1","N/A"
"NCU00209","Neurospora crassa OR74A","CM002238:3,015,781..3,019,028(-)","hypothetical protein","No","1","N/A"
"NCU00210","Neurospora crassa OR74A","CM002238:3,020,029..3,021,471(+)","nuclear cap binding protein subunit 2","No","1","mrs-1"
"NCU00211","Neurospora crassa OR74A","CM002238:3,021,141..3,022,196(-)","mitochondrial ribosomal protein subunit L31","No","1","mrp-35"
"NCU00212","Neurospora crassa OR74A","CM002238:3,024,058..3,025,897(-)","Histone H4","No","1","hH4-2"
"NCU00213","Neurospora crassa OR74A","CM002238:3,026,319..3,030,346(-)","nuclear protein bimA","No","1","cdc27"
"NCU00214","Neurospora crassa OR74A","CM002238:3,031,931..3,032,769(+)","hypothetical protein","No","1","N/A"
"NCU00215","Neurospora crassa OR74A","CM002238:3,032,513..3,034,015(-)","hypothetical protein, variant 1, hypothetical protein","No","2","N/A"
"NCU00216","Neurospora crassa OR74A","CM002238:3,034,331..3,036,319(+)","NADH-cytochrome b5 reductase-1","No","1","ncbr-1"
"NCU00218","Neurospora crassa OR74A","CM002238:3,044,473..3,045,884(+)","ADP-ribosylation factor family protein","No","1","adr-5"
"NCU00219","Neurospora crassa OR74A","CM002238:3,046,349..3,053,065(+)","hypothetical protein","No","1","N/A"
"NCU00220","Neurospora crassa OR74A","CM002238:3,053,438..3,054,964(+)","hypothetical protein","No","1","nut2"
"NCU00221","Neurospora crassa OR74A","CM002238:3,055,323..3,058,209(-)","hypothetical protein","No","1","N/A"
"NCU00222","Neurospora crassa OR74A","CM002238:3,058,749..3,062,199(-)","hypothetical protein","No","1","N/A"
"NCU00223","Neurospora crassa OR74A","CM002238:3,067,124..3,070,313(+)","transcription factor-3","No","2","tcf-3"
"NCU00224","Neurospora crassa OR74A","CM002238:3,073,146..3,073,825(-)","hypothetical protein","No","1","N/A"
"NCU00225","Neurospora crassa OR74A","CM002238:3,076,569..3,079,028(+)","hypothetical protein","No","1","N/A"
"NCU00226","Neurospora crassa OR74A","CM002238:3,080,040..3,082,423(-)","MFS transporter","No","1","N/A"
"NCU00227","Neurospora crassa OR74A","CM002238:3,082,706..3,084,875(+)","mitochondrial cation transporter","No","1","N/A"
"NCU00229","Neurospora crassa OR74A","CM002238:3,091,017..3,091,822(+)","hypothetical protein","No","1","N/A"
"NCU00230","Neurospora crassa OR74A","CM002238:3,092,058..3,097,137(+)","protein kinase lkh1","No","1","prk-4"
"NCU00231","Neurospora crassa OR74A","CM002238:3,098,529..3,100,913(+)","hypothetical protein","No","1","N/A"
"NCU00232","Neurospora crassa OR74A","CM002238:3,101,199..3,104,840(-)","hypothetical protein","No","1","N/A"
"NCU00233","Neurospora crassa OR74A","CM002238:3,105,414..3,106,528(+)","glycosyl hydrolase family 16-15","No","1","gh16-15"
"NCU00234","Neurospora crassa OR74A","CM002238:3,108,052..3,111,176(+)","hypothetical protein","No","1","N/A"
"NCU00236","Neurospora crassa OR74A","CM002238:3,118,490..3,120,588(+)","flavoprotein oxygenase-1","No","1","fpo-1"
"NCU00237","Neurospora crassa OR74A","CM002238:3,121,833..3,125,644(+)","purine-1","No","1","pur-1"
"NCU00238","Neurospora crassa OR74A","CM002238:3,126,180..3,130,948(-)","hypothetical protein","No","1","N/A"
"NCU00239","Neurospora crassa OR74A","CM002238:3,131,668..3,138,623(+)","AMP binding domain-containing protein, variant 1, AMP binding domain-containing protein","No","2","N/A"
"NCU00240","Neurospora crassa OR74A","CM002238:3,139,284..3,142,765(+)","hypothetical protein","No","1","N/A"
"NCU00241","Neurospora crassa OR74A","CM002238:3,142,667..3,146,510(-)","Septal pore-associated protein, putative","No","1","N/A"
"NCU00242","Neurospora crassa OR74A","CM002238:3,147,396..3,149,506(-)","snare complex-10","No","1","sna-10"
"NCU00243","Neurospora crassa OR74A","CM002238:3,150,556..3,153,265(-)","microtubule-associated protein RP/EB family member 1","No","1","mal3"
"NCU00244","Neurospora crassa OR74A","CM002238:3,153,637..3,155,770(+)","glycosyl transferase, variant 1, Glycosyl transferase","No","2","gt8-1"
"NCU00245","Neurospora crassa OR74A","CM002238:3,157,964..3,159,174(+)","hypothetical protein","No","1","N/A"
