protein_id	C287	C289	C286	C288	C294	C298
GB_GCA_030536145.1|JAUNQN010000002.1_79	0	0	1	0	0	0
GB_GCA_030536145.1|JAUNQN010000006.1_28	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000007.1_13	1	1	0	1	1	0
GB_GCA_030536145.1|JAUNQN010000008.1_11	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000008.1_21	0	0	1	0	0	0
GB_GCA_030536145.1|JAUNQN010000010.1_36	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000010.1_42	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000011.1_1	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000011.1_19	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000012.1_8	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000013.1_43	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000014.1_1	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000015.1_7	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000018.1_19	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000019.1_37	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000022.1_38	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000022.1_44	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000023.1_17	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000024.1_24	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000025.1_33	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000026.1_17	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000026.1_36	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000029.1_25	1	1	1	1	0	1
GB_GCA_030536145.1|JAUNQN010000032.1_32	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000035.1_13	0	0	1	0	1	0
GB_GCA_030536145.1|JAUNQN010000035.1_19	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000037.1_14	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000040.1_4	1	1	1	1	1	0
GB_GCA_030536145.1|JAUNQN010000041.1_10	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000041.1_8	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000043.1_9	1	1	0	1	1	1
GB_GCA_030536145.1|JAUNQN010000044.1_11	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000051.1_15	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000051.1_18	1	1	0	1	0	1
GB_GCA_904501915.1|CAJGCV010000001.1_11	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000001.1_12	1	1	0	1	0	1
GB_GCA_904501915.1|CAJGCV010000001.1_135	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000001.1_69	1	1	0	1	1	1
GB_GCA_904501915.1|CAJGCV010000001.1_85	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000001.1_96	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000002.1_12	0	0	1	0	1	0
GB_GCA_904501915.1|CAJGCV010000005.1_13	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000005.1_2	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000005.1_30	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000005.1_9	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000007.1_26	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000011.1_7	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000013.1_1	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000016.1_13	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000016.1_9	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000017.1_13	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000017.1_3	0	0	1	0	0	1
GB_GCA_904501915.1|CAJGCV010000020.1_17	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000021.1_5	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000021.1_6	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000028.1_13	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000033.1_15	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000033.1_7	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000036.1_16	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000040.1_2	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000047.1_13	0	0	0	0	0	0
GB_GCA_904501915.1|CAJGCV010000048.1_6	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000049.1_6	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000059.1_4	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000063.1_5	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000083.1_7	1	1	1	1	1	1
GB_GCA_904501915.1|CAJGCV010000096.1_2	1	1	1	1	0	1
GB_GCA_904501915.1|CAJGCV010000171.1_3	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000001.1_7	0	0	0	0	0	0
GB_GCA_947588645.1|CANPYO010000002.1_14	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000002.1_46	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000005.1_17	0	0	0	0	0	0
GB_GCA_947588645.1|CANPYO010000012.1_18	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000012.1_20	1	1	0	1	1	1
GB_GCA_947588645.1|CANPYO010000012.1_8	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000013.1_15	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000015.1_17	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000024.1_14	0	0	0	0	0	0
GB_GCA_947588645.1|CANPYO010000026.1_19	0	0	1	0	0	0
GB_GCA_947588645.1|CANPYO010000030.1_16	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000038.1_9	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000044.1_4	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000046.1_6	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000054.1_5	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000056.1_7	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000058.1_10	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000061.1_9	0	0	1	0	0	0
GB_GCA_947588645.1|CANPYO010000069.1_11	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000071.1_2	0	0	0	0	0	0
GB_GCA_947588645.1|CANPYO010000079.1_9	0	0	0	0	0	0
GB_GCA_947588645.1|CANPYO010000081.1_4	0	0	0	0	0	0
GB_GCA_947588645.1|CANPYO010000100.1_1	0	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000103.1_6	1	1	1	1	1	1
GB_GCA_947588645.1|CANPYO010000112.1_3	0	0	0	0	0	1
GB_GCA_947588645.1|CANPYO010000115.1_2	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_190538_3	0	0	1	0	1	0
STP572.12604_R.bin.69|k141_197151_2	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_212121_6	1	1	1	1	1	1
STP572.12604_R.bin.69|k141_249130_17	1	1	1	1	1	1
STP572.12604_R.bin.69|k141_271350_10	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_291142_2	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_33880_16	1	1	0	1	0	1
STP572.12604_R.bin.69|k141_344577_4	0	0	1	0	0	1
STP572.12604_R.bin.69|k141_354349_10	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_356340_11	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_373710_7	1	1	1	1	1	1
STP572.12604_R.bin.69|k141_384432_8	1	1	1	1	1	1
STP572.12604_R.bin.69|k141_384841_17	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_407965_3	1	1	1	1	1	1
STP572.12604_R.bin.69|k141_442200_4	1	1	1	1	0	1
STP572.12604_R.bin.69|k141_452763_2	0	0	0	0	0	0
STP572.12604_R.bin.69|k141_464558_9	0	0	1	0	1	0
STP572.12604_R.bin.69|k141_49727_5	1	1	1	1	1	1
STP572.12604_R.bin.69|k141_75017_3	0	0	0	0	0	0
UHM1228.23072_R.bin.109|k141_1057619_2	0	0	0	0	0	0
UHM1228.23072_R.bin.109|k141_120214_2	0	0	1	0	1	0
UHM1228.23072_R.bin.109|k141_159524_3	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_169532_1	0	0	0	0	0	0
UHM1228.23072_R.bin.109|k141_190837_5	0	0	0	0	0	0
UHM1228.23072_R.bin.109|k141_403310_4	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_438447_2	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_43965_6	0	1	1	1	0	1
UHM1228.23072_R.bin.109|k141_60114_5	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_644947_3	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_649594_4	0	0	0	0	0	0
UHM1228.23072_R.bin.109|k141_753007_1	0	0	1	0	0	0
UHM1228.23072_R.bin.109|k141_820112_2	0	0	0	0	0	0
UHM1228.23072_R.bin.109|k141_833783_4	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_843631_2	1	1	1	1	1	1
UHM1228.23072_R.bin.109|k141_929230_2	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_1270742_10	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_1270742_13	0	0	0	0	0	0
UHM298.41072_R.bin.118|k141_1394032_19	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_1394032_31	0	0	0	0	0	1
UHM298.41072_R.bin.118|k141_1394900_2	0	0	0	0	0	0
UHM298.41072_R.bin.118|k141_1475373_17	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_1648057_10	0	0	0	0	0	0
UHM298.41072_R.bin.118|k141_2698_6	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_444096_3	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_539703_29	1	1	1	1	1	0
UHM298.41072_R.bin.118|k141_57690_2	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_737550_4	1	1	0	1	0	1
UHM298.41072_R.bin.118|k141_834318_15	1	1	1	1	1	1
UHM298.41072_R.bin.118|k141_971759_7	0	0	0	0	0	0
