protein_id	clade02	clade01	clade04	clade03	clade06	clade05	clade08	clade07
EHM034674|EHA02355_bin.24_gene_217_2	0	0	0	0	1	0	0	0
EHM034674|EHA02355_bin.24_gene_220_1	0	1	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_222_11	0	0	0	1	0	0	0	0
EHM034674|EHA02355_bin.24_gene_222_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_222_7	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_223_9	1	0	0	1	0	0	1	0
EHM034674|EHA02355_bin.24_gene_227_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_227_5	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_233_4	1	0	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_236_3	0	0	1	1	1	1	1	0
EHM034674|EHA02355_bin.24_gene_23_2	0	0	1	0	0	0	1	0
EHM034674|EHA02355_bin.24_gene_23_3	1	1	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_242_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_247_7	0	1	1	1	0	1	1	0
EHM034674|EHA02355_bin.24_gene_251_1	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_251_3	1	1	1	1	1	1	0	1
EHM034674|EHA02355_bin.24_gene_251_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_253_19	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_253_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_254_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_259_3	0	0	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_262_6	0	0	0	0	1	0	0	0
EHM034674|EHA02355_bin.24_gene_267_1	0	0	0	0	0	1	0	0
EHM034674|EHA02355_bin.24_gene_271_10	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_27_1	0	0	0	1	0	0	1	1
EHM034674|EHA02355_bin.24_gene_282_5	1	1	1	0	1	1	1	1
EHM034674|EHA02355_bin.24_gene_284_3	1	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_289_7	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_294_3	0	1	1	0	1	1	1	1
EHM034674|EHA02355_bin.24_gene_296_14	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_29_1	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_302_1	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_303_4	1	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_306_2	1	1	0	0	0	0	1	1
EHM034674|EHA02355_bin.24_gene_309_3	0	0	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_312_16	1	1	0	0	1	0	0	0
EHM034674|EHA02355_bin.24_gene_312_7	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_318_6	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_321_7	1	1	1	0	1	0	1	1
EHM034674|EHA02355_bin.24_gene_324_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_326_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_327_1	0	1	0	0	1	1	0	1
EHM034674|EHA02355_bin.24_gene_342_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_345_9	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_347_6	0	1	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_34_1	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_355_10	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_35_1	0	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_363_1	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_365_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_36_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_370_8	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_371_2	1	0	0	1	1	1	0	0
EHM034674|EHA02355_bin.24_gene_382_2	1	1	0	0	1	1	0	1
EHM034674|EHA02355_bin.24_gene_38_3	1	0	1	1	0	0	0	0
EHM034674|EHA02355_bin.24_gene_39_25	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_3_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_41_5	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_43_5	0	0	0	0	1	0	0	0
EHM034674|EHA02355_bin.24_gene_45_1	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_45_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_45_4	1	1	0	0	1	1	1	1
EHM034674|EHA02355_bin.24_gene_58_10	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_58_23	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_58_9	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_62_1	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_65_24	1	1	0	0	1	0	0	0
EHM034674|EHA02355_bin.24_gene_66_8	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_68_15	1	0	1	1	1	0	1	1
EHM034674|EHA02355_bin.24_gene_75_1	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_75_8	0	1	1	1	0	1	1	0
EHM034674|EHA02355_bin.24_gene_80_3	0	0	0	1	0	0	0	0
EHM034674|EHA02355_bin.24_gene_82_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_83_6	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_86_8	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_92_7	0	0	0	1	0	0	0	1
EHM034674|EHA02355_bin.24_gene_96_26	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_0_6	1	0	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_102_6	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_103_8	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_106_8	1	1	0	0	0	0	1	1
EHM034692|EHA02331_bin.15_gene_107_7	0	1	1	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_108_4	0	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_109_1	0	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_113_5	1	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_113_6	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_123_5	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_134_2	1	0	0	1	1	1	0	0
EHM034692|EHA02331_bin.15_gene_135_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_136_14	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_136_15	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_137_15	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_13_11	1	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_140_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_142_19	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_142_3	0	0	0	1	0	0	0	0
EHM034692|EHA02331_bin.15_gene_149_7	0	1	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_14_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_150_6	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_156_10	1	1	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_166_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_166_4	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_166_5	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_167_9	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_169_10	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_169_36	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_171_4	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_173_7	0	1	1	1	1	1	0	0
EHM034692|EHA02331_bin.15_gene_179_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_194_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_194_14	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_199_29	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_199_7	0	1	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_19_3	0	1	0	0	0	0	1	0
EHM034692|EHA02331_bin.15_gene_201_10	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_206_18	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_208_4	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_211_7	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_212_4	1	1	1	0	1	0	1	1
EHM034692|EHA02331_bin.15_gene_214_14	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_214_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_215_7	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_219_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_219_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_219_3	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_21_1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_21_9	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_221_12	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_226_3	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_229_4	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_229_5	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_232_26	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_232_34	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_232_4	0	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_236_2	0	0	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_241_18	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_241_7	0	0	0	1	0	0	0	1
EHM034692|EHA02331_bin.15_gene_244_8	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_245_13	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_245_37	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_246_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_248_4	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_26	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_24_3	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_251_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_251_3	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_252_3	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_255_7	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_258_3	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_259_8	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_261_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_261_3	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_261_4	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_261_5	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_266_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_268_11	0	1	1	1	0	1	1	0
EHM034692|EHA02331_bin.15_gene_268_17	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_268_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_278_6	0	0	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_278_7	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_279_2	1	1	0	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_284_12	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_284_13	1	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_286_3	0	0	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_288_5	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_28_3	0	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_35_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_36_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_40_1	1	1	0	1	1	1	0	0
EHM034692|EHA02331_bin.15_gene_48_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_52_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_53_9	1	0	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_55_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_3	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_33	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_58_4	0	0	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_62_12	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_62_26	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_62_37	1	1	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_62_52	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_63_1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_67_2	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_69_1	1	0	0	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_71_3	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_71_8	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_71_9	0	1	1	1	0	0	1	0
EHM034692|EHA02331_bin.15_gene_73_6	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_7_5	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_87_13	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_87_2	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_87_23	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_87_31	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_89_16	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_98_12	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_98_13	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_98_7	1	0	1	0	0	0	1	0
EHM034720|EHA02359_bin.2_gene_0_1	0	0	0	0	0	1	0	0
EHM034720|EHA02359_bin.2_gene_103_7	1	1	1	1	1	0	0	1
EHM034720|EHA02359_bin.2_gene_106_4	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_10_2	1	1	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_113_10	0	1	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_113_15	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_113_5	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_118_2	1	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_120_3	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_121_5	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_122_1	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_122_2	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_128_5	0	0	0	0	1	0	0	0
EHM034720|EHA02359_bin.2_gene_128_6	1	1	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_12_8	0	1	1	0	1	0	0	0
EHM034720|EHA02359_bin.2_gene_133_2	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_134_3	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_134_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_135_4	1	1	0	0	0	1	1	1
EHM034720|EHA02359_bin.2_gene_136_3	1	1	1	1	0	0	0	1
EHM034720|EHA02359_bin.2_gene_137_9	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_141_1	0	1	1	0	1	1	1	1
EHM034720|EHA02359_bin.2_gene_143_4	1	1	1	1	0	1	1	1
EHM034720|EHA02359_bin.2_gene_150_11	1	0	0	1	1	1	0	0
EHM034720|EHA02359_bin.2_gene_151_2	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_152_8	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_153_1	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_156_5	1	1	0	0	0	0	1	1
EHM034720|EHA02359_bin.2_gene_167_1	0	0	1	1	1	1	1	0
EHM034720|EHA02359_bin.2_gene_171_5	1	0	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_179_1	0	1	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_184_8	0	0	0	1	0	0	0	0
EHM034720|EHA02359_bin.2_gene_186_16	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_186_5	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_186_6	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_186_7	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_189_1	1	1	1	0	1	1	1	0
EHM034720|EHA02359_bin.2_gene_18_3	1	0	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_190_13	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_190_8	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_194_1	0	1	0	0	0	1	0	0
EHM034720|EHA02359_bin.2_gene_194_3	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_196_15	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_199_16	0	0	0	0	0	1	0	0
EHM034720|EHA02359_bin.2_gene_199_5	0	0	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_199_6	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_202_1	1	1	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_202_2	1	0	1	0	0	0	1	0
EHM034720|EHA02359_bin.2_gene_206_5	1	1	1	0	1	0	1	1
EHM034720|EHA02359_bin.2_gene_209_14	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_209_8	0	0	0	0	1	0	0	0
EHM034720|EHA02359_bin.2_gene_217_9	1	1	0	0	0	1	0	0
EHM034720|EHA02359_bin.2_gene_220_15	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_220_29	0	1	0	0	1	0	0	0
EHM034720|EHA02359_bin.2_gene_221_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_221_5	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_233_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_236_5	0	0	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_244_5	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_247_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_250_1	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_253_2	1	0	1	1	1	0	1	1
EHM034720|EHA02359_bin.2_gene_254_19	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_254_20	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_255_15	0	1	1	1	1	0	1	1
EHM034720|EHA02359_bin.2_gene_256_9	0	0	0	0	1	0	0	0
EHM034720|EHA02359_bin.2_gene_2_2	0	1	0	0	0	1	0	0
EHM034720|EHA02359_bin.2_gene_2_6	1	1	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_32_2	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_33_2	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_33_3	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_3_6	1	1	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_41_1	0	1	1	1	1	1	0	0
EHM034720|EHA02359_bin.2_gene_46_1	1	1	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_46_5	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_4_20	0	1	1	0	1	0	1	0
EHM034720|EHA02359_bin.2_gene_4_8	1	1	0	0	1	1	0	1
EHM034720|EHA02359_bin.2_gene_53_8	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_55_23	0	0	0	0	1	1	0	0
EHM034720|EHA02359_bin.2_gene_56_3	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_56_8	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_56_9	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_57_3	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_58_10	1	1	0	0	1	1	1	0
EHM034720|EHA02359_bin.2_gene_69_3	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_70_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_10	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_19	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_21	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_3	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_5	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_6	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_76_7	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_79_3	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_7_20	1	1	1	1	1	1	1	1
EHM034720|EHA02359_bin.2_gene_7_8	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_81_14	1	0	0	0	0	1	0	0
EHM034720|EHA02359_bin.2_gene_81_4	0	0	0	0	0	0	0	0
EHM034720|EHA02359_bin.2_gene_92_1	1	1	1	1	1	1	1	1
