protein_id	source_proteome	C286	C287	C288	C289	C294	C298	clade01	clade02	clade03	clade04	clade05	clade06	clade07	clade08
EHM034692|EHA02331_bin.15_gene_18_6	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_18_7	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_18_8	C287	1	1	1	1	1	1	0	1	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_18_10	C287	1	1	0	1	1	1	1	1	1	0	1	0	1	1
EHM034692|EHA02331_bin.15_gene_19_1	C287	1	1	1	1	1	1	1	0	0	1	1	1	0	0
EHM034692|EHA02331_bin.15_gene_19_2	C287	1	1	1	1	1	1	1	0	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_20_3	C287	1	1	0	0	0	0	0	0	1	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_21_1	C287	1	1	1	1	0	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_21_2	C287	1	1	1	1	1	1	0	1	1	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_21_3	C287	1	1	1	1	1	1	1	1	0	1	1	0	1	0
EHM034692|EHA02331_bin.15_gene_21_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_21_5	C287	1	1	1	1	1	1	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_21_6	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_21_7	C287	1	1	1	1	1	1	0	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_21_8	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_22_2	C287	1	1	1	1	1	0	1	0	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_22_3	C287	1	1	1	1	1	1	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_22_4	C287	1	1	1	1	1	1	1	0	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_23_1	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_23_2	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_23_3	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_23_5	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_23_6	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_23_7	C287	1	1	1	0	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_23_8	C287	1	1	1	0	1	1	1	1	1	1	0	0	1	1
EHM034692|EHA02331_bin.15_gene_23_9	C287	1	1	1	0	1	1	1	1	1	1	0	0	1	1
EHM034692|EHA02331_bin.15_gene_23_10	C287	1	1	1	0	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_24_1	C287	1	1	1	1	1	1	0	1	1	1	0	0	1	1
EHM034692|EHA02331_bin.15_gene_24_3	C287	1	1	1	1	0	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_24_5	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_6	C287	1	1	1	1	1	1	1	0	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_7	C287	1	1	1	1	0	1	0	0	1	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_24_11	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_12	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_13	C287	1	1	1	1	1	1	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_14	C287	1	1	1	1	1	1	1	1	1	1	0	1	0	1
EHM034692|EHA02331_bin.15_gene_24_15	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_16	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_17	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_18	C287	1	1	1	0	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_24_23	C287	1	1	0	0	0	0	0	0	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_25_1	C287	1	1	1	1	0	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_25_2	C287	1	1	1	1	0	1	0	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_25_5	C287	1	1	1	1	1	1	1	1	1	0	1	1	1	0
EHM034692|EHA02331_bin.15_gene_25_12	C287	1	1	1	1	1	1	1	1	0	0	1	1	1	0
EHM034692|EHA02331_bin.15_gene_25_14	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_25_15	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_16	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_17	C287	1	1	1	1	1	1	1	1	0	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_18	C287	1	1	1	1	1	1	1	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_19	C287	1	1	1	1	1	1	1	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_20	C287	1	1	1	1	1	1	1	1	1	0	0	1	0	1
EHM034692|EHA02331_bin.15_gene_25_21	C287	1	1	1	1	1	1	1	1	1	0	0	1	0	1
EHM034692|EHA02331_bin.15_gene_25_22	C287	1	1	1	1	1	1	1	1	1	0	0	1	0	1
EHM034692|EHA02331_bin.15_gene_25_23	C287	1	1	1	1	1	1	1	1	1	0	1	1	0	1
EHM034692|EHA02331_bin.15_gene_25_24	C287	1	1	1	1	1	1	0	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_25_26	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_27	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_28	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_29	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_30	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_31	C287	1	1	1	1	0	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_32	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_33	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_34	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_35	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_36	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_25_37	C287	1	1	1	1	1	1	0	1	1	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_26_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_26_5	C287	1	1	1	1	1	1	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_27_6	C287	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_29_1	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_29_2	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_29_5	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_29_6	C287	1	1	1	1	1	1	1	1	1	1	0	0	1	1
EHM034692|EHA02331_bin.15_gene_29_7	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_30_2	C287	1	1	1	1	1	1	0	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_32_1	C287	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_32_2	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_32_5	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_32_6	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_33_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_33_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_33_5	C287	1	1	1	1	1	1	0	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_33_6	C287	1	1	0	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_33_7	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_33_8	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_34_4	C287	1	1	1	1	0	0	0	0	1	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_34_7	C287	1	1	1	1	1	1	0	1	0	0	0	0	1	1
EHM034692|EHA02331_bin.15_gene_35_1	C287	1	1	1	1	0	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_35_2	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_35_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_35_4	C287	1	1	1	1	1	1	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_36_1	C287	1	1	1	1	0	0	0	0	0	0	0	0	1	0
EHM034692|EHA02331_bin.15_gene_36_2	C287	1	1	1	1	1	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_37_1	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_37_2	C287	1	1	1	1	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_37_3	C287	1	1	1	1	1	0	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_37_4	C287	1	1	1	1	1	0	0	0	0	0	0	0	0	1
EHM034692|EHA02331_bin.15_gene_38_2	C287	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_38_3	C287	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_40_1	C287	1	1	1	1	1	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_40_2	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_40_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_41_4	C287	1	1	1	1	1	1	0	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_42_1	C287	1	1	1	1	0	0	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_42_2	C287	1	1	1	1	1	1	1	0	0	0	1	1	1	0
EHM034692|EHA02331_bin.15_gene_44_1	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_44_2	C287	1	1	1	1	1	1	1	1	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_44_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EHM034692|EHA02331_bin.15_gene_44_4	C287	1	1	1	1	1	0	0	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_44_5	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_45_1	C287	1	1	1	1	1	1	0	1	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_45_2	C287	1	1	1	1	1	1	1	1	0	0	1	0	1	0
EHM034692|EHA02331_bin.15_gene_45_3	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_45_4	C287	1	1	1	1	1	1	1	1	0	0	1	0	0	0
EHM034692|EHA02331_bin.15_gene_45_5	C287	1	1	1	1	0	1	1	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_46_2	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_47_1	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_2	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_47_3	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_5	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_47_6	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_7	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_13	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_47_14	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_15	C287	1	1	1	1	1	1	1	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_47_16	C287	1	1	1	1	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_47_17	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_47_18	C287	1	1	1	1	1	0	0	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_48_1	C287	1	1	1	1	0	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_49_1	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_49_2	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_49_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_49_6	C287	1	1	1	1	0	1	0	0	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_49_8	C287	1	1	1	1	1	1	1	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_49_9	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_49_10	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_49_11	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_49_13	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_50_1	C287	1	1	1	1	1	1	0	1	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_50_2	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_50_3	C287	1	1	1	1	0	1	0	0	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_50_4	C287	1	1	1	1	0	1	1	0	0	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_50_5	C287	1	1	1	1	1	1	1	1	1	1	0	0	0	1
EHM034692|EHA02331_bin.15_gene_51_1	C287	1	1	1	1	0	1	1	1	1	1	1	0	0	1
EHM034692|EHA02331_bin.15_gene_51_2	C287	1	1	1	1	0	1	0	1	0	1	0	0	0	0
EHM034692|EHA02331_bin.15_gene_51_3	C287	1	1	1	1	0	0	1	0	1	1	0	0	0	1
EHM034692|EHA02331_bin.15_gene_52_1	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_52_2	C287	1	1	1	1	0	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_52_4	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_53_2	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_53_3	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_53_6	C287	1	1	1	1	0	1	1	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_53_7	C287	1	1	1	1	1	1	0	1	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_53_8	C287	1	1	1	1	1	1	0	0	1	1	0	0	1	0
EHM034692|EHA02331_bin.15_gene_53_9	C287	1	1	1	1	1	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_53_10	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_53_11	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_53_12	C287	1	1	1	1	1	1	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_53_13	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_53_14	C287	1	1	1	1	1	1	1	0	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_53_15	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_53_17	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_54_1	C287	1	1	1	1	0	1	0	0	0	0	0	1	0	1
EHM034692|EHA02331_bin.15_gene_54_2	C287	1	1	1	1	1	1	0	1	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_1	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_2	C287	1	1	1	1	1	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_3	C287	1	1	1	1	1	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_4	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_55_5	C287	1	1	1	1	0	1	1	1	1	1	1	1	0	0
EHM034692|EHA02331_bin.15_gene_55_6	C287	1	1	1	1	1	1	0	0	0	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_55_7	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_8	C287	1	1	1	1	1	1	0	0	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_55_9	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_55_10	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_55_11	C287	1	1	1	1	1	1	1	1	0	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_55_12	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_55_13	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_55_15	C287	1	1	1	1	1	1	1	1	1	0	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_16	C287	1	1	1	1	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_17	C287	1	1	1	1	1	1	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_55_19	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_28	C287	1	1	1	1	1	1	1	1	1	0	1	1	0	1
EHM034692|EHA02331_bin.15_gene_55_29	C287	1	1	1	1	1	1	1	1	1	1	1	1	0	0
EHM034692|EHA02331_bin.15_gene_55_30	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_31	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_33	C287	1	1	1	1	1	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_55_37	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_38	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_39	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_55_43	C287	1	1	1	1	0	1	1	1	1	1	1	0	0	1
