protein_id	source_proteome	C286	C287	C288	C289	C294	C298	clade01	clade02	clade03	clade04	clade05	clade06	clade07	clade08
EHM034692|EHA02331_bin.15_gene_18_1	C287	1.2500000000000001e-245		0.0	0.0	1.09e-255	3.1500000000000003e-251	2.4700000000000003e-208	2.77e-211	3.56e-210	1.1399999999999999e-207	8.94e-151		5.88e-184	6.47e-211
EHM034692|EHA02331_bin.15_gene_18_2	C287	9.939999999999998e-150		2.76e-239	4.61e-240	3.1399999999999995e-172	2.89e-154	2.29e-152	3.42e-158	3.92e-149	8.31e-152	2.1599999999999998e-159	6.2e-130	4.8099999999999996e-142	4.05e-155
EHM034692|EHA02331_bin.15_gene_18_3	C287	1.3299999999999998e-82		1e-93	3.37e-94	1.42e-84	1.45e-69	1.05e-80	1.71e-80	6.82e-68	7.59e-68	3.35e-80		8.98e-66	4.66e-68
EHM034692|EHA02331_bin.15_gene_18_4	C287	2.0100000000000002e-72		4.91e-117	1.72e-119	9.28e-72	2.41e-58	3.8299999999999995e-67	7.05e-64	3.61e-44		2.08e-63		2.4899999999999998e-45	6.1e-50
EHM034692|EHA02331_bin.15_gene_18_5	C287	3.02e-118		4.860000000000001e-224	8.129999999999999e-225	5.69e-194	1.0100000000000002e-200	6.1e-176	1.68e-178	7.13e-158	1.31e-138	2.96e-172		8.06e-164	2.54e-156
EHM034692|EHA02331_bin.15_gene_18_6	C287	5.46e-167		2.0899999999999998e-300	1.55e-304	5.81e-176	3.98e-188	4.32e-135	9.86e-147	1.26e-114	7.19e-109	1.22e-90		7.74e-107	5.39e-121
EHM034692|EHA02331_bin.15_gene_18_7	C287	1.09e-83		3.47e-169	2.1099999999999998e-172	1.12e-89	7.529999999999999e-74	8.02e-72	2.2800000000000002e-79	1.1099999999999999e-67	4.97e-73	6.71e-65		2.68e-68	2.92e-66
EHM034692|EHA02331_bin.15_gene_18_8	C287	1.29e-58		7.64e-154	5.860000000000001e-160	1.51e-41	1.15e-38		1.76e-41			3.56e-40			
EHM034692|EHA02331_bin.15_gene_18_10	C287	3.87e-100			4.97e-222	8.94e-143	3.24e-106	3.74e-99	1.8500000000000002e-181	7.430000000000001e-85		6.82e-74		6.98e-101	1.51e-102
EHM034692|EHA02331_bin.15_gene_19_1	C287	4.83e-239		7.11e-317	3.1e-320	6.619999999999999e-249	8.14e-234	3.1199999999999997e-249			3.39e-39	1.97e-256	1.3e-258		
EHM034692|EHA02331_bin.15_gene_19_2	C287	2.3e-183		2.3399999999999998e-229	5.86e-255	1.61e-143	1.14e-140	3.32e-137		8.42e-28		6.35e-136	4.14e-138	9.03e-34	2.87e-19
EHM034692|EHA02331_bin.15_gene_20_3	C287	2.61e-70								7.07e-80					
EHM034692|EHA02331_bin.15_gene_21_1	C287	1.21e-21		1.64e-32	1.59e-32		2.95e-16								
EHM034692|EHA02331_bin.15_gene_21_2	C287	6.399999999999999e-141		7.2e-228	2.7100000000000002e-222	2.0999999999999997e-127	3.96e-132		3.2599999999999996e-60	1.48e-50		8.99e-72	6.4e-73		
EHM034692|EHA02331_bin.15_gene_21_3	C287	1.62e-49		3.09e-86	2.02e-117	2.05e-44	5.58e-50	9.85e-35	8.86e-31		3.84e-23	4.3699999999999995e-34		1.7400000000000001e-29	
EHM034692|EHA02331_bin.15_gene_21_4	C287	4.67e-127		2.0799999999999997e-170	2.0099999999999998e-170	2.7e-137	5.0900000000000006e-117	4.88e-114	3.8200000000000005e-110	4.75e-116	3.12e-105	8.72e-112	9.16e-115	6e-103	4.43e-113
EHM034692|EHA02331_bin.15_gene_21_5	C287	1.7e-172		4.2400000000000003e-266	1.18e-265	2.89e-219	4.51e-178	7.519999999999999e-139	1.5299999999999999e-204	4.97e-143		1.86e-223	4.28e-141	9.350000000000001e-130	4.48e-145
EHM034692|EHA02331_bin.15_gene_21_6	C287	2.4900000000000002e-87		9.61e-147	1.49e-147	2.11e-93	7.589999999999999e-94	5.8e-73	1.42e-85	1.1599999999999999e-83	3.92e-76		2.53e-88	3.49e-77	2.66e-80
EHM034692|EHA02331_bin.15_gene_21_7	C287	6.729999999999999e-262		2.82e-311	1.04e-315	2.5500000000000002e-257	2.86e-256		1.8500000000000003e-226	2.1e-210	3.18e-211	3.63e-193		1.0499999999999998e-207	4.03e-213
EHM034692|EHA02331_bin.15_gene_21_8	C287	1.5000000000000001e-274		0.0	0.0	5.25e-299	1.19e-304		1.4899999999999999e-171	5.16e-156	4.72e-164	3.4199999999999997e-180	2.1200000000000002e-173	3.78e-157	1.64e-162
EHM034692|EHA02331_bin.15_gene_22_2	C287	4.0200000000000003e-125		3.08e-209	1.71e-227	1.52e-143		1.81e-119				2.47e-128			
EHM034692|EHA02331_bin.15_gene_22_3	C287	3.71e-291		0.0	7.899999999999999e-99	2.2000000000000004e-201	8.320000000000001e-245					1.79e-244	1.2199999999999999e-246		
EHM034692|EHA02331_bin.15_gene_22_4	C287	7.87e-71		1.9600000000000002e-169	2.32e-170	2.63e-57	4.01e-83	4.02e-55					1.26e-61		
EHM034692|EHA02331_bin.15_gene_23_1	C287	3.860000000000001e-124		3.99e-193	2.72e-193	6.92e-158	1.5199999999999998e-135		1.87e-135	7.46e-119	9.43e-128		2.03e-139	7.8e-111	9.39e-117
EHM034692|EHA02331_bin.15_gene_23_2	C287	2.45e-171		5.17e-214	1.1e-217	3.52e-178	6.98e-173		1.75e-161	8.86e-152	9.12e-153		2.7099999999999997e-153	3.41e-138	1.32e-150
EHM034692|EHA02331_bin.15_gene_23_3	C287	3.52e-312		0.0	0.0	4.59e-305	6.46e-305		1.3100000000000001e-166	1.0999999999999999e-148	2.3500000000000002e-160		2.7599999999999998e-139	1.16e-141	7.47e-121
EHM034692|EHA02331_bin.15_gene_23_5	C287	1.5100000000000001e-257		1.63e-293	1.35e-294	4.9199999999999996e-254	5.43e-260		5.28e-223	7.989999999999999e-205	8.09e-204	2.93e-155	5.48e-227	3.22e-199	1.09e-202
EHM034692|EHA02331_bin.15_gene_23_6	C287	0.0		0.0	0.0	0.0	0.0	4.81e-289	4.8499999999999996e-300	1.69e-274	1.88e-276		1.23e-301	3.5200000000000003e-272	3.06e-281
EHM034692|EHA02331_bin.15_gene_23_7	C287	4.62e-222		1.6e-264		3.92e-204	4.84e-221	3.25e-191	3.43e-184	3.68e-162	2.9700000000000002e-167		1.57e-194	3.96e-168	4.36e-168
EHM034692|EHA02331_bin.15_gene_23_8	C287	2.98e-94		1.2599999999999999e-189		8.02e-112	2.09e-81	7.58e-65	1.8e-71	3.8000000000000003e-57	1e-58			1.84e-64	7.220000000000001e-57
EHM034692|EHA02331_bin.15_gene_23_9	C287	1.5999999999999998e-242		4.85e-309		2.2999999999999996e-229	4.9600000000000006e-248	9.35e-193	1.51e-192	3.2400000000000005e-185	8.72e-182			1.09e-182	3e-176
EHM034692|EHA02331_bin.15_gene_23_10	C287	3.76e-19		3.99e-24		3.33e-14	1.55e-18	2.18e-16	7.43e-14	1.64e-13	1.99e-13	1.66e-17		1.4e-14	2.69e-13
EHM034692|EHA02331_bin.15_gene_24_1	C287	9.839999999999999e-74		1.54e-95	9.23e-97	7.09e-48	2.24e-44		1.14e-55	1.19e-38	1.35e-44			1.68e-34	2.48e-34
EHM034692|EHA02331_bin.15_gene_24_3	C287	0.0		0.0	0.0		0.0								
EHM034692|EHA02331_bin.15_gene_24_5	C287	3.24e-306		0.0	1.14e-260	0.0	0.0	2.6299999999999998e-284	2.2600000000000002e-272	1.7199999999999999e-205	2.46e-224	2.41e-182	1.2299999999999999e-233	1.13e-211	6.72e-218
EHM034692|EHA02331_bin.15_gene_24_6	C287	2.4799999999999998e-140		0.0	0.0	4.359999999999999e-242	8.260000000000001e-179	2.66e-156		8.4e-121	1.33e-105	1.9000000000000002e-58	7.74e-178	5.3199999999999993e-104	5.89e-100
EHM034692|EHA02331_bin.15_gene_24_7	C287	1.2399999999999998e-42		5.66e-193	1e-204		1.6e-19			2.1699999999999998e-23					
EHM034692|EHA02331_bin.15_gene_24_11	C287	2.4e-136		2.37e-211	9.14e-164	3.5400000000000005e-129	2.1100000000000002e-133	4.27e-91	1.06e-98	2.8e-86	3.9000000000000003e-87	7.81e-98	7.48e-95	9.320000000000001e-79	1.11e-76
EHM034692|EHA02331_bin.15_gene_24_12	C287	9.7e-25		6.59e-35	5.43e-35	5.74e-24	6.6699999999999995e-25	3.18e-25	2.41e-18	1.37e-13	2.59e-16	2.54e-21	5.2e-23	3.28e-15	6.42e-16
EHM034692|EHA02331_bin.15_gene_24_13	C287	2.51e-56		1.09e-111	1.82e-112	1.92e-59	5.75e-45	1.18e-53	1.6e-40	3.6499999999999998e-25		1e-52	5.559999999999999e-52	3.410000000000001e-21	2.2199999999999997e-23
EHM034692|EHA02331_bin.15_gene_24_14	C287	5.52e-33		2.4e-85	6.15e-90	4.0400000000000004e-35	3.27e-36	3.3600000000000004e-32	7.21e-31	1.06e-28	9.87e-33		1.56e-24		4.54e-30
EHM034692|EHA02331_bin.15_gene_24_15	C287	5.86e-305		0.0	0.0	4.79e-290	2.2000000000000002e-297	2.02e-267	1.28e-270	3.15e-259	2.97e-258	2.06e-276	9.42e-275	9.27e-253	6.32e-252
EHM034692|EHA02331_bin.15_gene_24_16	C287	3.7000000000000004e-125		9.139999999999999e-199	2.17e-199	1.82e-130	2.04e-133	1.54e-107	5.27e-106	1.79e-98	2.64e-96	2.6e-109	7.67e-111	1.74e-90	1.11e-99
EHM034692|EHA02331_bin.15_gene_24_17	C287	2.68e-294		0.0	3.1699999999999996e-282	5.21e-299	3.5199999999999997e-287	1.21e-263	2.9699999999999997e-268	1.3500000000000002e-271	3.33e-218	1.33e-170	7.65e-271	1.56e-268	1.51e-268
EHM034692|EHA02331_bin.15_gene_24_18	C287	2.9e-37		1.31e-84		1.02e-38	1.9900000000000002e-36		8.490000000000001e-37	9.930000000000001e-21	1.27e-22	2.53e-40	9.29e-38	4.9300000000000004e-26	1.06e-25
EHM034692|EHA02331_bin.15_gene_24_23	C287	2e-38											2.91e-24		
EHM034692|EHA02331_bin.15_gene_25_1	C287	1.92e-70		1.0500000000000001e-116	8.34e-116		1.06e-59		1.1e-55	4.41e-55	5.27e-50	4.75e-54	8.120000000000001e-58	2.7e-50	4.72e-55
EHM034692|EHA02331_bin.15_gene_25_2	C287	2.19e-97		3.5e-135	1.05e-138		1.33e-84		2.23e-87			2.25e-75	5.8899999999999995e-89		
EHM034692|EHA02331_bin.15_gene_25_5	C287	9.31e-83		2.46e-243	4.74e-82	1.81e-85	8.47e-190	8.19e-85	8.060000000000001e-86	4.04e-82		2.5e-84	1.21e-84	2.8300000000000005e-79	
EHM034692|EHA02331_bin.15_gene_25_12	C287	4.99e-282		0.0	0.0	0.0	0.0	1.3200000000000002e-56	1.9699999999999997e-40			2.45e-37	3.34e-83	2.71e-42	
EHM034692|EHA02331_bin.15_gene_25_14	C287	2.8799999999999997e-140		2.3399999999999997e-189	1.94e-190	8.16e-140	1.71e-138	1.05e-115	1.23e-120	5.16e-120	2.73e-120	1.67e-123	2.83e-134	5.68e-114	1.17e-123
EHM034692|EHA02331_bin.15_gene_25_15	C287	1.66e-115		1.41e-154	8.910000000000001e-160	5.6000000000000005e-89	2.47e-102	3.11e-77	2.72e-72	2.9599999999999998e-55	6.26e-58		1.07e-82	8.1e-54	4.27e-57
EHM034692|EHA02331_bin.15_gene_25_16	C287	1.11e-278		0.0	0.0	2.44e-268	1.88e-258	7.92e-231	8.63e-208	5.16e-204	3.91e-204		2.4300000000000002e-226	2.8999999999999997e-205	9.220000000000001e-200
EHM034692|EHA02331_bin.15_gene_25_17	C287	1.25e-90		2.2699999999999997e-104	6.289999999999999e-104	7.41e-90	8.209999999999999e-82	2.22e-71	4.77e-83		5.859999999999999e-68		7.100000000000001e-80	7.63e-70	8.579999999999999e-69
EHM034692|EHA02331_bin.15_gene_25_18	C287	9e-95		3.37e-129	9.42e-139	7.49e-95	1.59e-95	2.16e-89	3.4499999999999996e-94	2.94e-74			1.8600000000000001e-85	4.610000000000001e-75	1.01e-76
EHM034692|EHA02331_bin.15_gene_25_19	C287	8.959999999999999e-62		2.31e-75	2.3300000000000003e-77	6.46e-62	5.14e-63	9.95e-59	3.89e-60	3.01e-53			3e-59	5.06e-49	8.7e-53
EHM034692|EHA02331_bin.15_gene_25_20	C287	2.1799999999999997e-104		1.3500000000000001e-125	3.75e-125	2.34e-106	1.0299999999999999e-104	1.59e-100	1.8700000000000002e-86	2.6499999999999998e-92			7.32e-102		1.99e-87
EHM034692|EHA02331_bin.15_gene_25_21	C287	3.3900000000000004e-79		1.23e-92	1.02e-93	1.36e-76	3.86e-71	4.89e-66	2.15e-70	8.92e-62			2.57e-73		5.7e-65
EHM034692|EHA02331_bin.15_gene_25_22	C287	4.43e-121		3.03e-137	2.5099999999999998e-138	6.580000000000001e-122	2.44e-120	1.97e-112	3.78e-113	2.2099999999999998e-108			6.720000000000001e-118		4.439999999999999e-106
EHM034692|EHA02331_bin.15_gene_25_23	C287	1.9499999999999998e-42		2.05e-50	1.98e-50	3.68e-40	1.28e-44	1.16e-39	1.96e-39	1.5800000000000002e-37		2.22e-38	3.72e-39		2.55e-34
EHM034692|EHA02331_bin.15_gene_25_24	C287	1.1e-76		6.69e-76	3.85e-81	4.1100000000000005e-79	1.4299999999999999e-74		1.61e-73	8.919999999999999e-68		1.5e-71	2.07e-71	3.92e-68	1.06e-68
EHM034692|EHA02331_bin.15_gene_25_26	C287	9.549999999999999e-94		1.62e-91	4.07e-101	4.81e-95	5.93e-92		1.5699999999999999e-89	2.8800000000000003e-85			4.36e-90	2.53e-83	1.3199999999999999e-81
EHM034692|EHA02331_bin.15_gene_25_27	C287	3.2299999999999996e-147		3.09e-167	1.04e-167	4.57e-149	3.28e-142		3.08e-121	3.910000000000001e-124	2.6000000000000003e-123		2.32e-122	2.2900000000000002e-123	1.34e-120
EHM034692|EHA02331_bin.15_gene_25_28	C287	3.84e-61		2.3200000000000003e-73	2.2400000000000002e-73	3.66e-66	4.77e-57		1.1099999999999999e-55	6.899999999999999e-49	1.43e-49		1.85e-49	7.36e-48	6.65e-47
EHM034692|EHA02331_bin.15_gene_25_29	C287	4.97e-109		2.1e-153	3.92e-151	2.82e-104	2.93e-98		1.23e-81	1.24e-51	4.69e-50		7.06e-87	2.45e-53	9.819999999999999e-54
EHM034692|EHA02331_bin.15_gene_25_30	C287	5.1e-58		6.38e-63	6.17e-63	2.4900000000000004e-56	8.06e-57		4.85e-60	1.35e-56	2.69e-44		1.26e-57	1.59e-48	1.66e-57
EHM034692|EHA02331_bin.15_gene_25_31	C287	5.020000000000001e-185		2.67e-207	9.000000000000001e-208		7.91e-184		2.31e-173	1.6800000000000001e-167			6.499999999999999e-175	2.42e-164	2.67e-164
EHM034692|EHA02331_bin.15_gene_25_32	C287	1.37e-53		7.27e-60	7.02e-60	3.55e-47	5.94e-50		1.45e-43	1.16e-32			9.18e-42	1.29e-33	2.02e-33
EHM034692|EHA02331_bin.15_gene_25_33	C287	3.2600000000000003e-109		6.939999999999999e-134	4.22e-137	1.23e-116	1.3999999999999998e-105		6.139999999999999e-104	1.37e-99			1e-104	6.460000000000001e-100	2.66e-97
EHM034692|EHA02331_bin.15_gene_25_34	C287	3.21e-128		1.73e-157	4.99e-159	1.22e-137	1.26e-134		5.020000000000001e-103	1.55e-94			2.59e-110	2.29e-98	3.2399999999999997e-101
EHM034692|EHA02331_bin.15_gene_25_35	C287	5.1200000000000006e-64		5.279999999999999e-68	5.1e-68	6.37e-65	1.63e-62		9.08e-62	7.52e-60			1.2099999999999999e-61	9.4e-58	1.53e-59
EHM034692|EHA02331_bin.15_gene_25_36	C287	0.0		0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0
EHM034692|EHA02331_bin.15_gene_25_37	C287	1.1e-70		3.16e-72	3.05e-72	6.49e-70	8.14e-68		8.220000000000001e-70	1.23e-63			3.6499999999999996e-68	3.93e-64	2.49e-63
EHM034692|EHA02331_bin.15_gene_26_4	C287	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EHM034692|EHA02331_bin.15_gene_26_5	C287	1.31e-290		1.28e-315	7.48e-317	1.6799999999999999e-277	5.93e-280	4.92e-278	2.5300000000000002e-272	1.74e-258		3.43e-130	1.84e-198	6.47e-248	8.21e-261
EHM034692|EHA02331_bin.15_gene_27_6	C287	5.05e-11													
EHM034692|EHA02331_bin.15_gene_29_1	C287	9.51e-81		6.64e-105	2.61e-104	4.92e-80	1.32e-76	2.47e-63	2.4e-66	6.810000000000001e-56	2.51e-56		2.1e-59	1.51e-55	4.61e-55
EHM034692|EHA02331_bin.15_gene_29_2	C287	4.5900000000000004e-167		9.28e-215	1.92e-225	4.9099999999999994e-176	6.52e-162	4.12e-142	1.28e-167	4.98e-148	2.29e-145	2.54e-158	3.21e-160	6.010000000000001e-144	1.07e-149
