family_index	representative_id	n_members
fam_000077	tr|D6RLC9|D6RLC9_COPC7	4
fam_000078	tr|A8MZS7|A8MZS7_COPC7	2
fam_000079	tr|A8NC66|A8NC66_COPC7	3
fam_000080	sp|P0CX45|RL2A_YEAST	9
fam_000081	sp|P29496|MCM5_YEAST	5
fam_000082	sp|P36022|DYHC_YEAST	4
fam_000083	sp|P40345|PDAT_YEAST	6
fam_000084	sp|Q00578|RAD25_YEAST	4
fam_000085	sp|Q05164|HPF1_YEAST	2
fam_000086	sp|Q07987|PAU23_YEAST	21
fam_000087	sp|P0CX99|YFG8_YEAST	8
fam_000088	sp|P25038|IF2M_YEAST	2
fam_000089	sp|P25637|YIH1_YEAST	2
fam_000090	sp|Q06683|IRC3_YEAST	3
fam_000091	sp|Q12235|YCT1_YEAST	3
fam_000092	sp|Q99385|VCX1_YEAST	9
fam_000093	sp|P00425|COX5B_YEAST	6
fam_000094	sp|P03965|CARB_YEAST	6
fam_000095	sp|P08566|ARO1_YEAST	6
fam_000096	sp|P38011|GBLP_YEAST	7
fam_000097	sp|P38068|GLRX7_YEAST	1
fam_000098	sp|Q12438|GLRX6_YEAST	1
fam_000099	sp|P38088|SYG_YEAST	8
fam_000100	sp|P38785|GIC1_YEAST	2
fam_000101	sp|P39717|GPB2_YEAST	2
fam_000102	sp|P46974|RSF2_YEAST	1
fam_000103	sp|Q04545|TDA9_YEAST	1
fam_000104	sp|P53107|YRB30_YEAST	2
fam_000105	sp|Q06178|NMA1_YEAST	3
fam_000106	sp|Q06266|TOS4_YEAST	1
fam_000107	sp|Q04383|PLM2_YEAST	1
fam_000108	sp|Q06488|RSC2_YEAST	1
fam_000109	sp|P53236|RSC1_YEAST	1
fam_000110	sp|Q07508|LUC7_YEAST	4
fam_000111	sp|Q12488|PSF1_YEAST	5
fam_000112	sp|Q6Q5P6|YH41A_YEAST	2
fam_000113	sp|P07560|SEC4_YEAST	36
fam_000114	sp|P0CY03|YL15A_YEAST	4
fam_000115	sp|P11914|MPPA_YEAST	6
fam_000116	sp|P25491|MAS5_YEAST	21
fam_000117	sp|P31374|PSK1_YEAST	1
fam_000118	sp|Q08217|PSK2_YEAST	1
fam_000119	sp|P32903|PMP1_YEAST	2
fam_000120	sp|P36029|TPO5_YEAST	3
fam_000121	sp|P36066|MGR3L_YEAST	1
fam_000122	sp|Q04472|MGR3_YEAST	1
fam_000123	sp|P40204|RUXG_YEAST	5
fam_000124	sp|P53758|YN9D_YEAST	2
fam_000125	sp|Q03081|MET31_YEAST	1
fam_000126	sp|Q12041|MET32_YEAST	1
fam_000127	sp|Q06108|RGC1_YEAST	1
fam_000128	sp|P48361|ASK10_YEAST	1
fam_000129	sp|Q12396|EMP46_YEAST	1
fam_000130	sp|P43555|EMP47_YEAST	1
fam_000131	sp|P04397|GAL10_YEAST	2
fam_000132	sp|P0CH64|DDI3_YEAST	1
fam_000133	sp|P0CH63|DDI2_YEAST	1
fam_000134	sp|P22696|ESS1_YEAST	5
fam_000135	sp|P47135|JSN1_YEAST	1
fam_000136	sp|Q12221|PUF2_YEAST	1
fam_000137	sp|P52870|SC6B1_YEAST	6
fam_000138	sp|Q03446|RCR2_YEAST	2
fam_000139	sp|Q03940|RUVB1_YEAST	11
fam_000140	sp|P00856|ATP8_YEAST	3
fam_000141	sp|P14540|ALF_YEAST	7
fam_000142	sp|P14743|NMT_YEAST	5
fam_000143	sp|P32492|MYO4_YEAST	10
fam_000144	sp|P48164|RS7B_YEAST	7
fam_000145	sp|Q03629|YMH9_YEAST	2
fam_000146	sp|Q03834|MSH6_YEAST	6
fam_000147	sp|Q06625|GDE_YEAST	4
fam_000148	sp|Q08224|THI20_YEAST	8
fam_000149	sp|Q08908|FRE5_YEAST	5
fam_000150	sp|P0CX81|MTCU2_YEAST	2
fam_000151	sp|P40169|YNT4_YEAST	1
fam_000152	sp|Q07651|FMP45_YEAST	1
fam_000153	sp|P53722|ATP23_YEAST	5
fam_000154	sp|P53909|ADE_YEAST	3
fam_000155	sp|Q08925|MRN1_YEAST	2
fam_000156	sp|Q12676|FOLD_YEAST	5
fam_000157	sp|P07143|CY1_YEAST	7
fam_000158	sp|P22217|TRX1_YEAST	6
fam_000159	sp|P33317|DUT_YEAST	5
fam_000160	sp|P47089|DENR_YEAST	6
fam_000161	sp|Q03178|PIR1_YEAST	4
fam_000162	sp|Q05498|FCF1_YEAST	6
fam_000163	sp|Q08702|APTX_YEAST	3
fam_000164	sp|Q12417|PRP46_YEAST	4
fam_000165	sp|Q96VH4|HBN1_YEAST	3
fam_000166	sp|P11986|INO1_YEAST	5
fam_000167	sp|P13856|RSR1_YEAST	2
fam_000168	sp|P01119|RAS1_YEAST	1
fam_000169	sp|P38238|TRM7_YEAST	3
fam_000170	sp|P50861|RIB4_YEAST	3
fam_000171	sp|Q12340|YRM1_YEAST	1
fam_000172	sp|Q12172|YRR1_YEAST	1
fam_000173	sp|P14742|GFA1_YEAST	6
fam_000174	sp|P25596|GEX1_YEAST	5
fam_000175	sp|P43577|GNA1_YEAST	6
fam_000176	sp|P47977|CTH2_YEAST	2
fam_000177	sp|P53615|CAN_YEAST	4
fam_000178	sp|Q03764|EKI1_YEAST	1
fam_000179	sp|P20485|KICH_YEAST	1
fam_000180	sp|Q12300|RGT2_YEAST	1
fam_000181	sp|P10870|SNF3_YEAST	1
fam_000182	sp|Q12525|MHT1_YEAST	1
fam_000183	sp|Q08985|SAM4_YEAST	1
fam_000184	sp|O14228|PUR4_SCHPO	6
fam_000185	sp|O42857|NPR2_SCHPO	3
fam_000186	sp|O43090|NDH2_SCHPO	9
fam_000187	sp|O59771|KCY_SCHPO	5
fam_000188	sp|O60181|RIB3_SCHPO	5
fam_000189	sp|O74422|YQ56_SCHPO	6
fam_000190	sp|O74541|YCV2_SCHPO	1
fam_000191	sp|O74915|YJ74_SCHPO	1
fam_000192	sp|O94384|ELY5_SCHPO	2
fam_000193	sp|P50582|HSK1_SCHPO	4
fam_000194	sp|P87304|YB22_SCHPO	3
fam_000195	sp|Q10479|ALG8_SCHPO	3
fam_000196	sp|Q9C0Z1|YKM1_SCHPO	4
fam_000197	sp|Q9Y7M8|YNTB_SCHPO	3
fam_000198	sp|O13984|WRIP1_SCHPO	5
fam_000199	sp|O14267|YFPC_SCHPO	1
fam_000200	sp|P87293|YDN1_SCHPO	1
fam_000201	sp|O59758|YJM3_SCHPO	2
fam_000202	sp|O59829|YCU9_SCHPO	2
fam_000203	sp|O59945|FIMB_SCHPO	7
fam_000204	sp|O74496|COPD_SCHPO	2
fam_000205	sp|O74800|IMP1_SCHPO	3
fam_000206	sp|O94290|IST3_SCHPO	3
fam_000207	sp|P40921|EF1G_SCHPO	7
fam_000208	sp|P87177|YB1C_SCHPO	6
fam_000209	sp|Q9P7V6|VPS33_SCHPO	3
fam_000210	sp|Q9US53|JMJ2_SCHPO	2
fam_000211	sp|Q9UUG5|MLR1_SCHPO	3
fam_000212	sp|Q9Y7S2|YQO3_SCHPO	2
fam_000213	sp|Q9Y7T7|PRP28_SCHPO	7
fam_000214	sp|O13910|MPP10_SCHPO	4
fam_000215	sp|O14122|CUL4_SCHPO	2
fam_000216	sp|O60161|UTP4_SCHPO	2
fam_000217	sp|O74442|UBP16_SCHPO	2
fam_000218	sp|O74508|SPP1_SCHPO	2
fam_000219	sp|O94361|YHOE_SCHPO	5
fam_000220	sp|O94374|IMA2_SCHPO	8
fam_000221	sp|O94567|SYNC_SCHPO	6
fam_000222	sp|P28876|PMA2_SCHPO	15
fam_000223	sp|P36618|CDC16_SCHPO	5
fam_000224	sp|P87059|MIA40_SCHPO	2
fam_000225	sp|Q9C1W8|PPN1_SCHPO	4
fam_000226	sp|Q9P7T6|YIW4_SCHPO	6
fam_000227	sp|Q9UTA5|TYW3_SCHPO	3
fam_000228	sp|Q9UU85|PPK38_SCHPO	4
fam_000229	sp|O13762|ULS11_SCHPO	4
fam_000230	sp|O14212|PQR1_SCHPO	4
fam_000231	sp|O60116|RBSK_SCHPO	5
fam_000232	sp|O74971|ATG5_SCHPO	3
fam_000233	sp|P0CT33|TLH1_SCHPO	1
fam_000234	sp|Q1RKN3|TLH2_SCHPO	1
fam_000235	sp|P36209|ERG4_SCHPO	16
fam_000236	sp|P36598|THI1_SCHPO	1
fam_000237	sp|O14130|YF54_SCHPO	1
fam_000238	sp|P87314|HIR1_SCHPO	6
fam_000239	sp|Q10348|YDA6_SCHPO	2
fam_000240	sp|Q10481|TIM13_SCHPO	4
fam_000241	sp|Q9HE07|YK96_SCHPO	2
fam_000242	sp|Q9P6N5|DS1PP_SCHPO	3
fam_000243	tr|A0A1U7LS98|A0A1U7LS98_NEOID	3
fam_000244	tr|A0A1U7LTD3|A0A1U7LTD3_NEOID	2
fam_000245	tr|A0A1U7LTG0|A0A1U7LTG0_NEOID	5
fam_000246	tr|A0A1U7LUC4|A0A1U7LUC4_NEOID	2
fam_000247	tr|A0A1U7LVB9|A0A1U7LVB9_NEOID	2
fam_000248	tr|A0A1U7LVF1|A0A1U7LVF1_NEOID	3
fam_000249	tr|A0A1U7LWA0|A0A1U7LWA0_NEOID	4
fam_000250	tr|A0A1U7LI75|A0A1U7LI75_NEOID	10
fam_000251	tr|A0A1U7LIZ2|A0A1U7LIZ2_NEOID	7
fam_000252	tr|A0A1U7LKI2|A0A1U7LKI2_NEOID	2
fam_000253	tr|A0A1U7LN05|A0A1U7LN05_NEOID	5
fam_000254	tr|A0A1U7LNW5|A0A1U7LNW5_NEOID	3
fam_000255	tr|A0A1U7LRB2|A0A1U7LRB2_NEOID	7
fam_000256	tr|A0A1U7LRY4|A0A1U7LRY4_NEOID	6
fam_000257	tr|A0A1U7LRU1|A0A1U7LRU1_NEOID	2
fam_000258	tr|A0A1U7LRU5|A0A1U7LRU5_NEOID	1
fam_000259	tr|A0A1U7LJ17|A0A1U7LJ17_NEOID	1
fam_000260	tr|A0A1U7LV75|A0A1U7LV75_NEOID	6
fam_000261	tr|A0A1U7LVX3|A0A1U7LVX3_NEOID	6
fam_000262	tr|A0A1U7LWJ4|A0A1U7LWJ4_NEOID	6
fam_000263	tr|A0A1U7LWM7|A0A1U7LWM7_NEOID	2
fam_000264	tr|A0A1U7LH37|A0A1U7LH37_NEOID	5
fam_000265	tr|A0A1U7LHC9|A0A1U7LHC9_NEOID	16
fam_000266	tr|A0A1U7LHS8|A0A1U7LHS8_NEOID	9
fam_000267	tr|A0A1U7LI26|A0A1U7LI26_NEOID	4
fam_000268	tr|A0A1U7LJD7|A0A1U7LJD7_NEOID	2
fam_000269	tr|A0A1U7LK97|A0A1U7LK97_NEOID	4
fam_000270	tr|A0A1U7LKB9|A0A1U7LKB9_NEOID	2
fam_000271	tr|A0A1U7LMI8|A0A1U7LMI8_NEOID	5
fam_000272	tr|A0A1U7LMX4|A0A1U7LMX4_NEOID	2
fam_000273	tr|A0A1U7LNK9|A0A1U7LNK9_NEOID	4
fam_000274	tr|A0A1U7LNP5|A0A1U7LNP5_NEOID	5
fam_000275	tr|A0A1U7LPT0|A0A1U7LPT0_NEOID	6
fam_000276	tr|A0A1U7LSB2|A0A1U7LSB2_NEOID	7
fam_000277	tr|A0A1U7LSQ3|A0A1U7LSQ3_NEOID	6
fam_000278	tr|A0A1U7LSQ6|A0A1U7LSQ6_NEOID	9
fam_000279	tr|A0A1U7LTK1|A0A1U7LTK1_NEOID	2
fam_000280	tr|A0A1U7LTM7|A0A1U7LTM7_NEOID	6
fam_000281	tr|A0A1U7LTX8|A0A1U7LTX8_NEOID	2
fam_000282	tr|A0A1U7LU12|A0A1U7LU12_NEOID	2
fam_000283	tr|A0A1U7LV15|A0A1U7LV15_NEOID	3
fam_000284	tr|A0A1U7LV83|A0A1U7LV83_NEOID	8
fam_000285	tr|A0A1U7LIZ9|A0A1U7LIZ9_NEOID	3
fam_000286	tr|A0A1U7LKK9|A0A1U7LKK9_NEOID	5
fam_000287	tr|A0A1U7LKM8|A0A1U7LKM8_NEOID	5
fam_000288	tr|A0A1U7LLW2|A0A1U7LLW2_NEOID	5
fam_000289	tr|A0A1U7LNT8|A0A1U7LNT8_NEOID	1
fam_000290	tr|A0A1U7LN41|A0A1U7LN41_NEOID	1
fam_000291	tr|A0A1U7LPE7|A0A1U7LPE7_NEOID	6
fam_000292	tr|A0A1U7LPI1|A0A1U7LPI1_NEOID	3
fam_000293	tr|A0A1U7LPU8|A0A1U7LPU8_NEOID	5
fam_000294	tr|A0A1U7LQ73|A0A1U7LQ73_NEOID	2
fam_000295	tr|A0A1U7LRZ9|A0A1U7LRZ9_NEOID	4
fam_000296	tr|A0A1U7LSP0|A0A1U7LSP0_NEOID	3
fam_000297	tr|A0A1U7LST9|A0A1U7LST9_NEOID	2
fam_000298	tr|A0A1U7LTD4|A0A1U7LTD4_NEOID	2
fam_000299	tr|A0A1U7LTW7|A0A1U7LTW7_NEOID	6
fam_000300	tr|A0A1U7LTX4|A0A1U7LTX4_NEOID	1
fam_000301	tr|A0A1U7LPE8|A0A1U7LPE8_NEOID	1
fam_000302	tr|A0A1U7LV65|A0A1U7LV65_NEOID	5
fam_000303	tr|A0A1U7LGR5|A0A1U7LGR5_NEOID	3
fam_000304	tr|A0A1U7LH67|A0A1U7LH67_NEOID	5
fam_000305	tr|A0A1U7LHF6|A0A1U7LHF6_NEOID	3
fam_000306	tr|A0A1U7LHT5|A0A1U7LHT5_NEOID	2
fam_000307	tr|A0A1U7LJZ2|A0A1U7LJZ2_NEOID	4
fam_000308	tr|A0A1U7LKS6|A0A1U7LKS6_NEOID	3
fam_000309	tr|A0A1U7LME8|A0A1U7LME8_NEOID	2
fam_000310	tr|A0A1U7LMG6|A0A1U7LMG6_NEOID	3
fam_000311	tr|A0A1U7LMK9|A0A1U7LMK9_NEOID	3
fam_000312	tr|A0A1U7LMZ6|A0A1U7LMZ6_NEOID	5
fam_000313	tr|A0A1U7LNL0|A0A1U7LNL0_NEOID	5
fam_000314	tr|A0A1U7LQE0|A0A1U7LQE0_NEOID	3
fam_000315	tr|A0A1U7LR77|A0A1U7LR77_NEOID	4
fam_000316	tr|A0A1U7LT03|A0A1U7LT03_NEOID	2
fam_000317	tr|A0A1U7LVA4|A0A1U7LVA4_NEOID	1
fam_000318	tr|A0A1U7LVH8|A0A1U7LVH8_NEOID	4
fam_000319	tr|A0A1U7LW47|A0A1U7LW47_NEOID	5
fam_000320	tr|A0A1U7LI12|A0A1U7LI12_NEOID	6
fam_000321	tr|A0A1U7LJP7|A0A1U7LJP7_NEOID	1
fam_000322	tr|A0A1U7LTL7|A0A1U7LTL7_NEOID	1
fam_000323	tr|A0A1U7LJQ2|A0A1U7LJQ2_NEOID	4
fam_000324	tr|A0A1U7LJR3|A0A1U7LJR3_NEOID	2
fam_000325	tr|A0A1U7LJW8|A0A1U7LJW8_NEOID	4
fam_000326	tr|A0A1U7LK34|A0A1U7LK34_NEOID	10
fam_000327	tr|A0A1U7LL82|A0A1U7LL82_NEOID	3
fam_000328	tr|A0A1U7LLA7|A0A1U7LLA7_NEOID	2
fam_000329	tr|A0A1U7LQ78|A0A1U7LQ78_NEOID	2
fam_000330	tr|A0A1U7LR25|A0A1U7LR25_NEOID	3
fam_000331	tr|A0A1U7LQJ4|A0A1U7LQJ4_NEOID	3
fam_000332	tr|A0A1U7LQM6|A0A1U7LQM6_NEOID	6
fam_000333	tr|A0A1U7LQQ1|A0A1U7LQQ1_NEOID	6
fam_000334	tr|A0A1U7LRG0|A0A1U7LRG0_NEOID	4
fam_000335	tr|A0A1U7LRJ8|A0A1U7LRJ8_NEOID	3
fam_000336	tr|A0A1U7LVC0|A0A1U7LVC0_NEOID	4
fam_000337	tr|A0A1U7LVD6|A0A1U7LVD6_NEOID	6
fam_000338	tr|A0A1U7LW00|A0A1U7LW00_NEOID	2
fam_000339	tr|A0A1U7LGN1|A0A1U7LGN1_NEOID	5
fam_000340	tr|A0A1U7LIZ1|A0A1U7LIZ1_NEOID	11
fam_000341	tr|A0A1U7LJY7|A0A1U7LJY7_NEOID	2
fam_000342	tr|A0A1U7LK76|A0A1U7LK76_NEOID	6
fam_000343	tr|A0A1U7LLY3|A0A1U7LLY3_NEOID	6
fam_000344	tr|A0A1U7LM74|A0A1U7LM74_NEOID	3
fam_000345	tr|A0A1U7LPC5|A0A1U7LPC5_NEOID	5
fam_000346	tr|A0A1U7LQW5|A0A1U7LQW5_NEOID	9
fam_000347	tr|A0A1U7LTJ9|A0A1U7LTJ9_NEOID	4
fam_000348	tr|A0A1U7LTW5|A0A1U7LTW5_NEOID	4
fam_000349	tr|A0A1U7LVF2|A0A1U7LVF2_NEOID	2
fam_000350	tr|A0A1U7LVH4|A0A1U7LVH4_NEOID	5
fam_000351	tr|A0A1U7LVM9|A0A1U7LVM9_NEOID	2
fam_000352	tr|A0A1U7LWV4|A0A1U7LWV4_NEOID	4
fam_000353	tr|A0A1U7LWZ2|A0A1U7LWZ2_NEOID	6
fam_000354	tr|A0A1U7LGR4|A0A1U7LGR4_NEOID	6
fam_000355	tr|A0A1U7LHD6|A0A1U7LHD6_NEOID	4
fam_000356	tr|A0A1U7LJR1|A0A1U7LJR1_NEOID	2
fam_000357	tr|A0A1U7LMY7|A0A1U7LMY7_NEOID	6
fam_000358	tr|A0A1U7LQ03|A0A1U7LQ03_NEOID	5
fam_000359	tr|A8NHJ0|A8NHJ0_COPC7	4
fam_000360	tr|A8NKF7|A8NKF7_COPC7	3
fam_000361	tr|A8NU36|A8NU36_COPC7	5
fam_000362	tr|A8NVF9|A8NVF9_COPC7	2
fam_000363	tr|A8NVG8|A8NVG8_COPC7	8
fam_000364	tr|A8NW49|A8NW49_COPC7	2
fam_000365	tr|A8NYA0|A8NYA0_COPC7	9
fam_000366	tr|A8NYU6|A8NYU6_COPC7	4
fam_000367	tr|A8P6K4|A8P6K4_COPC7	3
fam_000368	tr|A8PH26|A8PH26_COPC7	5
fam_000369	tr|A8PIJ0|A8PIJ0_COPC7	4
fam_000370	tr|A8N840|A8N840_COPC7	3
fam_000371	tr|A8NDJ7|A8NDJ7_COPC7	2
fam_000372	tr|A8NDS4|A8NDS4_COPC7	4
fam_000373	tr|A8NG85|A8NG85_COPC7	2
fam_000374	tr|A8NU00|A8NU00_COPC7	2
fam_000375	tr|A8NWN4|A8NWN4_COPC7	4
fam_000376	tr|A8NWV2|A8NWV2_COPC7	7
fam_000377	tr|A8NXH3|A8NXH3_COPC7	2
fam_000378	tr|A8P3M0|A8P3M0_COPC7	2
fam_000379	tr|A8P4J6|A8P4J6_COPC7	3
fam_000380	tr|A8PFL8|A8PFL8_COPC7	1
fam_000381	tr|A8PFI4|A8PFI4_COPC7	1
fam_000382	tr|D6RLX1|D6RLX1_COPC7	2
fam_000383	tr|A8N180|A8N180_COPC7	2
fam_000384	tr|A8N304|A8N304_COPC7	4
fam_000385	tr|A8N672|A8N672_COPC7	3
fam_000386	tr|A8NFT0|A8NFT0_COPC7	2
fam_000387	tr|A8NNV4|A8NNV4_COPC7	2
fam_000388	tr|A8NTD5|A8NTD5_COPC7	4
fam_000389	tr|A8P0Y7|A8P0Y7_COPC7	2
fam_000390	tr|A8P1I3|A8P1I3_COPC7	2
fam_000391	tr|A8P5S2|A8P5S2_COPC7	2
fam_000392	tr|A8PDF3|A8PDF3_COPC7	3
fam_000393	tr|A8PJ27|A8PJ27_COPC7	6
fam_000394	tr|D6RL92|D6RL92_COPC7	9
fam_000395	tr|A8N040|A8N040_COPC7	4
fam_000396	tr|A8N082|A8N082_COPC7	2
fam_000397	tr|A8N2C2|A8N2C2_COPC7	3
fam_000398	tr|A8N2P7|A8N2P7_COPC7	2
fam_000399	tr|A8N7F4|A8N7F4_COPC7	3
fam_000400	tr|A8NIW4|A8NIW4_COPC7	1
fam_000401	tr|A8N596|A8N596_COPC7	1
fam_000402	tr|A8NNB4|A8NNB4_COPC7	1
fam_000403	tr|A8NNB7|A8NNB7_COPC7	1
fam_000404	tr|A8NRW1|A8NRW1_COPC7	4
fam_000405	tr|A8NTX9|A8NTX9_COPC7	1
fam_000406	tr|D6RMJ1|D6RMJ1_COPC7	1
fam_000407	tr|A8NVX0|A8NVX0_COPC7	2
fam_000408	tr|A8NXK2|A8NXK2_COPC7	5
fam_000409	tr|A8NYF2|A8NYF2_COPC7	4
fam_000410	tr|A8P011|A8P011_COPC7	4
fam_000411	tr|A8P2K2|A8P2K2_COPC7	3
fam_000412	tr|A8PA68|A8PA68_COPC7	2
fam_000413	tr|A8N865|A8N865_COPC7	3
fam_000414	tr|A8N8F5|A8N8F5_COPC7	2
fam_000415	tr|A8NP08|A8NP08_COPC7	1
fam_000416	tr|A8NP41|A8NP41_COPC7	1
fam_000417	tr|A8NI36|A8NI36_COPC7	2
fam_000418	sp|Q9UTA4|POPI_SCHPO	2
fam_000419	sp|O14094|PPX1_SCHPO	2
fam_000420	sp|O43060|EIF3F_SCHPO	5
fam_000421	sp|O59666|ATU2_SCHPO	3
fam_000422	sp|O59815|MAE2_SCHPO	1
fam_000423	sp|P50537|MAE1_SCHPO	1
fam_000424	sp|O60063|NAM9_SCHPO	2
fam_000425	sp|O74468|SUMT_SCHPO	3
fam_000426	sp|O94480|BMT5_SCHPO	4
fam_000427	sp|P41391|RNA1_SCHPO	6
fam_000428	sp|P87305|CHAC_SCHPO	5
fam_000429	sp|Q9HDT8|YJ51_SCHPO	2
fam_000430	sp|Q9P7F9|CTR5_SCHPO	2
fam_000431	sp|Q9P7N4|ADAT3_SCHPO	3
fam_000432	sp|Q9P7R3|MTR3_SCHPO	4
fam_000433	sp|Q9USD4|ALG12_SCHPO	2
fam_000434	sp|Q9USI6|MYO2_SCHPO	2
fam_000435	sp|Q9USM9|COQ10_SCHPO	2
fam_000436	sp|Q9USQ9|PSB7_SCHPO	6
fam_000437	sp|Q9UT95|YL44_SCHPO	2
fam_000438	sp|Q9Y8G3|MEX67_SCHPO	2
fam_000439	sp|G2TRN6|YLZ1_SCHPO	16
fam_000440	sp|O42897|RPN3_SCHPO	6
fam_000441	sp|O60185|MTNA_SCHPO	6
fam_000442	sp|O74446|SIF2_SCHPO	7
fam_000443	sp|O74516|TRM44_SCHPO	4
fam_000444	sp|O94437|YFI3_SCHPO	6
fam_000445	sp|O94617|UAP1_SCHPO	7
fam_000446	sp|P05511|COBI1_SCHPO	3
fam_000447	sp|P05733|RL37B_SCHPO	9
fam_000448	sp|P28189|RS13_SCHPO	6
fam_000449	sp|P36590|KTHY_SCHPO	4
fam_000450	sp|P54069|BEM46_SCHPO	5
fam_000451	sp|Q92371|NACB_SCHPO	5
fam_000452	tr|A0A1U7LRD3|A0A1U7LRD3_NEOID	6
fam_000453	tr|A0A1U7LTB1|A0A1U7LTB1_NEOID	3
fam_000454	tr|A0A1U7LU72|A0A1U7LU72_NEOID	4
fam_000455	tr|A0A1U7LUU8|A0A1U7LUU8_NEOID	2
fam_000456	tr|A0A1U7LVB2|A0A1U7LVB2_NEOID	4
fam_000457	tr|A0A1U7LVV3|A0A1U7LVV3_NEOID	6
fam_000458	tr|A0A1U7LVV8|A0A1U7LVV8_NEOID	6
fam_000459	tr|A0A1U7LKI3|A0A1U7LKI3_NEOID	4
fam_000460	tr|A0A1U7LKI7|A0A1U7LKI7_NEOID	6
