Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
No_54,Anabaena sp. 54,54,IN,no-fsp-in-name,ncbi,GCA_017355725.1,46231,ncbi,GCA_017355725.1,,
No_90,Anabaena sp. 90,90,IN,no-fsp-in-name,ncbi,GCA_000312705.1,46234,ncbi,GCA_000312705.1,,
No_39864,Anabaena sp. AL09,39864,IN,no-fsp-in-name,ncbi,GCA_001672255.1,1710891,ncbi,GCA_001672255.1,,
No_WA93,Anabaena sp. AL93,WA93,IN,no-fsp-in-name,ncbi,GCA_001672085.1,1678133,ncbi,GCA_001672085.1,,
No_ATCC_33047,Anabaena sp. CA = ATCC 33047,ATCC 33047,IN,no-fsp-in-name,ncbi,GCF_001597855.1,52271,ncbi,GCF_001597855.1,,
No_Anabaena_CCY_0017,Anabaena sp. CCY 0017,Anabaena CCY 0017,IN,no-fsp-in-name,ncbi,GCF_963920885.1,3103866,ncbi,GCF_963920885.1,,
No_Anabaena_CCY_9402a,Anabaena sp. CCY 9402-a,Anabaena CCY 9402-a,IN,no-fsp-in-name,ncbi,GCF_963920945.1,3103867,ncbi,GCF_963920945.1,,
No_Anabaena_CCY_9613,Anabaena sp. CCY 9613,Anabaena CCY 9613,IN,no-fsp-in-name,ncbi,GCF_963920895.1,3103868,ncbi,GCF_963920895.1,,
No_Anabaena_CCY_9614,Anabaena sp. CCY 9614,Anabaena CCY 9614,IN,no-fsp-in-name,ncbi,GCF_963920905.1,3103869,ncbi,GCF_963920905.1,,
No_Anabaena_CCY_9910,Anabaena sp. CCY 9910,Anabaena CCY 9910,IN,no-fsp-in-name,ncbi,GCF_963920875.1,3103870,ncbi,GCF_963920875.1,,
No_CRKS33,Anabaena sp. CRKS33,CRKS33,IN,no-fsp-in-name,ncbi,GCA_001672075.1,1710888,ncbi,GCA_001672075.1,,
No_CS54202,Anabaena sp. CS-542/02,CS-542/02,IN,no-fsp-in-name,ncbi,GCA_028331085.1,3021719,ncbi,GCA_028331085.1,,
No_CoA2_C59,Anabaena sp. CoA2_C59,CoA2_C59,IN,no-fsp-in-name,ncbi,GCA_021297915.1,2904991,ncbi,GCA_021297915.1,,
No_EIM26,Anabaena sp. EIM26,EIM26,IN,no-fsp-in-name,ncbi,GCA_057568715.1,3696541,ncbi,GCA_057568715.1,,
No_FACHB1237,Anabaena sp. FACHB-1237,FACHB-1237,IN,no-fsp-in-name,ncbi,GCA_014696225.1,2692769,ncbi,GCA_014696225.1,,
No_FACHB1391,Anabaena sp. FACHB-1391,FACHB-1391,IN,no-fsp-in-name,ncbi,GCA_014696755.1,2692771,ncbi,GCA_014696755.1,,
No_FACHB595,Anabaena sp. FACHB-595,FACHB-595,IN,no-fsp-in-name,ncbi,GCA_048568275.1,3403436,ncbi,GCA_048568275.1,,
No_FACHB709,Anabaena sp. FACHB-709,FACHB-709,IN,no-fsp-in-name,ncbi,GCA_048568235.1,1086822,ncbi,GCA_048568235.1,,
No_FACHB83,Anabaena sp. FACHB-83,FACHB-83,IN,no-fsp-in-name,ncbi,GCA_014697485.1,2692772,ncbi,GCA_014697485.1,,
No_39865,Anabaena sp. LE011-02,39865,IN,no-fsp-in-name,ncbi,GCA_001672225.1,1710892,ncbi,GCA_001672225.1,,
No_MDT14b,Anabaena sp. MDT14b,MDT14b,IN,no-fsp-in-name,ncbi,GCA_001672195.1,1710886,ncbi,GCA_001672195.1,,
No_PCC_7108,Anabaena sp. PCC 7108,PCC 7108,IN,no-fsp-in-name,ncbi,GCF_000332135.1,163908,ncbi,GCF_000332135.1,,
No_ATCC_29414,Anabaena sp. PCC 7938,ATCC 29414,IN,no-fsp-in-name,ncbi,GCA_049315035.1,1296340,ncbi,GCA_049315035.1,,
No_TISTR_8404,Anabaena sp. TISTR 8404,TISTR 8404,IN,no-fsp-in-name,ncbi,GCA_056847745.1,3398391,ncbi,GCA_056847745.1,,
No_UBA12330,Anabaena sp. UBA12330,UBA12330,IN,no-fsp-in-name,ncbi,GCA_003525565.1,2055756,ncbi,GCA_003525565.1,,
No_UHCC_0187,Anabaena sp. UHCC 0187,UHCC 0187,IN,no-fsp-in-name,ncbi,GCA_009712035.1,2590018,ncbi,GCA_009712035.1,,
No_UHCC_0204,Anabaena sp. UHCC 0204,UHCC 0204,IN,no-fsp-in-name,ncbi,GCA_009711975.1,2590009,ncbi,GCA_009711975.1,,
No_UHCC_0253,Anabaena sp. UHCC 0253,UHCC 0253,IN,no-fsp-in-name,ncbi,GCA_009712085.1,2590019,ncbi,GCA_009712085.1,,
No_UHCC_0399,Anabaena sp. UHCC 0399,UHCC 0399,IN,no-fsp-in-name,ncbi,GCA_034931465.1,3110238,ncbi,GCA_034931465.1,,
No_UHCC_0451,Anabaena sp. UHCC 0451,UHCC 0451,IN,no-fsp-in-name,ncbi,GCA_034931405.1,2055235,ncbi,GCA_034931405.1,,
No_WA102,Anabaena sp. WA102,WA102,IN,no-fsp-in-name,ncbi,GCA_001277295.1,1647413,ncbi,GCA_001277295.1,,
No_WA113,Anabaena sp. WA113,WA113,IN,no-fsp-in-name,ncbi,GCA_001672155.1,1710889,ncbi,GCA_001672155.1,,
No_WFMT,Anabaena sp. WFMT,WFMT,IN,no-fsp-in-name,ncbi,GCA_051781005.1,3449730,ncbi,GCA_051781005.1,,
No_YBS01,Anabaena sp. YBS01,YBS01,IN,no-fsp-in-name,ncbi,GCA_009498015.1,2490939,ncbi,GCA_009498015.1,,
No_FACHB251,Anabaena sphaerica,FACHB-251,IN,no-fsp-in-name,ncbi,GCA_014696825.1,2692883,ncbi,GCA_014696825.1,,
No_FACHB260,Anabaena subtropica,FACHB-260,IN,no-fsp-in-name,ncbi,GCA_014697105.1,2692884,ncbi,GCA_014697105.1,,
No_CS1033,Anabaenopsis arnoldii,CS-1033,IN,no-fsp-in-name,ncbi,GCA_028331025.1,2152938,ncbi,GCA_028331025.1,,
No_NIES21,Anabaenopsis circularis,NIES-21,IN,no-fsp-in-name,ncbi,GCA_002367975.1,1085406,ncbi,GCA_002367975.1,,
No_CCIBt3563,Anabaenopsis elenkinii,CCIBt3563,IN,no-fsp-in-name,ncbi,GCA_015245355.1,2779889,ncbi,GCA_015245355.1,,
No_FSS46,Anabaenopsis sp. FSS-46,FSS-46,IN,no-fsp-in-name,ncbi,GCA_029891665.1,2971766,ncbi,GCA_029891665.1,,
No_NIES4685,Anabaenopsis sp. NIES-4685,NIES-4685,IN,no-fsp-in-name,ncbi,GCA_059725405.1,3447881,ncbi,GCA_059725405.1,,
No_CS531,Anabaenopsis tanganyikae,CS-531,IN,no-fsp-in-name,ncbi,GCA_029891675.1,2785304,ncbi,GCA_029891675.1,,
No_NIES81,Aphanizomenon flos-aquae,NIES-81,IN,no-fsp-in-name,ncbi,GCF_000521175.1,284502,ncbi,GCF_000521175.1,,
No_PMC62710,Aphanizomenon gracile,PMC627.10,IN,no-fsp-in-name,ncbi,GCA_030336445.1,948678,ncbi,GCA_030336445.1,,
No_CCAP_14013,Aphanizomenon klebahnii,CCAP 1401/3,IN,no-fsp-in-name,ncbi,GCA_060050145.1,3394238,ncbi,GCA_060050145.1,,
No_samp_4306_concoct_51,Aphanizomenon sp.,samp_4306_concoct_51,IN,no-fsp-in-name,ncbi,GCA_046299875.1,3100247,ncbi,GCA_046299875.1,,
No_202,Aphanizomenon sp. 202,202,IN,no-fsp-in-name,ncbi,GCA_030130145.1,88823,ncbi,GCA_030130145.1,,
No_CS73332,Aphanizomenon sp. CS-733/32,CS-733/32,IN,no-fsp-in-name,ncbi,GCA_028330045.1,3021715,ncbi,GCA_028330045.1,,
No_FACHB1399,Aphanizomenon sp. FACHB-1399,FACHB-1399,IN,no-fsp-in-name,ncbi,GCA_014698245.1,2692773,ncbi,GCA_014698245.1,,
No_FACHB1401,Aphanizomenon sp. FACHB-1401,FACHB-1401,IN,no-fsp-in-name,ncbi,GCA_014698265.1,2692774,ncbi,GCA_014698265.1,,
No_PH219,Aphanizomenon sp. PH219,PH219,IN,no-fsp-in-name,ncbi,GCA_030130105.1,2027336,ncbi,GCA_030130105.1,,
No_UHCC_0183,Aphanizomenon sp. UHCC 0183,UHCC 0183,IN,no-fsp-in-name,ncbi,GCA_009712065.1,2590028,ncbi,GCA_009712065.1,,
No_CENA357,Atlanticothrix silvestris,CENA357,IN,no-fsp-in-name,ncbi,GCA_016056295.1,1725252,ncbi,GCA_016056295.1,,
No_NIES50,Aulosira laxa,NIES-50,IN,no-fsp-in-name,ncbi,GCA_002368055.1,1541988,ncbi,GCA_002368055.1,,
No_DedQUE10,Aulosira sp. DedQUE10,DedQUE10,IN,no-fsp-in-name,ncbi,GCA_034530935.1,3075395,ncbi,GCA_034530935.1,,
No_DedVER01a,Aulosira sp. DedVER01a,DedVER01a,IN,no-fsp-in-name,ncbi,GCA_034530695.2,3075403,ncbi,GCA_034530695.2,,
No_FACHB113,Aulosira sp. FACHB-113,FACHB-113,IN,no-fsp-in-name,ncbi,GCA_014696595.1,2692776,ncbi,GCA_014696595.1,,
No_FACHB129,Aulosira sp. FACHB-129,FACHB-129,IN,no-fsp-in-name,ncbi,GCA_014695435.1,2692785,ncbi,GCA_014695435.1,,
No_FACHB615,Aulosira sp. FACHB-615,FACHB-615,IN,no-fsp-in-name,ncbi,GCA_014698045.1,2692777,ncbi,GCA_014698045.1,,
No_ZfuCHP01,Aulosira sp. ZfuCHP01,ZfuCHP01,IN,no-fsp-in-name,ncbi,GCA_034530575.1,3075410,ncbi,GCA_034530575.1,,
No_ZfuVER01,Aulosira sp. ZfuVER01,ZfuVER01,IN,no-fsp-in-name,ncbi,GCA_034530615.2,3075411,ncbi,GCA_034530615.2,,
No_MAG66,Brasilonema angustatum,MAG-66,IN,no-fsp-in-name,ncbi,GCA_059505445.1,1249745,ncbi,GCA_059505445.1,,
No_SPC951,Brasilonema bromeliae,SPC951,IN,no-fsp-in-name,ncbi,GCA_012912135.1,385972,ncbi,GCA_012912135.1,,
No_UFVE1,Brasilonema octagenarum,UFV-E1,IN,no-fsp-in-name,ncbi,GCA_006968915.1,417106,ncbi,GCA_006968915.1,,
No_CENA114,Brasilonema sennae,CENA114,IN,no-fsp-in-name,ncbi,GCA_006968745.1,415709,ncbi,GCA_006968745.1,,
No_TCB1_metawrap_bin4,Brasilonema sp.,TC-B1_metawrap_bin.4,IN,no-fsp-in-name,ncbi,GCA_050736335.1,3100218,ncbi,GCA_050736335.1,,
No_CT11,Brasilonema sp. CT11,CT11,IN,no-fsp-in-name,ncbi,GCA_017982655.1,2748322,ncbi,GCA_017982655.1,,
No_UFVL1,Brasilonema sp. UFV-L1,UFV-L1,IN,no-fsp-in-name,ncbi,GCA_012912105.1,2234130,ncbi,GCA_012912105.1,,
No_CCALA_953,Brunnivagina elsteri,CCALA 953,IN,no-fsp-in-name,ncbi,GCA_002289455.1,987040,ncbi,GCA_002289455.1,,
No_FACHB343,Calothrix anomala,FACHB-343,IN,no-fsp-in-name,ncbi,GCA_014696435.1,2692894,ncbi,GCA_014696435.1,,
No_NIES22,Calothrix brevissima,NIES-22,IN,no-fsp-in-name,ncbi,GCA_002367995.1,1973478,ncbi,GCA_002367995.1,,
No_FACHB236,Calothrix membranacea,FACHB-236,IN,no-fsp-in-name,ncbi,GCA_014696315.1,2692895,ncbi,GCA_014696315.1,,
No_NIES267,Calothrix parasitica,NIES-267,IN,no-fsp-in-name,ncbi,GCA_002368095.1,1973488,ncbi,GCA_002368095.1,,
No_FACHB288,Calothrix parietina,FACHB-288,IN,no-fsp-in-name,ncbi,GCA_014696555.1,2692896,ncbi,GCA_014696555.1,,
No_1,Calothrix rhizosoleniae,1,IN,no-fsp-in-name,ncbi,GCF_900185595.1,439482,ncbi,GCF_900185595.1,,
No_3363,Calothrix sp. 336/3,336/3,IN,no-fsp-in-name,ncbi,GCA_000734895.2,1337936,ncbi,GCA_000734895.2,,
No_C42_A2020_038,Calothrix sp. C42_A2020_038,C42_A2020_038,IN,no-fsp-in-name,ncbi,GCA_015272395.1,2774333,ncbi,GCA_015272395.1,,
No_CBUCESK_9914,Calothrix sp. CBUCES-K 9914,CBUCES-K 9914,IN,no-fsp-in-name,ncbi,GCA_059640475.1,3707624,ncbi,GCA_059640475.1,,
No_Calothrix_CCY_0018,Calothrix sp. CCY 0018,Calothrix CCY 0018,IN,no-fsp-in-name,ncbi,GCF_963920925.1,3103864,ncbi,GCF_963920925.1,,
No_CSU_2_0,Calothrix sp. CSU_2_0,CSU_2_0,IN,no-fsp-in-name,ncbi,GCA_012034595.1,2720413,ncbi,GCA_012034595.1,,
No_FACHB1219,Calothrix sp. FACHB-1219,FACHB-1219,IN,no-fsp-in-name,ncbi,GCA_014696565.1,2692778,ncbi,GCA_014696565.1,,
No_FACHB156,Calothrix sp. FACHB-156,FACHB-156,IN,no-fsp-in-name,ncbi,GCA_014697055.1,2692779,ncbi,GCA_014697055.1,,
No_FACHB168,Calothrix sp. FACHB-168,FACHB-168,IN,no-fsp-in-name,ncbi,GCA_014696495.1,2692780,ncbi,GCA_014696495.1,,
No_FI2JRJ7,Calothrix sp. FI2-JRJ7,FI2-JRJ7,IN,no-fsp-in-name,ncbi,GCA_019359675.1,2839656,ncbi,GCA_019359675.1,,
No_HK06,Calothrix sp. HK-06,HK-06,IN,no-fsp-in-name,ncbi,GCA_001904745.1,1137096,ncbi,GCA_001904745.1,,
No_MO_167B12,Calothrix sp. MO_167.B12,MO_167.B12,IN,no-fsp-in-name,ncbi,GCA_030066045.1,3036781,ncbi,GCA_030066045.1,,
No_MO_167B42,Calothrix sp. MO_167.B42,MO_167.B42,IN,no-fsp-in-name,ncbi,GCA_030065255.1,3036782,ncbi,GCA_030065255.1,,
No_MO_192B10,Calothrix sp. MO_192.B10,MO_192.B10,IN,no-fsp-in-name,ncbi,GCA_030065055.1,3036784,ncbi,GCA_030065055.1,,
No_NIES2098,Calothrix sp. NIES-2098,NIES-2098,IN,no-fsp-in-name,ncbi,GCA_002368175.1,1954171,ncbi,GCA_002368175.1,,
No_NIES2100,Calothrix sp. NIES-2100,NIES-2100,IN,no-fsp-in-name,ncbi,GCA_002368195.1,1954172,ncbi,GCA_002368195.1,,
No_NIES3974,Calothrix sp. NIES-3974,NIES-3974,IN,no-fsp-in-name,ncbi,GCA_002368395.1,2005462,ncbi,GCA_002368395.1,,
No_NIES4071,Calothrix sp. NIES-4071,NIES-4071,IN,no-fsp-in-name,ncbi,GCA_002368455.1,2005469,ncbi,GCA_002368455.1,,
No_NIES4101,Calothrix sp. NIES-4101,NIES-4101,IN,no-fsp-in-name,ncbi,GCA_004296455.1,2005461,ncbi,GCA_004296455.1,,
No_NIES4105,Calothrix sp. NIES-4105,NIES-4105,IN,no-fsp-in-name,ncbi,GCA_002368415.1,2005463,ncbi,GCA_002368415.1,,
No_PCC_6303,Calothrix sp. PCC 6303,PCC 6303,IN,no-fsp-in-name,ncbi,GCA_000317435.1,1170562,ncbi,GCA_000317435.1,,
No_PCC_7103,Calothrix sp. PCC 7103,PCC 7103,IN,no-fsp-in-name,ncbi,GCF_000331305.1,32057,ncbi,GCF_000331305.1,,
No_PCC_7507,Calothrix sp. PCC 7507,PCC 7507,IN,no-fsp-in-name,ncbi,GCA_000316575.1,99598,ncbi,GCA_000316575.1,,
No_PCC_7716,Calothrix sp. PCC 7716,PCC 7716,IN,no-fsp-in-name,ncbi,GCA_019977735.1,2853227,ncbi,GCA_019977735.1,,
No_SM1_5_4,Calothrix sp. SM1_5_4,SM1_5_4,IN,no-fsp-in-name,ncbi,GCA_012031375.1,2720460,ncbi,GCA_012031375.1,,
No_SM1_7_51,Calothrix sp. SM1_7_51,SM1_7_51,IN,no-fsp-in-name,ncbi,GCA_012031285.1,2720462,ncbi,GCA_012031285.1,,
No_UHCC_0171,Calothrix sp. UHCC 0171,UHCC 0171,IN,no-fsp-in-name,ncbi,GCA_034931845.1,3110245,ncbi,GCA_034931845.1,,
No_PCC_6912,Chlorogloeopsis fritschii,PCC 6912,IN,no-fsp-in-name,ncbi,GCA_043099315.1,211165,ncbi,GCA_043099315.1,,
No_MAG6650,Chlorogloeopsis sp.,MAG6650,IN,no-fsp-in-name,ncbi,GCF_060703535.1,28069,ncbi,GCF_060703535.1,,
No_ULAP01,Chlorogloeopsis sp. ULAP01,ULAP01,IN,no-fsp-in-name,ncbi,GCA_030381805.1,3056483,ncbi,GCA_030381805.1,,
No_ULAP02,Chlorogloeopsis sp. ULAP02,ULAP02,IN,no-fsp-in-name,ncbi,GCA_038404745.2,3107926,ncbi,GCA_038404745.2,,
No_ANA360D,Chrysosporum bergii,ANA360D,IN,no-fsp-in-name,ncbi,GCA_029891735.1,617107,ncbi,GCA_029891735.1,,
No_UHCC_0137,Cronbergia sp. UHCC 0137,UHCC 0137,IN,no-fsp-in-name,ncbi,GCA_034932285.1,3110239,ncbi,GCA_034932285.1,,
No_CHARLIE1,Cuspidothrix issatschenkoi,CHARLIE-1,IN,no-fsp-in-name,ncbi,GCA_002934005.1,2052836,ncbi,GCA_002934005.1,,
No_samp_4446_concoct_778,Cuspidothrix sp.,samp_4446_concoct_778,IN,no-fsp-in-name,ncbi,GCA_046080125.1,3019649,ncbi,GCA_046080125.1,,
No_LLY,Cyanocohniella sp. LLY,LLY,IN,no-fsp-in-name,ncbi,GCA_022241785.1,2917192,ncbi,GCA_022241785.1,,
No_MAG2,Cyanomargarita calcarea,MAG-2,IN,no-fsp-in-name,ncbi,GCA_059505925.1,1982362,ncbi,GCA_059505925.1,,
No_Cr2010,Cylindrospermopsis raciborskii,Cr2010,IN,no-fsp-in-name,ncbi,GCA_003367075.2,2108055,ncbi,GCA_003367075.2,,
No_CR12,Cylindrospermopsis sp. CR12,CR12,IN,no-fsp-in-name,ncbi,GCA_001432185.1,1747196,ncbi,GCA_001432185.1,,
No_FACHB282,Cylindrospermum sp. FACHB-282,FACHB-282,IN,no-fsp-in-name,ncbi,GCA_014697195.1,2692794,ncbi,GCA_014697195.1,,
No_NIES4074,Cylindrospermum sp. NIES-4074,NIES-4074,IN,no-fsp-in-name,ncbi,GCA_003994795.1,2005457,ncbi,GCA_003994795.1,,
No_PCC_7417,Cylindrospermum stagnale,PCC 7417,IN,no-fsp-in-name,ncbi,GCA_000317535.1,56107,ncbi,GCA_000317535.1,,
No_CENA369,Dendronalium phyllosphericum,CENA369,IN,no-fsp-in-name,ncbi,GCA_016056275.1,1725256,ncbi,GCA_016056275.1,,
No_ChiSLP03b,Dendronalium sp. ChiSLP03b,ChiSLP03b,IN,no-fsp-in-name,ncbi,GCA_034531165.2,3075381,ncbi,GCA_034531165.2,,
No_CCALA_125,Desmonostoc muscorum,CCALA 125,IN,no-fsp-in-name,ncbi,GCA_019734875.1,2756293,ncbi,GCA_019734875.1,,
No_MAG31,Desmonostoc sp.,MAG-31,IN,no-fsp-in-name,ncbi,GCA_059951195.1,3100306,ncbi,GCA_059951195.1,,
No_MAG72,Desmonostoc vinosum,MAG-72,IN,no-fsp-in-name,ncbi,GCA_059505385.1,1886695,ncbi,GCA_059505385.1,,
No_AWQC131C,Dolichospermum circinale,AWQC131C,IN,no-fsp-in-name,ncbi,GCF_000426905.1,398007,ncbi,GCF_000426905.1,,
No_NIES806,Dolichospermum compactum,NIES-806,IN,no-fsp-in-name,ncbi,GCA_002368115.1,1973481,ncbi,GCA_002368115.1,,
No_CCAP_140313f,Dolichospermum flos-aquae,CCAP 1403/13f,IN,no-fsp-in-name,ncbi,GCA_012516395.1,315271,ncbi,GCA_012516395.1,,
No_NIES1697,Dolichospermum heterosporum,NIES-1697,IN,no-fsp-in-name,ncbi,GCA_024584745.1,747523,ncbi,GCA_024584745.1,,
No_CS548,Dolichospermum lemmermannii,CS-548,IN,no-fsp-in-name,ncbi,GCA_028330815.1,3021789,ncbi,GCA_028330815.1,,
No_UHCC_0167,Dolichospermum planctonicum,UHCC 0167,IN,no-fsp-in-name,ncbi,GCA_009712075.2,2590027,ncbi,GCA_009712075.2,,
No_SB001,Dolichospermum sp.,SB001,IN,no-fsp-in-name,ncbi,GCA_016462165.1,2720786,ncbi,GCA_016462165.1,,
No_BR01,Dolichospermum sp. BR01,BR01,IN,no-fsp-in-name,ncbi,GCA_018447705.1,2717868,ncbi,GCA_018447705.1,,
No_DET50,Dolichospermum sp. DET50,DET50,IN,no-fsp-in-name,ncbi,GCA_018295975.1,2704414,ncbi,GCA_018295975.1,,
No_DET66,Dolichospermum sp. DET66,DET66,IN,no-fsp-in-name,ncbi,GCA_018295985.1,2704415,ncbi,GCA_018295985.1,,
No_DET67,Dolichospermum sp. DET67,DET67,IN,no-fsp-in-name,ncbi,GCA_018295965.1,2704416,ncbi,GCA_018295965.1,,
No_DET68,Dolichospermum sp. DET68,DET68,IN,no-fsp-in-name,ncbi,GCA_050884905.1,2704417,ncbi,GCA_050884905.1,,
No_DET69,Dolichospermum sp. DET69,DET69,IN,no-fsp-in-name,ncbi,GCA_017355425.1,2529119,ncbi,GCA_017355425.1,,
No_DET73,Dolichospermum sp. DET73,DET73,IN,no-fsp-in-name,ncbi,GCA_017355625.1,2717879,ncbi,GCA_017355625.1,,
No_DEX182a,Dolichospermum sp. DEX182a,DEX182a,IN,no-fsp-in-name,ncbi,GCA_017355645.1,2717869,ncbi,GCA_017355645.1,,
No_DEX189,Dolichospermum sp. DEX189,DEX189,IN,no-fsp-in-name,ncbi,GCA_017355655.1,2717870,ncbi,GCA_017355655.1,,
No_DL01,Dolichospermum sp. DL01,DL01,IN,no-fsp-in-name,ncbi,GCA_017346835.1,2717871,ncbi,GCA_017346835.1,,
No_FACHB1091,Dolichospermum sp. FACHB-1091,FACHB-1091,IN,no-fsp-in-name,ncbi,GCA_014697585.1,2692798,ncbi,GCA_014697585.1,,
No_FACHB1250,Dolichospermum sp. FACHB-1250,FACHB-1250,IN,no-fsp-in-name,ncbi,GCA_014696335.1,2692770,ncbi,GCA_014696335.1,,
No_JUN01,Dolichospermum sp. JUN01,JUN01,IN,no-fsp-in-name,ncbi,GCA_017355635.1,2717872,ncbi,GCA_017355635.1,,
No_LBC05a,Dolichospermum sp. LBC05a,LBC05a,IN,no-fsp-in-name,ncbi,GCA_017346815.1,2717873,ncbi,GCA_017346815.1,,
No_LEGE_00240,Dolichospermum sp. LEGE 00240,LEGE 00240,IN,no-fsp-in-name,ncbi,GCA_015207875.1,1828603,ncbi,GCA_015207875.1,,
No_LEGE_00246,Dolichospermum sp. LEGE 00246,LEGE 00246,IN,no-fsp-in-name,ncbi,GCA_015207865.1,1828605,ncbi,GCA_015207865.1,,
No_OL01,Dolichospermum sp. OL01,OL01,IN,no-fsp-in-name,ncbi,GCA_018447755.1,2717874,ncbi,GCA_018447755.1,,
No_OL03,Dolichospermum sp. OL03,OL03,IN,no-fsp-in-name,ncbi,GCA_024036375.1,2717875,ncbi,GCA_024036375.1,,
No_ST_con,Dolichospermum sp. ST_con,ST_con,IN,no-fsp-in-name,ncbi,GCA_028658425.1,2916815,ncbi,GCA_028658425.1,,
No_ST_sed1,Dolichospermum sp. ST_sed1,ST_sed1,IN,no-fsp-in-name,ncbi,GCA_028658625.1,2916805,ncbi,GCA_028658625.1,,
No_ST_sed10,Dolichospermum sp. ST_sed10,ST_sed10,IN,no-fsp-in-name,ncbi,GCA_028658435.1,2916814,ncbi,GCA_028658435.1,,
No_ST_sed2,Dolichospermum sp. ST_sed2,ST_sed2,IN,no-fsp-in-name,ncbi,GCA_028658605.1,2916806,ncbi,GCA_028658605.1,,
No_ST_sed3,Dolichospermum sp. ST_sed3,ST_sed3,IN,no-fsp-in-name,ncbi,GCA_028658555.1,2916807,ncbi,GCA_028658555.1,,
No_ST_sed4,Dolichospermum sp. ST_sed4,ST_sed4,IN,no-fsp-in-name,ncbi,GCA_028658525.1,2916808,ncbi,GCA_028658525.1,,
No_ST_sed5,Dolichospermum sp. ST_sed5,ST_sed5,IN,no-fsp-in-name,ncbi,GCA_028658545.1,2916809,ncbi,GCA_028658545.1,,
No_ST_sed6,Dolichospermum sp. ST_sed6,ST_sed6,IN,no-fsp-in-name,ncbi,GCA_028658575.1,2916810,ncbi,GCA_028658575.1,,
No_ST_sed7,Dolichospermum sp. ST_sed7,ST_sed7,IN,no-fsp-in-name,ncbi,GCA_028658505.1,2916811,ncbi,GCA_028658505.1,,
No_ST_sed8,Dolichospermum sp. ST_sed8,ST_sed8,IN,no-fsp-in-name,ncbi,GCA_028658405.1,2916812,ncbi,GCA_028658405.1,,
No_ST_sed9,Dolichospermum sp. ST_sed9,ST_sed9,IN,no-fsp-in-name,ncbi,GCA_028658455.1,2916813,ncbi,GCA_028658455.1,,
No_UHCC_0259,Dolichospermum sp. UHCC 0259,UHCC 0259,IN,no-fsp-in-name,ncbi,GCA_009711935.1,2590010,ncbi,GCA_009711935.1,,
No_UHCC_0260,Dolichospermum sp. UHCC 0260,UHCC 0260,IN,no-fsp-in-name,ncbi,GCA_009711985.1,2590025,ncbi,GCA_009711985.1,,
No_UHCC_0299,Dolichospermum sp. UHCC 0299,UHCC 0299,IN,no-fsp-in-name,ncbi,GCA_009711965.1,2590014,ncbi,GCA_009711965.1,,
No_UHCC_0315A,Dolichospermum sp. UHCC 0315A,UHCC 0315A,IN,no-fsp-in-name,ncbi,GCA_008121535.1,1914871,ncbi,GCA_008121535.1,,
No_UHCC_0352,Dolichospermum sp. UHCC 0352,UHCC 0352,IN,no-fsp-in-name,ncbi,GCA_009711925.1,2590011,ncbi,GCA_009711925.1,,
No_UHCC_0406,Dolichospermum sp. UHCC 0406,UHCC 0406,IN,no-fsp-in-name,ncbi,GCA_009712025.1,2590017,ncbi,GCA_009712025.1,,
