Short	protein_id	contig	start	end	member	family	contig_len	dist_end	idx	n_on_contig	bin	hrmA_models	species	pf11001_same_protein	left_telo	right_telo	near_left	nearest_end_telo	genes_to_end	label
407-0_S_OLD_CPA0002	C577643_007881-T1	scaffold_152	4931	5299	407-0_S_OLD_CPA0002|C577643_007881-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	47901	4930	0	16	singleton	HrmA	Cp	False	0	0	True	0	0	F03
407-0_S_OLD_CPA0002	C577643_008421-T1	scaffold_232	2397	2756	407-0_S_OLD_CPA0002|C577643_008421-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	19115	2396	1	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
407-0_S_OLD_CPA0002	C577643_003990-T1	scaffold_36	130365	130739	407-0_S_OLD_CPA0002|C577643_003990-T1	5SD|CCCC1E1_000093-T1	206885	76146	47	66	cloud	HrmA	Cp	False	0	0	False	0	18	F09
407-0_S_OLD_CPA0002	C577643_000620-T1	scaffold_4	63046	63420	407-0_S_OLD_CPA0002|C577643_000620-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	488618	63045	18	163	singleton	HrmA	Cp	False	0	0	True	0	18	F02
407-1_S_OLD_CPA0004	CC44035_008058-T1	scaffold_157	42595	42963	407-1_S_OLD_CPA0004|CC44035_008058-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	47900	4937	16	17	singleton	HrmA	Cp	False	0	0	False	0	0	F03
407-1_S_OLD_CPA0004	CC44035_008096-T1	scaffold_160	15612	15986	407-1_S_OLD_CPA0004|CC44035_008096-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	47231	15611	6	18	singleton	HrmA	Cp	False	0	0	True	0	6	F02
407-1_S_OLD_CPA0004	CC44035_008214-T1	scaffold_177	24472	24831	407-1_S_OLD_CPA0004|CC44035_008214-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	37942	13111	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
407-1_S_OLD_CPA0004	CC44035_005246-T1	scaffold_53	76175	76549	407-1_S_OLD_CPA0004|CC44035_005246-T1	5SD|CCCC1E1_000093-T1	173243	76174	20	49	cloud	HrmA	Cp	False	0	0	True	0	20	F09
409B-0_L_OLD_CPA0011	C90261E_005656-T1	scaffold_195	1197	1571	409B-0_L_OLD_CPA0011|C90261E_005656-T1	5SD|CCCC1E1_000093-T1	37210	1196	0	14	cloud	HrmA	Cp	False	0	0	True	0	0	F09
409B-0_L_OLD_CPA0011	C90261E_005699-T1	scaffold_198	19954	20313	409B-0_L_OLD_CPA0011|C90261E_005699-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	36538	16225	1	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
409B-0_L_OLD_CPA0011	C90261E_001985-T1	scaffold_31	88801	89175	409B-0_L_OLD_CPA0011|C90261E_001985-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	121932	32757	30	42	singleton	HrmA	Cp	False	0	0	False	0	11	F02
409B-0_L_OLD_CPA0011	C90261E_007381-T1	scaffold_474	5108	5476	409B-0_L_OLD_CPA0011|C90261E_007381-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	14324	5107	0	5	singleton	HrmA	Cp	False	0	0	True	0	0	F03
409B-0_S_OLD_CPA0012	CD06E9E_007932-T1	scaffold_170	35282	35650	409B-0_S_OLD_CPA0012|CD06E9E_007932-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	40580	4930	11	12	singleton	HrmA	Cp	False	0	0	False	0	0	F03
409B-0_S_OLD_CPA0012	CD06E9E_008016-T1	scaffold_180	34776	35150	409B-0_S_OLD_CPA0012|CD06E9E_008016-T1	5SD|CCCC1E1_000093-T1	36346	1196	15	16	cloud	HrmA	Cp	False	0	0	False	0	0	F09
409B-0_S_OLD_CPA0012	CD06E9E_000862-T1	scaffold_5	382743	383117	409B-0_S_OLD_CPA0012|CD06E9E_000862-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	442765	59648	135	156	singleton	HrmA	Cp	False	0	0	False	0	20	F02
409B-0_S_OLD_CPA0012	CD06E9E_008618-T1	scaffold_528	1663	2022	409B-0_S_OLD_CPA0012|CD06E9E_008618-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	2367	345	0	1	singleton	HrmA	Cp	False	0	0	False	0	0	F10
4545-MICE	CB4077B_001361-T1	scaffold_13	202133	202507	4545-MICE|CB4077B_001361-T1	5SD|CCCC1E1_000093-T1	254964	52457	25	36	cloud	HrmA	Cp	False	0	0	False	0	10	F09
4545-MICE	CB4077B_007846-T1	scaffold_257	26877	27236	4545-MICE|CB4077B_007846-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	29632	2396	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
4545-MICE	CB4077B_008111-T1	scaffold_293	5997	6371	4545-MICE|CB4077B_008111-T1	730332_Guatemala|C45F23D_004938-T1	20908	5996	3	4	singleton	HrmA	Cp	False	0	0	True	0	0	F14
4545-MICE	CB4077B_003162-T1	scaffold_42	46799	47173	4545-MICE|CB4077B_003162-T1	730332_Guatemala|C45F23D_004938-T1	148569	46798	7	21	singleton	HrmA	Cp	False	0	0	True	0	7	F14
4545-MICE	CB4077B_003725-T1	scaffold_53	98423	99265	4545-MICE|CB4077B_003725-T1	4545-MICE|CB4077B_003725-T1	139208	39943	41	55	singleton	HrmA	Cp	False	0	0	False	0	13	F22
4545-MICE	CB4077B_004433-T1	scaffold_71	38571	38939	4545-MICE|CB4077B_004433-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	110205	38570	11	33	singleton	HrmA	Cp	False	0	0	True	0	11	F03
4545-MICE	CB4077B_001091-T1	scaffold_9	252557	252931	4545-MICE|CB4077B_001091-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	283977	31046	92	103	singleton	HrmA	Cp	False	0	0	False	0	10	F02
485B-0_S_OLD_CPA0021	CFE8A8D_008542-T1	scaffold_227	16184	16543	485B-0_S_OLD_CPA0021|CFE8A8D_008542-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	18939	2396	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
485B-0_S_OLD_CPA0021	CFE8A8D_005996-T1	scaffold_73	38173	38547	485B-0_S_OLD_CPA0021|CFE8A8D_005996-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	129426	38172	14	47	singleton	HrmA	Cp	False	0	0	True	0	14	F02
485B-0_S_OLD_CPA0021	CFE8A8D_006289-T1	scaffold_80	4931	5299	485B-0_S_OLD_CPA0021|CFE8A8D_006289-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	117325	4930	0	45	singleton	HrmA	Cp	False	0	0	True	0	0	F03
485B-1_L_OLD_CPA0023	C4025D1_002255-T1	scaffold_14	15714	16088	485B-1_L_OLD_CPA0023|C4025D1_002255-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	383696	15713	7	128	singleton	HrmA	Cp	False	0	0	True	0	7	F02
485B-1_L_OLD_CPA0023	C4025D1_008033-T1	scaffold_170	34073	34441	485B-1_L_OLD_CPA0023|C4025D1_008033-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	39371	4930	12	13	singleton	HrmA	Cp	False	0	0	False	0	0	F03
485B-1_L_OLD_CPA0023	C4025D1_008434-T1	scaffold_232	16184	16543	485B-1_L_OLD_CPA0023|C4025D1_008434-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	18939	2396	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
485B-4_S_NEW_CPA0029	CFB3627_001798-T1	scaffold_12	339692	340060	485B-4_S_NEW_CPA0029|CFB3627_001798-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	342773	2713	110	111	singleton	HrmA	Cp	False	0	0	False	0	0	F03
485B-4_S_NEW_CPA0029	CFB3627_008510-T1	scaffold_257	2397	2756	485B-4_S_NEW_CPA0029|CFB3627_008510-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	18939	2396	1	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
485B-4_S_NEW_CPA0029	CFB3627_005438-T1	scaffold_67	81690	82064	485B-4_S_NEW_CPA0029|CFB3627_005438-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	120849	38785	23	36	singleton	HrmA	Cp	False	0	0	False	0	12	F02
4M3	CB16A6A_002786-T1	scaffold_111	42945	43961	4M3|CB16A6A_002786-T1	4M3|CB16A6A_002786-T1	55818	11857	3	4	shell	HrmA	Ci	False	0	0	False	0	0	F26
4M3	CB16A6A_004424-T1	scaffold_223	23927	24280	4M3|CB16A6A_004424-T1	5SD|CCCC1E1_001005-T1	39494	15214	7	13	core	HrmA	Ci	False	0	0	False	0	5	F05
4M3	CB16A6A_006275-T1	scaffold_401	19326	19691	4M3|CB16A6A_006275-T1	GT-146|CDEB87D_007880-T1	23142	3451	5	6	shell	HrmA	Ci	False	0	0	False	0	0	F08
4M3	CB16A6A_001680-T1	scaffold_57	59073	59462	4M3|CB16A6A_001680-T1	5SD|CCCC1E1_000191-T1	70892	11430	22	29	core	HrmA	Ci	False	0	0	False	0	6	F07
4M3	CB16A6A_000189-T1	scaffold_6	53962	54474	4M3|CB16A6A_000189-T1	5SD|CCCC1E1_003562-T1	123407	53961	12	26	core	HrmA	Ci	False	0	0	True	0	12	F06
4SD	C8AA998_006811-T1	scaffold_209	18083	18436	4SD|C8AA998_006811-T1	5SD|CCCC1E1_001005-T1	42457	18082	5	13	core	HrmA	Ci	False	0	0	True	0	5	F05
4SD	C8AA998_007436-T1	scaffold_261	2793	3305	4SD|C8AA998_007436-T1	5SD|CCCC1E1_003562-T1	32012	2792	0	10	core	HrmA	Ci	False	0	0	True	0	0	F06
4SD	C8AA998_002791-T1	scaffold_46	81485	81874	4SD|C8AA998_002791-T1	5SD|CCCC1E1_000191-T1	120935	39061	29	48	core	HrmA	Ci	False	0	0	False	0	18	F07
4SD	C8AA998_008548-T1	scaffold_648	16	204	4SD|C8AA998_008548-T1	GT-111|C5A2EA4_008657-T1	4660	15	0	2	cloud	HrmA	Ci	False	0	0	True	0	0	F24
573-1_L_NEW_CPA0031	C24A26E_007095-T1	scaffold_115	45508	45771	573-1_L_NEW_CPA0031|C24A26E_007095-T1	TX11|CEC36E2_008626-T1	71198	25427	6	9	singleton	HrmA	Cp	False	0	0	False	0	2	F11
573-1_L_NEW_CPA0031	C24A26E_007863-T1	scaffold_165	34065	34433	573-1_L_NEW_CPA0031|C24A26E_007863-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	45583	11150	12	13	singleton	HrmA	Cp	False	0	0	False	0	0	F03
573-1_L_NEW_CPA0031	C24A26E_001207-T1	scaffold_8	231516	231890	573-1_L_NEW_CPA0031|C24A26E_001207-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	354592	122702	81	129	singleton	HrmA	Cp	False	0	0	False	0	47	F02
573-1_S_NEW_CPA0033	CA22261_007096-T1	scaffold_105	89350	89718	573-1_S_NEW_CPA0033|CA22261_007096-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	94653	4935	32	33	singleton	HrmA	Cp	False	0	0	False	0	0	F03
573-1_S_NEW_CPA0033	CA22261_007690-T1	scaffold_131	22142	22405	573-1_S_NEW_CPA0033|CA22261_007690-T1	TX11|CEC36E2_008626-T1	67912	22141	2	9	singleton	HrmA	Cp	False	0	0	True	0	2	F11
573-1_S_NEW_CPA0033	CA22261_001240-T1	scaffold_7	216728	217102	573-1_S_NEW_CPA0033|CA22261_001240-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	394378	177276	77	142	singleton	HrmA	Cp	False	0	0	False	0	64	F02
574-0_L_OLD_CPA0038	C74B79A_008355-T1	scaffold_193	20420	20779	574-0_L_OLD_CPA0038|C74B79A_008355-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	26284	5505	1	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
574-0_L_OLD_CPA0038	C74B79A_000740-T1	scaffold_3	580660	581034	574-0_L_OLD_CPA0038|C74B79A_000740-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	612121	31087	193	204	singleton	HrmA	Cp	False	0	0	False	0	10	F02
574-0_L_OLD_CPA0038	C74B79A_007064-T1	scaffold_97	89523	89891	574-0_L_OLD_CPA0038|C74B79A_007064-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	94821	4930	31	32	singleton	HrmA	Cp	False	0	0	False	0	0	F03
574-0_S_OLD_CPA0039	C27CBD2_008386-T1	scaffold_207	5480	5839	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	26185	5479	0	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
574-0_S_OLD_CPA0039	C27CBD2_005586-T1	scaffold_59	88366	88740	574-0_S_OLD_CPA0039|C27CBD2_005586-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	150699	61959	29	52	singleton	HrmA	Cp	False	0	0	False	0	22	F02
574-0_S_OLD_CPA0039	C27CBD2_006756-T1	scaffold_89	4936	5304	574-0_S_OLD_CPA0039|C27CBD2_006756-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	94660	4935	0	33	singleton	HrmA	Cp	False	0	0	True	0	0	F03
574-1_L_NEW_CPA0040	CDD7BF6_007703-T1	scaffold_185	31174	31548	574-1_L_NEW_CPA0040|CDD7BF6_007703-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	47158	15610	11	19	singleton	HrmA	Cp	False	0	0	False	0	7	F02
574-1_L_NEW_CPA0040	CDD7BF6_002053-T1	scaffold_21	4936	5304	574-1_L_NEW_CPA0040|CDD7BF6_002053-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	222491	4935	0	81	singleton	HrmA	Cp	False	0	0	True	0	0	F03
574-1_L_NEW_CPA0040	CDD7BF6_003150-T1	scaffold_36	134050	134313	574-1_L_NEW_CPA0040|CDD7BF6_003150-T1	TX11|CEC36E2_008626-T1	181052	46739	12	18	singleton	HrmA	Cp	False	0	0	False	0	5	F11
578-1_A_NEW_CPA0048	CD3293D_008159-T1	scaffold_160	34071	34439	578-1_A_NEW_CPA0048|CD3293D_008159-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	39369	4930	11	12	singleton	HrmA	Cp	False	0	0	False	0	0	F03
578-1_A_NEW_CPA0048	CD3293D_004921-T1	scaffold_47	40209	40583	578-1_A_NEW_CPA0048|CD3293D_004921-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	184717	40208	14	64	singleton	HrmA	Cp	False	0	0	True	0	14	F02
578-1_L_NEW_CPA0049	C79DB71_008063-T1	scaffold_171	34072	34440	578-1_L_NEW_CPA0049|C79DB71_008063-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	39370	4930	12	13	singleton	HrmA	Cp	False	0	0	False	0	0	F03
578-1_L_NEW_CPA0049	C79DB71_000776-T1	scaffold_5	40091	40465	578-1_L_NEW_CPA0049|C79DB71_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	456211	40090	13	158	singleton	HrmA	Cp	False	0	0	True	0	13	F02
578-1_L_NEW_CPA0049_alt	C8EFFFA_008121-T1	scaffold_172	34059	34427	578-1_L_NEW_CPA0049_alt|C8EFFFA_008121-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	39362	4935	11	12	singleton	HrmA	Cp	False	0	0	False	0	0	F03
578-1_L_NEW_CPA0049_alt	C8EFFFA_005038-T1	scaffold_53	31114	31488	578-1_L_NEW_CPA0049_alt|C8EFFFA_005038-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	164478	31113	10	62	singleton	HrmA	Cp	False	0	0	True	0	10	F02
582-1_L_NEW_CPA0064	CF9574D_007751-T1	scaffold_172	15652	16026	582-1_L_NEW_CPA0064|CF9574D_007751-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	47257	15651	6	18	singleton	HrmA	Cp	False	0	0	True	0	6	F02
582-1_L_NEW_CPA0064	CF9574D_003770-T1	scaffold_41	109840	110103	582-1_L_NEW_CPA0064|CF9574D_003770-T1	TX11|CEC36E2_008626-T1	182019	71916	12	15	singleton	HrmA	Cp	False	0	0	False	0	2	F11
582-1_L_NEW_CPA0064	CF9574D_004546-T1	scaffold_55	135890	136252	582-1_L_NEW_CPA0064|CF9574D_004546-T1	582-1_L_NEW_CPA0064|CF9574D_004546-T1	159556	23304	0	2	cloud	HrmA	Cp	False	0	0	False	0	0	F16
582-1_L_NEW_CPA0064	CF9574D_004661-T1	scaffold_57	152675	153043	582-1_L_NEW_CPA0064|CF9574D_004661-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	157977	4934	46	47	singleton	HrmA	Cp	False	0	0	False	0	0	F03
5SD	CCCC1E1_003562-T1	scaffold_109	14466	14978	5SD|CCCC1E1_003562-T1	5SD|CCCC1E1_003562-T1	65962	14465	4	17	core	HrmA	Ci	False	0	0	True	0	4	F06
5SD	CCCC1E1_000093-T1	scaffold_2	86018	86392	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000093-T1	212438	86017	24	49	cloud	HrmA	Ci	False	0	0	True	0	24	F09
5SD	CCCC1E1_001005-T1	scaffold_22	96631	96984	5SD|CCCC1E1_001005-T1	5SD|CCCC1E1_001005-T1	133176	36192	10	18	core	HrmA	Ci	False	0	0	False	0	7	F05
5SD	CCCC1E1_000191-T1	scaffold_3	189781	190170	5SD|CCCC1E1_000191-T1	5SD|CCCC1E1_000191-T1	207189	17019	71	79	core	HrmA	Ci	False	0	0	False	0	7	F07
5SD	CCCC1E1_006842-T1	scaffold_341	19083	19613	5SD|CCCC1E1_006842-T1	GT-126|C8C79ED_001931-T1	28463	8850	1	2	core	HrmA	Ci	False	0	0	False	0	0	F04
5SD	CCCC1E1_002063-T1	scaffold_51	8402	8767	5SD|CCCC1E1_002063-T1	GT-146|CDEB87D_007880-T1	96446	8401	3	31	shell	HrmA	Ci	False	0	0	True	0	3	F08
5SD	CCCC1E1_002270-T1	scaffold_57	35207	35724	5SD|CCCC1E1_002270-T1	GT-126|C8C79ED_001931-T1	90019	35206	15	35	core	HrmA	Ci	False	0	0	True	0	15	F04
730332_Guatemala	C45F23D_002585-T1	scaffold_153	23041	23400	730332_Guatemala|C45F23D_002585-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	39744	16344	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
730332_Guatemala	C45F23D_008813-T1	scaffold_1536	76	1462	730332_Guatemala|C45F23D_008813-T1	730333_Guatemala|C537722_008849-T1	2733	75	0	1	shell	HrmA_middle	Cp	False	0	0	True	0	0	F42
730332_Guatemala	C45F23D_003333-T1	scaffold_213	7029	7403	730332_Guatemala|C45F23D_003333-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	34216	7028	2	13	singleton	HrmA	Cp	False	0	0	True	0	2	F02
730332_Guatemala	C45F23D_004938-T1	scaffold_375	17402	17776	730332_Guatemala|C45F23D_004938-T1	730332_Guatemala|C45F23D_004938-T1	23975	6199	0	4	singleton	HrmA	Cp	False	0	0	False	0	0	F14
730332_Guatemala	C45F23D_000045-T1	scaffold_4	46690	47299	730332_Guatemala|C45F23D_000045-T1	730332_Guatemala|C45F23D_000045-T1	127890	46689	18	21	singleton	HrmA_N	Cp	False	0	0	True	0	2	F40
730332_Guatemala	C45F23D_000056-T1	scaffold_6	26453	26827	730332_Guatemala|C45F23D_000056-T1	5SD|CCCC1E1_000093-T1	120201	26452	2	19	cloud	HrmA	Cp	False	0	0	True	0	2	F09
730332_Guatemala	C45F23D_000130-T1	scaffold_9	55802	56170	730332_Guatemala|C45F23D_000130-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	116722	55801	16	28	singleton	HrmA	Cp	False	0	0	True	0	11	F03
730333_Guatemala	C537722_002396-T1	scaffold_147	16345	16704	730333_Guatemala|C537722_002396-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	39774	16344	1	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
730333_Guatemala	C537722_008849-T1	scaffold_1590	76	1462	730333_Guatemala|C537722_008849-T1	730333_Guatemala|C537722_008849-T1	2733	75	0	1	shell	HrmA_middle	Cp	False	0	0	True	0	0	F42
730333_Guatemala	C537722_002983-T1	scaffold_194	9220	9829	730333_Guatemala|C537722_002983-T1	730332_Guatemala|C45F23D_000045-T1	35568	9219	5	7	singleton	HrmA_N	Cp	False	0	0	True	0	1	F40
730333_Guatemala	C537722_003018-T1	scaffold_197	26814	27188	730333_Guatemala|C537722_003018-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	35212	8024	10	15	singleton	HrmA	Cp	False	0	0	False	0	4	F02
730333_Guatemala	C537722_004777-T1	scaffold_379	17403	17777	730333_Guatemala|C537722_004777-T1	730332_Guatemala|C45F23D_004938-T1	23834	6057	0	4	singleton	HrmA	Cp	False	0	0	False	0	0	F14
730333_Guatemala	C537722_000039-T1	scaffold_4	71454	71822	730333_Guatemala|C537722_000039-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	127657	55835	17	33	singleton	HrmA	Cp	False	0	0	False	0	15	F03
730333_Guatemala	C537722_000080-T1	scaffold_8	25751	26125	730333_Guatemala|C537722_000080-T1	5SD|CCCC1E1_000093-T1	119485	25750	2	19	cloud	HrmA	Cp	False	0	0	True	0	2	F09
730334_Guatemala	C5AD400_003590-T1	scaffold_206	6856	7230	730334_Guatemala|C5AD400_003590-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	36102	6855	2	10	singleton	HrmA	Cp	False	0	0	True	0	2	F02
730334_Guatemala	C5AD400_003889-T1	scaffold_230	6738	7106	730334_Guatemala|C5AD400_003889-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	34377	6737	0	9	singleton	HrmA	Cp	False	0	0	True	0	0	F03
A391	C68FCBD_000819-T1	scaffold_17	81472	81861	A391|C68FCBD_000819-T1	5SD|CCCC1E1_000191-T1	169692	81471	31	67	core	HrmA	Ci	False	0	0	True	0	31	F07
A391	C68FCBD_007062-T1	scaffold_279	19261	19791	A391|C68FCBD_007062-T1	GT-126|C8C79ED_001931-T1	32149	12358	1	2	core	HrmA	Ci	False	0	0	False	0	0	F04
A391	C68FCBD_001382-T1	scaffold_29	110684	111037	A391|C68FCBD_001382-T1	5SD|CCCC1E1_001005-T1	147229	36192	10	19	core	HrmA	Ci	False	0	0	False	0	8	F05
A391	C68FCBD_002121-T1	scaffold_47	68471	68983	A391|C68FCBD_002121-T1	5SD|CCCC1E1_003562-T1	122431	53448	12	25	core	HrmA	Ci	False	0	0	False	0	12	F06
A391	C68FCBD_000235-T1	scaffold_6	209620	210137	A391|C68FCBD_000235-T1	GT-126|C8C79ED_001931-T1	215566	5429	73	76	core	HrmA	Ci	False	0	0	False	0	2	F04
A391	C68FCBD_003099-T1	scaffold_75	88333	88698	A391|C68FCBD_003099-T1	GT-146|CDEB87D_007880-T1	97305	8607	28	32	shell	HrmA	Ci	False	0	0	False	0	3	F08
A432	C05F6EB_004267-T1	scaffold_111	51012	51377	A432|C05F6EB_004267-T1	GT-146|CDEB87D_007880-T1	78249	26872	19	23	shell	HrmA	Ci	False	0	0	False	0	3	F08
A432	C05F6EB_001029-T1	scaffold_20	85778	86167	A432|C05F6EB_001029-T1	5SD|CCCC1E1_000191-T1	167616	81449	37	68	core	HrmA	Ci	False	0	0	False	0	30	F07
A432	C05F6EB_007238-T1	scaffold_273	18775	19791	A432|C05F6EB_007238-T1	GT-126|C8C79ED_008251-T1	32149	12358	1	2	shell	HrmA	Ci	False	0	0	False	0	0	F12
A432	C05F6EB_007597-T1	scaffold_309	20107	20624	A432|C05F6EB_007597-T1	GT-126|C8C79ED_001931-T1	26040	5416	8	12	core	HrmA	Ci	False	0	0	False	0	3	F04
A432	C05F6EB_001688-T1	scaffold_35	36197	36550	A432|C05F6EB_001688-T1	5SD|CCCC1E1_001005-T1	143241	36196	8	19	core	HrmA	Ci	False	0	0	True	0	8	F05
