Short	Species	n_contigs	n50	total_length	dedup_group	is_representative	n_HrmA_PF28515	n_HrmA_N_or_middle
B3222	Coccidioides posadasii	231	315273	27177397	94	1	3	0
B3224	Coccidioides posadasii	300	206308	26146392	95	1	5	0
B3226	Coccidioides posadasii	226	335951	27637545	96	1	4	0
B3227	Coccidioides posadasii	292	257884	28046451	97	1	3	0
B3228	Coccidioides posadasii	250	333938	27741842	98	1	3	0
B3236	Coccidioides posadasii	261	252319	27753506	99	1	2	0
B3242	Coccidioides posadasii	234	290170	27555879	100	1	3	0
B3244	Coccidioides posadasii	231	345326	27426501	101	1	4	0
B3245	Coccidioides posadasii	215	434743	27392663	102	1	2	0
B3246	Coccidioides posadasii	217	286053	28441075	103	1	5	0
B3251	Coccidioides posadasii	1100	105209	26733566	104	1	3	0
B3256	Coccidioides posadasii	335	232590	26625942	105	1	4	0
B3269	Coccidioides posadasii	456	188018	27394016	106	1	3	0
B3276	Coccidioides posadasii	267	269559	27285804	107	1	3	0
B3284	Coccidioides posadasii	355	186349	27649857	108	1	4	0
B3286	Coccidioides posadasii	295	199036	27462169	109	1	4	0
B3290	Coccidioides posadasii	355	213709	28239574	110	1	5	0
B3291	Coccidioides posadasii	300	220582	26755514	111	1	4	0
B3292	Coccidioides posadasii	336	195933	27487188	112	1	4	0
B3301	Coccidioides posadasii	343	207289	27028839	113	1	3	0
B3310	Coccidioides posadasii	456	219543	27487604	114	1	2	0
B3313	Coccidioides posadasii	334	188825	27401122	115	1	2	1
B3314	Coccidioides posadasii	245	294582	27876122	116	1	3	0
B3315	Coccidioides posadasii	457	174900	27879917	117	1	4	0
B3326	Coccidioides posadasii	310	239623	27203081	118	1	5	0
B3335	Coccidioides posadasii	638	203472	27644158	119	1	3	0
B3341	Coccidioides posadasii	241	334953	27724020	120	1	4	0
B3344	Coccidioides posadasii	294	237885	28137463	121	1	3	0
B3345	Coccidioides posadasii	229	324683	27328475	122	1	3	0
B3347	Coccidioides posadasii	585	210836	26029769	123	1	3	0
B3348	Coccidioides posadasii	464	250427	26784919	124	1	4	1
B3352	Coccidioides posadasii	341	165511	27161198	125	1	1	0
B3353	Coccidioides posadasii	661	179089	28159921	126	1	3	0
B3358	Coccidioides posadasii	301	299099	27958950	127	1	3	0
B3359	Coccidioides posadasii	285	229312	27500825	128	1	3	0
B3368	Coccidioides posadasii	212	259885	27447436	129	1	2	0
B3374	Coccidioides posadasii	252	292130	27761637	130	1	4	0
B3375	Coccidioides posadasii	200	408930	27434513	131	1	2	0
B3382	Coccidioides posadasii	262	265635	27154586	132	1	2	0
B3391	Coccidioides posadasii	257	334962	27439284	133	1	2	0
B3395	Coccidioides posadasii	266	320152	27523187	134	1	3	0
B3398	Coccidioides posadasii	296	304818	27640341	135	1	4	0
B3409	Coccidioides posadasii	301	231294	26920109	136	1	3	0
B3411	Coccidioides posadasii	207	315799	27608567	137	1	3	0
B3413	Coccidioides posadasii	214	359745	27448512	138	1	2	0
B3417	Coccidioides posadasii	288	367636	27487354	139	1	4	0
B3420	Coccidioides posadasii	267	262509	28004705	140	1	2	0
B3439	Coccidioides posadasii	244	271318	27883801	141	1	2	0
B3440	Coccidioides posadasii	341	190872	26359803	142	1	3	0
B3453	Coccidioides posadasii	227	328987	26969033	143	1	3	0
B3457	Coccidioides posadasii	279	247789	26930632	144	1	3	0
B3476	Coccidioides immitis	257	274463	27017128	145	1	6	0
B3482	Coccidioides posadasii	451	140387	26900663	146	1	4	0
B3489	Coccidioides posadasii	322	232866	28309065	147	1	4	0
B3491	Coccidioides posadasii	301	254947	27639612	148	1	4	0
B3492	Coccidioides posadasii	477	135893	27460699	149	1	3	0
B5773_Brazil	Coccidioides posadasii	1648	33903	27162121	150	0	2	0
BFF340	Coccidioides posadasii	323	233189	27361663	151	1	2	0
Beeville	Coccidioides posadasii	2324	25233	27184291	152	0	2	0
C735-TKO	Coccidioides posadasii	444	155556	26759281	153	0	2	0
CA1	Coccidioides immitis	3258	14526	26329628	154	1	5	0
CA14	Coccidioides immitis	2524	20050	26842584	155	1	6	0
CA15	Coccidioides immitis	312	265353	28116362	156	1	6	0
CA17	Coccidioides immitis	406	161135	27434089	157	1	7	0
CA2	Coccidioides immitis	669	164278	27777690	158	1	8	0
CA20	Coccidioides immitis	2440	21570	26885575	159	1	6	0
CA22	Coccidioides immitis	911	161208	27547226	160	1	6	0
CA23	Coccidioides immitis	556	149598	27641756	160	0	6	0
CA24	Coccidioides immitis	292	218183	27872728	161	1	6	0
CA25	Coccidioides immitis	352	166206	27335722	162	1	6	1
CA26	Coccidioides immitis	1366	108500	28399469	163	1	7	0
CA27	Coccidioides immitis	413	189875	27691352	164	1	5	0
CA28	Coccidioides immitis	946	135827	27492683	164	0	5	0
CA29	Coccidioides immitis	462	164068	28092421	165	0	6	0
CA3	Coccidioides immitis	313	198524	27697466	166	1	5	0
CA30	Coccidioides immitis	351	167705	27738096	167	1	6	0
CA4	Coccidioides immitis	498	197848	27545276	168	1	6	0
CA5	Coccidioides immitis	354	154222	27751063	169	1	6	0
CA6	Coccidioides immitis	895	234505	28920606	170	1	7	0
CA7	Coccidioides immitis	335	336528	27134766	171	1	6	0
CA8	Coccidioides immitis	479	160742	27893510	172	1	7	0
CA9	Coccidioides immitis	411	170938	27723701	173	1	5	0
CDC-202	Coccidioides immitis	845	72773	27275250	16	0	6	0
CDC-205	Coccidioides immitis	1004	60914	27264899	16	0	6	0
CDC-212	Coccidioides immitis	845	71270	27298994	16	0	6	0
COCPO_103718	Coccidioides posadasii	2240	55222	26510810	174	0	3	0
COCPO_103720	Coccidioides posadasii	1573	71245	26207974	150	0	2	0
COCPO_103721	Coccidioides posadasii	1138	108254	26557773	175	0	3	0
COCPO_103744	Coccidioides posadasii	808	136198	26309815	150	0	2	0
COCPO_103745	Coccidioides posadasii	1658	119468	26587678	174	0	3	0
COCPO_103827	Coccidioides posadasii	1374	128784	25256052	175	0	3	0
COCPO_114029	Coccidioides posadasii	1867	59890	26382302	175	0	4	0
COCPO_114072	Coccidioides posadasii	866	159733	26966240	174	0	3	0
COCPO_175712	Coccidioides posadasii	954	109570	26700627	175	0	3	0
COCPO_175714	Coccidioides posadasii	1244	95114	26139860	150	0	2	0
COCPO_175715	Coccidioides posadasii	1122	159082	26476101	175	1	3	0
COCPO_175716	Coccidioides posadasii	897	113476	27044519	174	0	3	0
COCPO_185672	Coccidioides posadasii	1043	170317	26909279	174	1	3	0
COCPO_195880	Coccidioides posadasii	1311	136236	26376773	175	0	3	0
COCPO_195881	Coccidioides posadasii	3279	13878	25622133	175	0	2	0
COCPO_195884	Coccidioides posadasii	1671	123590	25437862	175	0	3	0
COCPO_34698	Coccidioides posadasii	1037	91300	28409032	5	0	6	0
COCPO_4545	Coccidioides posadasii	817	144483	28281243	5	1	7	0
COCPO_Galgiani	Coccidioides posadasii	154	386945	27855308	176	1	3	1
COCSP-2006	Coccidioides immitis	368	221597	27500120	177	0	5	0
COCSP-3478	Coccidioides posadasii	578	157483	27508006	178	1	2	0
COCSP-3505	Coccidioides immitis	3309	28841	28265310	179	1	6	0
COCSP-8945	Coccidioides immitis	389	175459	28117489	180	1	7	0
COCSP_8725	Coccidioides posadasii	383	156420	27375721	181	1	2	0
Coahuila_1	Coccidioides immitis	957	63400	27804562	182	1	6	0
Coahuila_2	Coccidioides posadasii	405	309820	27494334	183	1	2	0
Cocci_1400035797	Coccidioides posadasii	2090	27636	27248435	152	1	2	0
Colorado_Springs_1	Coccidioides posadasii	393	270584	26991557	184	1	4	0
EMS	Coccidioides posadasii	564	98747	27091687	150	0	2	0
FMC233	Coccidioides posadasii	457	161140	27502234	185	1	3	0
FMC234	Coccidioides posadasii	476	132607	27463311	186	1	2	0
FMC235	Coccidioides posadasii	542	129156	27308190	187	0	4	0
FMC449	Coccidioides posadasii	914	65684	27367015	188	0	4	0
FMC588	Coccidioides posadasii	477	134721	26949535	189	0	2	0
FMC718	Coccidioides posadasii	2086	28807	27417495	190	0	5	0
FMC778	Coccidioides posadasii	2360	58019	30048231	191	1	2	0
GT-002	Coccidioides posadasii	1390	41070	27334864	192	1	3	0
GT-017	Coccidioides posadasii	1662	35416	28036146	193	1	3	0
GT-100	Coccidioides immitis	2845	17194	26775288	194	1	6	0
GT-101	Coccidioides posadasii	503	172901	27261536	195	1	2	0
GT-102	Coccidioides posadasii	433	132096	27483561	196	0	2	0
GT-103	Coccidioides posadasii	410	197964	27562836	197	1	4	0
GT-104	Coccidioides immitis	422	196500	27617041	198	1	8	0
GT-105	Coccidioides immitis	397	219900	27470882	74	1	6	0
GT-106	Coccidioides posadasii	438	231147	27468702	199	1	2	0
GT-107	Coccidioides immitis	396	212896	27956590	200	1	6	0
GT-108	Coccidioides immitis	437	241570	27801985	201	1	6	0
GT-109	Coccidioides immitis	1093	138314	27577951	202	1	5	0
GT-110	Coccidioides posadasii	493	149531	27551451	203	1	3	0
GT-111	Coccidioides immitis	1249	132530	29323258	204	1	7	0
GT-113	Coccidioides immitis	334	187890	27811045	205	0	6	0
GT-114	Coccidioides immitis	384	198938	27759894	205	1	6	0
GT-115	Coccidioides posadasii	496	209975	27512952	206	1	3	0
GT-116	Coccidioides immitis	388	207980	27640875	207	1	4	0
GT-117	Coccidioides immitis	903	159603	27472816	207	0	4	0
GT-118	Coccidioides immitis	1237	120655	27969984	208	1	7	0
GT-119	Coccidioides immitis	422	160533	27867621	209	1	6	0
GT-120	Coccidioides posadasii	548	153119	27930119	210	1	4	0
GT-121	Coccidioides immitis	333	329006	27242842	211	1	7	0
GT-123	Coccidioides immitis	2445	20694	26661381	212	1	6	0
GT-124	Coccidioides posadasii	525	199778	27015159	65	1	3	0
GT-125	Coccidioides immitis	385	196218	27022579	213	1	6	0
GT-126	Coccidioides immitis	914	106579	27190367	214	1	6	0
GT-127	Coccidioides immitis	362	307330	27391496	211	0	7	0
GT-128	Coccidioides immitis	382	231061	28014150	165	1	6	0
GT-129	Coccidioides immitis	2553	19618	26760956	215	1	6	0
GT-130	Coccidioides posadasii	457	185501	26741034	216	1	3	0
GT-131	Coccidioides posadasii	794	157603	27081392	217	1	2	0
GT-132	Coccidioides immitis	377	192374	27820895	218	1	6	0
GT-133	Coccidioides immitis	2734	18387	26831454	219	1	7	0
GT-134	Coccidioides posadasii	440	212251	27037916	220	1	3	0
GT-136	Coccidioides posadasii	422	197122	27535628	221	1	2	1
GT-139	Coccidioides posadasii	2629	19486	26479432	222	1	4	0
GT-140	Coccidioides immitis	606	146393	27642449	223	1	6	0
GT-141	Coccidioides posadasii	661	170020	27042996	224	1	2	0
GT-142	Coccidioides posadasii	591	204654	27446072	225	1	5	0
GT-143	Coccidioides posadasii	950	121976	27321142	226	1	2	0
GT-144	Coccidioides posadasii	409	177385	26853911	227	0	5	0
GT-145	Coccidioides posadasii	1015	119090	26790102	228	1	5	0
GT-146	Coccidioides immitis	440	229126	27508716	229	1	6	0
GT-147	Coccidioides immitis	4070	10126	25720924	230	1	4	0
GT-148	Coccidioides posadasii	918	173799	27166651	231	1	3	0
GT-149	Coccidioides posadasii	509	159284	27014418	227	0	5	0
GT-150	Coccidioides posadasii	730	166264	27339007	232	1	4	0
GT-151	Coccidioides posadasii	828	151783	27395847	233	1	3	0
GT-154	Coccidioides posadasii	521	216638	27383726	234	1	2	0
GT-155	Coccidioides posadasii	2466	20845	26273208	235	1	4	0
GT-156	Coccidioides immitis	1046	121600	27642681	236	1	5	0
GT-157	Coccidioides posadasii	334	174946	26043235	237	1	2	0
GT-158	Coccidioides posadasii	893	131829	26740889	238	1	5	0
GT-159	Coccidioides posadasii	390	173136	27547988	239	1	4	0
GT-160	Coccidioides posadasii	2630	19267	26199673	240	1	3	0
GT-161	Coccidioides posadasii	760	177259	26887930	241	1	4	0
GT-162	Coccidioides posadasii	659	185293	27171018	242	1	4	0
GT-163	Coccidioides immitis	1328	53114	27710450	243	1	6	0
GT-164	Coccidioides posadasii	969	143498	27071607	244	1	2	0
GT-165	Coccidioides posadasii	626	165330	26895569	245	1	2	0
GT-166	Coccidioides posadasii	531	191485	26926901	246	1	2	0
GT-167	Coccidioides immitis	445	182795	27217571	16	1	6	0
GT-168	Coccidioides posadasii	508	180389	26775830	220	0	3	0
GT-169	Coccidioides immitis	1071	124834	27748014	247	1	6	0
GT-171	Coccidioides posadasii	419	179789	26846082	227	1	4	0
Guerrero_1	Coccidioides immitis	406	303825	27529286	248	1	5	1
IL1	Coccidioides posadasii	1040	105036	26991282	249	1	3	0
J_TORRES	Coccidioides posadasii	663	109481	28284731	5	0	6	0
KJH004	Coccidioides posadasii	681	116522	27133102	250	1	3	0
M191	Coccidioides posadasii	359	156642	27277072	251	1	2	0
M195	Coccidioides posadasii	385	199559	27979835	252	1	2	1
M196	Coccidioides posadasii	360	187902	27095263	253	1	2	0
M197	Coccidioides posadasii	463	165025	27688061	254	1	2	1
M198	Coccidioides posadasii	415	160068	27644589	255	0	2	0
M199	Coccidioides posadasii	361	203430	26772287	256	0	2	1
M1_5	Coccidioides posadasii	595	154776	27457319	257	1	2	0
M200	Coccidioides posadasii	376	155638	27223411	258	1	2	0
M201	Coccidioides posadasii	209	287912	26700262	259	1	2	0
M204	Coccidioides immitis	283	262368	27315870	177	1	5	0
M205	Coccidioides posadasii	568	106768	27464671	186	0	2	0
M206	Coccidioides posadasii	661	93697	27578446	188	1	4	0
M207	Coccidioides posadasii	458	150363	27238148	187	1	4	0
M208	Coccidioides posadasii	412	151063	27223406	189	1	3	0
M211	Coccidioides posadasii	377	169724	27392634	190	1	4	0
M213	Coccidioides posadasii	377	190194	26776985	153	1	2	0
M214	Coccidioides posadasii	215	350026	27676112	255	1	2	1
M215	Coccidioides posadasii	221	324766	26874417	256	1	2	0
M219	Coccidioides posadasii	448	150130	27496395	185	0	2	0
M220	Coccidioides posadasii	338	200109	27539095	260	1	3	0
M221	Coccidioides posadasii	175	331063	26458722	261	1	2	0
M222	Coccidioides posadasii	199	372283	27783353	262	1	2	1
M223	Coccidioides posadasii	853	143383	27476560	245	0	2	0
MJS	Coccidioides posadasii	671	77352	26984825	150	0	2	0
Michoacan_1	Coccidioides posadasii	1102	55477	28023002	263	1	3	0
Michoacan_2	Coccidioides immitis	1664	65381	26577189	145	0	5	0
NACVFR_2566	Coccidioides posadasii	1934	34759	28371344	5	0	6	0
NACVFR_4542	Coccidioides posadasii	833	94636	28482804	5	0	7	0
NM_0369	Coccidioides posadasii	569	121873	27679359	264	1	3	0
NM_3006	Coccidioides posadasii	297	208592	26669159	265	1	2	0
NM_4233	Coccidioides posadasii	479	137130	27222281	266	1	2	1
NM_4708	Coccidioides posadasii	390	161216	27441527	267	1	2	0
NM_5945	Coccidioides posadasii	415	148362	27316733	268	1	2	0
NM_9837	Coccidioides posadasii	468	146855	27459679	268	0	2	1
Nuevo_Leon_1	Coccidioides posadasii	1116	53793	27590789	269	1	2	0
Nuevo_Leon_2	Coccidioides posadasii	1030	55799	27670975	270	1	2	0
Phoenix_1	Coccidioides posadasii	396	293393	27497366	271	1	3	0
Phoenix_2	Coccidioides posadasii	257	387755	27066147	272	1	2	0
Phoenix_3	Coccidioides posadasii	331	301880	26990231	273	1	4	0
Phoenix_4	Coccidioides posadasii	363	355393	26751273	274	1	3	0
Phoenix_5	Coccidioides posadasii	327	376525	27477588	275	1	4	0
Phoenix_6	Coccidioides posadasii	468	346021	27567135	276	1	4	0
Phoenix_7	Coccidioides posadasii	380	282201	27280462	277	1	3	0
Phoenix_8	Coccidioides posadasii	390	290588	27049397	278	1	4	0
Phoenix_9	Coccidioides posadasii	414	294636	27364604	279	1	2	0
RS	Coccidioides immitis	463	141890	28553335	280	1	8	0
SA12	Coccidioides posadasii	584	139010	27395047	175	0	3	0
SA14	Coccidioides posadasii	715	135504	28721934	5	0	6	0
SA2	Coccidioides posadasii	543	151738	27538430	281	1	3	0
SDVA1	Coccidioides immitis	239	267517	27680502	282	1	6	0
SDVA10	Coccidioides posadasii	346	189571	26966698	283	1	4	0
SDVA14	Coccidioides posadasii	361	206878	27610727	284	1	5	0
SDVA15	Coccidioides immitis	351	222945	28115163	285	1	7	0
SDVA16	Coccidioides posadasii	307	182915	27517492	286	0	4	0
SDVA17	Coccidioides immitis	297	238679	28221689	287	1	6	0
SDVA2	Coccidioides immitis	381	155108	27673521	288	1	6	0
SDVA20	Coccidioides posadasii	270	233483	27516644	286	1	4	0
SDVA25	Coccidioides posadasii	280	257876	27205387	289	1	3	0
SDVA26	Coccidioides posadasii	318	207316	27731208	290	1	5	0
SDVA27	Coccidioides posadasii	509	125730	27006955	291	1	2	0
SDVA3	Coccidioides immitis	374	176457	28030288	292	1	6	1
SDVA36	Coccidioides immitis	340	213861	28151292	287	0	6	0
SDVA38	Coccidioides immitis	217	301658	26963384	293	1	7	0
SDVA39	Coccidioides immitis	251	338189	28337546	294	1	7	0
SDVA4	Coccidioides immitis	246	238227	27677364	282	0	6	0
SDVA41	Coccidioides immitis	705	95681	29128351	295	1	8	0
SDVA42	Coccidioides posadasii	292	207558	27520821	286	0	4	0
SDVA44	Coccidioides immitis	1286	49068	28562645	280	0	8	0
SDVA45	Coccidioides posadasii	696	91624	27254786	296	0	2	0
SDVA47	Coccidioides posadasii	478	149908	27110801	297	1	4	0
SDVA48	Coccidioides immitis	674	96872	28940751	298	1	8	0
SDVA5	Coccidioides immitis	270	279262	28668532	299	1	7	0
SDVA6	Coccidioides immitis	311	242596	28433421	299	0	7	0
SDVA7	Coccidioides posadasii	277	242998	27489334	300	1	4	0
SDVA8	Coccidioides posadasii	414	177881	27961223	301	1	3	0
SJV_1	Coccidioides immitis	600	225657	27743647	302	1	6	0
SJV_10	Coccidioides immitis	1018	61189	27904800	303	1	7	0
SJV_11	Coccidioides immitis	435	278442	27439629	304	1	6	0
SJV_2	Coccidioides immitis	279	389694	27203012	305	1	6	0
SJV_4	Coccidioides immitis	373	270722	27664556	306	1	5	0
SJV_5	Coccidioides immitis	320	324344	27433734	307	1	6	0
SJV_6	Coccidioides immitis	780	198559	27428566	308	1	6	0
SJV_7	Coccidioides immitis	387	294274	27472516	309	1	6	0
SJV_8	Coccidioides immitis	473	266687	27580341	310	1	6	0
SJV_9	Coccidioides immitis	521	247470	27512304	311	1	6	0
SOIL_407-0_L_OLD_CPA0001	Coccidioides posadasii	2778	18986	27049250	3	0	5	0
SOIL_485B-0_L_OLD_CPA0020	Coccidioides posadasii	965	137008	27410220	6	0	3	0
SOIL_573-2_L_NEW_CPA0035	Coccidioides posadasii	1012	111887	27387928	9	0	3	0
SOIL_574-2_L_NEW_CPA0042	Coccidioides posadasii	554	185815	27334698	9	1	3	0
SOIL_578-1_A_NEW_CPA0048	Coccidioides posadasii	822	141900	27440674	9	0	3	0
SOIL_580-1_L_NEW_CPA0055	Coccidioides posadasii	2894	17147	25944775	11	0	2	0
SOIL_580-2_L_NEW_CPA0060	Coccidioides posadasii	925	142163	27389007	9	0	3	0
SOIL_580-4_L_NEW_CPA0062	Coccidioides posadasii	702	141361	27229403	9	0	2	0
SOIL_604-1_L_OLD_CPA066	Coccidioides posadasii	2883	17110	26236171	312	1	2	0
S_670	Coccidioides posadasii	417	128635	27197754	150	0	2	0
S_671	Coccidioides posadasii	443	125056	27197369	150	0	2	0
S_672	Coccidioides posadasii	725	69637	27034942	150	0	2	0
S_673	Coccidioides posadasii	729	73224	27159054	150	0	2	0
S_674	Coccidioides posadasii	455	117886	27190983	150	0	2	0
S_675	Coccidioides posadasii	1276	43989	27177554	150	0	3	0
S_676	Coccidioides posadasii	447	121631	27184711	150	0	2	0
S_739	Coccidioides posadasii	362	160209	27159836	150	1	2	0
