label	family	rep_models	rep_len	n_members	n_members_hrma_hit	member_model_combos	n_members_PF11001	n_strains_with_member	max_copies_per_strain	n_strains_multicopy	bin	strain_count	frequency	frac_members_hit	Ci_present	Ci_genome_only	Ci_absent	Ci_n	Cp_present	Cp_genome_only	Cp_absent	Cp_n	Ci_frac_any	Cp_frac_any	fisher_p_any	Ci_frac_annot	Cp_frac_annot	fisher_p_annot	bh_q_any	bh_q_annot	Ci_mean_copies	Ci_max_copies	Cp_mean_copies	Cp_max_copies	locus
F18	B15142|CE5AC85_006064-T1	HrmA	62	13	13	HrmA:13	0	13	1	0	cloud	13	0.0977	1.0	13	0	156	169	0	0	360	360	0.0769	0.0	2.609595623142254e-07	0.0769	0.0	2.609595623142254e-07	6.447236245410273e-07	8.43100124399805e-07	1.0	1	0.0	0	L07
F19	B15146|CF83403_004486-T1	HrmA	103	12	12	HrmA:12	0	12	1	0	cloud	10	0.0752	1.0	12	0	157	169	0	0	360	360	0.071	0.0	8.593381765379268e-07	0.071	0.0	8.593381765379268e-07	2.005122411921829e-06	2.5780145296137806e-06	1.0	1	0.0	0	L07
F20	B14298|C71D630_004309-T1	HrmA	225	3	3	HrmA:3	0	3	1	0	soft_core	120	0.9023	1.0	3	151	15	169	0	0	360	360	0.9112	0.0	7.484701073821463e-117	0.0178	0.0	0.0322115963116311	5.239290751675024e-116	0.0751603913938059	1.0	1	0.0	0	L06
F21	B3417|C574D2D_005626-T1	HrmA	145	3	3	HrmA:3	0	3	1	0	singleton	0	0.0	1.0	0	0	169	169	3	0	357	360	0.0	0.0083	0.5548517207746787	0.0	0.0083	0.5548517207746787	0.685405066839309	0.7282428835167658	0.0	0	1.0	1	L05
F22	4545-MICE|CB4077B_003725-T1	HrmA	180	2	2	HrmA:2	0	2	1	0	singleton	0	0.0	1.0	0	0	169	169	2	156	202	360	0.0	0.4389	2.036053296024901e-33	0.0	0.0056	1.0	7.774021675731439e-33	1.0	0.0	0	1.0	1	L13
F23	B3489|CCD713F_001533-T1	HrmA	134	2	2	HrmA:2	0	2	1	0	singleton	0	0.0	1.0	0	0	169	169	2	0	358	360	0.0	0.0056	1.0	0.0	0.0056	1.0	1.0	1.0	0.0	0	1.0	1	L02
F24	GT-111|C5A2EA4_008657-T1	HrmA	62	2	2	HrmA:2	0	2	1	0	cloud	2	0.015	1.0	2	0	167	169	0	0	360	360	0.0118	0.0	0.1016497680013748	0.0118	0.0	0.1016497680013748	0.1707716102423096	0.2246994871609337	1.0	1	0.0	0	L04
F25	UTAH_23742X195|C3F3A6B_006523-T1	HrmA	98	2	2	HrmA:2	0	2	1	0	singleton	0	0.0	1.0	0	0	169	169	2	0	358	360	0.0	0.0056	1.0	0.0	0.0056	1.0	1.0	1.0	0.0	0	1.0	1	L01
F26	4M3|CB16A6A_002786-T1	HrmA	151	1	1	HrmA:1	0	1	1	0	shell	68	0.5113	1.0	1	86	82	169	0	0	360	360	0.5148	0.0	1.847207638483283e-52	0.0059	0.0	0.3194706994328922	7.758272081629787e-52	0.4626817026269474	1.0	1	0.0	0	L20
F27	B11057|CCF9097_002456-T1	HrmA	165	1	1	HrmA:1	0	1	1	0	singleton	1	0.0075	1.0	1	0	168	169	0	136	224	360	0.0059	0.3778	5.141020592447712e-26	0.0059	0.0	0.3194706994328922	1.799357207356699e-25	0.4626817026269474	1.0	1	0.0	0	L03
F28	B15146|CF83403_001699-T1	HrmA	103	1	1	HrmA:1	0	1	1	0	singleton	1	0.0075	1.0	1	0	168	169	0	0	360	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4065990720054992	0.4626817026269474	1.0	1	0.0	0	L06
F29	B3348|C8D1221_008493-T1	HrmA	140	1	1	HrmA:1	0	1	1	0	singleton	0	0.0	1.0	0	0	169	169	1	0	359	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	0.0	0	1.0	1	L21
F30	CA29|CCF2728_004905-T1	HrmA	100	1	1	HrmA:1	0	1	1	0	singleton	0	0.0	1.0	1	0	168	169	0	0	360	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4065990720054992	0.4626817026269474	1.0	1	0.0	0	L07
F31	COCSP-8945|C2B0656_003994-T1	HrmA	90	1	1	HrmA:1	0	1	1	0	singleton	1	0.0075	1.0	1	0	168	169	0	0	360	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4065990720054992	0.4626817026269474	1.0	1	0.0	0	L22
F32	GT-118|C574A51_008475-T1	HrmA	154	1	1	HrmA:1	0	1	1	0	singleton	1	0.0075	1.0	1	0	168	169	0	0	360	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4065990720054992	0.4626817026269474	1.0	1	0.0	0	L05
F33	RS|C3CED3A_008636-T1	HrmA	202	1	1	HrmA:1	0	1	1	0	cloud	2	0.015	1.0	1	1	167	169	0	0	360	360	0.0118	0.0	0.1016497680013748	0.0059	0.0	0.3194706994328922	0.1707716102423096	0.4626817026269474	1.0	1	0.0	0	L23
F34	SDVA14|C979C11_006396-T1	HrmA	71	1	1	HrmA:1	0	1	1	0	singleton	0	0.0	1.0	0	0	169	169	1	0	359	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	0.0	0	1.0	1	L05
F35	SDVA14|C979C11_007553-T1	HrmA	126	1	1	HrmA:1	0	1	1	0	singleton	0	0.0	1.0	0	0	169	169	1	0	359	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	0.0	0	1.0	1	L02
F36	SJV_2|CEBEDBD_008473-T1	HrmA	62	1	1	HrmA:1	0	1	1	0	singleton	1	0.0075	1.0	1	0	168	169	0	0	360	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4065990720054992	0.4626817026269474	1.0	1	0.0	0	L07
F37	S_675|CD889B5_008191-T1	HrmA	53	1	1	HrmA:1	0	1	1	0	singleton	0	0.0	1.0	0	0	169	169	1	0	359	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	0.0	0	1.0	1	L03
F38	UTAH_23742X170|C9AA314_008204-T1	HrmA	90	1	1	HrmA:1	0	1	1	0	singleton	1	0.0075	1.0	1	0	168	169	0	0	360	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4065990720054992	0.4626817026269474	1.0	1	0.0	0	L24
F39	M199|C82F880_004216-T1	HrmA_N	290	7	7	HrmA_N:7	0	7	1	0	cloud	2	0.015	1.0	3	0	166	169	4	5	351	360	0.0178	0.025	0.7600375240989554	0.0178	0.0111	0.685272104350142	0.9120450289187464	0.8721644964456352	1.0	1	1.0	1	L16
F40	730332_Guatemala|C45F23D_000045-T1	HrmA_N	186	3	3	HrmA_N:3	0	3	1	0	singleton	0	0.0	1.0	0	0	169	169	3	1	356	360	0.0	0.0111	0.3116845365590723	0.0	0.0083	0.5548517207746787	0.4065990720054992	0.7282428835167658	0.0	0	1.0	1	L17
F41	B3313|CDF0487_002293-T1	HrmA_N	366	3	3	HrmA_N:3	0	3	1	0	singleton	0	0.0	1.0	0	0	169	169	3	10	347	360	0.0	0.0361	0.0121301204674931	0.0	0.0083	0.5548517207746787	0.0221506547667266	0.7282428835167658	0.0	0	1.0	1	L18
F42	730333_Guatemala|C537722_008849-T1	HrmA_middle	427	2	2	HrmA_middle:2	0	2	1	0	shell	20	0.1504	1.0	0	23	146	169	2	102	256	360	0.1361	0.2889	0.0001188401446586	0.0	0.0056	1.0	0.0002495643037832	1.0	0.0	0	1.0	1	L19
