label	family	island_n_strains	example_strain	island_size	n_supporting_pairs	classifications	locus_id	locus_contig	locus_start	locus_end	pfam_domains
F42	730333_Guatemala|C537722_008849-T1	1	B3409	44	58	ambiguous_linkage,unexplained_physical	B3409:scaffold_10:188001-277652	scaffold_10	188001	277652	APH,Alpha_kinase,BTB,BTB_2,Chromo,DUF3723,DUF3723_N,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	SDVA39	44	375	ambiguous_linkage,unexplained_physical	SDVA39:scaffold_58:44073-133668	scaffold_58	44073	133668	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,BTB_2,DUF3435,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	SDVA6	44	374	ambiguous_linkage,unexplained_physical	SDVA6:scaffold_8:295357-472620	scaffold_8	295357	472620	AFUB_07903_YDR124W_hel,APH,Alpha_kinase,BTB,DUF3435,DUF3723,DUF3723_N,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	UTAH_350355	44	65	ambiguous_linkage,unexplained_physical	UTAH_350355:scaffold_17:32006-154256	scaffold_17	32006	154256	APH,BTB,BTB_2,Chromo,DUF3435,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	M198	43	87	ambiguous_linkage,unexplained_physical	M198:scaffold_99:198-83128	scaffold_99	198	83128	ABC_membrane,ABC_tran,APH,BTB,Glyco_tranf_2_3,Glycos_transf_2,HrmA_middle,Laminin_I,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,RsgA_GTPase,SPOK2_N,Shootin,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	M198	43	87	ambiguous_linkage,unexplained_physical	M198:scaffold_99:198-83128	scaffold_99	198	83128	ABC_membrane,ABC_tran,APH,BTB,Glyco_tranf_2_3,Glycos_transf_2,HrmA_middle,Laminin_I,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,RsgA_GTPase,SPOK2_N,Shootin,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	SDVA5	43	329	ambiguous_linkage,unexplained_physical	SDVA5:scaffold_67:44144-133709	scaffold_67	44144	133709	AFUB_07903_YDR124W_hel,APH,Alpha_kinase,BTB,BTB_2,Chromo,DUF3435,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	UTAH_23742X38	43	54	ambiguous_linkage,unexplained_physical	UTAH_23742X38:scaffold_3:155138-301039	scaffold_3	155138	301039	APH,BTB,BTB_2,DUF4100,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	SDVA36	40	346	ambiguous_linkage,unexplained_physical	SDVA36:scaffold_33:78963-228249	scaffold_33	78963	228249	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,DUF3723,DUF3723_N,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	COCSP-8945	39	256	ambiguous_linkage,unexplained_physical	COCSP-8945:scaffold_16:24930-196978	scaffold_16	24930	196978	Alpha_kinase,BTB,DUF3435,DUF3723,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F41	B3313|CDF0487_002293-T1	1	M222	39	2	ambiguous_linkage,unexplained_physical	M222:scaffold_57:209-58211	scaffold_57	209	58211	AAA,ABC_membrane,ABC_tran,BCS1_N,DUF3723,DUF3723_N,DUF7924,EST1_DNA_bind,FKBP_C,Glyco_tranf_2_3,Pkinase_fungal,RasGEF,RsgA_GTPase
F42	730333_Guatemala|C537722_008849-T1	1	SDVA48	39	347	ambiguous_linkage,unexplained_physical	SDVA48:scaffold_31:16780-159093	scaffold_31	16780	159093	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	578-1_L_NEW_CPA0049	38	68	ambiguous_linkage,unexplained_physical	578-1_L_NEW_CPA0049:scaffold_3:17131-111534	scaffold_3	17131	111534	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F39	M199|C82F880_004216-T1	1	B16339	38	8	ambiguous_linkage,unexplained_physical	B16339:scaffold_67:1383-74953	scaffold_67	1383	74953	AAA,Aminotran_1_2,Aminotran_5,BCS1_N,Cys_Met_Meta_PP,DUF3723,DUF7924,EST1_DNA_bind,FAD_binding_8,FKBP_C,Ferric_reduct,HrmA_N,NAD_binding_6,Patatin,Pkinase_fungal,RasGEF,zf_Tbcl_3,zf_Tbcl_4
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	B3313	38	50	ambiguous_linkage,unexplained_physical	B3313:scaffold_16:50498-140149	scaffold_16	50498	140149	APH,BTB,BTB_2,Chromo,DUF3723,DUF3723_N,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3313	38	50	ambiguous_linkage,unexplained_physical	B3313:scaffold_16:50498-140149	scaffold_16	50498	140149	APH,BTB,BTB_2,Chromo,DUF3723,DUF3723_N,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3374	38	111	ambiguous_linkage,unexplained_physical	B3374:scaffold_39:47513-219194	scaffold_39	47513	219194	AFUB_07903_YDR124W_hel,BTB,DUF3435,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	CA5	38	331	ambiguous_linkage,unexplained_physical	CA5:scaffold_50:7939-158562	scaffold_50	7939	158562	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,DUF6540,ERAP1_C,HrmA_middle,PK_Tyr_Ser-Thr,Peptidase_M1,Peptidase_M1_N,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	M205	38	60	ambiguous_linkage,unexplained_physical	M205:scaffold_51:32249-134276	scaffold_51	32249	134276	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	B3491	37	62	ambiguous_linkage,unexplained_physical	B3491:scaffold_28:50537-140188	scaffold_28	50537	140188	APH,BTB,BTB_2,Chromo,DUF3435,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	RS	37	340	ambiguous_linkage,unexplained_physical	RS:scaffold_118:21708-87086	scaffold_118	21708	87086	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	578-1_A_NEW_CPA0048	36	70	ambiguous_linkage,unexplained_physical	578-1_A_NEW_CPA0048:scaffold_31:116966-211373	scaffold_31	116966	211373	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	582-1_L_NEW_CPA0064	36	43	ambiguous_linkage,unexplained_physical	582-1_L_NEW_CPA0064:scaffold_68:12744-117067	scaffold_68	12744	117067	APH,BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	B16293	36	61	ambiguous_linkage,unexplained_physical	B16293:scaffold_9:113308-207786	scaffold_9	113308	207786	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	M195	36	57	ambiguous_linkage,unexplained_physical	-	-	-	-	BTB,DUF3723,DUF3723_N,DUF7924,DnaJ,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,SPOK2_N,Zn_clus,zf-C2H2,zf-Di19
F42	730333_Guatemala|C537722_008849-T1	1	B3345	35	52	ambiguous_linkage,unexplained_physical	B3345:scaffold_4:117120-211545	scaffold_4	117120	211545	Aminotran_1_2,Aminotran_5,BTB,BTB_2,Cys_Met_Meta_PP,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3352	35	74	ambiguous_linkage,unexplained_physical	B3352:scaffold_8:128054-201028	scaffold_8	128054	201028	BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3236	34	70	ambiguous_linkage,unexplained_physical	B3236:scaffold_4:205534-300595	scaffold_4	205534	300595	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	SDVA17	34	304	ambiguous_linkage,unexplained_physical	SDVA17:scaffold_36:10431-159717	scaffold_36	10431	159717	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	SDVA26	34	117	ambiguous_linkage,unexplained_physical	SDVA26:scaffold_17:81814-179262	scaffold_17	81814	179262	APH,BTB,DUF3435,DUF4100,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	SDVA38	34	146	ambiguous_linkage,unexplained_physical	SDVA38:scaffold_4:63713-137397	scaffold_4	63713	137397	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,SRF-TF,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	5SD	33	146	ambiguous_linkage,unexplained_physical	5SD:scaffold_2:84490-158442	scaffold_2	84490	158442	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	B3203	33	43	ambiguous_linkage,unexplained_physical	B3203:scaffold_7:241532-315415	scaffold_7	241532	315415	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3292	33	24	ambiguous_linkage,unexplained_physical	B3292:scaffold_11:32861-136668	scaffold_11	32861	136668	APH,Alpha_kinase,BTB,BTB_2,HrmA_middle,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	COCSP_8725	33	157	ambiguous_linkage,unexplained_physical	COCSP_8725:scaffold_124:1014-71680	scaffold_124	1014	71680	AFUB_07903_YDR124W_hel,BTB,BTB_2,DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	SDVA44	33	260	ambiguous_linkage,unexplained_physical	SDVA44:scaffold_52:947-66271	scaffold_52	947	66271	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	Tucson_4	33	43	ambiguous_linkage,unexplained_physical	Tucson_4:scaffold_52:23789-118314	scaffold_52	23789	118314	Alpha_kinase,BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B11300	32	38	ambiguous_linkage,unexplained_physical	B11300:scaffold_1:771961-845838	scaffold_1	771961	845838	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B14130	32	43	ambiguous_linkage,unexplained_physical	B14130:scaffold_36:79099-151722	scaffold_36	79099	151722	BTB,BTB_2,DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3353	32	51	ambiguous_linkage,unexplained_physical	B3353:scaffold_46:39614-160691	scaffold_46	39614	160691	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X242	32	201	ambiguous_linkage,unexplained_physical	UTAH_23742X242:scaffold_18:87335-179412	scaffold_18	87335	179412	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,SRF-TF,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	573-1_L_NEW_CPA0031	31	52	ambiguous_linkage,unexplained_physical	573-1_L_NEW_CPA0031:scaffold_91:847-80628	scaffold_91	847	80628	BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	B11877	31	59	ambiguous_linkage,unexplained_physical	B11877:scaffold_16:59084-153597	scaffold_16	59084	153597	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3244	31	84	ambiguous_linkage,unexplained_physical	B3244:scaffold_18:173520-349135	scaffold_18	173520	349135	AFUB_07903_YDR124W_hel,BTB,DUF3435,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F39	M199|C82F880_004216-T1	1	M199	31	1	unexplained_physical	M199:scaffold_44:146445-203222	scaffold_44	146445	203222	AAA,ABC_membrane,ABC_tran,BCS1_N,DUF3723,DUF7924,EST1_DNA_bind,FKBP_C,Glyco_tranf_2_3,HrmA_N,Pkinase_fungal,RasGEF,RsgA_GTPase,zf_Tbcl_3,zf_Tbcl_4
F09	5SD|CCCC1E1_000093-T1	1	RS	31	201	ambiguous_linkage,unexplained_physical	RS:scaffold_11:129538-221229	scaffold_11	129538	221229	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	SDVA15	31	200	ambiguous_linkage,unexplained_physical	SDVA15:scaffold_5:10518-161193	scaffold_5	10518	161193	AFUB_07903_YDR124W_hel,Alpha_kinase,BTB,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	SDVA41	31	187	ambiguous_linkage,unexplained_physical	SDVA41:scaffold_5:124944-216779	scaffold_5	124944	216779	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,SRF-TF,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	SDVA48	31	200	ambiguous_linkage,unexplained_physical	SDVA48:scaffold_11:83455-175271	scaffold_11	83455	175271	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	485B-0_S_OLD_CPA0021	30	67	ambiguous_linkage,unexplained_physical	485B-0_S_OLD_CPA0021:scaffold_68:21536-118009	scaffold_68	21536	118009	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B14134	30	57	ambiguous_linkage,unexplained_physical	B14134:scaffold_25:23476-110929	scaffold_25	23476	110929	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F39	M199|C82F880_004216-T1	1	COCPO_Galgiani	30	1	unexplained_physical	COCPO_Galgiani:scaffold_12:339861-406906	scaffold_12	339861	406906	BCS1_N,DUF3723,DUF3723_N,EST1_DNA_bind,HrmA_N,zf_Tbcl_3,zf_Tbcl_4
F42	730333_Guatemala|C537722_008849-T1	1	Coahuila_2	30	149	ambiguous_linkage,unexplained_physical	Coahuila_2:scaffold_63:50128-113134	scaffold_63	50128	113134	APH,Alpha_kinase,BTB,DUF3723,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus,zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	GT-136	30	116	ambiguous_linkage,unexplained_physical	GT-136:scaffold_5:367131-425360	scaffold_5	367131	425360	APH,BTB,DUF3723,DUF3723_N,DUF6540,DUF7924,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus,zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3
F39	M199|C82F880_004216-T1	1	573-1_L_NEW_CPA0031	29	3	ambiguous_linkage,unexplained_physical	573-1_L_NEW_CPA0031:scaffold_31:195813-234392	scaffold_31	195813	234392	AAA,APH,BCS1_N,DUF3723,DUF3723_N,DUF7924,EST1_DNA_bind,HrmA_N,Pkinase,zf_Tbcl_3,zf_Tbcl_4
F41	B3313|CDF0487_002293-T1	1	573-1_L_NEW_CPA0031	29	3	ambiguous_linkage,unexplained_physical	573-1_L_NEW_CPA0031:scaffold_31:195813-234392	scaffold_31	195813	234392	AAA,APH,BCS1_N,DUF3723,DUF3723_N,DUF7924,EST1_DNA_bind,HrmA_N,Pkinase,zf_Tbcl_3,zf_Tbcl_4
F42	730333_Guatemala|C537722_008849-T1	1	574-1_L_NEW_CPA0040	29	47	ambiguous_linkage,unexplained_physical	574-1_L_NEW_CPA0040:scaffold_119:231-45676	scaffold_119	231	45676	BTB,BTB_2,DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	B3335	29	99	ambiguous_linkage,unexplained_physical	B3335:scaffold_20:10006-108455	scaffold_20	10006	108455	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3398	29	107	ambiguous_linkage,unexplained_physical	B3398:scaffold_13:296042-391375	scaffold_13	296042	391375	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,Kdo,Kinase-like,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	409B-0_L_OLD_CPA0011	28	21	ambiguous_linkage,unexplained_physical	409B-0_L_OLD_CPA0011:scaffold_91:1814-57146	scaffold_91	1814	57146	HrmA_middle,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	B3256	28	40	ambiguous_linkage,unexplained_physical	B3256:scaffold_88:5547-79465	scaffold_88	5547	79465	DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	B3482	28	12	ambiguous_linkage,unexplained_physical	B3482:scaffold_38:38709-159315	scaffold_38	38709	159315	APH,Alpha_kinase,BTB,BTB_2,DUF3723,HrmA_middle,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	Tucson_13	28	24	ambiguous_linkage,unexplained_physical	Tucson_13:scaffold_41:116972-191262	scaffold_41	116972	191262	Alpha_kinase,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
