label	anchor_family	neighbour_family	frac_anchors	n_anchors	median_offset	bin	strain_count_Ci	pfam
F20	B14298|C71D630_004309-T1	B11035|C5FC1D8_001376-T1	1.0	3	-3.0	shell	105	
F20	B14298|C71D630_004309-T1	B3420|C3D0FEC_006561-T1	1.0	3	-6.0	shell	80	
F20	B14298|C71D630_004309-T1	5SD|CCCC1E1_000195-T1	1.0	3	4.0	core	133	ApoO
F20	B14298|C71D630_004309-T1	B12495|C0ACC3F_005939-T1	1.0	3	-10.0	core	133	FMO-like,NAD_binding_8,Pyr_redox_3
F20	B14298|C71D630_004309-T1	5SD|CCCC1E1_000193-T1	1.0	3	2.0	core	133	
F18	B15142|CE5AC85_006064-T1	578-1_L_NEW_CPA0049|C79DB71_007033-T1	1.0	13	1.0	core	128	
F18	B15142|CE5AC85_006064-T1	Beeville|C6949CF_003418-T1	1.0	13	-1.0	core	131	
F18	B15142|CE5AC85_006064-T1	B3353|C210CF2_002931-T1	0.923	12	2.0	core	131	GHMP_kinases_C,GHMP_kinases_N
F18	B15142|CE5AC85_006064-T1	Michoacan_2|C26AA88_004336-T1	0.923	12	4.0	core	133	PALP
F18	B15142|CE5AC85_006064-T1	GT-164|C437F43_007100-T1	0.923	12	8.0	core	130	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
F18	B15142|CE5AC85_006064-T1	578-1_L_NEW_CPA0049|C79DB71_007037-T1	0.923	12	5.0	core	130	Anticodon_3,tRNA-synt_1,tRNA-synt_1g
F18	B15142|CE5AC85_006064-T1	578-1_L_NEW_CPA0049|C79DB71_007038-T1	0.923	12	6.0	core	132	NTF2
F18	B15142|CE5AC85_006064-T1	578-1_L_NEW_CPA0049|C79DB71_007039-T1	0.923	12	7.0	core	133	Ribosomal_L38e
F28	B15146|CF83403_001699-T1	578-1_L_NEW_CPA0049|C79DB71_005561-T1	1.0	1	-7.0	core	133	Pr_beta_C,Proteasome
F28	B15146|CF83403_001699-T1	578-1_L_NEW_CPA0049|C79DB71_005562-T1	1.0	1	-6.0	core	133	
F28	B15146|CF83403_001699-T1	578-1_L_NEW_CPA0049|C79DB71_005571-T1	1.0	1	7.0	core	133	DUF3591
F28	B15146|CF83403_001699-T1	5SD|CCCC1E1_000190-T1	1.0	1	-1.0	core	133	
F28	B15146|CF83403_001699-T1	B11035|C5FC1D8_001376-T1	1.0	1	-3.0	shell	105	
F28	B15146|CF83403_001699-T1	B3420|C3D0FEC_006561-T1	1.0	1	-5.0	shell	80	
F28	B15146|CF83403_001699-T1	B10918|C0D9C49_008173-T1	1.0	1	8.0	core	131	PK_Tyr_Ser-Thr,Pkinase
F28	B15146|CF83403_001699-T1	5SD|CCCC1E1_000195-T1	1.0	1	4.0	core	133	ApoO
F19	B15146|CF83403_004486-T1	Beeville|C6949CF_003418-T1	1.0	12	1.0	core	131	
F19	B15146|CF83403_004486-T1	B3353|C210CF2_002931-T1	0.917	11	-2.0	core	131	GHMP_kinases_C,GHMP_kinases_N
F19	B15146|CF83403_004486-T1	578-1_L_NEW_CPA0049|C79DB71_007033-T1	0.917	11	-1.0	core	128	
F19	B15146|CF83403_004486-T1	5SD|CCCC1E1_002065-T1	0.917	11	2.0	shell	81	CHAT,TPR_10
F19	B15146|CF83403_004486-T1	Michoacan_2|C26AA88_004336-T1	0.833	10	-4.0	core	133	PALP
F19	B15146|CF83403_004486-T1	GT-164|C437F43_007100-T1	0.833	10	-8.0	core	130	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
F19	B15146|CF83403_004486-T1	578-1_L_NEW_CPA0049|C79DB71_007037-T1	0.833	10	-5.0	core	130	Anticodon_3,tRNA-synt_1,tRNA-synt_1g
F19	B15146|CF83403_004486-T1	578-1_L_NEW_CPA0049|C79DB71_007038-T1	0.833	10	-6.0	core	132	NTF2
F41	B3313|CDF0487_002293-T1	730332_Guatemala|C45F23D_004777-T1	1.0	3	-3.0	cloud	3	DUF7924
F41	B3313|CDF0487_002293-T1	B1249_Guatemala|C40D72F_005800-T1	1.0	3	-4.0	cloud	3	BCS1_N
F41	B3313|CDF0487_002293-T1	Tucson_8|CCBD0CE_006636-T1	1.0	3	-6.0	singleton	1	
F41	B3313|CDF0487_002293-T1	GT-106|C4E1ADA_008267-T1	1.0	3	-2.0	cloud	3	
F41	B3313|CDF0487_002293-T1	730332_Guatemala|C45F23D_004775-T1	1.0	3	-5.0	cloud	3	AAA
F41	B3313|CDF0487_002293-T1	B3313|CDF0487_002301-T1	1.0	3	-7.0	singleton	0	
F41	B3313|CDF0487_002293-T1	B12471|CD39253_005446-T1	1.0	3	-8.0	singleton	0	
F41	B3313|CDF0487_002293-T1	730332_Guatemala|C45F23D_001938-T1	1.0	3	1.0	cloud	3	
F15	B3314|CBC6125_000776-T1	COCPO_175714|C2600DC_006763-T1	1.0	18	-7.0	core	133	
F15	B3314|CBC6125_000776-T1	578-1_L_NEW_CPA0049|C79DB71_007160-T1	1.0	18	-8.0	core	133	APG12,ATG8
F15	B3314|CBC6125_000776-T1	M191|C1F3852_004709-T1	1.0	18	-6.0	cloud	9	
F15	B3314|CBC6125_000776-T1	578-1_L_NEW_CPA0049|C79DB71_007163-T1	1.0	18	-5.0	core	133	Mito_carr
F15	B3314|CBC6125_000776-T1	578-1_L_NEW_CPA0049|C79DB71_007164-T1	1.0	18	-4.0	core	132	
F15	B3314|CBC6125_000776-T1	578-1_L_NEW_CPA0049|C79DB71_007165-T1	0.944	17	-3.0	core	128	
F15	B3314|CBC6125_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000005-T1	0.833	15	5.0	core	133	HSP70,MreB_Mbl
F15	B3314|CBC6125_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000003-T1	0.833	15	3.0	core	131	Glyoxalase
F17	B3353|C210CF2_008619-T1	M195|C2FDFE7_006018-T1	0.357	5	1.0	singleton	0	
F17	B3353|C210CF2_008619-T1	B16293|C591B16_003559-T1	0.143	2	-0.5	core	128	ABC_membrane,ABC_tran
F17	B3353|C210CF2_008619-T1	578-1_L_NEW_CPA0049|C79DB71_007075-T1	0.143	2	-4.5	core	129	F420_oxidored,NAD_binding_11,NAD_binding_2
F17	B3353|C210CF2_008619-T1	B3301|C251A4F_000235-T1	0.143	2	-6.5	core	129	CENP-S
F17	B3353|C210CF2_008619-T1	578-1_L_NEW_CPA0049|C79DB71_007072-T1	0.143	2	-7.5	core	129	PGA2
F17	B3353|C210CF2_008619-T1	B13534|C8E24F7_001507-T1	0.143	2	-8.5	core	129	
F17	B3353|C210CF2_008619-T1	409B-0_L_OLD_CPA0011|C90261E_007649-T1	0.143	2	-5.5	core	129	Beta-prop_RSE1_1st,Beta-prop_RSE1_2nd,CPSF_A
F17	B3353|C210CF2_008619-T1	B3203|C5B81D8_008597-T1	0.071	1	1.0	singleton	0	
F21	B3417|C574D2D_005626-T1	5SD|CCCC1E1_003560-T1	1.0	3	2.0	core	133	
F21	B3417|C574D2D_005626-T1	4SD|C8AA998_007437-T1	1.0	3	1.0	core	133	APH
F21	B3417|C574D2D_005626-T1	B3417|C574D2D_005634-T1	0.667	2	0.0	cloud	4	ABC_tran
F21	B3417|C574D2D_005626-T1	SDVA10|CE292C0_006089-T1	0.667	2	0.0	singleton	0	
F21	B3417|C574D2D_005626-T1	B11199|C018C7F_001444-T1	0.667	2	-0.5	singleton	0	SPOK2_N
F21	B3417|C574D2D_005626-T1	578-1_L_NEW_CPA0049|C79DB71_007396-T1	0.667	2	-0.5	core	133	Acetyltransf_1
F21	B3417|C574D2D_005626-T1	B3491|C53B4A4_005950-T1	0.667	2	0.0	singleton	0	GloB_C
F21	B3417|C574D2D_005626-T1	574-0_S_OLD_CPA0039|C27CBD2_008082-T1	0.667	2	-0.5	soft_core	126	
F23	B3489|CCD713F_001533-T1	UTAH_9443|C5C7054_003931-T1	1.0	2	0.0	core	132	BTRD1
F23	B3489|CCD713F_001533-T1	UTAH_23742X123|CF07388_000410-T1	1.0	2	0.0	core	131	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase
F23	B3489|CCD713F_001533-T1	B14135|CD69CCA_003448-T1	1.0	2	0.0	core	130	APH
F23	B3489|CCD713F_001533-T1	578-1_L_NEW_CPA0049|C79DB71_006720-T1	1.0	2	0.0	core	132	Acetyltransf_1,Acetyltransf_10,Acetyltransf_3,Acetyltransf_7,FR47
F23	B3489|CCD713F_001533-T1	5SD|CCCC1E1_001707-T1	1.0	2	0.5	core	130	7tm_2
F23	B3489|CCD713F_001533-T1	578-1_L_NEW_CPA0049|C79DB71_006724-T1	1.0	2	0.0	shell	36	
F23	B3489|CCD713F_001533-T1	IL1|C81A900_006269-T1	1.0	2	0.0	soft_core	126	DEAD,Helicase_C,PIN-like_DDX60,ResIII,WHD_DDX60
F23	B3489|CCD713F_001533-T1	578-1_L_NEW_CPA0049|C79DB71_008059-T1	1.0	2	0.5	singleton	0	
F30	CA29|CCF2728_004905-T1	B3353|C210CF2_002931-T1	1.0	1	-2.0	core	131	GHMP_kinases_C,GHMP_kinases_N
F30	CA29|CCF2728_004905-T1	578-1_L_NEW_CPA0049|C79DB71_007039-T1	1.0	1	-7.0	core	133	Ribosomal_L38e
F30	CA29|CCF2728_004905-T1	B3203|C5B81D8_006984-T1	1.0	1	3.0	shell	117	
F30	CA29|CCF2728_004905-T1	Michoacan_2|C26AA88_004336-T1	1.0	1	-4.0	core	133	PALP
F30	CA29|CCF2728_004905-T1	578-1_L_NEW_CPA0049|C79DB71_007037-T1	1.0	1	-5.0	core	130	Anticodon_3,tRNA-synt_1,tRNA-synt_1g
F30	CA29|CCF2728_004905-T1	SJV_6|C9A977F_008070-T1	1.0	1	-9.0	core	133	
F30	CA29|CCF2728_004905-T1	GT-164|C437F43_007100-T1	1.0	1	-8.0	core	130	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
F30	CA29|CCF2728_004905-T1	SDVA1|C29BC70_007465-T1	1.0	1	4.0	shell	50	
F13	CA2|CD8B963_008506-T1	574-0_S_OLD_CPA0039|C27CBD2_008340-T1	0.892	33	1.0	core	133	APH
F13	CA2|CD8B963_008506-T1	5SD|CCCC1E1_001541-T1	0.027	1	-1.0	core	132	DEAD,Helicase_C,ResIII
F13	CA2|CD8B963_008506-T1	5SD|CCCC1E1_008299-T1	0.027	1	-8.0	core	132	Oxidored_q6
F13	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_005528-T1	0.027	1	-3.0	core	133	REPA_OB_2,Rep-A_N,Rep_fac-A_C,tRNA_anti-codon
F13	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_005522-T1	0.027	1	-10.0	core	133	NifU_N
F13	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_005525-T1	0.027	1	-6.0	core	133	Med14,Med14_fung
F13	CA2|CD8B963_008506-T1	M215|C5CE257_007439-T1	0.027	1	-7.0	core	133	DWNN,RBBP6_link,zf-CCHC_2
F13	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_005526-T1	0.027	1	-5.0	core	133	DNA_pol_E_B,OB_POLE2
F31	COCSP-8945|C2B0656_003994-T1	578-1_L_NEW_CPA0049|C79DB71_008161-T1	1.0	1	-6.0	core	133	THF_DHG_CYH,THF_DHG_CYH_C
F31	COCSP-8945|C2B0656_003994-T1	5SD|CCCC1E1_006841-T1	1.0	1	1.0	shell	114	APH
F31	COCSP-8945|C2B0656_003994-T1	578-1_A_NEW_CPA0048|CD3293D_003438-T1	1.0	1	-9.0	core	133	
F31	COCSP-8945|C2B0656_003994-T1	578-1_L_NEW_CPA0049|C79DB71_008163-T1	1.0	1	-8.0	core	133	EMC3_TMCO1
F31	COCSP-8945|C2B0656_003994-T1	578-1_L_NEW_CPA0049|C79DB71_008157-T1	1.0	1	-2.0	core	133	RRM_1
F31	COCSP-8945|C2B0656_003994-T1	578-1_L_NEW_CPA0049|C79DB71_008158-T1	1.0	1	-3.0	core	133	S1,SHS2_Rpb7-N
F31	COCSP-8945|C2B0656_003994-T1	B10813_Texas|CFDA6A7_002483-T1	1.0	1	2.0	cloud	16	
