family_a	family_b	classification	linkage_fraction	jaccard	fisher_p	fdr_q	permutation_p	direction_a	clade_composition	asymmetry_a	direction_a_freq	hrmA_family	partner	label	partner_label	partner_bin	partner_pfam	partner_frac_anchors_within10
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006123-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006123-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006124-T1	insufficient_data	0.0	0.4444	4.06e-05	0.0184	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006124-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006129-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006129-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006130-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006130-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006132-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006132-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006134-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006134-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006135-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006135-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006275-T1	ambiguous_linkage	0.4444	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006275-T1	F01		cloud	ABC_tran	0.182
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006277-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006277-T1	F01		cloud	AFUB_07903_YDR124W_hel	0.182
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006283-T1	unexplained_physical	1.0	0.7143	6.53e-08	9.1e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006283-T1	F01		cloud	Pkinase,Pkinase_fungal	0.727
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006284-T1	unexplained_physical	0.9474	0.4444	4.06e-05	0.0184	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006284-T1	F01		cloud		0.727
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_008204-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_008204-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_008536-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_008536-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_008537-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_008537-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA25|C4385CC_007770-T1	trans_unconfirmed	0.0	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA25|C4385CC_007770-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	COCPO_34698|C69E555_008617-T1	trans_unconfirmed	0.0	0.625	3.87e-07	0.000413	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	COCPO_34698|C69E555_008617-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-106|C4E1ADA_008569-T1	trans_unconfirmed	0.0	0.625	3.87e-07	0.000413	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-106|C4E1ADA_008569-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-118|C574A51_004264-T1	trans_unconfirmed	0.0	0.5833	6.37e-09	1.22e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-118|C574A51_004264-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-139|CB29A3D_006564-T1	unexplained_physical	1.0	0.2917	2.78e-06	0.00214	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-139|CB29A3D_006564-T1	F01		shell		0.909
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-171|C28DABA_008035-T1	unexplained_physical	0.9048	0.5556	1.34e-06	0.00117	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-171|C28DABA_008035-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	Guerrero_1|C3F11B8_008641-T1	trans_unconfirmed	0.0	0.6364	2.65e-09	5.75e-06	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	Guerrero_1|C3F11B8_008641-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	M208|C87E077_002542-T1	trans_unconfirmed	0.0	0.625	3.87e-07	0.000413	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	M208|C87E077_002542-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	NACVFR_4542|CCCEDD3_008438-T1	trans_unconfirmed	0.0	0.5455	2.09e-07	0.000244	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	NACVFR_4542|CCCEDD3_008438-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	SDVA10|CE292C0_008138-T1	ambiguous_linkage	0.1111	0.4118	1.56e-07	0.000192	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	SDVA10|CE292C0_008138-T1	F01		cloud	zf-C3HC4	0.091
574-0_S_OLD_CPA0039|C27CBD2_008003-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.283	0.000149	0.0494	0.0001	ambiguous	{'Coccidioides immitis': 48}	0.8361	ambiguous	730333_Guatemala|C537722_008849-T1	574-0_S_OLD_CPA0039|C27CBD2_008003-T1	F42		shell		0.0
574-0_S_OLD_CPA0039|C27CBD2_008003-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.3559	9.61e-05	0.0354	0.0001	ambiguous	{'Coccidioides immitis': 48}	0.8361	ambiguous	CA2|CD8B963_008506-T1	574-0_S_OLD_CPA0039|C27CBD2_008003-T1	F13		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_000424-T1	730333_Guatemala|C537722_008849-T1	unexplained_physical	0.9643	0.7917	3.56e-18	3.4e-14	0.0	ambiguous	{'Coccidioides immitis': 23}	0.2722	ambiguous	730333_Guatemala|C537722_008849-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1	F42		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_000424-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.3415	3.06e-05	0.0148	0.0	ambiguous	{'Coccidioides immitis': 23}	0.2722	ambiguous	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1	F13		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_000433-T1	730333_Guatemala|C537722_008849-T1	unexplained_physical	0.8103	0.7917	3.56e-18	3.4e-14	0.0	ambiguous	{'Coccidioides immitis': 23}	0.3417	ambiguous	730333_Guatemala|C537722_008849-T1	578-1_L_NEW_CPA0049|C79DB71_000433-T1	F42		shell	PK_Tyr_Ser-Thr,Pkinase	0.0
578-1_L_NEW_CPA0049|C79DB71_000433-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.375	3.46e-06	0.00258	0.0	ambiguous	{'Coccidioides immitis': 23}	0.3417	ambiguous	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_000433-T1	F13		shell	PK_Tyr_Ser-Thr,Pkinase	0.0
578-1_L_NEW_CPA0049|C79DB71_000434-T1	730333_Guatemala|C537722_008849-T1	unexplained_physical	0.7009	0.75	1.64e-16	1.32e-12	0.0	ambiguous	{'Coccidioides immitis': 22}	0.3083	ambiguous	730333_Guatemala|C537722_008849-T1	578-1_L_NEW_CPA0049|C79DB71_000434-T1	F42		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_000434-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.35	1.41e-05	0.00803	0.0	ambiguous	{'Coccidioides immitis': 22}	0.3083	ambiguous	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_000434-T1	F13		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_000801-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.2424	4.01e-05	0.0183	0.0	ambiguous	{'Coccidioides immitis': 9}	0.9639	loss	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_000801-T1	F13		cloud		0.0
578-1_L_NEW_CPA0049|C79DB71_006448-T1	5SD|CCCC1E1_000093-T1	ambiguous_linkage	0.434	0.3636	8.12e-05	0.0313	0.0001	ambiguous	{'Coccidioides immitis': 5}	0.9889	loss	5SD|CCCC1E1_000093-T1	578-1_L_NEW_CPA0049|C79DB71_006448-T1	F09		cloud		0.491
578-1_L_NEW_CPA0049|C79DB71_007026-T1	GT-146|CDEB87D_007880-T1	ambiguous_linkage	0.3909	0.708	1.9e-05	0.0102	0.0	ambiguous	{'Coccidioides immitis': 92}	0.8333	ambiguous	GT-146|CDEB87D_007880-T1	578-1_L_NEW_CPA0049|C79DB71_007026-T1	F08		shell	PS-DH	0.393
