Short	n_telomeric_ends
B3284	4
B3286	5
B3290	0
B3291	2
B3292	2
B3301	3
B3310	2
B3313	1
B3314	3
B3315	5
B3326	0
B3335	6
B3341	3
B3344	4
B3345	2
B3347	2
B3348	0
B3352	2
B3353	1
B3358	0
B3359	2
B3368	4
B3374	3
B3375	2
B3382	4
B3391	1
B3395	5
B3398	0
B3409	3
B3411	2
B3413	5
B3417	3
B3420	1
B3439	5
B3440	6
B3453	1
B3457	2
B3476	0
B3482	2
B3489	6
B3491	6
B3492	4
B5773_Brazil	0
BFF340	2
Beeville	1
C735-TKO	0
CA1	0
CA14	0
CA15	0
CA17	0
CA2	0
CA20	0
CA22	0
CA23	1
CA24	0
CA25	1
CA26	0
CA27	0
CA28	0
CA29	0
CA3	1
CA30	1
CA4	0
CA5	0
CA6	0
CA7	1
CA8	0
CA9	0
CDC-202	0
CDC-205	0
CDC-212	1
COCPO_103718	0
COCPO_103720	0
COCPO_103721	0
COCPO_103744	0
COCPO_103745	0
COCPO_103827	0
COCPO_114029	0
COCPO_114072	0
COCPO_175712	1
COCPO_175714	0
COCPO_175715	0
COCPO_175716	0
COCPO_185672	0
COCPO_195880	1
COCPO_195881	0
COCPO_195884	0
COCPO_34698	0
COCPO_4545	0
COCPO_Galgiani	0
COCSP-2006	0
COCSP-3478	0
COCSP-3505	0
COCSP-8945	0
COCSP_8725	0
Coahuila_1	2
Coahuila_2	0
Cocci_1400035797	0
Colorado_Springs_1	0
EMS	5
FMC233	0
FMC234	1
FMC235	0
FMC449	3
FMC588	0
FMC718	0
FMC778	2
GT-002	0
GT-017	2
GT-100	0
GT-101	1
GT-102	0
GT-103	1
GT-104	0
GT-105	1
GT-106	1
GT-107	0
GT-108	0
GT-109	2
GT-110	0
GT-111	0
GT-113	0
GT-114	0
GT-115	0
GT-116	2
GT-117	1
GT-118	0
GT-119	1
GT-120	0
GT-121	0
GT-123	0
GT-124	2
GT-125	0
GT-126	0
GT-127	0
GT-128	0
GT-129	0
GT-130	0
GT-131	1
GT-132	0
GT-133	0
GT-134	0
GT-136	1
GT-139	0
GT-140	0
GT-141	0
GT-142	0
GT-143	0
GT-144	0
GT-145	0
GT-146	0
GT-147	0
GT-148	1
GT-149	0
GT-150	2
GT-151	0
GT-154	0
GT-155	0
GT-156	0
GT-157	0
GT-158	0
GT-159	2
GT-160	0
GT-161	0
GT-162	1
GT-163	0
GT-164	0
GT-165	0
GT-166	1
GT-167	0
GT-168	0
GT-169	1
GT-171	0
Guerrero_1	1
IL1	0
J_TORRES	1
KJH004	0
M191	0
M195	0
M196	0
M197	0
M198	0
M199	0
M1_5	0
M200	0
M201	0
M204	1
M205	1
M206	1
M207	0
M208	0
M211	0
M213	0
M214	0
M215	0
M219	0
M220	0
M221	0
M222	0
M223	0
MJS	4
Michoacan_1	1
Michoacan_2	0
NACVFR_2566	0
NACVFR_4542	0
NM_0369	0
NM_3006	0
NM_4233	0
NM_4708	1
NM_5945	0
NM_9837	0
Nuevo_Leon_1	2
Nuevo_Leon_2	2
Phoenix_1	0
Phoenix_2	2
Phoenix_3	0
Phoenix_4	2
Phoenix_5	2
Phoenix_6	0
Phoenix_7	0
Phoenix_8	1
Phoenix_9	0
RS	2
SA12	0
SA14	2
SA2	1
SDVA1	0
SDVA10	1
SDVA14	0
SDVA15	1
SDVA16	0
SDVA17	1
SDVA2	2
SDVA20	1
SDVA25	1
SDVA26	1
SDVA27	0
SDVA3	1
SDVA36	1
SDVA38	0
SDVA39	0
SDVA4	0
SDVA41	0
SDVA42	0
SDVA44	2
SDVA45	0
SDVA47	0
SDVA48	0
SDVA5	1
SDVA6	1
SDVA7	0
SDVA8	0
SJV_1	0
SJV_10	1
SJV_11	1
SJV_2	0
SJV_4	1
SJV_5	0
SJV_6	0
SJV_7	0
SJV_8	0
SJV_9	1
SOIL_407-0_L_OLD_CPA0001	0
SOIL_485B-0_L_OLD_CPA0020	0
SOIL_573-2_L_NEW_CPA0035	0
SOIL_574-2_L_NEW_CPA0042	0
SOIL_578-1_A_NEW_CPA0048	0
SOIL_580-1_L_NEW_CPA0055	0
SOIL_580-2_L_NEW_CPA0060	0
SOIL_580-4_L_NEW_CPA0062	0
SOIL_604-1_L_OLD_CPA066	0
S_670	3
S_671	3
S_672	3
S_673	7
S_674	5
S_675	4
S_676	5
S_739	5
S_740	5
S_741	6
S_742	4
San_Antonio_1	1
San_Diego_1	2
Sonora_1	0
Sonora_2	0
TX1	1
TX11	0
TX12	0
TX14	0
TX17	2
TX2	0
TX3	2
TX4	1
TX5	1
TX6	0
TX8	0
TX9	0
Tucson_1	0
Tucson_10	0
Tucson_11	0
Tucson_12	1
Tucson_13	0
Tucson_14	0
Tucson_15	0
Tucson_16	0
Tucson_17	3
Tucson_18	0
Tucson_19	0
Tucson_2	0
Tucson_20	1
Tucson_21	0
Tucson_22	1
Tucson_23	0
Tucson_24	0
Tucson_3	3
Tucson_4	4
Tucson_5	0
Tucson_6	0
Tucson_7	0
Tucson_8	0
Tucson_9	2
UCSF_10AZ	1
UCSF_3490AZ	0
UCSF_5AZ	3
UCSF_9AZ	7
UCSF_Cp_Silveira	1
UTAH_20380X1	5
UTAH_20380X10	5
UTAH_20380X16	8
UTAH_20380X2	2
UTAH_20380X5	3
UTAH_23742X111	3
UTAH_23742X12	6
UTAH_23742X123	2
UTAH_23742X138	3
UTAH_23742X144	7
UTAH_23742X153	5
UTAH_23742X160	2
UTAH_23742X162	4
UTAH_23742X163	7
UTAH_23742X165	6
UTAH_23742X168	7
UTAH_23742X170	5
UTAH_23742X18	6
UTAH_23742X189	2
UTAH_23742X19	7
UTAH_23742X195	3
UTAH_23742X199	4
UTAH_23742X205	2
UTAH_23742X206	1
UTAH_23742X208	4
UTAH_23742X209	5
UTAH_23742X211	5
UTAH_23742X214	3
UTAH_23742X223	3
UTAH_23742X225	2
UTAH_23742X227	3
UTAH_23742X235	3
UTAH_23742X241	2
UTAH_23742X242	3
UTAH_23742X246	6
UTAH_23742X253	6
UTAH_23742X255	2
UTAH_23742X257	6
UTAH_23742X260	6
UTAH_23742X31	6
UTAH_23742X38	7
UTAH_23742X40	5
UTAH_23742X44	8
UTAH_23742X51	3
UTAH_23742X6	5
UTAH_23742X7	6
UTAH_23742X71	3
UTAH_23742X83	6
UTAH_23742X84	6
UTAH_31331	3
UTAH_350355	0
UTAH_9443	0
UTAH_9737	0
VFC043	0
VFC052	0
VFC083	2
VFC084_CPA0067	0
VFC085_CPA0068	0
VFC087	0
VFC088	1
VFC090	0
VFC091	0
VFC092	0
VFC093	0
WA31	0
WA_211	0
WA_221	0
Washington_1	1
h5384	0
