Short	hac6_gene	genes_to_nearest_hrmA	hrmA_label	bp_to_nearest_hrmA
COCPO_175712	COCPO_175712|C8DED30_006062-T1	15	F09	37878
COCPO_175715	COCPO_175715|C41446C_007228-T1	15	F09	37394
COCPO_175716	COCPO_175716|CF325A9_006872-T1	14	F09	37920
COCPO_185672	COCPO_185672|C8C6138_005565-T1	15	F09	38117
COCPO_4545	COCPO_4545|C8A5046_007487-T1	15	F09	37478
COCPO_Galgiani	COCPO_Galgiani|CF9E767_002303-T1	15	F09	37922
COCSP-2006	COCSP-2006|C8A091E_000022-T1	174	F06	512502
Colorado_Springs_1	Colorado_Springs_1|C7EBB41_007841-T1	15	F09	38102
GT-017	GT-017|CFB3BA1_000118-T1	16	F09	37920
GT-110	GT-110|C640910_005686-T1	15	F09	37351
GT-144	GT-144|C904920_001432-T1	50	F03	141189
J_TORRES	J_TORRES|C4D46D2_002082-T1	15	F09	37534
M206	M206|C0BC399_002273-T1	15	F09	37794
M211	M211|CBC9D59_002209-T1	14	F09	37394
NACVFR_4542	NACVFR_4542|CCCEDD3_002649-T1	15	F09	37962
Phoenix_3	Phoenix_3|CBCE13E_005022-T1	14	F09	37457
Phoenix_8	Phoenix_8|CF27C0B_007606-T1	14	F09	38116
RS	RS|C3CED3A_001329-T1	17	F09	37384
SA12	SA12|CFC3208_004149-T1	16	F09	37439
SA14	SA14|C329EDE_006385-T1	14	F09	37735
SA2	SA2|C79B40C_004592-T1	16	F09	37844
SDVA14	SDVA14|C979C11_006401-T1	5	F34	21574
SDVA16	SDVA16|C8C953C_000834-T1	16	F09	37476
SDVA20	SDVA20|C001139_000160-T1	15	F09	37756
SDVA26	SDVA26|C155182_002156-T1	16	F09	37393
SDVA38	SDVA38|CE6DD8A_000559-T1	18	F09	37812
SDVA41	SDVA41|C3A076D_000362-T1	16	F09	37910
SDVA42	SDVA42|C8631F9_003863-T1	16	F09	37918
SDVA44	SDVA44|CA3B123_000465-T1	17	F09	37910
SDVA48	SDVA48|C651373_000858-T1	18	F09	37384
SDVA7	SDVA7|C59F9C3_001304-T1	15	F09	37394
SOIL_574-2_L_NEW_CPA0042	SOIL_574-2_L_NEW_CPA0042|C6930E8_000153-T1	34	F02	89705
SOIL_580-2_L_NEW_CPA0060	SOIL_580-2_L_NEW_CPA0060|CB4CF9D_000481-T1	33	F02	93243
Sonora_1	Sonora_1|C27DCDE_007760-T1	14	F09	37341
TX4	TX4|CBED712_000937-T1	15	F09	37919
Tucson_11	Tucson_11|CACA1A7_007226-T1	15	F09	37440
Tucson_14	Tucson_14|CBC5942_006840-T1	15	F09	38092
Tucson_2	Tucson_2|C17EB43_006483-T1	15	F09	37984
Tucson_20	Tucson_20|C33007F_007869-T1	14	F09	37878
Tucson_24	Tucson_24|C55FEA8_003485-T1	13	F09	37143
Tucson_3	Tucson_3|C06DFB4_007720-T1	15	F09	37464
Tucson_6	Tucson_6|C963A1A_007769-T1	15	F09	37909
Tucson_7	Tucson_7|CF9B415_001168-T1	15	F09	37920
UTAH_20380X10	UTAH_20380X10|CE3D476_005314-T1	8	F06	27079
UTAH_20380X2	UTAH_20380X2|C1F2C98_006874-T1	15	F09	37624
UTAH_23742X163	UTAH_23742X163|C743B9F_005670-T1	15	F09	40003
UTAH_23742X165	UTAH_23742X165|CD81EC9_006009-T1	15	F09	39723
UTAH_23742X19	UTAH_23742X19|C3C7630_001819-T1	15	F09	37776
UTAH_23742X209	UTAH_23742X209|C79CE6E_004098-T1	14	F09	37650
UTAH_23742X242	UTAH_23742X242|C99E88C_002908-T1	17	F09	37636
UTAH_23742X38	UTAH_23742X38|CD23EB4_000238-T1	15	F09	37724
UTAH_23742X40	UTAH_23742X40|CD549F8_005408-T1	16	F09	37687
UTAH_23742X83	UTAH_23742X83|CCC3ED1_004119-T1	15	F09	38213
UTAH_23742X84	UTAH_23742X84|C8152C6_004959-T1	16	F09	38213
UTAH_9443	UTAH_9443|C5C7054_003037-T1	14	F09	37886
VFC085_CPA0068	VFC085_CPA0068|CB235D1_005165-T1	15	F09	37500
