protein_id	UHM125bin22	UHM102bin47	UHM145bin33	UHM145bin17	UHM125bin48	UHM145bin28	UHM17bin35	UHM18bin40	UHM20bin40	UHM20bin12	UHM22bin50	UHM22bin54	UHM40bin4	UHM22bin8	UHM56bin19	UHM43bin53	UHM72bin19	UHM40bin27
WP_010434180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_010434197.1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1
WP_014228560.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_014229869.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_014838137.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_014838138.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_016807944.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_016808558.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0
WP_016809373.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_016809591.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
WP_016809795.1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_017145564.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_017145566.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_017145567.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_017145579.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_017145681.1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_017145752.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_017146041.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0
WP_017146252.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_017146253.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_023321787.1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_023321789.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_023329110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_024273613.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_024274580.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_024274583.1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1
WP_024274769.1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
WP_029669831.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_031280382.1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_032694446.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_032726314.1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_032750791.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_032755286.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_039077579.1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1
WP_040198488.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_041146201.1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_045901527.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_046876929.1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1
WP_049105839.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_049250231.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_049250631.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_049591397.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_049591461.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_049593661.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_049593708.1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_064344011.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_064355152.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_064355305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_064355339.1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_064398226.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_064402549.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_070555515.1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_071530280.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_071530297.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_071532068.1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
WP_071892919.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_072060470.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_074180173.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_074188039.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_075210876.1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
WP_077260121.1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1
WP_077777854.1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0
WP_085206095.1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1
WP_085903200.1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1
WP_085955747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_086070839.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_094298907.1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1
WP_094963546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_100181659.1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0
WP_100214958.1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1
WP_100214974.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_100248259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_101836827.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_101836956.1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0
WP_105890577.1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0
WP_115239595.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_123829769.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_123830269.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_125286552.1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0
WP_125286601.1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_126488869.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_127074472.1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_127074592.1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0
WP_127472328.1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
WP_133497458.1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1
WP_133497731.1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_133497794.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_133497795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_133497811.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_133497893.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_133497902.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_135800347.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_139025212.1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
WP_142447463.1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_142447486.1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_142447802.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142447804.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142447817.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_142447834.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142447835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142447862.1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_142447896.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142448439.1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
WP_142448450.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_142476007.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142476008.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_142476009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_148412558.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_148720832.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_153675267.1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0
WP_153675460.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_156529725.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_157776755.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_158414345.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_162098317.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_162556690.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_163466674.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_166643866.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_172796152.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_181554189.1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0
WP_182205046.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_187145448.1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_189089601.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_194687638.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_200780172.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_202030529.1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
WP_206998786.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_210669600.1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_219620557.1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0
WP_224226336.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_224226357.1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1
WP_224226457.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_224226720.1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1
WP_224324036.1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1
WP_227626952.1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0
WP_251009858.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_257020572.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WP_257787381.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0
WP_259425828.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0
WP_259425830.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_263442077.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0
WP_289154416.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_289154442.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_289154519.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_289158838.1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
WP_289158851.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_289170688.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_306344562.1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WP_349817343.1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
WP_354647768.1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1
WP_370798676.1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1
WP_418268721.1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
WP_418268728.1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1
WP_418268746.1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1
WP_418268749.1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1
WP_418278119.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_418278323.1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
WP_418278710.1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1
WP_423987836.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_432648800.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_434063321.1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
WP_440287737.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_447542966.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_447542979.1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
WP_447542981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_447542985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_447542988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
