Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Asfu_C180s1,Aspergillus fumigatus,C-1-80s-1,INGROUP,,ncbi,GCA_020500115.1,746128,ncbi,GCA_020500115.1,,
Asfu_C140s1,Aspergillus fumigatus,C-1-40s-1,INGROUP,,ncbi,GCA_020500165.1,746128,ncbi,GCA_020500165.1,,
Asfu_NRZ2018313,Aspergillus fumigatus,NRZ-2018-313,INGROUP,,ncbi,GCA_020500185.1,746128,ncbi,GCA_020500185.1,,
Asfu_D22s3,Aspergillus fumigatus,D-2-2s-3,INGROUP,,ncbi,GCA_020500195.1,746128,ncbi,GCA_020500195.1,,
Asfu_NRZ2018326,Aspergillus fumigatus,NRZ-2018-326,INGROUP,,ncbi,GCA_020500205.1,746128,ncbi,GCA_020500205.1,,
Asfu_NRZ2017339,Aspergillus fumigatus,NRZ-2017-339,INGROUP,,ncbi,GCA_020500215.1,746128,ncbi,GCA_020500215.1,,
Asfu_NRZ2018307,Aspergillus fumigatus,NRZ-2018-307,INGROUP,,ncbi,GCA_020500235.1,746128,ncbi,GCA_020500235.1,,
Asfu_NRZ2018290,Aspergillus fumigatus,NRZ-2018-290,INGROUP,,ncbi,GCA_020500275.1,746128,ncbi,GCA_020500275.1,,
Asfu_NRZ2016032,Aspergillus fumigatus,NRZ-2016-032,INGROUP,,ncbi,GCA_020500285.1,746128,ncbi,GCA_020500285.1,,
Asfu_NRZ2018300,Aspergillus fumigatus,NRZ-2018-300,INGROUP,,ncbi,GCA_020500295.1,746128,ncbi,GCA_020500295.1,,
Asfu_NRZ2018286,Aspergillus fumigatus,NRZ-2018-286,INGROUP,,ncbi,GCA_020500305.1,746128,ncbi,GCA_020500305.1,,
Asfu_NRZ2018272,Aspergillus fumigatus,NRZ-2018-272,INGROUP,,ncbi,GCA_020500355.1,746128,ncbi,GCA_020500355.1,,
Asfu_NRZ2018281,Aspergillus fumigatus,NRZ-2018-281,INGROUP,,ncbi,GCA_020500365.1,746128,ncbi,GCA_020500365.1,,
Asfu_NRZ2018236,Aspergillus fumigatus,NRZ-2018-236,INGROUP,,ncbi,GCA_020500385.1,746128,ncbi,GCA_020500385.1,,
Asfu_NRZ2018146,Aspergillus fumigatus,NRZ-2018-146,INGROUP,,ncbi,GCA_020500395.1,746128,ncbi,GCA_020500395.1,,
Asfu_NRZ2018123,Aspergillus fumigatus,NRZ-2018-123,INGROUP,,ncbi,GCA_020500445.1,746128,ncbi,GCA_020500445.1,,
Asfu_NRZ2017101,Aspergillus fumigatus,NRZ-2017-101,INGROUP,,ncbi,GCA_020500455.1,746128,ncbi,GCA_020500455.1,,
Asfu_NRZ2018043,Aspergillus fumigatus,NRZ-2018-043,INGROUP,,ncbi,GCA_020500465.1,746128,ncbi,GCA_020500465.1,,
Asfu_NRZ2018097,Aspergillus fumigatus,NRZ-2018-097,INGROUP,,ncbi,GCA_020500475.1,746128,ncbi,GCA_020500475.1,,
Asfu_NRZ2017546,Aspergillus fumigatus,NRZ-2017-546,INGROUP,,ncbi,GCA_020500485.1,746128,ncbi,GCA_020500485.1,,
Asfu_NRZ2017537,Aspergillus fumigatus,NRZ-2017-537,INGROUP,,ncbi,GCA_020500535.1,746128,ncbi,GCA_020500535.1,,
Asfu_NRZ2017534,Aspergillus fumigatus,NRZ-2017-534,INGROUP,,ncbi,GCA_020500545.1,746128,ncbi,GCA_020500545.1,,
Asfu_NRZ2017508,Aspergillus fumigatus,NRZ-2017-508,INGROUP,,ncbi,GCA_020500555.1,746128,ncbi,GCA_020500555.1,,
Asfu_NRZ2017434,Aspergillus fumigatus,NRZ-2017-434,INGROUP,,ncbi,GCA_020500565.1,746128,ncbi,GCA_020500565.1,,
Asfu_NRZ2017381,Aspergillus fumigatus,NRZ-2017-381,INGROUP,,ncbi,GCA_020500595.1,746128,ncbi,GCA_020500595.1,,
Asfu_NRZ2017362,Aspergillus fumigatus,NRZ-2017-362,INGROUP,,ncbi,GCA_020500605.1,746128,ncbi,GCA_020500605.1,,
Asfu_NRZ2017346,Aspergillus fumigatus,NRZ-2017-346,INGROUP,,ncbi,GCA_020500645.1,746128,ncbi,GCA_020500645.1,,
Asfu_NRZ2017322,Aspergillus fumigatus,NRZ-2017-322,INGROUP,,ncbi,GCA_020500655.1,746128,ncbi,GCA_020500655.1,,
Asfu_NRZ2017283,Aspergillus fumigatus,NRZ-2017-283,INGROUP,,ncbi,GCA_020500685.1,746128,ncbi,GCA_020500685.1,,
Asfu_NRZ2017282,Aspergillus fumigatus,NRZ-2017-282,INGROUP,,ncbi,GCA_020500695.1,746128,ncbi,GCA_020500695.1,,
Asfu_NRZ2014065,Aspergillus fumigatus,NRZ-2014-065,INGROUP,,ncbi,GCA_020500705.1,746128,ncbi,GCA_020500705.1,,
Asfu_NRZ2015218,Aspergillus fumigatus,NRZ-2015-218,INGROUP,,ncbi,GCA_020500765.1,746128,ncbi,GCA_020500765.1,,
Asfu_NRZ2017214,Aspergillus fumigatus,NRZ-2017-214,INGROUP,,ncbi,GCA_020500775.1,746128,ncbi,GCA_020500775.1,,
Asfu_NRZ2017195,Aspergillus fumigatus,NRZ-2017-195,INGROUP,,ncbi,GCA_020500785.1,746128,ncbi,GCA_020500785.1,,
Asfu_NRZ2017134,Aspergillus fumigatus,NRZ-2017-134,INGROUP,,ncbi,GCA_020500805.1,746128,ncbi,GCA_020500805.1,,
Asfu_NRZ2017115,Aspergillus fumigatus,NRZ-2017-115,INGROUP,,ncbi,GCA_020500815.1,746128,ncbi,GCA_020500815.1,,
Asfu_NRZ2017096,Aspergillus fumigatus,NRZ-2017-096,INGROUP,,ncbi,GCA_020500845.1,746128,ncbi,GCA_020500845.1,,
Asfu_NRZ2017069,Aspergillus fumigatus,NRZ-2017-069,INGROUP,,ncbi,GCA_020500865.1,746128,ncbi,GCA_020500865.1,,
Asfu_NRZ2017076,Aspergillus fumigatus,NRZ-2017-076,INGROUP,,ncbi,GCA_020500875.1,746128,ncbi,GCA_020500875.1,,
Asfu_NRZ2017040,Aspergillus fumigatus,NRZ-2017-040,INGROUP,,ncbi,GCA_020500905.1,746128,ncbi,GCA_020500905.1,,
Asfu_NRZ2017039,Aspergillus fumigatus,NRZ-2017-039,INGROUP,,ncbi,GCA_020500935.1,746128,ncbi,GCA_020500935.1,,
Asfu_D215L2,Aspergillus fumigatus,D-2-15L-2,INGROUP,,ncbi,GCA_020500945.1,746128,ncbi,GCA_020500945.1,,
Asfu_C177s2,Aspergillus fumigatus,C-1-77s-2,INGROUP,,ncbi,GCA_020500965.1,746128,ncbi,GCA_020500965.1,,
Asfu_B1465,Aspergillus fumigatus,B-1-46-5,INGROUP,,ncbi,GCA_020500975.1,746128,ncbi,GCA_020500975.1,,
Asfu_A243L2,Aspergillus fumigatus,A-2-43L-2,INGROUP,,ncbi,GCA_020500995.1,746128,ncbi,GCA_020500995.1,,
Asfu_D248L1,Aspergillus fumigatus,D-2-48L-1,INGROUP,,ncbi,GCA_020501005.1,746128,ncbi,GCA_020501005.1,,
Asfu_D243s1,Aspergillus fumigatus,D-2-43s-1,INGROUP,,ncbi,GCA_020501045.1,746128,ncbi,GCA_020501045.1,,
Asfu_D250s1,Aspergillus fumigatus,D-2-50s-1,INGROUP,,ncbi,GCA_020501075.1,746128,ncbi,GCA_020501075.1,,
Asfu_A245L5,Aspergillus fumigatus,A-2-45L-5,INGROUP,,ncbi,GCA_020501095.1,746128,ncbi,GCA_020501095.1,,
Asfu_D249L2,Aspergillus fumigatus,D-2-49L-2,INGROUP,,ncbi,GCA_020501105.1,746128,ncbi,GCA_020501105.1,,
Asfu_F1391,Aspergillus fumigatus,F-1-39-1,INGROUP,,ncbi,GCA_020501115.1,746128,ncbi,GCA_020501115.1,,
Asfu_A244L2,Aspergillus fumigatus,A-2-44L-2,INGROUP,,ncbi,GCA_020501135.1,746128,ncbi,GCA_020501135.1,,
Asfu_A235L1,Aspergillus fumigatus,A-2-35L-1,INGROUP,,ncbi,GCA_020501145.1,746128,ncbi,GCA_020501145.1,,
Asfu_F1422,Aspergillus fumigatus,F-1-42-2,INGROUP,,ncbi,GCA_020501175.1,746128,ncbi,GCA_020501175.1,,
Asfu_D247L2,Aspergillus fumigatus,D-2-47L-2,INGROUP,,ncbi,GCA_020501185.1,746128,ncbi,GCA_020501185.1,,
Asfu_A234L2,Aspergillus fumigatus,A-2-34L-2,INGROUP,,ncbi,GCA_020501235.1,746128,ncbi,GCA_020501235.1,,
Asfu_C134s1,Aspergillus fumigatus,C-1-34s-1,INGROUP,,ncbi,GCA_020501245.1,746128,ncbi,GCA_020501245.1,,
Asfu_E167s1,Aspergillus fumigatus,E-1-67s-1,INGROUP,,ncbi,GCA_020501255.1,746128,ncbi,GCA_020501255.1,,
Asfu_C199L2,Aspergillus fumigatus,C-1-99L-2,INGROUP,,ncbi,GCA_020501265.1,746128,ncbi,GCA_020501265.1,,
Asfu_C169s1,Aspergillus fumigatus,C-1-69s-1,INGROUP,,ncbi,GCA_020501325.1,746128,ncbi,GCA_020501325.1,,
Asfu_A330s2,Aspergillus fumigatus,A-3-30s-2,INGROUP,,ncbi,GCA_020501335.1,746128,ncbi,GCA_020501335.1,,
Asfu_A337s1,Aspergillus fumigatus,A-3-37s-1,INGROUP,,ncbi,GCA_020501345.1,746128,ncbi,GCA_020501345.1,,
Asfu_C194L2,Aspergillus fumigatus,C-1-94L-2,INGROUP,,ncbi,GCA_020501355.1,746128,ncbi,GCA_020501355.1,,
Asfu_C167s1,Aspergillus fumigatus,C-1-67s-1,INGROUP,,ncbi,GCA_020501375.1,746128,ncbi,GCA_020501375.1,,
Asfu_A249L5,Aspergillus fumigatus,A-2-49L-5,INGROUP,,ncbi,GCA_020501405.1,746128,ncbi,GCA_020501405.1,,
Asfu_E166s1,Aspergillus fumigatus,E-1-66s-1,INGROUP,,ncbi,GCA_020501425.1,746128,ncbi,GCA_020501425.1,,
Asfu_C1491,Aspergillus fumigatus,C-1-49-1,INGROUP,,ncbi,GCA_020501445.1,746128,ncbi,GCA_020501445.1,,
Asfu_A249L2,Aspergillus fumigatus,A-2-49L-2,INGROUP,,ncbi,GCA_020501465.1,746128,ncbi,GCA_020501465.1,,
Asfu_L3243,Aspergillus fumigatus,L-3-24-3,INGROUP,,ncbi,GCA_020501475.1,746128,ncbi,GCA_020501475.1,,
Asfu_L3112,Aspergillus fumigatus,L-3-11-2,INGROUP,,ncbi,GCA_020501495.1,746128,ncbi,GCA_020501495.1,,
Asfu_L3222,Aspergillus fumigatus,L-3-22-2,INGROUP,,ncbi,GCA_020501535.1,746128,ncbi,GCA_020501535.1,,
Asfu_L371,Aspergillus fumigatus,L-3-7-1,INGROUP,,ncbi,GCA_020501545.1,746128,ncbi,GCA_020501545.1,,
Asfu_L3241,Aspergillus fumigatus,L-3-24-1,INGROUP,,ncbi,GCA_020501555.1,746128,ncbi,GCA_020501555.1,,
Asfu_L3132,Aspergillus fumigatus,L-3-13-2,INGROUP,,ncbi,GCA_020501575.1,746128,ncbi,GCA_020501575.1,,
Asfu_L3131,Aspergillus fumigatus,L-3-13-1,INGROUP,,ncbi,GCA_020501605.1,746128,ncbi,GCA_020501605.1,,
Asfu_L3111,Aspergillus fumigatus,L-3-11-1,INGROUP,,ncbi,GCA_020501615.1,746128,ncbi,GCA_020501615.1,,
Asfu_L3152,Aspergillus fumigatus,L-3-15-2,INGROUP,,ncbi,GCA_020501635.1,746128,ncbi,GCA_020501635.1,,
Asfu_L3213,Aspergillus fumigatus,L-3-21-3,INGROUP,,ncbi,GCA_020501645.1,746128,ncbi,GCA_020501645.1,,
Asfu_L3211,Aspergillus fumigatus,L-3-21-1,INGROUP,,ncbi,GCA_020501695.1,746128,ncbi,GCA_020501695.1,,
Asfu_G231,Aspergillus fumigatus,G-2-3-1,INGROUP,,ncbi,GCA_020501705.1,746128,ncbi,GCA_020501705.1,,
Asfu_G292,Aspergillus fumigatus,G-2-9-2,INGROUP,,ncbi,GCA_020501715.1,746128,ncbi,GCA_020501715.1,,
Asfu_G252,Aspergillus fumigatus,G-2-5-2,INGROUP,,ncbi,GCA_020501735.1,746128,ncbi,GCA_020501735.1,,
Asfu_G2141,Aspergillus fumigatus,G-2-14-1,INGROUP,,ncbi,GCA_020501765.1,746128,ncbi,GCA_020501765.1,,
Asfu_G212,Aspergillus fumigatus,G-2-1-2,INGROUP,,ncbi,GCA_020501785.1,746128,ncbi,GCA_020501785.1,,
Asfu_G261,Aspergillus fumigatus,G-2-6-1,INGROUP,,ncbi,GCA_020501805.1,746128,ncbi,GCA_020501805.1,,
Asfu_G2224,Aspergillus fumigatus,G-2-22-4,INGROUP,,ncbi,GCA_020501815.1,746128,ncbi,GCA_020501815.1,,
Asfu_C190L1,Aspergillus fumigatus,C-1-90L-1,INGROUP,,ncbi,GCA_020501835.1,746128,ncbi,GCA_020501835.1,,
Asfu_H1261,Aspergillus fumigatus,H-1-26-1,INGROUP,,ncbi,GCA_020501875.1,746128,ncbi,GCA_020501875.1,,
Asfu_F1141,Aspergillus fumigatus,F-1-14-1,INGROUP,,ncbi,GCA_020501885.1,746128,ncbi,GCA_020501885.1,,
Asfu_C124L3,Aspergillus fumigatus,C-1-24L-3,INGROUP,,ncbi,GCA_020501895.1,746128,ncbi,GCA_020501895.1,,
Asfu_I1493,Aspergillus fumigatus,I-1-49-3,INGROUP,,ncbi,GCA_020501905.1,746128,ncbi,GCA_020501905.1,,
Asfu_I1483,Aspergillus fumigatus,I-1-48-3,INGROUP,,ncbi,GCA_020501935.1,746128,ncbi,GCA_020501935.1,,
Asfu_H1233,Aspergillus fumigatus,H-1-23-3,INGROUP,,ncbi,GCA_020501985.1,746128,ncbi,GCA_020501985.1,,
Asfu_H1106,Aspergillus fumigatus,H-1-10-6,INGROUP,,ncbi,GCA_020501995.1,746128,ncbi,GCA_020501995.1,,
Asfu_C166L3,Aspergillus fumigatus,C-1-66L-3,INGROUP,,ncbi,GCA_020502005.1,746128,ncbi,GCA_020502005.1,,
Asfu_H112,Aspergillus fumigatus,H-1-1-2,INGROUP,,ncbi,GCA_020502025.1,746128,ncbi,GCA_020502025.1,,
Asfu_C166L2,Aspergillus fumigatus,C-1-66L-2,INGROUP,,ncbi,GCA_020502035.1,746128,ncbi,GCA_020502035.1,,
Asfu_K18L3,Aspergillus fumigatus,K-1-8L-3,INGROUP,,ncbi,GCA_020502045.1,746128,ncbi,GCA_020502045.1,,
Asfu_K148s1,Aspergillus fumigatus,K-1-48s-1,INGROUP,,ncbi,GCA_020502095.1,746128,ncbi,GCA_020502095.1,,
Asfu_K11L2,Aspergillus fumigatus,K-1-1L-2,INGROUP,,ncbi,GCA_020502105.1,746128,ncbi,GCA_020502105.1,,
Asfu_C164L2,Aspergillus fumigatus,C-1-64L-2,INGROUP,,ncbi,GCA_020502115.1,746128,ncbi,GCA_020502115.1,,
Asfu_H1292,Aspergillus fumigatus,H-1-29-2,INGROUP,,ncbi,GCA_020502125.1,746128,ncbi,GCA_020502125.1,,
Asfu_E1202,Aspergillus fumigatus,E-1-20-2,INGROUP,,ncbi,GCA_020502165.1,746128,ncbi,GCA_020502165.1,,
Asfu_L2134,Aspergillus fumigatus,L-2-13-4,INGROUP,,ncbi,GCA_020502185.1,746128,ncbi,GCA_020502185.1,,
Asfu_H1219,Aspergillus fumigatus,H-1-21-9,INGROUP,,ncbi,GCA_020502215.1,746128,ncbi,GCA_020502215.1,,
Asfu_H1302,Aspergillus fumigatus,H-1-30-2,INGROUP,,ncbi,GCA_020502225.1,746128,ncbi,GCA_020502225.1,,
Asfu_A340L1,Aspergillus fumigatus,A-3-40L-1,INGROUP,,ncbi,GCA_020502235.1,746128,ncbi,GCA_020502235.1,,
